Race	Gender	Gender Code	Single-Year Ages	Single-Year Ages Code	Deaths	Population	Crude Rate
Black or African American	Female	F	55 years	55	932	5138112	18.1389584345378
Black or African American	Female	F	60 years	60	1027	3681274	27.8979505464684
Black or African American	Female	F	65 years	65	1281	2894958	44.2493466226453
Black or African American	Female	F	70 years	70	1802	2327359	77.4268172636882
Black or African American	Female	F	75 years	75	2524	1841431	137.06731341006
Black or African American	Female	F	80 years	80	3533	1319230	267.807736331042
Black or African American	Female	F	85 years	85	9089	1211548	750.197268288174
Black or African American	Male	M	55 years	55	1225	4318343	28.3673622035119
Black or African American	Male	M	60 years	60	1331	2953950	45.0583117520608
Black or African American	Male	M	65 years	65	1422	2200168	64.6314281454871
Black or African American	Male	M	70 years	70	1697	1624551	104.45963223069
Black or African American	Male	M	75 years	75	2040	1119079	182.292760385996
Black or African American	Male	M	80 years	80	2032	685376	296.47959660099
Black or African American	Male	M	85 years	85	3294	450171	731.721945660649
White	Female	F	55 years	55	1648	34806497	4.7347482281828
White	Female	F	60 years	60	2728	27977902	9.75055241811913
White	Female	F	65 years	65	4225	22100289	19.1173970620927
White	Female	F	70 years	70	7712	18823087	40.9709629456635
White	Female	F	75 years	75	15542	17385694	89.3953384892199
White	Female	F	80 years	80	30096	14595334	206.202886484133
White	Female	F	85 years	85	119671	14448773	828.243339417126
White	Male	M	55 years	55	2721	33573909	8.10450758057395
White	Male	M	60 years	60	3930	26337876	14.921476583761
White	Male	M	65 years	65	5485	19979874	27.4526255771183
White	Male	M	70 years	70	8697	15952761	54.5172086512172
White	Male	M	75 years	75	14700	13242662	111.004871981177
White	Male	M	80 years	80	22491	9339080	240.826719548392
White	Male	M	85 years	85	51296	6572211	780.498374139236
