Race	Gender	Gender Code	Single-Year Ages	Single-Year Ages Code	Year	Year Code	Deaths	Population	Crude Rate
Black or African American	Female	F	55 years	55	2004	2004	156	906422	17.2105266641807
Black or African American	Female	F	55 years	55	2005	2005	168	976118	17.2110339118836
Black or African American	Female	F	55 years	55	2006	2006	213	1046312	20.3572165854927
Black or African American	Female	F	55 years	55	2007	2007	198	1085461	18.2410975613127
Black or African American	Female	F	55 years	55	2008	2008	197	1123799	17.5298251733629
Black or African American	Female	F	60 years	60	2004	2004	187	678186	27.5735565169437
Black or African American	Female	F	60 years	60	2005	2005	218	698748	31.1986581714724
Black or African American	Female	F	60 years	60	2006	2006	198	720394	27.4849596193194
Black or African American	Female	F	60 years	60	2007	2007	208	768767	27.0563122506559
Black or African American	Female	F	60 years	60	2008	2008	216	815179	26.4972478437251
Black or African American	Female	F	65 years	65	2004	2004	223	548655	40.6448496778486
Black or African American	Female	F	65 years	65	2005	2005	282	561769	50.1985691627698
Black or African American	Female	F	65 years	65	2006	2006	252	574475	43.8661386483311
Black or African American	Female	F	65 years	65	2007	2007	274	592733	46.2265471974734
Black or African American	Female	F	65 years	65	2008	2008	250	617326	40.4972413279207
Black or African American	Female	F	70 years	70	2004	2004	374	450801	82.9634361946846
Black or African American	Female	F	70 years	70	2005	2005	367	456614	80.3742329407333
Black or African American	Female	F	70 years	70	2006	2006	359	466664	76.9290110229201
Black or African American	Female	F	70 years	70	2007	2007	345	472797	72.9700061548614
Black or African American	Female	F	70 years	70	2008	2008	357	480483	74.3002353881407
Black or African American	Female	F	75 years	75	2004	2004	515	365192	141.021709128349
Black or African American	Female	F	75 years	75	2005	2005	537	368751	145.626723724139
Black or African American	Female	F	75 years	75	2006	2006	494	367499	134.422134481999
Black or African American	Female	F	75 years	75	2007	2007	501	368272	136.040752487292
Black or African American	Female	F	75 years	75	2008	2008	477	371717	128.323428845062
Black or African American	Female	F	80 years	80	2004	2004	691	254780	271.214381034618
Black or African American	Female	F	80 years	80	2005	2005	780	258762	301.4352957544
Black or African American	Female	F	80 years	80	2006	2006	697	264538	263.47821485004
Black or African American	Female	F	80 years	80	2007	2007	668	268871	248.44628093026
Black or African American	Female	F	80 years	80	2008	2008	697	272279	255.987424663672
Black or African American	Female	F	85 years	85	2004	2004	1747	228060	766.026484258528
Black or African American	Female	F	85 years	85	2005	2005	1895	235430	804.91016438007
Black or African American	Female	F	85 years	85	2006	2006	1806	241177	748.827624524727
Black or African American	Female	F	85 years	85	2007	2007	1864	249077	748.362956033676
Black or African American	Female	F	85 years	85	2008	2008	1777	257804	689.283331523173
Black or African American	Male	M	55 years	55	2004	2004	231	758635	30.4494256131078
Black or African American	Male	M	55 years	55	2005	2005	229	820971	27.8937989283422
Black or African American	Male	M	55 years	55	2006	2006	236	881087	26.7850961369309
Black or African American	Male	M	55 years	55	2007	2007	281	912345	30.7997522866898
Black or African American	Male	M	55 years	55	2008	2008	248	945305	26.2349188886127
Black or African American	Male	M	60 years	60	2004	2004	230	538700	42.6953777612772
Black or African American	Male	M	60 years	60	2005	2005	251	556778	45.0808041984417
Black or African American	Male	M	60 years	60	2006	2006	254	576788	44.0369771909263
Black or African American	Male	M	60 years	60	2007	2007	282	620088	45.4774161086814
Black or African American	Male	M	60 years	60	2008	2008	314	661596	47.4609882768336
Black or African American	Male	M	65 years	65	2004	2004	264	415865	63.4821396366609
Black or African American	Male	M	65 years	65	2005	2005	271	427014	63.4639613689481
Black or African American	Male	M	65 years	65	2006	2006	279	436847	63.8667542640787
Black or African American	Male	M	65 years	65	2007	2007	283	450394	62.8338743411324
Black or African American	Male	M	65 years	65	2008	2008	325	470048	69.1418748723535
Black or African American	Male	M	70 years	70	2004	2004	292	309884	94.2288081991971
Black or African American	Male	M	70 years	70	2005	2005	347	316960	109.477536597678
Black or African American	Male	M	70 years	70	2006	2006	354	325778	108.662954527316
Black or African American	Male	M	70 years	70	2007	2007	338	332403	101.683799484361
Black or African American	Male	M	70 years	70	2008	2008	366	339526	107.797340998922
Black or African American	Male	M	75 years	75	2004	2004	418	218650	191.17310770638
Black or African American	Male	M	75 years	75	2005	2005	422	222432	189.720903467127
Black or African American	Male	M	75 years	75	2006	2006	379	223131	169.855376438057
Black or African American	Male	M	75 years	75	2007	2007	396	225410	175.67987223282
Black or African American	Male	M	75 years	75	2008	2008	425	229456	185.220695906841
Black or African American	Male	M	80 years	80	2004	2004	388	131758	294.479272605838
Black or African American	Male	M	80 years	80	2005	2005	401	134288	298.611938520195
Black or African American	Male	M	80 years	80	2006	2006	422	137456	307.007333255733
Black or African American	Male	M	80 years	80	2007	2007	410	139898	293.070665770776
Black or African American	Male	M	80 years	80	2008	2008	411	141976	289.485546852989
Black or African American	Male	M	85 years	85	2004	2004	643	82755	776.992326747629
Black or African American	Male	M	85 years	85	2005	2005	633	86445	732.25750477182
Black or African American	Male	M	85 years	85	2006	2006	678	89393	758.448648104438
Black or African American	Male	M	85 years	85	2007	2007	676	93512	722.901873556335
