Race	Gender	Gender Code	Single-Year Ages	Single-Year Ages Code	Year	Year Code	Deaths	Population	Crude Rate	Crude Rate Lower 95% Confidence Interval	Crude Rate Upper 95% Confidence Interval	Crude Rate Standard Error
Black or African American	Female	F	55 years	55	1999	1999	170	703574	24.1623482391333	20.5301399101737	27.794556568093	1.85316751477532
Black or African American	Female	F	55 years	55	2000	2000	148	721707	20.5069370256905	17.2030437395274	23.8108303118536	1.68565983987913
Black or African American	Female	F	55 years	55	2001	2001	150	749059	20.0251248566535	16.8204374449442	23.2298122683627	1.63504459781084
Black or African American	Female	F	55 years	55	2002	2002	154	799225	19.2686665206919	16.2253482628619	22.311984778522	1.55271339685206
Black or African American	Female	F	55 years	55	2003	2003	165	846733	19.4866622654367	16.5132744496573	22.4600500812161	1.51703459988747
Black or African American	Female	F	55 years	55	2004	2004	156	906422	17.2105266641807	14.5097546006472	19.9112987277142	1.37794493037424
Black or African American	Female	F	55 years	55	2005	2005	168	976118	17.2110339118836	14.6084281267471	19.8136396970201	1.3278600944574
Black or African American	Female	F	55 years	55	2006	2006	213	1046312	20.3572165854927	17.6233037317856	23.0911294391998	1.39485349678933
Black or African American	Female	F	55 years	55	2007	2007	198	1085461	18.2410975613127	15.7002743840855	20.7819207385398	1.29633835572815
Black or African American	Female	F	55 years	55	2008	2008	197	1123799	17.5298251733629	15.0818864457673	19.9777639009584	1.2489483304059
Black or African American	Female	F	55 years	55	2009	2009	194	1164471	16.6599254081896	14.3155440519102	19.0043067644691	1.19611293687727
Black or African American	Female	F	55 years	55	2010	2010	193	1194067	16.1632471209739	13.8828733882335	18.4436208537144	1.16345598609205
Black or African American	Female	F	55 years	55	2011	2011	208	1242711	16.7376002948393	14.462934503707	19.0122660859715	1.16054377098585
Black or African American	Female	F	55 years	55	2012	2012	220	1292069	17.0269544428355	14.7769586555041	19.2769502301669	1.14795703435276
Black or African American	Female	F	55 years	55	2013	2013	252	1330735	18.9369032902869	16.5987942439239	21.27501233665	1.19291277875667
Black or African American	Female	F	55 years	55	2014	2014	252	1364351	18.4703203207972	16.1898195245857	20.7508211170087	1.16352081439362
Black or African American	Female	F	55 years	55	2015	2015	264	1395987	18.9113508936688	16.6300810432925	21.1926207440451	1.16391318896751
Black or African American	Female	F	55 years	55	2016	2016	297	1412482	21.0268166249198	18.6354213107393	23.4182119391004	1.22009965009211
Black or African American	Female	F	55 years	55	2017	2017	331	1421202	23.2901445396221	20.7810659863007	25.7992230929434	1.28014211904151
Black or African American	Female	F	55 years	55	2018	2018	342	1426347	23.9773351084974	21.4361053560278	26.518564860967	1.29654579207633
Black or African American	Female	F	55 years	55	2019	2019	381	1428980	26.6623745608756	23.9851030987104	29.3396460230408	1.36595482763532
Black or African American	Female	F	55 years	55	2020	2020	362	1421662	25.463155095937	22.8400602057829	28.0862499860912	1.3383137194664
Black or African American	Female	F	55 years	55	2021	2021	332	1392255	23.8462063343281	21.2810943663161	26.4113183023401	1.3087305959245
Black or African American	Female	F	55 years	55	2022	2022	363	1417444	25.6094773409038	22.9749453656592	28.2440093161483	1.34414896696149
Black or African American	Female	F	60 years	60	1999	1999	170	585855	29.0174189859266	24.6553714778581	33.379466493995	2.22553444289206
Black or African American	Female	F	60 years	60	2000	2000	169	596149	28.3486175436007	24.0745182831809	32.6227168040205	2.18066288796928
Black or African American	Female	F	60 years	60	2001	2001	216	610941	35.3552961742623	30.6402746950802	40.0703176534445	2.40562320366436
Black or African American	Female	F	60 years	60	2002	2002	174	629297	27.6499013979091	23.5414795115478	31.7583232842704	2.09613361549045
Black or African American	Female	F	60 years	60	2003	2003	201	653908	30.7382689919683	26.4887727505451	34.9877652333914	2.16811032725671
Black or African American	Female	F	60 years	60	2004	2004	187	678186	27.5735565169437	23.6214553398172	31.5256576940703	2.01637815159519
Black or African American	Female	F	60 years	60	2005	2005	218	698748	31.1986581714724	27.0571002424254	35.3402161005194	2.11303975971787
Black or African American	Female	F	60 years	60	2006	2006	198	720394	27.4849596193194	23.6565484071547	31.3133708314841	1.95327102661464
Black or African American	Female	F	60 years	60	2007	2007	208	768767	27.0563122506559	23.3793175305863	30.7333069707255	1.87601771432124
Black or African American	Female	F	60 years	60	2008	2008	216	815179	26.4972478437251	22.9635455065538	30.0309501808965	1.80290935569968
Black or African American	Female	F	60 years	60	2009	2009	228	873483	26.1023969556362	22.714196957896	29.4905969533765	1.72867346823481
Black or African American	Female	F	60 years	60	2010	2010	212	927423	22.8590405888144	19.781908496341	25.9361726812878	1.56996535330276
Black or African American	Female	F	60 years	60	2011	2011	226	1006503	22.4539817566366	19.5264931250467	25.3814703882265	1.49361664877034
Black or African American	Female	F	60 years	60	2012	2012	274	1040236	26.3401766522212	23.2212908512872	29.4590624531552	1.59126826578265
Black or African American	Female	F	60 years	60	2013	2013	330	1075039	30.6965607759346	27.3845722653609	34.0085492865083	1.68979005641516
Black or African American	Female	F	60 years	60	2014	2014	342	1114807	30.6779559152391	27.4265631326806	33.9293486977977	1.65887386865233
Black or African American	Female	F	60 years	60	2015	2015	360	1153658	31.2050885097663	27.981569470018	34.4286075495147	1.64465257130018
Black or African American	Female	F	60 years	60	2016	2016	414	1190046	34.7885711980881	31.4374318050919	38.1397105910844	1.70976499642668
Black or African American	Female	F	60 years	60	2017	2017	460	1239642	37.1074874842898	33.7164022552097	40.4985727133699	1.73014552504088
Black or African American	Female	F	60 years	60	2018	2018	470	1272746	36.9280280590157	33.5894367421457	40.2666193758857	1.70336291677042
Black or African American	Female	F	60 years	60	2019	2019	480	1301964	36.8673788215342	33.5691733021493	40.1655843409192	1.68275791805354
Black or African American	Female	F	60 years	60	2020	2020	543	1329313	40.848167436864	37.4123606422938	44.2839742314343	1.75296265029095
Black or African American	Female	F	60 years	60	2021	2021	580	1321124	43.9020107120906	40.3290644368836	47.4749569872976	1.8229317730648
Black or African American	Female	F	60 years	60	2022	2022	565	1343676	42.0488272470447	38.5815726298529	45.5160818642365	1.76900745775093
Black or African American	Female	F	65 years	65	1999	1999	250	507961	49.2163768478289	43.1154515662324	55.3173021294253	3.11271698040635
Black or African American	Female	F	65 years	65	2000	2000	261	508629	51.3144158119179	45.0889019175173	57.5399297063185	3.17628259918399
Black or African American	Female	F	65 years	65	2001	2001	260	522334	49.7765797363373	43.7260353771092	55.8271240955654	3.08701242817758
Black or African American	Female	F	65 years	65	2002	2002	250	530031	47.1670524931561	41.3201640904683	53.0139408958439	2.98310632790193
Black or African American	Female	F	65 years	65	2003	2003	270	539527	50.0438346922397	44.0745159405732	56.0131534439062	3.04557079166659
Black or African American	Female	F	65 years	65	2004	2004	223	548655	40.6448496778486	35.3101599975917	45.9795393581054	2.72178044911066
Black or African American	Female	F	65 years	65	2005	2005	282	561769	50.1985691627698	44.3395778295806	56.0575604959589	2.98928129244345
Black or African American	Female	F	65 years	65	2006	2006	252	574475	43.8661386483311	38.4500569357901	49.282220360872	2.76330699619436
Black or African American	Female	F	65 years	65	2007	2007	274	592733	46.2265471974734	40.7529574192421	51.7001369757047	2.79264784603639
Black or African American	Female	F	65 years	65	2008	2008	250	617326	40.4972413279207	35.4771512831713	45.5173313726702	2.56127043099463
Black or African American	Female	F	65 years	65	2009	2009	261	641482	40.687034086693	35.7508442846485	45.6232238887375	2.51846418471656
Black or African American	Female	F	65 years	65	2010	2010	242	657563	36.8025573215038	32.1656716687581	41.4394429742495	2.36575798609472
Black or African American	Female	F	65 years	65	2011	2011	271	680703	39.8117828186448	35.0717314069451	44.5518342303446	2.41839357739783
Black or African American	Female	F	65 years	65	2012	2012	314	729212	43.0601800299501	38.2973280078397	47.8230320520606	2.43002654189308
Black or African American	Female	F	65 years	65	2013	2013	327	774692	42.2103235866641	37.6352205796305	46.7854265936978	2.3342362280784
Black or African American	Female	F	65 years	65	2014	2014	347	828528	41.8815055133924	37.4748041611163	46.2882068656686	2.24831701646742
Black or African American	Female	F	65 years	65	2015	2015	373	885437	42.1260914102302	37.8509269981915	46.4012558222689	2.18120633267279
Black or African American	Female	F	65 years	65	2016	2016	459	946010	48.519571674718	44.0807603344751	52.9583830149609	2.26469966338924
Black or African American	Female	F	65 years	65	2017	2017	511	978448	52.2255653851814	47.6973323204306	56.7537984499322	2.31032299221978
Black or African American	Female	F	65 years	65	2018	2018	534	1007581	52.9982204904618	48.5030441788301	57.4933968020935	2.29345730185292
Black or African American	Female	F	65 years	65	2019	2019	589	1042963	56.4737195854503	51.9128797943853	61.0345593765153	2.32695907707399
Black or African American	Female	F	65 years	65	2020	2020	738	1077483	68.4929599817352	63.5512890122398	73.4346309512306	2.52126069872214
Black or African American	Female	F	65 years	65	2021	2021	716	1088159	65.7992076525581	60.9795052388283	70.6189100662879	2.45903184373968
Black or African American	Female	F	65 years	65	2022	2022	684	1106126	61.8374398576654	57.2031891867619	66.4716905285689	2.36441360760384
Black or African American	Female	F	70 years	70	1999	1999	417	435255	95.8059068821725	86.610301409735	105.00151235461	4.69163544512117
Black or African American	Female	F	70 years	70	2000	2000	415	440786	94.1499956895183	85.0915783116006	103.208413067436	4.62164151934575
Black or African American	Female	F	70 years	70	2001	2001	386	440752	87.5775946564054	78.8407335416285	96.3144557711823	4.45758220141678
Black or African American	Female	F	70 years	70	2002	2002	383	442356	86.5818481042418	77.9105615952015	95.2531346132822	4.42412576991856
Black or African American	Female	F	70 years	70	2003	2003	376	446877	84.1394835715421	75.6347249730588	92.6442421700253	4.33916255024656
Black or African American	Female	F	70 years	70	2004	2004	374	450801	82.9634361946846	74.5551593657967	91.3717130235725	4.28993715759586
Black or African American	Female	F	70 years	70	2005	2005	367	456614	80.3742329407333	72.1510513565267	88.5974145249399	4.19550080826869
Black or African American	Female	F	70 years	70	2006	2006	359	466664	76.9290110229201	68.971101514123	84.8869205317172	4.06015791265159
Black or African American	Female	F	70 years	70	2007	2007	345	472797	72.9700061548614	65.2700029363187	80.670009373404	3.92857307068503
