Race	Gender	Gender Code	Single-Year Ages	Single-Year Ages Code	Deaths	Population	Crude Rate
Black or African American	Female	F	55 years	55	5710	27863173	20.4929998460692
Black or African American	Female	F	60 years	60	7441	22947084	32.4267780603409
Black or African American	Female	F	65 years	65	8938	17947827	49.79990056735
Black or African American	Female	F	70 years	70	11324	13553932	83.5477114685244
Black or African American	Female	F	75 years	75	14196	9879837	143.68658106404
Black or African American	Female	F	80 years	80	18305	6855075	267.028442431337
Black or African American	Female	F	85 years	85	50591	6864182	737.028825867379
Black or African American	Male	M	55 years	55	7962	23715356	33.5731835524628
Black or African American	Male	M	60 years	60	10143	18720951	54.1799398972841
Black or African American	Male	M	65 years	65	11044	13778596	80.1533044440812
Black or African American	Male	M	70 years	70	11576	9635510	120.138944383847
Black or African American	Male	M	75 years	75	12314	6286012	195.895267142347
Black or African American	Male	M	80 years	80	11951	3748266	318.84076530321
Black or African American	Male	M	85 years	85	20552	2765018	743.286300487013
White	Female	F	55 years	55	9362	169977060	5.50780205281819
White	Female	F	60 years	60	16169	152019362	10.6361451510367
White	Female	F	65 years	65	26300	129359199	20.3309855064888
White	Female	F	70 years	70	46479	108034982	43.0221759096512
White	Female	F	75 years	75	80438	86988846	92.4693264697407
White	Female	F	80 years	80	143221	67006765	213.741105095881
White	Female	F	85 years	85	642026	73095858	878.33430999606
White	Male	M	55 years	55	16460	164183780	10.0253508598718
White	Male	M	60 years	60	26233	143491164	18.2819619471482
White	Male	M	65 years	65	38480	118031424	32.6014875496207
White	Male	M	70 years	70	58088	93517859	62.1143390376377
White	Male	M	75 years	75	84757	68584799	123.579862062437
White	Male	M	80 years	80	121313	45894694	264.329031151183
White	Male	M	85 years	85	323315	36367456	889.022867038046
