Cause of death Code	Race	Gender	Gender Code	Year	Year Code	Deaths	Population	Crude Rate	Crude Rate Lower 95% Confidence Interval	Crude Rate Upper 95% Confidence Interval	Crude Rate Standard Error	Age Adjusted Rate	Age Adjusted Rate Lower 95% Confidence Interval	Age Adjusted Rate Upper 95% Confidence Interval	Age Adjusted Rate Standard Error
I110	Black or African American	Female	F	1999	1999	835	3028957	27.5672450945986	25.6973975383257	29.4370926508714	0.954003855241252	28.0064980122508	26.1068565468717	29.9061394776299	0.969204829275045
I110	White	Female	F	1999	1999	4484	26973470	16.6237417729347	16.1371642384335	17.1103193074359	0.248253844133264	13.23519863844	12.8478038863986	13.6225933904813	0.197650383694575
I130	Black or African American	Female	F	1999	1999	4	960883	0.416283772321916	0.113424839444553	1.06585297065303	0.208141886160958	0.131741348958667	0.0358955653507679	0.33731054987377	0.0658706744793334
I130	White	Female	F	1999	1999	24	18705935	0.128301525692247	0.0822053535415364	0.190902406108008	0.0261894392638826	0.0771675875611979	0.0494428167022107	0.114819196884058	0.0157517678505397
I132	Black or African American	Female	F	1999	1999	272	3028957	8.9799888212345	7.91278489246158	10.0471927500074	0.544491800394348	9.17703011551812	8.08640931534634	10.2676509156899	0.556439183761109
I132	White	Female	F	1999	1999	853	26973470	3.16236657723311	2.95014293334628	3.37459022111994	0.108277369330014	2.57303630341004	2.40036209666436	2.74571051015572	0.0880990850743252
I500	Black or African American	Female	F	1999	1999	2536	3028957	83.7251898920982	80.4665408599002	86.9838389242961	1.66257603683567	85.0763344557004	81.7650978339106	88.3875710774901	1.68940643968864
I500	White	Female	F	1999	1999	27927	26973470	103.535066122379	102.320751026457	104.7493812183	0.619548518327325	83.2580322167698	82.2815371106766	84.2345273228631	0.498211788823102
I501	Black or African American	Female	F	1999	1999	4	1003787	0.398490914905254	0.108576819584234	1.02029613852341	0.199245457452627	0.138986776898521	0.03786972710154	0.355861743570973	0.0694933884492605
I501	White	Female	F	1999	1999	85	26973470	0.315124453768833	0.251708808692393	0.389657689574237	0.0341800460129634	0.262460876155839	0.209643249438238	0.324538122584217	0.0284678790119858
