Notes	Race	Race Code	Gender	Gender Code	Single-Year Ages	Single-Year Ages Code	Deaths	Population	Crude Rate
	Black	2054-5	Female	F	0 years	0	3	1437302	0.208724401691503
	Black	2054-5	Female	F	3 years	3	1	1429359	0.0699614302634957
	Black	2054-5	Female	F	5 years	5	1	1493994	0.0669346730977501
	Black	2054-5	Female	F	8 years	8	1	1611642	0.0620485194602772
	Black	2054-5	Female	F	9 years	9	1	1651395	0.0605548642208557
	Black	2054-5	Female	F	11 years	11	1	1655063	0.0604206607240933
	Black	2054-5	Female	F	13 years	13	1	1588323	0.062959486200225
	Black	2054-5	Female	F	15 years	15	1	1513918	0.0660537756998728
	Black	2054-5	Female	F	16 years	16	2	1495228	0.133758864868769
	Black	2054-5	Female	F	17 years	17	1	1483056	0.0674283371632629
	Black	2054-5	Female	F	18 years	18	3	1478804	0.202866640880063
	Black	2054-5	Female	F	19 years	19	6	1497717	0.400609728006025
	Black	2054-5	Female	F	20 years	20	6	1486183	0.403718788332258
	Black	2054-5	Female	F	21 years	21	4	1457316	0.274477189573161
	Black	2054-5	Female	F	22 years	22	7	1418475	0.493487724492853
	Black	2054-5	Female	F	23 years	23	10	1366919	0.731572243856439
	Black	2054-5	Female	F	24 years	24	13	1323098	0.982542487404561
	Black	2054-5	Female	F	25 years	25	11	1306207	0.842132985047546
	Black	2054-5	Female	F	26 years	26	18	1289774	1.39559333650702
	Black	2054-5	Female	F	27 years	27	19	1307240	1.45344389706557
	Black	2054-5	Female	F	28 years	28	32	1332085	2.40224910572524
	Black	2054-5	Female	F	29 years	29	26	1355687	1.91784681862406
	Black	2054-5	Female	F	30 years	30	42	1394781	3.01122541818393
	Black	2054-5	Female	F	31 years	31	41	1386511	2.95706272795528
	Black	2054-5	Female	F	32 years	32	53	1391842	3.80790348329767
	Black	2054-5	Female	F	33 years	33	64	1380934	4.63454444600538
	Black	2054-5	Female	F	34 years	34	72	1393010	5.16866354153954
	Black	2054-5	Female	F	35 years	35	67	1444197	4.63925627874868
	Black	2054-5	Female	F	36 years	36	89	1467775	6.06359966616137
	Black	2054-5	Female	F	37 years	37	112	1497049	7.48138504484489
	Black	2054-5	Female	F	38 years	38	121	1498613	8.07413254789595
	Black	2054-5	Female	F	39 years	39	132	1504564	8.77330575502272
	Black	2054-5	Female	F	40 years	40	138	1514670	9.11089544257165
	Black	2054-5	Female	F	41 years	41	184	1485214	12.3887870704154
	Black	2054-5	Female	F	42 years	42	192	1478134	12.9893500859868
	Black	2054-5	Female	F	43 years	43	210	1451244	14.470344063438
	Black	2054-5	Female	F	44 years	44	253	1402828	18.0349978757196
	Black	2054-5	Female	F	45 years	45	244	1373089	17.7701518255554
	Black	2054-5	Female	F	46 years	46	250	1321003	18.9250137963351
	Black	2054-5	Female	F	47 years	47	300	1278117	23.4720295559796
	Black	2054-5	Female	F	48 years	48	300	1223917	24.5114660552962
	Black	2054-5	Female	F	49 years	49	330	1188261	27.7716764246239
	Black	2054-5	Female	F	50 years	50	326	1155195	28.2203437514878
	Black	2054-5	Female	F	51 years	51	343	1106457	30.9998490677903
	Black	2054-5	Female	F	52 years	52	378	1068555	35.3748754158654
	Black	2054-5	Female	F	53 years	53	323	988295	32.6825492388406
	Black	2054-5	Female	F	54 years	54	356	923536	38.5474957121325
	Black	2054-5	Female	F	55 years	55	382	857191	44.5641636461419
	Black	2054-5	Female	F	56 years	56	354	801670	44.1578205496027
	Black	2054-5	Female	F	57 years	57	376	755932	49.7399236968405
	Black	2054-5	Female	F	58 years	58	384	717414	53.5255793725798
	Black	2054-5	Female	F	59 years	59	392	693163	56.5523549295043
	Black	2054-5	Female	F	60 years	60	373	671872	55.5165269575157
	Black	2054-5	Female	F	61 years	61	378	633788	59.6413942832619
	Black	2054-5	Female	F	62 years	62	444	610785	72.6933372627029
	Black	2054-5	Female	F	63 years	63	399	591608	67.4433070546713
	Black	2054-5	Female	F	64 years	64	421	570668	73.77319211871
	Black	2054-5	Female	F	65 years	65	429	559884	76.6230147673447
	Black	2054-5	Female	F	66 years	66	452	540415	83.6394252565158
	Black	2054-5	Female	F	67 years	67	470	528986	88.8492323048247
	Black	2054-5	Female	F	68 years	68	502	502225	99.9551993628354
	Black	2054-5	Female	F	69 years	69	514	478793	107.353282107299
	Black	2054-5	Female	F	70 years	70	576	473273	121.705654030549
	Black	2054-5	Female	F	71 years	71	562	453839	123.832460409969
	Black	2054-5	Female	F	72 years	72	567	440793	128.631806766441
	Black	2054-5	Female	F	73 years	73	652	428590	152.126741174549
	Black	2054-5	Female	F	74 years	74	680	410101	165.812811965833
	Black	2054-5	Female	F	75 years	75	741	397569	186.38274110909
	Black	2054-5	Female	F	76 years	76	759	376224	201.741515692779
	Black	2054-5	Female	F	77 years	77	761	356510	213.458248015483
	Black	2054-5	Female	F	78 years	78	746	332831	224.137775627871
	Black	2054-5	Female	F	79 years	79	822	305304	269.239839635249
	Black	2054-5	Female	F	80 years	80	764	290284	263.19053065274
	Black	2054-5	Female	F	81 years	81	828	261213	316.982692285606
	Black	2054-5	Female	F	82 years	82	763	236708	322.33807053416
	Black	2054-5	Female	F	83 years	83	764	214211	356.657687980543
	Black	2054-5	Female	F	84 years	84	767	189624	404.484664388474
	Black	2054-5	Female	F	85 years	85	769	NA	NA
	Black	2054-5	Female	F	86 years	86	790	NA	NA
	Black	2054-5	Female	F	87 years	87	771	NA	NA
	Black	2054-5	Female	F	88 years	88	740	NA	NA
	Black	2054-5	Female	F	89 years	89	695	NA	NA
	Black	2054-5	Female	F	90 years	90	681	NA	NA
	Black	2054-5	Female	F	91 years	91	572	NA	NA
	Black	2054-5	Female	F	92 years	92	558	NA	NA
	Black	2054-5	Female	F	93 years	93	455	NA	NA
	Black	2054-5	Female	F	94 years	94	445	NA	NA
	Black	2054-5	Female	F	95 years	95	383	NA	NA
	Black	2054-5	Female	F	96 years	96	309	NA	NA
	Black	2054-5	Female	F	97 years	97	252	NA	NA
	Black	2054-5	Female	F	98 years	98	191	NA	NA
	Black	2054-5	Female	F	99 years	99	161	NA	NA
	Black	2054-5	Female	F	100 years	100	116	NA	NA
	Black	2054-5	Female	F	101 years	101	85	NA	NA
	Black	2054-5	Female	F	102 years	102	86	NA	NA
	Black	2054-5	Female	F	103 years	103	54	NA	NA
	Black	2054-5	Female	F	104 years	104	38	NA	NA
	Black	2054-5	Female	F	105 years	105	19	NA	NA
	Black	2054-5	Female	F	106 years	106	16	NA	NA
	Black	2054-5	Female	F	107 years	107	10	NA	NA
	Black	2054-5	Female	F	108 years	108	10	NA	NA
	Black	2054-5	Female	F	109 years	109	6	NA	NA
	Black	2054-5	Female	F	110 years	110	6	NA	NA
	Black	2054-5	Female	F	111 years	111	1	NA	NA
	Black	2054-5	Female	F	112 years	112	1	NA	NA
	Black	2054-5	Female	F	113 years	113	1	NA	NA
	Black	2054-5	Female	F	114 years	114	1	NA	NA
	Black	2054-5	Female	F	118 years	118	1	NA	NA
	Black	2054-5	Male	M	0 years	0	7	1482788	0.472083669411946
	Black	2054-5	Male	M	1 years	1	1	1484094	0.0673811766640118
	Black	2054-5	Male	M	2 years	2	2	1483034	0.134858674851689
	Black	2054-5	Male	M	14 years	14	1	1591167	0.06284695446801
	Black	2054-5	Male	M	15 years	15	3	1562253	0.192030356158702
	Black	2054-5	Male	M	17 years	17	3	1542215	0.194525406639152
	Black	2054-5	Male	M	18 years	18	5	1520334	0.328875102444594
	Black	2054-5	Male	M	19 years	19	6	1510569	0.397201319502783
	Black	2054-5	Male	M	20 years	20	15	1473066	1.0182843131265
	Black	2054-5	Male	M	21 years	21	17	1412782	1.2032995890378
	Black	2054-5	Male	M	22 years	22	11	1351467	0.813930343841174
	Black	2054-5	Male	M	23 years	23	20	1281764	1.56034964314804
	Black	2054-5	Male	M	24 years	24	19	1223917	1.55239285016876
	Black	2054-5	Male	M	25 years	25	20	1192754	1.67679169384467
	Black	2054-5	Male	M	26 years	26	25	1162353	2.15080960775255
	Black	2054-5	Male	M	27 years	27	39	1174250	3.32126889503939
	Black	2054-5	Male	M	28 years	28	34	1193256	2.84934666157136
	Black	2054-5	Male	M	29 years	29	37	1210623	3.0562776355645
	Black	2054-5	Male	M	30 years	30	56	1253358	4.46799717239608
	Black	2054-5	Male	M	31 years	31	82	1239272	6.61678792065019
	Black	2054-5	Male	M	32 years	32	65	1242657	5.23072738495015
