Race	Gender	Gender Code	Single-Year Ages	Single-Year Ages Code	Deaths	Population	Crude Rate
Black	Female	F	20 years	20	4	1631059	0.245239442595271
Black	Female	F	21 years	21	6	1670312	0.359214326425243
Black	Female	F	22 years	22	2	1716115	0.116542306313971
Black	Female	F	23 years	23	10	1767180	0.565873312282846
Black	Female	F	24 years	24	13	1799110	0.7225794976405
Black	Female	F	25 years	25	15	1795270	0.83552891765584
Black	Female	F	26 years	26	31	1762532	1.75883331479939
Black	Female	F	27 years	27	21	1710639	1.22761143642814
Black	Female	F	28 years	28	33	1646937	2.0037196322628
Black	Female	F	29 years	29	43	1587424	2.70879109803052
Black	Female	F	30 years	30	48	1538392	3.12014103037457
Black	Female	F	31 years	31	56	1513514	3.69999881071467
Black	Female	F	32 years	32	63	1501141	4.19680762833072
Black	Female	F	33 years	33	76	1492021	5.09376208511811
Black	Female	F	34 years	34	78	1494700	5.21843848263866
Black	Female	F	35 years	35	106	1489321	7.11733736380538
Black	Female	F	36 years	36	104	1470285	7.07345854715242
Black	Female	F	37 years	37	117	1447654	8.08204170333519
Black	Female	F	38 years	38	126	1415395	8.90210859865974
Black	Female	F	39 years	39	132	1379865	9.56615321064017
Black	Female	F	40 years	40	161	1355443	11.8780354467137
Black	Female	F	41 years	41	186	1349222	13.7857224385609
Black	Female	F	42 years	42	199	1355060	14.6856965743214
Black	Female	F	43 years	43	223	1385869	16.0909869547555
Black	Female	F	44 years	44	217	1406475	15.4286425283066
Black	Female	F	45 years	45	235	1413676	16.6233281176168
Black	Female	F	46 years	46	319	1413825	22.5629055929836
Black	Female	F	47 years	47	303	1405094	21.5643935565877
Black	Female	F	48 years	48	324	1393012	23.2589525431224
Black	Female	F	49 years	49	367	1396983	26.2708995027141
Black	Female	F	50 years	50	402	1420021	28.3094404941899
Black	Female	F	51 years	51	426	1437908	29.6263738709292
Black	Female	F	52 years	52	485	1452834	33.3830293068582
Black	Female	F	53 years	53	489	1459511	33.5043723548504
Black	Female	F	54 years	54	572	1458921	39.2070578187578
Black	Female	F	55 years	55	564	1447329	38.9683340829901
Black	Female	F	56 years	56	648	1430252	45.3067011967122
Black	Female	F	57 years	57	646	1414152	45.6810866158659
Black	Female	F	58 years	58	696	1385047	50.2510023125569
Black	Female	F	59 years	59	673	1343589	50.0897223778998
Black	Female	F	60 years	60	719	1300498	55.2865133202819
Black	Female	F	61 years	61	760	1250559	60.7728223938255
Black	Female	F	62 years	62	756	1190667	63.4938232100159
Black	Female	F	63 years	63	805	1139956	70.6167606469022
Black	Female	F	64 years	64	772	1089219	70.8764720409762
Black	Female	F	65 years	65	757	1037878	72.9372816458197
Black	Female	F	66 years	66	717	991352	72.3254706703572
Black	Female	F	67 years	67	671	946492	70.8933620146816
Black	Female	F	68 years	68	732	869966	84.1412193120191
Black	Female	F	69 years	69	674	800316	84.216734389916
Black	Female	F	70 years	70	707	736327	96.0171228272221
Black	Female	F	71 years	71	684	680981	100.443331018046
Black	Female	F	72 years	72	720	622412	115.679003618182
Black	Female	F	73 years	73	706	589465	119.769621606033
Black	Female	F	74 years	74	685	553730	123.706499557546
Black	Female	F	75 years	75	749	516553	144.999641856692
Black	Female	F	76 years	76	731	478610	152.733958755563
Black	Female	F	77 years	77	758	446610	169.723024562818
Black	Female	F	78 years	78	775	418430	185.21616518892
Black	Female	F	79 years	79	795	390229	203.726529806857
Black	Female	F	80 years	80	830	364188	227.904269223588
Black	Female	F	81 years	81	827	338259	244.487212461457
Black	Female	F	82 years	82	934	313135	298.273907420122
Black	Female	F	83 years	83	865	285961	302.488800920405
Black	Female	F	84 years	84	897	261797	342.631886538043
Black	Female	F	85 years	85	11553	1681461	687.081056295686
Black	Male	M	20 years	20	12	1683265	0.712900226642864
Black	Male	M	21 years	21	19	1725988	1.10081877741908
Black	Male	M	22 years	22	18	1773669	1.01484549822994
Black	Male	M	23 years	23	22	1819355	1.2092197509557
Black	Male	M	24 years	24	32	1837812	1.74120094982512
Black	Male	M	25 years	25	28	1815396	1.54236320890869
Black	Male	M	26 years	26	41	1759144	2.33067901206496
Black	Male	M	27 years	27	36	1684428	2.137224030947
Black	Male	M	28 years	28	57	1602596	3.55672920686187
Black	Male	M	29 years	29	78	1527648	5.10588826745428
Black	Male	M	30 years	30	75	1464504	5.12118778781075
Black	Male	M	31 years	31	109	1425803	7.64481488676907
Black	Male	M	32 years	32	103	1399569	7.3594085036179
Black	Male	M	33 years	33	136	1378013	9.86928280067024
Black	Male	M	34 years	34	152	1371324	11.0841785019441
Black	Male	M	35 years	35	163	1358654	11.9971677851756
Black	Male	M	36 years	36	198	1333841	14.8443480144935
Black	Male	M	37 years	37	229	1306249	17.5311138994173
Black	Male	M	38 years	38	242	1271517	19.0323841521584
Black	Male	M	39 years	39	261	1233183	21.1647419726026
Black	Male	M	40 years	40	284	1207090	23.5276574240529
Black	Male	M	41 years	41	309	1197266	25.8088010517295
Black	Male	M	42 years	42	329	1201524	27.3818916642531
Black	Male	M	43 years	43	384	1225161	31.3428194335275
Black	Male	M	44 years	44	398	1244034	31.9926947334237
Black	Male	M	45 years	45	433	1251833	34.5892782823268
Black	Male	M	46 years	46	458	1253510	36.5374029724534
Black	Male	M	47 years	47	513	1244339	41.2267075129848
Black	Male	M	48 years	48	550	1235072	44.5318167685771
Black	Male	M	49 years	49	558	1236599	45.1237628366188
Black	Male	M	50 years	50	619	1254903	49.3265216514743
Black	Male	M	51 years	51	684	1268436	53.9246757424103
Black	Male	M	52 years	52	792	1279244	61.9115665189753
Black	Male	M	53 years	53	803	1280663	62.7018973765932
Black	Male	M	54 years	54	835	1275663	65.456158875816
Black	Male	M	55 years	55	913	1259834	72.4698650774626
Black	Male	M	56 years	56	944	1239498	76.1598647194267
Black	Male	M	57 years	57	1104	1217897	90.6480597291889
Black	Male	M	58 years	58	1125	1184652	94.9645971981645
Black	Male	M	59 years	59	1156	1138603	101.527925009859
Black	Male	M	60 years	60	1152	1089396	105.746670632167
Black	Male	M	61 years	61	1116	1033721	107.959497775512
Black	Male	M	62 years	62	1188	971998	122.222473708794
Black	Male	M	63 years	63	1193	918010	129.955011383318
Black	Male	M	64 years	64	1160	865458	134.033078439393
Black	Male	M	65 years	65	1085	815940	132.975463882148
Black	Male	M	66 years	66	1075	771933	139.260790768111
Black	Male	M	67 years	67	1002	731221	137.031075420427
Black	Male	M	68 years	68	992	665728	149.009805806576
Black	Male	M	69 years	69	886	604395	146.592873865601
Black	Male	M	70 years	70	894	549357	162.735707381539
Black	Male	M	71 years	71	850	500239	169.918778823722
Black	Male	M	72 years	72	848	449758	188.5458402074
Black	Male	M	73 years	73	776	418331	185.499042624142
Black	Male	M	74 years	74	767	386078	198.664518568787
Black	Male	M	75 years	75	776	354054	219.175605981009
Black	Male	M	76 years	76	707	321635	219.814385872184
Black	Male	M	77 years	77	734	293367	250.198556756554
Black	Male	M	78 years	78	701	269025	260.570578942477
Black	Male	M	79 years	79	721	244282	295.150686501666
Black	Male	M	80 years	80	680	220712	308.093805502193
Black	Male	M	81 years	81	637	198717	320.556369107827
Black	Male	M	82 years	82	659	177829	370.580726428198
Black	Male	M	83 years	83	585	156519	373.756540739463
Black	Male	M	84 years	84	590	137951	427.688092148661
Black	Male	M	85 years	85	4759	712118	668.28812078897
White	Female	F	20 years	20	4	5855773	0.0683086588226695
White	Female	F	21 years	21	4	5935577	0.0673902469802009
White	Female	F	22 years	22	5	6046746	0.0826891025354794
White	Female	F	23 years	23	8	6190502	0.129230230440116
White	Female	F	24 years	24	11	6323879	0.17394387210761
White	Female	F	25 years	25	14	6391618	0.219036869850482
White	Female	F	26 years	26	13	6422274	0.202420513357107
White	Female	F	27 years	27	21	6393569	0.328455046000129
White	Female	F	28 years	28	14	6333053	0.221062416499593
White	Female	F	29 years	29	32	6278882	0.509644869898813
White	Female	F	30 years	30	31	6230094	0.497584787645259
White	Female	F	31 years	31	33	6221590	0.530411036407092
White	Female	F	32 years	32	57	6229090	0.915061429518597
White	Female	F	33 years	33	50	6216049	0.804369463625528
White	Female	F	34 years	34	88	6198636	1.41966716548608
White	Female	F	35 years	35	73	6151434	1.18671516267589
White	Female	F	36 years	36	101	6060974	1.66639883292685
White	Female	F	37 years	37	118	5959512	1.98002789490146
White	Female	F	38 years	38	107	5827428	1.83614452207732
White	Female	F	39 years	39	126	5725677	2.20061313273522
White	Female	F	40 years	40	124	5662642	2.18979056066055
White	Female	F	41 years	41	160	5650914	2.83140037169208
White	Female	F	42 years	42	193	5732699	3.36665155452955
White	Female	F	43 years	43	240	5964264	4.02396674593881
White	Female	F	44 years	44	237	6180601	3.83457854664943
White	Female	F	45 years	45	282	6370824	4.42642898312683
White	Female	F	46 years	46	319	6503675	4.90491914186979
White	Female	F	47 years	47	368	6586348	5.58731485187239
White	Female	F	48 years	48	392	6589901	5.94849603962184
White	Female	F	49 years	49	435	6675136	6.51672115744159
White	Female	F	50 years	50	501	6873778	7.28856823714702
White	Female	F	51 years	51	599	7120017	8.41290126133126
White	Female	F	52 years	52	668	7357855	9.07873286440138
