Notes	Race	Race Code	Gender	Gender Code	Single-Year Ages	Single-Year Ages Code	Deaths	Population	Crude Rate
	Black	2054-5	Female	F	12 years	12	1	633770	0.157785947583508
	Black	2054-5	Female	F	18 years	18	1	622945	0.160527815457223
	Black	2054-5	Female	F	19 years	19	3	642766	0.466732839011398
	Black	2054-5	Female	F	20 years	20	2	644673	0.310234801209295
	Black	2054-5	Female	F	21 years	21	1	639918	0.156270022096581
	Black	2054-5	Female	F	23 years	23	2	642947	0.311067630768944
	Black	2054-5	Female	F	24 years	24	5	657824	0.760081723986963
	Black	2054-5	Female	F	25 years	25	8	687314	1.16395126536052
	Black	2054-5	Female	F	26 years	26	10	709929	1.40859156338169
	Black	2054-5	Female	F	27 years	27	16	726425	2.20256736758784
	Black	2054-5	Female	F	28 years	28	15	741661	2.02248736282479
	Black	2054-5	Female	F	29 years	29	20	743595	2.68963615946853
	Black	2054-5	Female	F	30 years	30	19	717459	2.64823495140489
	Black	2054-5	Female	F	31 years	31	27	674724	4.00163622458961
	Black	2054-5	Female	F	32 years	32	41	641333	6.39293471566253
	Black	2054-5	Female	F	33 years	33	38	624242	6.08738277783296
	Black	2054-5	Female	F	34 years	34	41	617837	6.63605449333724
	Black	2054-5	Female	F	35 years	35	41	604570	6.78167954083067
	Black	2054-5	Female	F	36 years	36	47	596139	7.88406730645034
	Black	2054-5	Female	F	37 years	37	52	600260	8.66291273781362
	Black	2054-5	Female	F	38 years	38	70	598504	11.6958282651411
	Black	2054-5	Female	F	39 years	39	61	606558	10.0567464282064
	Black	2054-5	Female	F	40 years	40	72	597242	12.0554147230101
	Black	2054-5	Female	F	41 years	41	96	567278	16.9229196267086
	Black	2054-5	Female	F	42 years	42	88	553988	15.8848206098327
	Black	2054-5	Female	F	43 years	43	86	539499	15.9407153674057
	Black	2054-5	Female	F	44 years	44	110	535321	20.548418612384
	Black	2054-5	Female	F	45 years	45	132	534280	24.7061465898031
	Black	2054-5	Female	F	46 years	46	97	534048	18.1631613637725
	Black	2054-5	Female	F	47 years	47	118	550888	21.4199619523388
	Black	2054-5	Female	F	48 years	48	147	572293	25.686143286743
	Black	2054-5	Female	F	49 years	49	176	582102	30.2352508666866
	Black	2054-5	Female	F	50 years	50	166	557850	29.757103163933
	Black	2054-5	Female	F	51 years	51	193	537543	35.9041044158328
	Black	2054-5	Female	F	52 years	52	199	538077	36.9835543983482
	Black	2054-5	Female	F	53 years	53	232	546543	42.4486270979594
	Black	2054-5	Female	F	54 years	54	223	568352	39.2362479590113
	Black	2054-5	Female	F	55 years	55	254	579240	43.850562806436
	Black	2054-5	Female	F	56 years	56	268	573086	46.7643599738957
	Black	2054-5	Female	F	57 years	57	286	565975	50.5322673262953
	Black	2054-5	Female	F	58 years	58	299	563653	53.0468213599502
	Black	2054-5	Female	F	59 years	59	322	569402	56.5505565488003
	Black	2054-5	Female	F	60 years	60	319	560778	56.8852558409923
	Black	2054-5	Female	F	61 years	61	397	537782	73.8217344574567
	Black	2054-5	Female	F	62 years	62	355	526142	67.4722793466403
	Black	2054-5	Female	F	63 years	63	389	512367	75.9221417460531
	Black	2054-5	Female	F	64 years	64	425	493735	86.0785644120834
	Black	2054-5	Female	F	65 years	65	413	472264	87.4510866803313
	Black	2054-5	Female	F	66 years	66	417	442373	94.2643425344675
	Black	2054-5	Female	F	67 years	67	369	414981	88.9197336745538
	Black	2054-5	Female	F	68 years	68	385	400651	96.0936076535439
	Black	2054-5	Female	F	69 years	69	407	390460	104.236029298776
	Black	2054-5	Female	F	70 years	70	408	368226	110.801518632579
	Black	2054-5	Female	F	71 years	71	431	343445	125.493164844444
	Black	2054-5	Female	F	72 years	72	421	323070	130.3123162163
	Black	2054-5	Female	F	73 years	73	422	280822	150.273126749329
	Black	2054-5	Female	F	74 years	74	376	247431	151.961556959314
	Black	2054-5	Female	F	75 years	75	386	236238	163.394542791592
	Black	2054-5	Female	F	76 years	76	382	223946	170.576835487126
	Black	2054-5	Female	F	77 years	77	424	208039	203.807939857431
	Black	2054-5	Female	F	78 years	78	406	188778	215.067433705199
	Black	2054-5	Female	F	79 years	79	434	177331	244.740062369242
	Black	2054-5	Female	F	80 years	80	437	162248	269.340762289828
	Black	2054-5	Female	F	81 years	81	415	148034	280.341002742613
	Black	2054-5	Female	F	82 years	82	454	137158	331.005118184867
	Black	2054-5	Female	F	83 years	83	468	127237	367.817537351557
	Black	2054-5	Female	F	84 years	84	455	118779	383.064346391197
	Black	2054-5	Female	F	85 years	85	463	NA	NA
	Black	2054-5	Female	F	86 years	86	489	NA	NA
	Black	2054-5	Female	F	87 years	87	481	NA	NA
	Black	2054-5	Female	F	88 years	88	437	NA	NA
	Black	2054-5	Female	F	89 years	89	464	NA	NA
	Black	2054-5	Female	F	90 years	90	458	NA	NA
	Black	2054-5	Female	F	91 years	91	470	NA	NA
	Black	2054-5	Female	F	92 years	92	428	NA	NA
	Black	2054-5	Female	F	93 years	93	405	NA	NA
	Black	2054-5	Female	F	94 years	94	327	NA	NA
	Black	2054-5	Female	F	95 years	95	283	NA	NA
	Black	2054-5	Female	F	96 years	96	259	NA	NA
	Black	2054-5	Female	F	97 years	97	256	NA	NA
	Black	2054-5	Female	F	98 years	98	170	NA	NA
	Black	2054-5	Female	F	99 years	99	160	NA	NA
	Black	2054-5	Female	F	100 years	100	117	NA	NA
	Black	2054-5	Female	F	101 years	101	93	NA	NA
