Notes	Race	Race Code	Gender	Gender Code	Single-Year Ages	Single-Year Ages Code	Year	Year Code	Deaths	Population	Crude Rate
	Black	2054-5	Female	F	7 years	7	2008	2008	1	302244	0.330858511666071
	Black	2054-5	Female	F	11 years	11	2004	2004	1	334504	0.298950087293425
	Black	2054-5	Female	F	13 years	13	2005	2005	1	341312	0.292987061691356
	Black	2054-5	Female	F	14 years	14	2004	2004	1	348140	0.287240765209399
	Black	2054-5	Female	F	15 years	15	2004	2004	1	331555	0.301609084465624
	Black	2054-5	Female	F	15 years	15	2007	2007	1	345265	0.289632601045574
	Black	2054-5	Female	F	17 years	17	2004	2004	1	311417	0.321112848688415
	Black	2054-5	Female	F	17 years	17	2007	2007	1	356432	0.280558423486107
	Black	2054-5	Female	F	18 years	18	2006	2006	3	326764	0.918093792461838
	Black	2054-5	Female	F	19 years	19	2004	2004	2	307381	0.650658303538605
	Black	2054-5	Female	F	19 years	19	2005	2005	2	312396	0.640213062907336
	Black	2054-5	Female	F	19 years	19	2006	2006	1	317925	0.314539592671227
	Black	2054-5	Female	F	19 years	19	2007	2007	1	328414	0.304493718294592
	Black	2054-5	Female	F	19 years	19	2008	2008	1	342383	0.292070575933969
	Black	2054-5	Female	F	20 years	20	2004	2004	1	295427	0.338493096433298
	Black	2054-5	Female	F	20 years	20	2006	2006	2	309102	0.647035606369418
	Black	2054-5	Female	F	21 years	21	2004	2004	1	295368	0.338560710706644
	Black	2054-5	Female	F	21 years	21	2005	2005	2	295295	0.677288812882033
	Black	2054-5	Female	F	21 years	21	2006	2006	1	304754	0.328133510962941
	Black	2054-5	Female	F	21 years	21	2007	2007	5	308310	1.62174434822095
	Black	2054-5	Female	F	21 years	21	2008	2008	3	312128	0.961144145991388
	Black	2054-5	Female	F	22 years	22	2004	2004	3	295343	1.01576810691298
	Black	2054-5	Female	F	22 years	22	2005	2005	3	291200	1.03021978021978
	Black	2054-5	Female	F	22 years	22	2006	2006	1	290344	0.344419033973493
	Black	2054-5	Female	F	22 years	22	2007	2007	1	298436	0.335080218204238
	Black	2054-5	Female	F	22 years	22	2008	2008	3	300876	0.9970885015754
	Black	2054-5	Female	F	23 years	23	2004	2004	2	298833	0.669270127462496
	Black	2054-5	Female	F	23 years	23	2005	2005	3	294654	1.01814331385286
	Black	2054-5	Female	F	23 years	23	2006	2006	1	290656	0.344049322910932
	Black	2054-5	Female	F	23 years	23	2007	2007	3	289569	1.03602250240875
	Black	2054-5	Female	F	23 years	23	2008	2008	5	297437	1.68102825136079
	Black	2054-5	Female	F	24 years	24	2004	2004	3	298927	1.00358950513001
	Black	2054-5	Female	F	24 years	24	2005	2005	5	296984	1.68359238208119
	Black	2054-5	Female	F	24 years	24	2007	2007	2	288325	0.693661666522154
	Black	2054-5	Female	F	24 years	24	2008	2008	5	286843	1.74311382881925
	Black	2054-5	Female	F	25 years	25	2004	2004	3	283445	1.05840639277461
	Black	2054-5	Female	F	25 years	25	2005	2005	2	300880	0.664716830630152
	Black	2054-5	Female	F	25 years	25	2006	2006	4	299570	1.33524718763561
	Black	2054-5	Female	F	25 years	25	2007	2007	4	295518	1.35355545178297
	Black	2054-5	Female	F	25 years	25	2008	2008	3	291472	1.02925838502498
	Black	2054-5	Female	F	26 years	26	2004	2004	6	266131	2.25452878469626
	Black	2054-5	Female	F	26 years	26	2005	2005	5	280782	1.78074093068644
	Black	2054-5	Female	F	26 years	26	2006	2006	5	297595	1.680135754969
	Black	2054-5	Female	F	26 years	26	2007	2007	5	295637	1.69126327218853
	Black	2054-5	Female	F	26 years	26	2008	2008	7	290979	2.40567188697466
	Black	2054-5	Female	F	27 years	27	2004	2004	10	264514	3.78051823343944
	Black	2054-5	Female	F	27 years	27	2005	2005	3	268219	1.11848899593243
	Black	2054-5	Female	F	27 years	27	2006	2006	5	283477	1.76381152615556
	Black	2054-5	Female	F	27 years	27	2007	2007	2	300846	0.664791953358197
	Black	2054-5	Female	F	27 years	27	2008	2008	4	299318	1.33637135087098
	Black	2054-5	Female	F	28 years	28	2004	2004	7	252846	2.76848358289235
	Black	2054-5	Female	F	28 years	28	2005	2005	14	261900	5.34555173730431
	Black	2054-5	Female	F	28 years	28	2006	2006	1	265157	0.377135055834845
	Black	2054-5	Female	F	28 years	28	2007	2007	4	279438	1.43144454225982
	Black	2054-5	Female	F	28 years	28	2008	2008	6	295990	2.02709550998345
	Black	2054-5	Female	F	29 years	29	2004	2004	8	257747	3.10381886113126
	Black	2054-5	Female	F	29 years	29	2005	2005	11	251383	4.37579311250164
	Black	2054-5	Female	F	29 years	29	2006	2006	5	260329	1.92064656646013
	Black	2054-5	Female	F	29 years	29	2007	2007	8	263206	3.03944438956559
	Black	2054-5	Female	F	29 years	29	2008	2008	8	277106	2.88698187697127
	Black	2054-5	Female	F	30 years	30	2004	2004	4	254504	1.57168453148084
	Black	2054-5	Female	F	30 years	30	2005	2005	12	262512	4.57121960138965
	Black	2054-5	Female	F	30 years	30	2006	2006	10	257114	3.88932535762347
	Black	2054-5	Female	F	30 years	30	2007	2007	9	267082	3.36975161186452
	Black	2054-5	Female	F	30 years	30	2008	2008	5	271120	1.84420182944821
	Black	2054-5	Female	F	31 years	31	2004	2004	8	263303	3.03832466777819
	Black	2054-5	Female	F	31 years	31	2005	2005	7	252966	2.76717029165975
	Black	2054-5	Female	F	31 years	31	2006	2006	6	260644	2.30199045441292
	Black	2054-5	Female	F	31 years	31	2007	2007	10	254785	3.92487783817729
	Black	2054-5	Female	F	31 years	31	2008	2008	14	264321	5.29659013093927
	Black	2054-5	Female	F	32 years	32	2004	2004	11	276717	3.97518041898402
	Black	2054-5	Female	F	32 years	32	2005	2005	13	266944	4.86993526732199
	Black	2054-5	Female	F	32 years	32	2006	2006	8	257204	3.11037153387972
	Black	2054-5	Female	F	32 years	32	2007	2007	9	265596	3.38860525007907
	Black	2054-5	Female	F	32 years	32	2008	2008	12	260364	4.60893211043001
	Black	2054-5	Female	F	33 years	33	2004	2004	16	290780	5.50244170850815
	Black	2054-5	Female	F	33 years	33	2005	2005	14	277331	5.0481193952353
	Black	2054-5	Female	F	33 years	33	2006	2006	20	267659	7.47219409771388
	Black	2054-5	Female	F	33 years	33	2007	2007	10	257833	3.87847948090431
	Black	2054-5	Female	F	33 years	33	2008	2008	9	266293	3.37973585486663
	Black	2054-5	Female	F	34 years	34	2004	2004	16	291291	5.49278899794364
	Black	2054-5	Female	F	34 years	34	2005	2005	13	291186	4.4645003537258
	Black	2054-5	Female	F	34 years	34	2006	2006	12	277780	4.31996544027648
	Black	2054-5	Female	F	34 years	34	2007	2007	26	268078	9.69866979013571
	Black	2054-5	Female	F	34 years	34	2008	2008	19	258143	7.36026156045293
	Black	2054-5	Female	F	35 years	35	2004	2004	14	270441	5.1767298597476
	Black	2054-5	Female	F	35 years	35	2005	2005	16	293433	5.45269277824921
	Black	2054-5	Female	F	35 years	35	2006	2006	9	293847	3.06281840549674
	Black	2054-5	Female	F	35 years	35	2007	2007	17	280631	6.05777693839954
	Black	2054-5	Female	F	35 years	35	2008	2008	15	271104	5.53293201133144
	Black	2054-5	Female	F	36 years	36	2004	2004	9	272711	3.30019691174907
	Black	2054-5	Female	F	36 years	36	2005	2005	11	270863	4.06109361559165
	Black	2054-5	Female	F	36 years	36	2006	2006	13	293899	4.42328827250178
	Black	2054-5	Female	F	36 years	36	2007	2007	13	294129	4.41982939458537
	Black	2054-5	Female	F	36 years	36	2008	2008	17	280978	6.05029575269238
	Black	2054-5	Female	F	37 years	37	2004	2004	15	272949	5.49553213237638
	Black	2054-5	Female	F	37 years	37	2005	2005	20	273047	7.32474628910041
	Black	2054-5	Female	F	37 years	37	2006	2006	19	271217	7.00546057216178
	Black	2054-5	Female	F	37 years	37	2007	2007	21	294165	7.13885064504615
	Black	2054-5	Female	F	37 years	37	2008	2008	19	294402	6.4537605043444
	Black	2054-5	Female	F	38 years	38	2004	2004	23	286283	8.03400830646598
	Black	2054-5	Female	F	38 years	38	2005	2005	15	272995	5.49460612831737
	Black	2054-5	Female	F	38 years	38	2006	2006	27	273135	9.88522159371739
	Black	2054-5	Female	F	38 years	38	2007	2007	26	271228	9.58603094075833
	Black	2054-5	Female	F	38 years	38	2008	2008	17	294112	5.78011097813078
	Black	2054-5	Female	F	39 years	39	2004	2004	26	305935	8.49853727098894
	Black	2054-5	Female	F	39 years	39	2005	2005	38	286654	13.2563997013822
	Black	2054-5	Female	F	39 years	39	2006	2006	22	273461	8.04502287346276
	Black	2054-5	Female	F	39 years	39	2007	2007	30	273567	10.9662349625503
	Black	2054-5	Female	F	39 years	39	2008	2008	26	271680	9.57008244994111
	Black	2054-5	Female	F	40 years	40	2004	2004	34	303968	11.1853879355722
	Black	2054-5	Female	F	40 years	40	2005	2005	37	305675	12.104359205038
	Black	2054-5	Female	F	40 years	40	2006	2006	30	286481	10.471898659946
	Black	2054-5	Female	F	40 years	40	2007	2007	22	273215	8.05226653002214
	Black	2054-5	Female	F	40 years	40	2008	2008	38	273228	13.9077986150761
	Black	2054-5	Female	F	41 years	41	2004	2004	42	300101	13.9952882529548
	Black	2054-5	Female	F	41 years	41	2005	2005	30	304996	9.83619457304358
	Black	2054-5	Female	F	41 years	41	2006	2006	38	307083	12.3745046127594
	Black	2054-5	Female	F	41 years	41	2007	2007	23	288003	7.98602792332024
	Black	2054-5	Female	F	41 years	41	2008	2008	39	274863	14.1888868272558
	Black	2054-5	Female	F	42 years	42	2004	2004	42	297527	14.1163659096485
	Black	2054-5	Female	F	42 years	42	2005	2005	35	299808	11.6741381150603
	Black	2054-5	Female	F	42 years	42	2006	2006	40	304689	13.1281404973596
	Black	2054-5	Female	F	42 years	42	2007	2007	44	306825	14.3404220646949
	Black	2054-5	Female	F	42 years	42	2008	2008	34	287738	11.8163051108995
	Black	2054-5	Female	F	43 years	43	2004	2004	43	300020	14.3323778414772
	Black	2054-5	Female	F	43 years	43	2005	2005	49	298598	16.4100228400726
	Black	2054-5	Female	F	43 years	43	2006	2006	55	301198	18.2604134157597
	Black	2054-5	Female	F	43 years	43	2007	2007	39	306423	12.7275041364388
	Black	2054-5	Female	F	43 years	43	2008	2008	53	308781	17.1642685268848
	Black	2054-5	Female	F	44 years	44	2004	2004	55	308545	17.8256008037725
	Black	2054-5	Female	F	44 years	44	2005	2005	60	297052	20.1984837671519
