Race	Gender	Gender Code	Single-Year Ages	Single-Year Ages Code	Year	Year Code	Deaths	Population	Crude Rate
Black or African American	Female	F	20 years	20	2009	2009	9	1554094	0.579115548995106
Black or African American	Female	F	20 years	20	2010	2010	7	1587829	0.440853517601706
Black or African American	Female	F	20 years	20	2011	2011	8	1671217	0.47869307217435
Black or African American	Female	F	20 years	20	2012	2012	9	1731526	0.519772732260445
Black or African American	Female	F	20 years	20	2013	2013	5	1770138	0.282463853100719
Black or African American	Female	F	25 years	25	2009	2009	28	1459525	1.91843236669464
Black or African American	Female	F	25 years	25	2010	2010	17	1454543	1.16875197226895
Black or African American	Female	F	25 years	25	2011	2011	28	1465672	1.91038649847988
Black or African American	Female	F	25 years	25	2012	2012	23	1482708	1.55121574848183
Black or African American	Female	F	25 years	25	2013	2013	25	1510526	1.65505261081239
Black or African American	Female	F	30 years	30	2009	2009	64	1353009	4.73019765574361
Black or African American	Female	F	30 years	30	2010	2010	63	1384808	4.54936713248335
Black or African American	Female	F	30 years	30	2011	2011	65	1424682	4.56242164918206
Black or African American	Female	F	30 years	30	2012	2012	40	1450157	2.75832202995952
Black or African American	Female	F	30 years	30	2013	2013	55	1470609	3.73994719194565
Black or African American	Female	F	35 years	35	2009	2009	93	1403007	6.62861981444141
Black or African American	Female	F	35 years	35	2010	2010	87	1384151	6.28544140054084
Black or African American	Female	F	35 years	35	2011	2011	100	1344610	7.43710072065506
Black or African American	Female	F	35 years	35	2012	2012	101	1338520	7.5456474314915
Black or African American	Female	F	35 years	35	2013	2013	81	1344139	6.02616247277997
Black or African American	Female	F	40 years	40	2009	2009	186	1414333	13.1510754539419
Black or African American	Female	F	40 years	40	2010	2010	162	1404513	11.5342471020204
Black or African American	Female	F	40 years	40	2011	2011	162	1410151	11.4881314128771
Black or African American	Female	F	40 years	40	2012	2012	166	1415866	11.7242733422513
Black or African American	Female	F	40 years	40	2013	2013	164	1412452	11.6110140379992
Black or African American	Female	F	45 years	45	2009	2009	300	1496992	20.0401872555097
Black or African American	Female	F	45 years	45	2010	2010	276	1493767	18.476777168059
Black or African American	Female	F	45 years	45	2011	2011	275	1475059	18.6433220637276
Black or African American	Female	F	45 years	45	2012	2012	245	1453232	16.8589736532088
Black or African American	Female	F	45 years	45	2013	2013	257	1428396	17.9922094433196
Black or African American	Female	F	50 years	50	2009	2009	387	1399562	27.6515081146816
Black or African American	Female	F	50 years	50	2010	2010	429	1431800	29.9622852353681
Black or African American	Female	F	50 years	50	2011	2011	388	1454259	26.6802543425896
Black or African American	Female	F	50 years	50	2012	2012	441	1460480	30.1955521472393
Black or African American	Female	F	50 years	50	2013	2013	453	1467990	30.8585208346106
Black or African American	Female	F	55 years	55	2009	2009	417	1164471	35.8102520371911
Black or African American	Female	F	55 years	55	2010	2010	445	1194067	37.2675905120902
Black or African American	Female	F	55 years	55	2011	2011	437	1242711	35.1650544655998
Black or African American	Female	F	55 years	55	2012	2012	423	1292069	32.7381896787246
Black or African American	Female	F	55 years	55	2013	2013	475	1330735	35.6945597733583
Black or African American	Female	F	60 years	60	2009	2009	464	873483	53.1206674886632
Black or African American	Female	F	60 years	60	2010	2010	437	927423	47.119814798641
Black or African American	Female	F	60 years	60	2011	2011	447	1006503	44.411194005383
Black or African American	Female	F	60 years	60	2012	2012	480	1040236	46.1433751571759
Black or African American	Female	F	60 years	60	2013	2013	517	1075039	48.0912785489643
Black or African American	Female	F	65 years	65	2009	2009	417	641482	65.0057211270152
Black or African American	Female	F	65 years	65	2010	2010	415	657563	63.1118235058846
Black or African American	Female	F	65 years	65	2011	2011	423	680703	62.1416388645268
Black or African American	Female	F	65 years	65	2012	2012	458	729212	62.8075237379527
Black or African American	Female	F	65 years	65	2013	2013	452	774692	58.3457683827895
Black or African American	Female	F	70 years	70	2009	2009	456	487912	93.4594762990047
Black or African American	Female	F	70 years	70	2010	2010	419	496664	84.3628690623842
Black or African American	Female	F	70 years	70	2011	2011	413	515854	80.061412725306
Black or African American	Female	F	70 years	70	2012	2012	371	531565	69.7939104342837
Black or African American	Female	F	70 years	70	2013	2013	463	556554	83.1904900512798
Black or African American	Female	F	75 years	75	2009	2009	487	374583	130.011239164618
Black or African American	Female	F	75 years	75	2010	2010	496	378077	131.190207285817
Black or African American	Female	F	75 years	75	2011	2011	464	393168	118.015708297725
Black or African American	Female	F	75 years	75	2012	2012	510	399504	127.658296287396
Black or African American	Female	F	75 years	75	2013	2013	480	409261	117.28456901586
Black or African American	Female	F	80 years	80	2009	2009	605	274423	220.462570557133
Black or African American	Female	F	80 years	80	2010	2010	605	277702	217.859432053064
Black or African American	Female	F	80 years	80	2011	2011	536	281890	190.145092057185
Black or African American	Female	F	80 years	80	2012	2012	588	284580	206.620282521611
Black or African American	Female	F	80 years	80	2013	2013	625	290087	215.452605597631
Black or African American	Female	F	85 years	85	2009	2009	1416	267385	529.573461488116
Black or African American	Female	F	85 years	85	2010	2010	1347	275593	488.764228409285
Black or African American	Female	F	85 years	85	2011	2011	1402	284598	492.6246846429
Black or African American	Female	F	85 years	85	2012	2012	1460	299097	488.135955893907
Black or African American	Female	F	85 years	85	2013	2013	1479	309079	478.518437033897
Black or African American	Male	M	20 years	20	2009	2009	21	1522604	1.37921613236272
Black or African American	Male	M	20 years	20	2010	2010	13	1550237	0.838581455609691
Black or African American	Male	M	20 years	20	2011	2011	24	1654175	1.45087430290024
Black or African American	Male	M	20 years	20	2012	2012	15	1737366	0.863375938057957
Black or African American	Male	M	20 years	20	2013	2013	15	1794159	0.836046303588478
Black or African American	Male	M	25 years	25	2009	2009	34	1341280	2.53489204342121
Black or African American	Male	M	25 years	25	2010	2010	40	1342341	2.97986875168083
Black or African American	Male	M	25 years	25	2011	2011	30	1368360	2.19240550732263
Black or African American	Male	M	25 years	25	2012	2012	43	1400570	3.07017857015358
Black or African American	Male	M	25 years	25	2013	2013	41	1442576	2.84213795321702
Black or African American	Male	M	30 years	30	2009	2009	99	1210245	8.18016186805151
Black or African American	Male	M	30 years	30	2010	2010	86	1245147	6.90681501862832
Black or African American	Male	M	30 years	30	2011	2011	84	1286022	6.53177006303158
Black or African American	Male	M	30 years	30	2012	2012	82	1315999	6.23100777432202
Black or African American	Male	M	30 years	30	2013	2013	96	1341923	7.15391270587061
Black or African American	Male	M	35 years	35	2009	2009	169	1244299	13.5819445326244
Black or African American	Male	M	35 years	35	2010	2010	149	1226242	12.150945735018
Black or African American	Male	M	35 years	35	2011	2011	147	1193704	12.3146106572484
Black or African American	Male	M	35 years	35	2012	2012	173	1189759	14.5407599354155
Black or African American	Male	M	35 years	35	2013	2013	175	1199943	14.5840260745719
Black or African American	Male	M	40 years	40	2009	2009	289	1262389	22.8931018885621
Black or African American	Male	M	40 years	40	2010	2010	250	1257524	19.8803362798642
Black or African American	Male	M	40 years	40	2011	2011	295	1256689	23.4743838769974
Black or African American	Male	M	40 years	40	2012	2012	251	1261822	19.8918706441955
Black or African American	Male	M	40 years	40	2013	2013	283	1254873	22.5520829597896
Black or African American	Male	M	45 years	45	2009	2009	451	1330207	33.9044975706788
Black or African American	Male	M	45 years	45	2010	2010	446	1329666	33.5422579805756
Black or African American	Male	M	45 years	45	2011	2011	426	1313392	32.435099345816
Black or African American	Male	M	45 years	45	2012	2012	433	1293068	33.4862513031024
Black or African American	Male	M	45 years	45	2013	2013	412	1269490	32.4539775815485
Black or African American	Male	M	50 years	50	2009	2009	589	1229480	47.9064319875069
Black or African American	Male	M	50 years	50	2010	2010	612	1260649	48.5464233105329
Black or African American	Male	M	50 years	50	2011	2011	642	1280547	50.1348251957952
Black or African American	Male	M	50 years	50	2012	2012	661	1286971	51.3609086762639
Black or African American	Male	M	50 years	50	2013	2013	610	1291678	47.2253920868823
Black or African American	Male	M	55 years	55	2009	2009	735	981716	74.8689030228702
Black or African American	Male	M	55 years	55	2010	2010	715	1009656	70.8161987845365
Black or African American	Male	M	55 years	55	2011	2011	681	1054879	64.5571672201267
Black or African American	Male	M	55 years	55	2012	2012	777	1100716	70.590415693058
Black or African American	Male	M	55 years	55	2013	2013	774	1139012	67.9536299880949
Black or African American	Male	M	60 years	60	2009	2009	700	710808	98.4794768770188
Black or African American	Male	M	60 years	60	2010	2010	705	757918	93.0179781981692
Black or African American	Male	M	60 years	60	2011	2011	764	820245	93.1429024254948
Black or African American	Male	M	60 years	60	2012	2012	792	844889	93.7401244423824
Black or African American	Male	M	60 years	60	2013	2013	781	872930	89.468800476556
Black or African American	Male	M	65 years	65	2009	2009	533	489532	108.879501237917
Black or African American	Male	M	65 years	65	2010	2010	537	503596	106.633094782326
Black or African American	Male	M	65 years	65	2011	2011	568	524064	108.383708859987
Black or African American	Male	M	65 years	65	2012	2012	575	564112	101.930113169016
Black or African American	Male	M	65 years	65	2013	2013	670	601865	111.32064499514
Black or African American	Male	M	70 years	70	2009	2009	458	346696	132.104206567137
Black or African American	Male	M	70 years	70	2010	2010	463	353284	131.056034238743
Black or African American	Male	M	70 years	70	2011	2011	459	368663	124.503950762621
Black or African American	Male	M	70 years	70	2012	2012	494	380768	129.737793091856
Black or African American	Male	M	70 years	70	2013	2013	530	400090	132.470194206304
Black or African American	Male	M	75 years	75	2009	2009	427	232999	183.262589109825
Black or African American	Male	M	75 years	75	2010	2010	454	237296	191.322230463219
Black or African American	Male	M	75 years	75	2011	2011	383	250497	152.896042667178
Black or African American	Male	M	75 years	75	2012	2012	439	256353	171.248239731932
Black or African American	Male	M	75 years	75	2013	2013	491	264953	185.315886213781
Black or African American	Male	M	80 years	80	2009	2009	402	143759	279.634666351324
Black or African American	Male	M	80 years	80	2010	2010	376	146421	256.793765921555
Black or African American	Male	M	80 years	80	2011	2011	378	150537	251.101058211602
Black or African American	Male	M	80 years	80	2012	2012	417	153654	271.388964817056
Black or African American	Male	M	80 years	80	2013	2013	452	159293	283.75383726843
Black or African American	Male	M	85 years	85	2009	2009	537	103138	520.661637805658
Black or African American	Male	M	85 years	85	2010	2010	538	107218	501.781417299334
Black or African American	Male	M	85 years	85	2011	2011	487	110893	439.162075153526
Black or African American	Male	M	85 years	85	2012	2012	556	119700	464.494569757728
Black or African American	Male	M	85 years	85	2013	2013	606	125196	484.041023674878
White	Female	F	20 years	20	2009	2009	8	6245232	0.128097723191068
White	Female	F	20 years	20	2010	2010	2	6250991	0.0319949268843932
White	Female	F	20 years	20	2011	2011	4	6339561	0.0630958515897236
White	Female	F	20 years	20	2012	2012	4	6381206	0.0626840757060656
White	Female	F	20 years	20	2013	2013	3	6361813	0.0471563687898403
White	Female	F	25 years	25	2009	2009	17	6189856	0.27464289960865
White	Female	F	25 years	25	2010	2010	12	6173965	0.1943645615095
White	Female	F	25 years	25	2011	2011	16	6197345	0.258175073358027
White	Female	F	25 years	25	2012	2012	9	6194866	0.14528159285447
White	Female	F	25 years	25	2013	2013	18	6208491	0.289925522965242
White	Female	F	30 years	30	2009	2009	24	5713926	0.42002644066444
White	Female	F	30 years	30	2010	2010	24	5798092	0.41392927190531
White	Female	F	30 years	30	2011	2011	30	5956676	0.503636591951619
White	Female	F	30 years	30	2012	2012	39	6059124	0.643657399980591
White	Female	F	30 years	30	2013	2013	25	6149466	0.406539364556207
White	Female	F	35 years	35	2009	2009	65	6225356	1.04411699507627
White	Female	F	35 years	35	2010	2010	67	6048449	1.10772199616794
White	Female	F	35 years	35	2011	2011	71	5749992	1.23478432665645
White	Female	F	35 years	35	2012	2012	72	5665167	1.27092458174666
White	Female	F	35 years	35	2013	2013	69	5673580	1.21616333954928
White	Female	F	40 years	40	2009	2009	147	6772049	2.17068718788065
White	Female	F	40 years	40	2010	2010	137	6669786	2.05403891519158
White	Female	F	40 years	40	2011	2011	137	6638515	2.06371455061862
White	Female	F	40 years	40	2012	2012	138	6544669	2.10858639298641
White	Female	F	40 years	40	2013	2013	158	6398972	2.4691466066737
White	Female	F	45 years	45	2009	2009	285	7920775	3.59813275847376
White	Female	F	45 years	45	2010	2010	297	7796240	3.80952869588417
White	Female	F	45 years	45	2011	2011	278	7463157	3.72496518564463
White	Female	F	45 years	45	2012	2012	268	7198963	3.72275840284219
White	Female	F	45 years	45	2013	2013	307	6926729	4.43210640982201
White	Female	F	50 years	50	2009	2009	431	7998446	5.38854672520137
White	Female	F	50 years	50	2010	2010	477	8042859	5.93072687212346
White	Female	F	50 years	50	2011	2011	452	8071899	5.59967363318099
White	Female	F	50 years	50	2012	2012	410	8009019	5.11922870953359
White	Female	F	50 years	50	2013	2013	481	7916921	6.07559428722353
White	Female	F	55 years	55	2009	2009	501	7311741	6.85199325304329
White	Female	F	55 years	55	2010	2010	479	7424695	6.45144345996704
White	Female	F	55 years	55	2011	2011	567	7580924	7.47929935717599
White	Female	F	55 years	55	2012	2012	633	7714989	8.20480755060053
White	Female	F	55 years	55	2013	2013	701	7810125	8.97552856068245
White	Female	F	60 years	60	2009	2009	633	6392225	9.90265517875231
White	Female	F	60 years	60	2010	2010	627	6624212	9.46527677556213
White	Female	F	60 years	60	2011	2011	692	6975747	9.92008454435059
White	Female	F	60 years	60	2012	2012	673	6902560	9.75000579495144
White	Female	F	60 years	60	2013	2013	776	6975231	11.1250795851779
White	Female	F	65 years	65	2009	2009	637	4965756	12.8278554161743
White	Female	F	65 years	65	2010	2010	701	5090536	13.7706520492145
White	Female	F	65 years	65	2011	2011	729	5227581	13.9452645497028
White	Female	F	65 years	65	2012	2012	706	5674238	12.4421992873757
White	Female	F	65 years	65	2013	2013	874	5881599	14.8599045939718
White	Female	F	70 years	70	2009	2009	868	3871651	22.4193761266189
White	Female	F	70 years	70	2010	2010	859	3909774	21.9705793736415
White	Female	F	70 years	70	2011	2011	871	4025822	21.6353331071269
White	Female	F	70 years	70	2012	2012	918	4184931	21.9358455372382
White	Female	F	70 years	70	2013	2013	1079	4432560	24.342592091252
White	Female	F	75 years	75	2009	2009	1345	3303614	40.7129888661327
White	Female	F	75 years	75	2010	2010	1327	3287271	40.3678309454864
White	Female	F	75 years	75	2011	2011	1303	3270291	39.8435490908913
