Notes	Race	Race Code	Gender	Gender Code	Single-Year Ages	Single-Year Ages Code	Year	Year Code	Deaths	Population	Crude Rate
	Black	2054-5	Female	F	1 years	1	2014	2014	1	297980	0.33559299281831
	Black	2054-5	Female	F	3 years	3	2015	2015	1	298846	0.334620506883144
	Black	2054-5	Female	F	14 years	14	2016	2016	1	301783	0.331363927060172
	Black	2054-5	Female	F	15 years	15	2017	2017	1	302990	0.330043895838146
	Black	2054-5	Female	F	16 years	16	2018	2018	1	304122	0.328815409605356
	Black	2054-5	Female	F	17 years	17	2017	2017	1	322512	0.310065982040978
	Black	2054-5	Female	F	18 years	18	2015	2015	2	314999	0.634922650548097
	Black	2054-5	Female	F	19 years	19	2014	2014	1	328940	0.304006809752538
	Black	2054-5	Female	F	19 years	19	2015	2015	1	315856	0.316599969606403
	Black	2054-5	Female	F	19 years	19	2016	2016	1	316756	0.31570041293614
	Black	2054-5	Female	F	19 years	19	2018	2018	1	317055	0.315402690384949
	Black	2054-5	Female	F	20 years	20	2014	2014	1	344420	0.290343185645433
	Black	2054-5	Female	F	20 years	20	2015	2015	1	330556	0.302520601652973
	Black	2054-5	Female	F	20 years	20	2018	2018	2	319225	0.626517346699037
	Black	2054-5	Female	F	21 years	21	2014	2014	1	352392	0.283774887057595
	Black	2054-5	Female	F	21 years	21	2016	2016	1	332370	0.300869512892259
	Black	2054-5	Female	F	21 years	21	2017	2017	2	319341	0.626289765485797
	Black	2054-5	Female	F	21 years	21	2018	2018	2	319684	0.625617797575105
	Black	2054-5	Female	F	22 years	22	2014	2014	1	360455	0.277427140697174
	Black	2054-5	Female	F	22 years	22	2017	2017	1	333752	0.29962367266713
	Black	2054-5	Female	F	23 years	23	2014	2014	2	366500	0.545702592087312
	Black	2054-5	Female	F	23 years	23	2015	2015	2	361820	0.552761041401802
	Black	2054-5	Female	F	23 years	23	2016	2016	3	355142	0.844732529523402
	Black	2054-5	Female	F	23 years	23	2017	2017	1	348849	0.286656977660822
	Black	2054-5	Female	F	23 years	23	2018	2018	2	334747	0.597466146074498
	Black	2054-5	Female	F	24 years	24	2014	2014	6	361807	1.65834270757614
	Black	2054-5	Female	F	24 years	24	2016	2016	2	363326	0.550469825996488
	Black	2054-5	Female	F	24 years	24	2017	2017	3	356406	0.841736671099813
	Black	2054-5	Female	F	24 years	24	2018	2018	2	349841	0.571688281247767
	Black	2054-5	Female	F	25 years	25	2014	2014	1	340165	0.29397498272897
	Black	2054-5	Female	F	25 years	25	2015	2015	3	363475	0.825366256276223
	Black	2054-5	Female	F	25 years	25	2016	2016	2	369590	0.541140182364241
	Black	2054-5	Female	F	25 years	25	2017	2017	5	364616	1.37130570243763
	Black	2054-5	Female	F	25 years	25	2018	2018	4	357389	1.11922862762984
	Black	2054-5	Female	F	26 years	26	2014	2014	8	319112	2.50695680513425
	Black	2054-5	Female	F	26 years	26	2015	2015	8	341948	2.33953700562659
	Black	2054-5	Female	F	26 years	26	2016	2016	3	364957	0.822014648301033
	Black	2054-5	Female	F	26 years	26	2017	2017	3	370988	0.808651492770656
	Black	2054-5	Female	F	26 years	26	2018	2018	9	365605	2.46167311716196
	Black	2054-5	Female	F	27 years	27	2014	2014	4	307655	1.30015764411435
	Black	2054-5	Female	F	27 years	27	2015	2015	7	320997	2.18070573868292
	Black	2054-5	Female	F	27 years	27	2016	2016	3	343830	0.872524212546898
	Black	2054-5	Female	F	27 years	27	2017	2017	2	366737	0.545349937421095
	Black	2054-5	Female	F	27 years	27	2018	2018	5	372431	1.34253056270826
	Black	2054-5	Female	F	28 years	28	2014	2014	8	303169	2.63879222479871
	Black	2054-5	Female	F	28 years	28	2015	2015	5	309369	1.61619296050994
	Black	2054-5	Female	F	28 years	28	2016	2016	7	322887	2.16794110633132
	Black	2054-5	Female	F	28 years	28	2017	2017	6	345516	1.73653318514917
	Black	2054-5	Female	F	28 years	28	2018	2018	7	368018	1.90208087647887
	Black	2054-5	Female	F	29 years	29	2014	2014	7	302577	2.31346070586991
	Black	2054-5	Female	F	29 years	29	2015	2015	7	304711	2.29725871399457
	Black	2054-5	Female	F	29 years	29	2016	2016	8	311077	2.57171054112004
	Black	2054-5	Female	F	29 years	29	2017	2017	10	324413	3.08249052904785
	Black	2054-5	Female	F	29 years	29	2018	2018	11	346620	3.17350412555536
	Black	2054-5	Female	F	30 years	30	2014	2014	6	291139	2.06087126767626
	Black	2054-5	Female	F	30 years	30	2015	2015	9	303974	2.96077954035543
	Black	2054-5	Female	F	30 years	30	2016	2016	7	306283	2.28546801487513
	Black	2054-5	Female	F	30 years	30	2017	2017	12	312513	3.83984026264507
	Black	2054-5	Female	F	30 years	30	2018	2018	14	325548	4.30044110238736
	Black	2054-5	Female	F	31 years	31	2014	2014	12	295090	4.06655596597648
	Black	2054-5	Female	F	31 years	31	2015	2015	9	292410	3.07787011388119
	Black	2054-5	Female	F	31 years	31	2016	2016	8	305276	2.62057941010757
	Black	2054-5	Female	F	31 years	31	2017	2017	10	307560	3.25139810118351
	Black	2054-5	Female	F	31 years	31	2018	2018	17	313462	5.42330489820138
	Black	2054-5	Female	F	32 years	32	2014	2014	12	296493	4.04731309002236
	Black	2054-5	Female	F	32 years	32	2015	2015	8	296408	2.69898248360368
	Black	2054-5	Female	F	32 years	32	2016	2016	16	293676	5.44818098857244
	Black	2054-5	Female	F	32 years	32	2017	2017	15	306469	4.89445914594951
	Black	2054-5	Female	F	32 years	32	2018	2018	12	308433	3.89063427065197
	Black	2054-5	Female	F	33 years	33	2014	2014	10	295021	3.38958921568295
	Black	2054-5	Female	F	33 years	33	2015	2015	13	297704	4.36675355386558
	Black	2054-5	Female	F	33 years	33	2016	2016	18	297629	6.04779776164285
	Black	2054-5	Female	F	33 years	33	2017	2017	17	294857	5.76550666933463
	Black	2054-5	Female	F	33 years	33	2018	2018	18	307360	5.85632483081728
	Black	2054-5	Female	F	34 years	34	2014	2014	14	306273	4.57108527359578
	Black	2054-5	Female	F	34 years	34	2015	2015	16	295954	5.40624556518918
	Black	2054-5	Female	F	34 years	34	2016	2016	15	298748	5.02095411517399
	Black	2054-5	Female	F	34 years	34	2017	2017	16	298648	5.35747769949908
	Black	2054-5	Female	F	34 years	34	2018	2018	17	295671	5.74963388360712
	Black	2054-5	Female	F	35 years	35	2014	2014	23	287006	8.01376974697393
	Black	2054-5	Female	F	35 years	35	2015	2015	18	307052	5.86219923661139
	Black	2054-5	Female	F	35 years	35	2016	2016	26	296805	8.75996024325736
	Black	2054-5	Female	F	35 years	35	2017	2017	18	299565	6.00871263331831
	Black	2054-5	Female	F	35 years	35	2018	2018	21	299205	7.0185992881135
	Black	2054-5	Female	F	36 years	36	2014	2014	20	277078	7.21818404925689
	Black	2054-5	Female	F	36 years	36	2015	2015	24	287803	8.33903746660042
	Black	2054-5	Female	F	36 years	36	2016	2016	19	307812	6.17259885904383
	Black	2054-5	Female	F	36 years	36	2017	2017	25	297566	8.40149748291135
	Black	2054-5	Female	F	36 years	36	2018	2018	16	300075	5.33200033325002
	Black	2054-5	Female	F	37 years	37	2014	2014	18	274696	6.55269825552611
	Black	2054-5	Female	F	37 years	37	2015	2015	14	277771	5.04012297900069
	Black	2054-5	Female	F	37 years	37	2016	2016	26	288463	9.01328766600916
	Black	2054-5	Female	F	37 years	37	2017	2017	29	308458	9.4016041081768
	Black	2054-5	Female	F	37 years	37	2018	2018	30	297959	10.0684993572941
	Black	2054-5	Female	F	38 years	38	2014	2014	30	263515	11.3845511640704
	Black	2054-5	Female	F	38 years	38	2015	2015	21	275197	7.63089713914032
	Black	2054-5	Female	F	38 years	38	2016	2016	25	278264	8.98427392691832
	Black	2054-5	Female	F	38 years	38	2017	2017	22	288803	7.61764940114888
	Black	2054-5	Female	F	38 years	38	2018	2018	28	308651	9.07173474247613
	Black	2054-5	Female	F	39 years	39	2014	2014	21	271283	7.74099372242271
	Black	2054-5	Female	F	39 years	39	2015	2015	20	264013	7.57538454545799
	Black	2054-5	Female	F	39 years	39	2016	2016	24	275617	8.70773573473334
	Black	2054-5	Female	F	39 years	39	2017	2017	35	278553	12.564933782799
	Black	2054-5	Female	F	39 years	39	2018	2018	32	288872	11.077570688748
	Black	2054-5	Female	F	40 years	40	2014	2014	17	263529	6.4509029366787
	Black	2054-5	Female	F	40 years	40	2015	2015	29	271729	10.6723978669925
	Black	2054-5	Female	F	40 years	40	2016	2016	35	264370	13.2390210689564
