Race	Gender	Gender Code	Single-Year Ages	Single-Year Ages Code	Year	Year Code	Deaths	Population	Crude Rate
Black	Female	F	20 years	20	2019	2019	1	317957	0.31450793660778
Black	Female	F	20 years	20	2020	2020	1	326337	0.306431694843061
Black	Female	F	20 years	20	2021	2021	1	299115	0.334319576082778
Black	Female	F	21 years	21	2019	2019	1	320297	0.312210229880392
Black	Female	F	21 years	21	2021	2021	1	303442	0.32955227028559
Black	Female	F	22 years	22	2021	2021	3	296835	1.01066248926171
Black	Female	F	23 years	23	2020	2020	2	321526	0.622033676903267
Black	Female	F	23 years	23	2021	2021	1	298437	0.335079095420474
Black	Female	F	24 years	24	2019	2019	3	335370	0.894534394847482
Black	Female	F	24 years	24	2020	2020	2	322075	0.620973375766514
Black	Female	F	24 years	24	2021	2021	1	298599	0.334897303741808
Black	Female	F	25 years	25	2019	2019	3	350584	0.85571503548365
Black	Female	F	25 years	25	2020	2020	5	336475	1.48599450182034
Black	Female	F	25 years	25	2021	2021	5	299579	1.66900884240885
Black	Female	F	26 years	26	2019	2019	5	358306	1.39545528124006
Black	Female	F	26 years	26	2020	2020	5	351487	1.42252771795258
Black	Female	F	26 years	26	2021	2021	1	313142	0.319343939810054
Black	Female	F	27 years	27	2019	2019	5	366851	1.36295117091135
Black	Female	F	27 years	27	2020	2020	11	359410	3.06057149216772
Black	Female	F	27 years	27	2021	2021	5	328842	1.52048704240942
Black	Female	F	28 years	28	2019	2019	7	373415	1.87458993345206
Black	Female	F	28 years	28	2020	2020	8	367952	2.17419663434361
Black	Female	F	28 years	28	2021	2021	9	338875	2.65584655108816
Black	Female	F	29 years	29	2019	2019	9	368752	2.44066472859808
Black	Female	F	29 years	29	2020	2020	11	374474	2.93745360158516
Black	Female	F	29 years	29	2021	2021	5	346954	1.4411132311488
Black	Female	F	30 years	30	2019	2019	8	347215	2.30404792419682
Black	Female	F	30 years	30	2020	2020	11	369804	2.97454867984121
Black	Female	F	30 years	30	2021	2021	12	352192	3.40723241868072
Black	Female	F	31 years	31	2019	2019	8	325824	2.45531329797682
Black	Female	F	31 years	31	2020	2020	19	348247	5.45589768181779
Black	Female	F	31 years	31	2021	2021	12	350724	3.42149382420365
Black	Female	F	32 years	32	2019	2019	20	313653	6.37647336387664
Black	Female	F	32 years	32	2020	2020	21	326994	6.42213618598506
Black	Female	F	32 years	32	2021	2021	16	334329	4.78570509886968
Black	Female	F	33 years	33	2019	2019	19	308705	6.15474320143827
Black	Female	F	33 years	33	2020	2020	19	314921	6.03325913483064
Black	Female	F	33 years	33	2021	2021	18	316224	5.69216757741348
Black	Female	F	34 years	34	2019	2019	20	307480	6.50448809678678
Black	Female	F	34 years	34	2020	2020	21	309726	6.78018635826505
Black	Female	F	34 years	34	2021	2021	28	306242	9.14309598291547
Black	Female	F	35 years	35	2019	2019	17	295680	5.74945887445887
Black	Female	F	35 years	35	2020	2020	24	308355	7.7832368536265
Black	Female	F	35 years	35	2021	2021	21	301207	6.97194952308545
Black	Female	F	36 years	36	2019	2019	20	299248	6.68341977222905
Black	Female	F	36 years	36	2020	2020	27	296468	9.10722236463969
Black	Female	F	36 years	36	2021	2021	25	298096	8.38656003435135
Black	Female	F	37 years	37	2019	2019	26	300060	8.66493367993068
Black	Female	F	37 years	37	2020	2020	26	299803	8.67236151739642
Black	Female	F	37 years	37	2021	2021	25	289893	8.62387156640554
Black	Female	F	38 years	38	2019	2019	40	297826	13.4306608556674
Black	Female	F	38 years	38	2020	2020	30	300422	9.98595309264967
Black	Female	F	38 years	38	2021	2021	28	293388	9.54367595129998
Black	Female	F	39 years	39	2019	2019	30	308430	9.72668028401906
Black	Female	F	39 years	39	2020	2020	31	297944	10.4046397980829
Black	Female	F	39 years	39	2021	2021	40	294018	13.6046092416111
Black	Female	F	40 years	40	2019	2019	39	288700	13.5088326983027
Black	Female	F	40 years	40	2020	2020	33	308388	10.7008054788124
Black	Female	F	40 years	40	2021	2021	34	291149	11.6778694070734
Black	Female	F	41 years	41	2019	2019	41	278464	14.7236267524707
Black	Female	F	41 years	41	2020	2020	55	288655	19.0538878592091
Black	Female	F	41 years	41	2021	2021	48	296571	16.1849944869863
Black	Female	F	42 years	42	2019	2019	34	275535	12.3396301740251
Black	Female	F	42 years	42	2020	2020	54	278298	19.4036608240088
Black	Female	F	42 years	42	2021	2021	50	284334	17.5849529074961
Black	Female	F	43 years	43	2019	2019	37	264057	14.0121261697285
Black	Female	F	43 years	43	2020	2020	49	275275	17.8003814367451
Black	Female	F	43 years	43	2021	2021	58	273516	21.2053408210123
Black	Female	F	44 years	44	2019	2019	49	271353	18.0576592114331
Black	Female	F	44 years	44	2020	2020	61	263752	23.1277867087264
Black	Female	F	44 years	44	2021	2021	44	270404	16.271948639813
Black	Female	F	45 years	45	2019	2019	47	263062	17.8665105564468
Black	Female	F	45 years	45	2020	2020	85	271025	31.3624204409187
Black	Female	F	45 years	45	2021	2021	65	258322	25.1623942211658
Black	Female	F	46 years	46	2019	2019	45	271155	16.5956740609614
Black	Female	F	46 years	46	2020	2020	52	262660	19.7974567882434
Black	Female	F	46 years	46	2021	2021	56	261975	21.376085504342
Black	Female	F	47 years	47	2019	2019	49	280075	17.4953137552441
Black	Female	F	47 years	47	2020	2020	69	270709	25.4886243161476
Black	Female	F	47 years	47	2021	2021	82	256756	31.9369362351805
Black	Female	F	48 years	48	2019	2019	68	292880	23.2177000819448
Black	Female	F	48 years	48	2020	2020	79	279356	28.2793281690746
Black	Female	F	48 years	48	2021	2021	61	264360	23.074595248903
Black	Female	F	49 years	49	2019	2019	83	290144	28.6064850556965
Black	Female	F	49 years	49	2020	2020	93	291869	31.8636100442322
Black	Female	F	49 years	49	2021	2021	74	274537	26.9544724390519
Black	Female	F	50 years	50	2019	2019	67	268693	24.935521208219
Black	Female	F	50 years	50	2020	2020	99	288991	34.2571221941168
Black	Female	F	50 years	50	2021	2021	96	287311	33.4132699409351
Black	Female	F	51 years	51	2019	2019	97	269727	35.9622877946961
Black	Female	F	51 years	51	2020	2020	96	267640	35.8690778657899
Black	Female	F	51 years	51	2021	2021	112	278263	40.2496918382969
Black	Female	F	52 years	52	2019	2019	84	269400	31.1804008908686
Black	Female	F	52 years	52	2020	2020	115	268583	42.817304148066
Black	Female	F	52 years	52	2021	2021	84	262429	32.0086575797644
Black	Female	F	53 years	53	2019	2019	108	278213	38.8191781117345
Black	Female	F	53 years	53	2020	2020	124	268113	46.249156139389
Black	Female	F	53 years	53	2021	2021	108	263797	40.9405717275026
Black	Female	F	54 years	54	2019	2019	108	291198	37.0881668143325
Black	Female	F	54 years	54	2020	2020	115	276876	41.5348387003568
Black	Female	F	54 years	54	2021	2021	102	264639	38.5430718828291
Black	Female	F	55 years	55	2019	2019	102	289358	35.2504509984172
Black	Female	F	55 years	55	2020	2020	152	289680	52.4716929025131
Black	Female	F	55 years	55	2021	2021	113	273464	41.3217096217418
Black	Female	F	56 years	56	2019	2019	113	285407	39.5925818217493
Black	Female	F	56 years	56	2020	2020	155	287523	53.9087307797985
Black	Female	F	56 years	56	2021	2021	145	281929	51.4313887539061
Black	Female	F	57 years	57	2019	2019	126	282482	44.6046119752763
Black	Female	F	57 years	57	2020	2020	160	283364	56.464476786042
Black	Female	F	57 years	57	2021	2021	123	281330	43.720897167028
Black	Female	F	58 years	58	2019	2019	152	283268	53.6594320572744
Black	Female	F	58 years	58	2020	2020	147	280243	52.4544770074543
Black	Female	F	58 years	58	2021	2021	137	278223	49.2410764027417
Black	Female	F	59 years	59	2019	2019	140	288465	48.532750940322
Black	Female	F	59 years	59	2020	2020	182	280852	64.8028142936493
Black	Female	F	59 years	59	2021	2021	132	277309	47.6003303174437
Black	Female	F	60 years	60	2019	2019	141	275085	51.2568842357817
Black	Female	F	60 years	60	2020	2020	178	285662	62.3114029867466
Black	Female	F	60 years	60	2021	2021	158	274598	57.5386565087874
Black	Female	F	61 years	61	2019	2019	174	265744	65.4765488590523
Black	Female	F	61 years	61	2020	2020	223	272101	81.9548623489072
Black	Female	F	61 years	61	2021	2021	158	273209	57.8311841850012
Black	Female	F	62 years	62	2019	2019	172	263838	65.1915190381977
Black	Female	F	62 years	62	2020	2020	183	262530	69.7063192777968
