Notes	Race	Race Code	Gender	Gender Code	Single-Year Ages	Single-Year Ages Code	Year	Year Code	Deaths	Population	Crude Rate
	Black	2054-5	Female	F	0 years	0	2000	2000	1	287034	0.348390782973446
	Black	2054-5	Female	F	0 years	0	2001	2001	1	296820	0.336904521258675
	Black	2054-5	Female	F	0 years	0	2002	2002	1	289527	0.345390930724941
	Black	2054-5	Female	F	1 years	1	2010	2010	1	299734	0.333629151180714
	Black	2054-5	Female	F	1 years	1	2014	2014	1	297980	0.33559299281831
	Black	2054-5	Female	F	3 years	3	2000	2000	1	287708	0.347574624271831
	Black	2054-5	Female	F	3 years	3	2015	2015	1	298846	0.334620506883144
	Black	2054-5	Female	F	5 years	5	2001	2001	1	294497	0.339562032889978
	Black	2054-5	Female	F	7 years	7	2008	2008	1	302244	0.330858511666071
	Black	2054-5	Female	F	8 years	8	2000	2000	1	330625	0.302457466918715
	Black	2054-5	Female	F	9 years	9	1999	1999	1	337339	0.296437708062216
	Black	2054-5	Female	F	10 years	10	2013	2013	1	294148	0.339964915620708
	Black	2054-5	Female	F	11 years	11	2000	2000	1	323476	0.309141945615749
	Black	2054-5	Female	F	11 years	11	2004	2004	1	334504	0.298950087293425
	Black	2054-5	Female	F	11 years	11	2010	2010	1	306874	0.325866642335291
	Black	2054-5	Female	F	12 years	12	2020	2020	1	318143	0.314324061821256
	Black	2054-5	Female	F	13 years	13	2002	2002	1	327678	0.305177643906518
	Black	2054-5	Female	F	13 years	13	2005	2005	1	341312	0.292987061691356
	Black	2054-5	Female	F	14 years	14	2004	2004	1	348140	0.287240765209399
	Black	2054-5	Female	F	14 years	14	2016	2016	1	301783	0.331363927060172
	Black	2054-5	Female	F	15 years	15	2002	2002	1	307730	0.324960192376434
	Black	2054-5	Female	F	15 years	15	2004	2004	1	331555	0.301609084465624
	Black	2054-5	Female	F	15 years	15	2007	2007	1	345265	0.289632601045574
	Black	2054-5	Female	F	15 years	15	2013	2013	1	311593	0.32093147150289
	Black	2054-5	Female	F	15 years	15	2017	2017	1	302990	0.330043895838146
	Black	2054-5	Female	F	16 years	16	2000	2000	1	289558	0.345353953266703
	Black	2054-5	Female	F	16 years	16	2001	2001	1	300014	0.33331777850367
	Black	2054-5	Female	F	16 years	16	2011	2011	1	324324	0.308333641666975
	Black	2054-5	Female	F	16 years	16	2018	2018	1	304122	0.328815409605356
	Black	2054-5	Female	F	17 years	17	1999	1999	1	292924	0.341385478827273
	Black	2054-5	Female	F	17 years	17	2004	2004	1	311417	0.321112848688415
	Black	2054-5	Female	F	17 years	17	2007	2007	1	356432	0.280558423486107
	Black	2054-5	Female	F	17 years	17	2010	2010	1	346581	0.288532839365112
	Black	2054-5	Female	F	17 years	17	2011	2011	1	339992	0.294124567636886
	Black	2054-5	Female	F	17 years	17	2012	2012	1	325825	0.306913220286964
	Black	2054-5	Female	F	17 years	17	2017	2017	1	322512	0.310065982040978
	Black	2054-5	Female	F	18 years	18	2000	2000	2	295606	0.676576253526654
	Black	2054-5	Female	F	18 years	18	2001	2001	1	293502	0.340713180830114
	Black	2054-5	Female	F	18 years	18	2006	2006	3	326764	0.918093792461838
	Black	2054-5	Female	F	18 years	18	2009	2009	3	358059	0.837850745268238
	Black	2054-5	Female	F	18 years	18	2012	2012	1	341484	0.292839488819388
	Black	2054-5	Female	F	18 years	18	2015	2015	2	314999	0.634922650548097
	Black	2054-5	Female	F	18 years	18	2019	2019	1	316348	0.316107577730853
	Black	2054-5	Female	F	19 years	19	2000	2000	3	300235	0.999217279797492
	Black	2054-5	Female	F	19 years	19	2001	2001	2	298131	0.670846037480168
	Black	2054-5	Female	F	19 years	19	2003	2003	1	296714	0.337024879176581
	Black	2054-5	Female	F	19 years	19	2004	2004	2	307381	0.650658303538605
	Black	2054-5	Female	F	19 years	19	2005	2005	2	312396	0.640213062907336
	Black	2054-5	Female	F	19 years	19	2006	2006	1	317925	0.314539592671227
	Black	2054-5	Female	F	19 years	19	2007	2007	1	328414	0.304493718294592
	Black	2054-5	Female	F	19 years	19	2008	2008	1	342383	0.292070575933969
