Race	Gender	Gender Code	Five-Year Ages	Five-Year Ages Code	Year	Year Code	Deaths	Population	Crude Rate
Black	Female	F	20-24 years	20-24	1999	1999	8	1331673	0.600748081548548
Black	Female	F	20-24 years	20-24	2000	2000	10	1361689	0.734382079902239
Black	Female	F	20-24 years	20-24	2001	2001	5	1420272	0.352045242038145
Black	Female	F	20-24 years	20-24	2002	2002	7	1452733	0.481850415733655
Black	Female	F	20-24 years	20-24	2003	2003	10	1474407	0.678238776674283
Black	Female	F	20-24 years	20-24	2004	2004	10	1483898	0.673900766764292
Black	Female	F	20-24 years	20-24	2005	2005	13	1483098	0.876543559495057
Black	Female	F	20-24 years	20-24	2006	2006	5	1487479	0.336139199276091
Black	Female	F	20-24 years	20-24	2007	2007	11	1498025	0.734300161879808
Black	Female	F	20-24 years	20-24	2008	2008	16	1519892	1.0527063765057
Black	Female	F	20-24 years	20-24	2009	2009	10	1554094	0.643461721105673
Black	Female	F	20-24 years	20-24	2010	2010	7	1587829	0.440853517601706
Black	Female	F	20-24 years	20-24	2011	2011	8	1671217	0.47869307217435
Black	Female	F	20-24 years	20-24	2012	2012	11	1731526	0.635277783873878
Black	Female	F	20-24 years	20-24	2013	2013	6	1770138	0.338956623720862
Black	Female	F	20-24 years	20-24	2014	2014	11	1785941	0.615921802567946
Black	Female	F	20-24 years	20-24	2015	2015	3	1762150	0.170246573787703
Black	Female	F	20-24 years	20-24	2016	2016	6	1714649	0.349925844881372
Black	Female	F	20-24 years	20-24	2017	2017	7	1677678	0.41724335659167
Black	Female	F	20-24 years	20-24	2018	2018	8	1643358	0.486808108762668
Black	Female	F	20-24 years	20-24	2019	2019	5	1615209	0.30955746284227
Black	Female	F	20-24 years	20-24	2020	2020	5	1610597	0.310443891302418
Black	Female	F	20-24 years	20-24	2021	2021	7	1496428	0.467780608221712
Black	Female	F	25-29 years	25-29	1999	1999	15	1358176	1.10442240180949
Black	Female	F	25-29 years	25-29	2000	2000	22	1345107	1.6355576173494
Black	Female	F	25-29 years	25-29	2001	2001	24	1304639	1.83958934233914
Black	Female	F	25-29 years	25-29	2002	2002	16	1293736	1.23672835879963
Black	Female	F	25-29 years	25-29	2003	2003	29	1295263	2.23892753826829
Black	Female	F	25-29 years	25-29	2004	2004	34	1324683	2.56665179518421
Black	Female	F	25-29 years	25-29	2005	2005	35	1363164	2.56755606808865
Black	Female	F	25-29 years	25-29	2006	2006	20	1406128	1.42234561860656
Black	Female	F	25-29 years	25-29	2007	2007	23	1434645	1.60318406295634
Black	Female	F	25-29 years	25-29	2008	2008	28	1454865	1.92457719444759
Black	Female	F	25-29 years	25-29	2009	2009	34	1459525	2.32952501670064
Black	Female	F	25-29 years	25-29	2010	2010	19	1454543	1.30625220430059
Black	Female	F	25-29 years	25-29	2011	2011	32	1465672	2.18329885540558
Black	Female	F	25-29 years	25-29	2012	2012	24	1482708	1.6186599114593
Black	Female	F	25-29 years	25-29	2013	2013	28	1510526	1.85365892410988
Black	Female	F	25-29 years	25-29	2014	2014	28	1571068	1.78222712193234
Black	Female	F	25-29 years	25-29	2015	2015	30	1639497	1.82982951478411
Black	Female	F	25-29 years	25-29	2016	2016	23	1707945	1.34664757940098
Black	Female	F	25-29 years	25-29	2017	2017	26	1773228	1.46625250672784
Black	Female	F	25-29 years	25-29	2018	2018	36	1811064	1.98778176806562
Black	Female	F	25-29 years	25-29	2019	2019	29	1817908	1.59524024318062
Black	Female	F	25-29 years	25-29	2020	2020	40	1789798	2.23488907686789
Black	Female	F	25-29 years	25-29	2021	2021	25	1627392	1.53620025169105
Black	Female	F	30-34 years	30-34	1999	1999	52	1393840	3.73070079779602
Black	Female	F	30-34 years	30-34	2000	2000	52	1384892	3.75480542887099
Black	Female	F	30-34 years	30-34	2001	2001	57	1388476	4.10522039992049
Black	Female	F	30-34 years	30-34	2002	2002	56	1393457	4.01878206503681
Black	Female	F	30-34 years	30-34	2003	2003	55	1388044	3.96241041350274
Black	Female	F	30-34 years	30-34	2004	2004	55	1376595	3.99536537616365
Black	Female	F	30-34 years	30-34	2005	2005	59	1350939	4.36733264788417
Black	Female	F	30-34 years	30-34	2006	2006	56	1320401	4.24113583676474
Black	Female	F	30-34 years	30-34	2007	2007	64	1313374	4.87294555853854
Black	Female	F	30-34 years	30-34	2008	2008	59	1320241	4.46888106035186
Black	Female	F	30-34 years	30-34	2009	2009	69	1353009	5.09974434759857
Black	Female	F	30-34 years	30-34	2010	2010	69	1384808	4.98264019271986
Black	Female	F	30-34 years	30-34	2011	2011	70	1424682	4.91337716065761
Black	Female	F	30-34 years	30-34	2012	2012	48	1450157	3.30998643595142
Black	Female	F	30-34 years	30-34	2013	2013	61	1470609	4.14794143106699
Black	Female	F	30-34 years	30-34	2014	2014	54	1484560	3.6374413967775
Black	Female	F	30-34 years	30-34	2015	2015	55	1487728	3.69691233881462
Black	Female	F	30-34 years	30-34	2016	2016	64	1498513	4.27090055274796
Black	Female	F	30-34 years	30-34	2017	2017	70	1519870	4.60565706277511
Black	Female	F	30-34 years	30-34	2018	2018	78	1549097	5.03519146961101
Black	Female	F	30-34 years	30-34	2019	2019	75	1602877	4.67908641773511
Black	Female	F	30-34 years	30-34	2020	2020	91	1669692	5.45010696583561
Black	Female	F	30-34 years	30-34	2021	2021	86	1659711	5.18162499374891
Black	Female	F	35-39 years	35-39	1999	1999	108	1507328	7.16499660326087
Black	Female	F	35-39 years	35-39	2000	2000	102	1505402	6.77559881015171
Black	Female	F	35-39 years	35-39	2001	2001	106	1491812	7.10545296592332
Black	Female	F	35-39 years	35-39	2002	2002	92	1467701	6.26830669189433
Black	Female	F	35-39 years	35-39	2003	2003	113	1440844	7.84262557223405
Black	Female	F	35-39 years	35-39	2004	2004	87	1408319	6.17757766528748
Black	Female	F	35-39 years	35-39	2005	2005	100	1396992	7.15823712662635
Black	Female	F	35-39 years	35-39	2006	2006	90	1405559	6.40314636383105
Black	Female	F	35-39 years	35-39	2007	2007	107	1413720	7.56868403927227
Black	Female	F	35-39 years	35-39	2008	2008	94	1412276	6.65592277996652
Black	Female	F	35-39 years	35-39	2009	2009	104	1403007	7.41265011507426
Black	Female	F	35-39 years	35-39	2010	2010	100	1384151	7.22464528797797
Black	Female	F	35-39 years	35-39	2011	2011	114	1344610	8.47829482154677
Black	Female	F	35-39 years	35-39	2012	2012	111	1338520	8.29274123658967
Black	Female	F	35-39 years	35-39	2013	2013	94	1344139	6.99332435112738
Black	Female	F	35-39 years	35-39	2014	2014	112	1374316	8.14950855552871
Black	Female	F	35-39 years	35-39	2015	2015	97	1413525	6.86227693178402
Black	Female	F	35-39 years	35-39	2016	2016	120	1445255	8.30303302877347
Black	Female	F	35-39 years	35-39	2017	2017	129	1475146	8.74489711526859
Black	Female	F	35-39 years	35-39	2018	2018	127	1494278	8.49908785379963
Black	Female	F	35-39 years	35-39	2019	2019	133	1501244	8.85931933782916
Black	Female	F	35-39 years	35-39	2020	2020	138	1502992	9.18168559779427
Black	Female	F	35-39 years	35-39	2021	2021	139	1476602	9.41350479005175
Black	Female	F	40-44 years	40-44	1999	1999	185	1420696	13.0217865046428
Black	Female	F	40-44 years	40-44	2000	2000	168	1442018	11.6503400096254
Black	Female	F	40-44 years	40-44	2001	2001	194	1475496	13.1481210386202
Black	Female	F	40-44 years	40-44	2002	2002	196	1487168	13.1794121444248
Black	Female	F	40-44 years	40-44	2003	2003	234	1498869	15.6117712755418
Black	Female	F	40-44 years	40-44	2004	2004	216	1510161	14.303110727929
Black	Female	F	40-44 years	40-44	2005	2005	211	1506129	14.0094241595507
Black	Female	F	40-44 years	40-44	2006	2006	221	1494626	14.7863077452152
Black	Female	F	40-44 years	40-44	2007	2007	183	1471651	12.4350134644695
Black	Female	F	40-44 years	40-44	2008	2008	217	1446445	15.002298739323
Black	Female	F	40-44 years	40-44	2009	2009	217	1414333	15.3429213629322
Black	Female	F	40-44 years	40-44	2010	2010	184	1404513	13.1006263380973
Black	Female	F	40-44 years	40-44	2011	2011	189	1410151	13.4028199816899
Black	Female	F	40-44 years	40-44	2012	2012	194	1415866	13.7018616168479
Black	Female	F	40-44 years	40-44	2013	2013	191	1412452	13.5225834223039
Black	Female	F	40-44 years	40-44	2014	2014	185	1406532	13.1529179570746
Black	Female	F	40-44 years	40-44	2015	2015	208	1386639	15.0002992848175
Black	Female	F	40-44 years	40-44	2016	2016	194	1352538	14.3434047694039
Black	Female	F	40-44 years	40-44	2017	2017	194	1351467	14.3547715186534
Black	Female	F	40-44 years	40-44	2018	2018	205	1354893	15.1303460863699
Black	Female	F	40-44 years	40-44	2019	2019	200	1378109	14.5126401467518
Black	Female	F	40-44 years	40-44	2020	2020	252	1414368	17.8171451842802
Black	Female	F	40-44 years	40-44	2021	2021	234	1415974	16.5257271673067
Black	Female	F	45-49 years	45-49	1999	1999	250	1192724	20.9604233670153
Black	Female	F	45-49 years	45-49	2000	2000	269	1225916	21.942775850874
Black	Female	F	45-49 years	45-49	2001	2001	256	1272430	20.1189849343382
Black	Female	F	45-49 years	45-49	2002	2002	303	1321076	22.935849262268
Black	Female	F	45-49 years	45-49	2003	2003	346	1363748	25.3712562731531
Black	Female	F	45-49 years	45-49	2004	2004	380	1398644	27.1691724270079
Black	Female	F	45-49 years	45-49	2005	2005	342	1436071	23.8149785073301
Black	Female	F	45-49 years	45-49	2006	2006	323	1461455	22.1012620983883
Black	Female	F	45-49 years	45-49	2007	2007	310	1473530	21.037915753327
Black	Female	F	45-49 years	45-49	2008	2008	386	1485776	25.9796900744123
Black	Female	F	45-49 years	45-49	2009	2009	347	1496992	23.1798165922062
Black	Female	F	45-49 years	45-49	2010	2010	327	1493767	21.8909642534612
Black	Female	F	45-49 years	45-49	2011	2011	317	1475059	21.4906657970969
Black	Female	F	45-49 years	45-49	2012	2012	308	1453232	21.1941383068911
Black	Female	F	45-49 years	45-49	2013	2013	292	1428396	20.4425103402698
Black	Female	F	45-49 years	45-49	2014	2014	289	1402364	20.6080589632934
Black	Female	F	45-49 years	45-49	2015	2015	328	1396052	23.494826840261
Black	Female	F	45-49 years	45-49	2016	2016	319	1403832	22.7235167740869
Black	Female	F	45-49 years	45-49	2017	2017	303	1413393	21.4377742071738
Black	Female	F	45-49 years	45-49	2018	2018	309	1406949	21.9624165481478
Black	Female	F	45-49 years	45-49	2019	2019	292	1397316	20.8972057859496
Black	Female	F	45-49 years	45-49	2020	2020	378	1375619	27.4785387523726
Black	Female	F	45-49 years	45-49	2021	2021	338	1315950	25.6848664462936
Black	Female	F	50-54 years	50-54	1999	1999	287	930401	30.8469143949759
Black	Female	F	50-54 years	50-54	2000	2000	291	980443	29.6804607713044
Black	Female	F	50-54 years	50-54	2001	2001	345	1066260	32.3560857576951
Black	Female	F	50-54 years	50-54	2002	2002	373	1105949	33.7266908329408
Black	Female	F	50-54 years	50-54	2003	2003	430	1144404	37.5741433969123
Black	Female	F	50-54 years	50-54	2004	2004	409	1185311	34.5057120030102
Black	Female	F	50-54 years	50-54	2005	2005	393	1223782	32.1135627096983
Black	Female	F	50-54 years	50-54	2006	2006	466	1264163	36.8623349995214
Black	Female	F	50-54 years	50-54	2007	2007	437	1315461	33.220293113973
Black	Female	F	50-54 years	50-54	2008	2008	512	1361382	37.6088416036057
Black	Female	F	50-54 years	50-54	2009	2009	470	1399562	33.5819349196391
Black	Female	F	50-54 years	50-54	2010	2010	509	1431800	35.549657773432
Black	Female	F	50-54 years	50-54	2011	2011	458	1454259	31.4937022909949
Black	Female	F	50-54 years	50-54	2012	2012	515	1460480	35.262379491674
Black	Female	F	50-54 years	50-54	2013	2013	541	1467990	36.8531120784202
Black	Female	F	50-54 years	50-54	2014	2014	475	1473543	32.2352316830931
Black	Female	F	50-54 years	50-54	2015	2015	467	1467603	31.8205945340804
Black	Female	F	50-54 years	50-54	2016	2016	518	1451167	35.6954092809442
Black	Female	F	50-54 years	50-54	2017	2017	452	1432173	31.5604329923829
Black	Female	F	50-54 years	50-54	2018	2018	462	1404709	32.8893742405011
Black	Female	F	50-54 years	50-54	2019	2019	464	1377231	33.6907897077542
Black	Female	F	50-54 years	50-54	2020	2020	549	1370203	40.0670557574316
Black	Female	F	50-54 years	50-54	2021	2021	502	1356439	37.0086675478956
Black	Female	F	55-59 years	55-59	1999	1999	341	703574	48.4668279384969
Black	Female	F	55-59 years	55-59	2000	2000	346	721707	47.9418933168169
Black	Female	F	55-59 years	55-59	2001	2001	355	749059	47.3927954940799
Black	Female	F	55-59 years	55-59	2002	2002	398	799225	49.798242046983
