Notes	Race	Race Code	Gender	Gender Code	Single-Year Ages	Single-Year Ages Code	Deaths	Population	Crude Rate
	Black	2054-5	Female	F	1 years	1	2	591828	0.337936021952324
	Black	2054-5	Female	F	3 years	3	1	600967	0.166398487770543
	Black	2054-5	Female	F	4 years	4	1	607820	0.164522391497483
	Black	2054-5	Female	F	6 years	6	1	609195	0.164151051797864
	Black	2054-5	Female	F	8 years	8	2	609384	0.32820028093944
	Black	2054-5	Female	F	12 years	12	3	633770	0.473357842750525
	Black	2054-5	Female	F	13 years	13	1	625216	0.159944723103695
	Black	2054-5	Female	F	14 years	14	1	613152	0.163091696675539
	Black	2054-5	Female	F	17 years	17	1	606810	0.16479622946227
	Black	2054-5	Female	F	18 years	18	2	622945	0.321055630914447
	Black	2054-5	Female	F	19 years	19	1	642766	0.155577613003799
	Black	2054-5	Female	F	20 years	20	3	644673	0.465352201813943
	Black	2054-5	Female	F	21 years	21	5	639918	0.781350110482906
	Black	2054-5	Female	F	22 years	22	6	642098	0.934436799367075
	Black	2054-5	Female	F	23 years	23	5	642947	0.777669076922359
	Black	2054-5	Female	F	24 years	24	7	657824	1.06411441358175
	Black	2054-5	Female	F	25 years	25	12	687314	1.74592689804078
	Black	2054-5	Female	F	26 years	26	7	709929	0.986014094367183
	Black	2054-5	Female	F	27 years	27	12	726425	1.65192552569088
	Black	2054-5	Female	F	28 years	28	16	741661	2.15731985367978
	Black	2054-5	Female	F	29 years	29	11	743595	1.47929988770769
	Black	2054-5	Female	F	30 years	30	27	717459	3.76328124673326
	Black	2054-5	Female	F	31 years	31	24	674724	3.55700997741299
	Black	2054-5	Female	F	32 years	32	32	641333	4.98960758295612
	Black	2054-5	Female	F	33 years	33	30	624242	4.80582850881549
	Black	2054-5	Female	F	34 years	34	46	617837	7.4453294315491
	Black	2054-5	Female	F	35 years	35	48	604570	7.93952726731396
	Black	2054-5	Female	F	36 years	36	35	596139	5.87111395161196
	Black	2054-5	Female	F	37 years	37	55	600260	9.16269616499517
	Black	2054-5	Female	F	38 years	38	53	598504	8.85541282932111
	Black	2054-5	Female	F	39 years	39	101	606558	16.651334249981
	Black	2054-5	Female	F	40 years	40	96	597242	16.0738862973468
	Black	2054-5	Female	F	41 years	41	117	567278	20.6248082950511
	Black	2054-5	Female	F	42 years	42	107	553988	19.3144977869557
	Black	2054-5	Female	F	43 years	43	107	539499	19.8332156315396
	Black	2054-5	Female	F	44 years	44	145	535321	27.0865518072334
	Black	2054-5	Female	F	45 years	45	168	534280	31.4441865688403
	Black	2054-5	Female	F	46 years	46	176	534048	32.9558391755048
	Black	2054-5	Female	F	47 years	47	176	550888	31.9484178272171
	Black	2054-5	Female	F	48 years	48	183	572293	31.9766273569657
	Black	2054-5	Female	F	49 years	49	241	582102	41.4016787435879
	Black	2054-5	Female	F	50 years	50	262	557850	46.9660302948821
	Black	2054-5	Female	F	51 years	51	252	537543	46.87997053259
	Black	2054-5	Female	F	52 years	52	281	538077	52.223008974552
	Black	2054-5	Female	F	53 years	53	331	546543	60.562480902692
	Black	2054-5	Female	F	54 years	54	390	568352	68.6194471032037
	Black	2054-5	Female	F	55 years	55	432	579240	74.580484773151
	Black	2054-5	Female	F	56 years	56	477	573086	83.2335809983144
	Black	2054-5	Female	F	57 years	57	554	565975	97.8841821635231
	Black	2054-5	Female	F	58 years	58	544	563653	96.5132803338224
	Black	2054-5	Female	F	59 years	59	623	569402	109.413033322679
	Black	2054-5	Female	F	60 years	60	669	560778	119.298545948664
	Black	2054-5	Female	F	61 years	61	694	537782	129.048573585579
	Black	2054-5	Female	F	62 years	62	827	526142	157.181901463863
	Black	2054-5	Female	F	63 years	63	833	512367	162.578776541034
	Black	2054-5	Female	F	64 years	64	828	493735	167.7012972546
	Black	2054-5	Female	F	65 years	65	890	472264	188.453915606525
	Black	2054-5	Female	F	66 years	66	946	442373	213.846685941502
	Black	2054-5	Female	F	67 years	67	925	414981	222.901771406402
	Black	2054-5	Female	F	68 years	68	896	400651	223.636032357338
	Black	2054-5	Female	F	69 years	69	929	390460	237.924499308508
	Black	2054-5	Female	F	70 years	70	939	368226	255.006436264685
	Black	2054-5	Female	F	71 years	71	996	343445	290.00276609064
	Black	2054-5	Female	F	72 years	72	1006	323070	311.387624972916
	Black	2054-5	Female	F	73 years	73	989	280822	352.180384727692
	Black	2054-5	Female	F	74 years	74	867	247431	350.400717775865
	Black	2054-5	Female	F	75 years	75	916	236238	387.744562686782
	Black	2054-5	Female	F	76 years	76	986	223946	440.284711492949
	Black	2054-5	Female	F	77 years	77	1048	208039	503.751700402328
	Black	2054-5	Female	F	78 years	78	989	188778	523.895792941974
	Black	2054-5	Female	F	79 years	79	1005	177331	566.73678037117
	Black	2054-5	Female	F	80 years	80	1005	162248	619.42211922489
	Black	2054-5	Female	F	81 years	81	1064	148034	718.753799802748
	Black	2054-5	Female	F	82 years	82	1041	137158	758.978696102305
	Black	2054-5	Female	F	83 years	83	996	127237	782.791169235364
	Black	2054-5	Female	F	84 years	84	1029	118779	866.314752607784
	Black	2054-5	Female	F	85 years	85	1072	NA	NA
	Black	2054-5	Female	F	86 years	86	1035	NA	NA
	Black	2054-5	Female	F	87 years	87	1067	NA	NA
	Black	2054-5	Female	F	88 years	88	959	NA	NA
	Black	2054-5	Female	F	89 years	89	1063	NA	NA
	Black	2054-5	Female	F	90 years	90	933	NA	NA
	Black	2054-5	Female	F	91 years	91	922	NA	NA
	Black	2054-5	Female	F	92 years	92	833	NA	NA
	Black	2054-5	Female	F	93 years	93	780	NA	NA
	Black	2054-5	Female	F	94 years	94	677	NA	NA
	Black	2054-5	Female	F	95 years	95	586	NA	NA
	Black	2054-5	Female	F	96 years	96	478	NA	NA
	Black	2054-5	Female	F	97 years	97	449	NA	NA
	Black	2054-5	Female	F	98 years	98	359	NA	NA
	Black	2054-5	Female	F	99 years	99	285	NA	NA
	Black	2054-5	Female	F	100 years	100	216	NA	NA
	Black	2054-5	Female	F	101 years	101	169	NA	NA
	Black	2054-5	Female	F	102 years	102	117	NA	NA
	Black	2054-5	Female	F	103 years	103	98	NA	NA
	Black	2054-5	Female	F	104 years	104	70	NA	NA
	Black	2054-5	Female	F	105 years	105	40	NA	NA
	Black	2054-5	Female	F	106 years	106	25	NA	NA
	Black	2054-5	Female	F	107 years	107	21	NA	NA
