Race	Gender	Gender Code	Single-Year Ages	Single-Year Ages Code	Deaths	Population	Crude Rate
Black	Female	F	35 years	35	64	905242	7.06993268098475
Black	Female	F	36 years	36	56	893812	6.26529963795518
Black	Female	F	37 years	37	78	889756	8.76644832965442
Black	Female	F	38 years	38	88	891636	9.86949831545608
Black	Female	F	39 years	39	146	900392	16.2151596193658
Black	Female	F	40 years	40	136	888237	15.3112288724744
Black	Female	F	41 years	41	154	863690	17.8304715812386
Black	Female	F	42 years	42	156	838167	18.6120427074795
Black	Female	F	43 years	43	172	812848	21.1601677066315
Black	Female	F	44 years	44	215	805509	26.6911977395659
Black	Female	F	45 years	45	238	792409	30.0349945545798
Black	Female	F	46 years	46	245	795790	30.7870166752535
Black	Female	F	47 years	47	259	807540	32.0727146642891
Black	Female	F	48 years	48	262	836596	31.3173861696685
Black	Female	F	49 years	49	331	856550	38.6433950148853
Black	Female	F	50 years	50	378	844995	44.7339925088314
Black	Female	F	51 years	51	388	815630	47.570589605581
Black	Female	F	52 years	52	401	800412	50.09919891256
Black	Female	F	53 years	53	475	810123	58.6330717681142
Black	Female	F	54 years	54	564	832713	67.7304185235489
Black	Female	F	55 years	55	627	852502	73.5482145496433
Black	Female	F	56 years	56	674	854859	78.843411603551
Black	Female	F	57 years	57	826	847176	97.5004013333711
Black	Female	F	58 years	58	822	841734	97.6555538923223
Black	Female	F	59 years	59	901	846626	106.422434463388
Black	Female	F	60 years	60	956	835345	114.443732828951
Black	Female	F	61 years	61	990	811054	122.063389120823
Black	Female	F	62 years	62	1209	791499	152.748139921845
Black	Female	F	63 years	63	1193	768040	155.330451538982
Black	Female	F	64 years	64	1202	746463	161.026065591999
Black	Female	F	65 years	65	1299	712633	182.281763544489
Black	Female	F	66 years	66	1365	673123	202.786117841761
Black	Female	F	67 years	67	1359	634030	214.343169881551
Black	Female	F	68 years	68	1294	604639	214.011997241329
Black	Female	F	69 years	69	1321	584180	226.128932863159
Black	Female	F	70 years	70	1363	556879	244.75694001749
Black	Female	F	71 years	71	1417	521935	271.489744891605
Black	Female	F	72 years	72	1434	489331	293.053168509659
Black	Female	F	73 years	73	1439	436434	329.717666359633
Black	Female	F	74 years	74	1312	394779	332.337839652059
Black	Female	F	75 years	75	1316	350421	375.548269082047
Black	Female	F	76 years	76	1418	334183	424.318412366877
Black	Female	F	77 years	77	1453	310428	468.063447884856
Black	Female	F	78 years	78	1449	287940	503.229839549906
Black	Female	F	79 years	79	1441	264230	545.358210649813
Black	Female	F	80 years	80	1434	242433	591.503631931296
Black	Female	F	81 years	81	1506	222552	676.695783457349
Black	Female	F	82 years	82	1456	203100	716.888232397834
Black	Female	F	83 years	83	1401	188924	741.568037941183
Black	Female	F	84 years	84	1467	173832	843.918265911915
Black	Female	F	85 years	85	16922	1063715	1590.83965159841
