Race	Gender	Gender Code	Single-Year Ages	Single-Year Ages Code	Year	Year Code	Deaths	Population	Crude Rate
Black	Female	F	35 years	35	2009	2009	17	261354	6.50458764740543
Black	Female	F	35 years	35	2010	2010	18	268610	6.70116525818101
Black	Female	F	35 years	35	2011	2011	19	261199	7.27414729765428
Black	Female	F	35 years	35	2012	2012	19	272932	6.96144094499729
Black	Female	F	35 years	35	2013	2013	21	275610	7.6194622836617
Black	Female	F	36 years	36	2009	2009	14	271393	5.15857078111816
Black	Female	F	36 years	36	2010	2010	19	261414	7.26816467365941
Black	Female	F	36 years	36	2011	2011	25	269433	9.27874462296749
Black	Female	F	36 years	36	2012	2012	22	261958	8.3982928561067
Black	Female	F	36 years	36	2013	2013	17	273443	6.21701780627041
Black	Female	F	37 years	37	2009	2009	30	281235	10.6672355858979
Black	Female	F	37 years	37	2010	2010	22	274485	8.01500992768275
Black	Female	F	37 years	37	2011	2011	25	261918	9.54497209050161
Black	Female	F	37 years	37	2012	2012	19	269990	7.03729767769177
Black	Female	F	37 years	37	2013	2013	23	262373	8.76614590678157
Black	Female	F	38 years	38	2009	2009	29	294370	9.85154737235452
Black	Female	F	38 years	38	2010	2010	27	281951	9.57613202294016
Black	Female	F	38 years	38	2011	2011	29	271095	10.6973570150685
Black	Female	F	38 years	38	2012	2012	25	262257	9.53263401930168
Black	Female	F	38 years	38	2013	2013	27	270238	9.99119294843804
Black	Female	F	39 years	39	2009	2009	31	294655	10.5207785376118
Black	Female	F	39 years	39	2010	2010	32	297691	10.7494012247599
Black	Female	F	39 years	39	2011	2011	27	280965	9.60973786770594
Black	Female	F	39 years	39	2012	2012	36	271383	13.2653850830745
Black	Female	F	39 years	39	2013	2013	16	262475	6.09581864939518
Black	Female	F	40 years	40	2009	2009	42	271311	15.4803896635227
Black	Female	F	40 years	40	2010	2010	37	292135	12.6653773084362
Black	Female	F	40 years	40	2011	2011	34	295186	11.5181614304201
Black	Female	F	40 years	40	2012	2012	27	281228	9.6007509920776
Black	Female	F	40 years	40	2013	2013	41	271597	15.0958957573169
Black	Female	F	41 years	41	2009	2009	46	275073	16.7228335750873
Black	Female	F	41 years	41	2010	2010	42	270986	15.4989556656063
Black	Female	F	41 years	41	2011	2011	41	293065	13.9900704621842
Black	Female	F	41 years	41	2012	2012	40	295373	13.5421991854367
Black	Female	F	41 years	41	2013	2013	42	281329	14.9291399038137
Black	Female	F	42 years	42	2009	2009	64	274544	23.3113817821551
Black	Female	F	42 years	42	2010	2010	55	275034	19.9975275784085
Black	Female	F	42 years	42	2011	2011	39	272239	14.3256476845713
Black	Female	F	42 years	42	2012	2012	31	293021	10.5794465243105
Black	Female	F	42 years	42	2013	2013	56	295056	18.9794479691991
Black	Female	F	43 years	43	2009	2009	41	289810	14.1471998895828
Black	Female	F	43 years	43	2010	2010	62	277784	22.319500043199
Black	Female	F	43 years	43	2011	2011	50	274447	18.2184538362598
Black	Female	F	43 years	43	2012	2012	48	272054	17.6435560587236
Black	Female	F	43 years	43	2013	2013	49	292696	16.7409189056222
Black	Female	F	44 years	44	2009	2009	77	303595	25.3627365404569
Black	Female	F	44 years	44	2010	2010	69	288574	23.9106780236612
Black	Female	F	44 years	44	2011	2011	55	275214	19.9844484655577
Black	Female	F	44 years	44	2012	2012	59	274190	21.517925526095
Black	Female	F	44 years	44	2013	2013	68	271774	25.0207893323129
Black	Female	F	45 years	45	2009	2009	101	299366	33.7379662353106
Black	Female	F	45 years	45	2010	2010	85	304379	27.9257110378837
