Race	Gender	Gender Code	Single-Year Ages	Single-Year Ages Code	Year	Year Code	Deaths	Population	Crude Rate
Black	Female	F	35 years	35	2019	2019	20	295680	6.76406926406926
Black	Female	F	35 years	35	2020	2020	28	308355	9.08044299589759
Black	Female	F	35 years	35	2021	2021	16	301207	5.31196154139844
Black	Female	F	36 years	36	2019	2019	17	299248	5.6809068063947
Black	Female	F	36 years	36	2020	2020	18	296468	6.07148157642646
Black	Female	F	36 years	36	2021	2021	21	298096	7.04471042885513
Black	Female	F	37 years	37	2019	2019	21	300060	6.99860027994401
Black	Female	F	37 years	37	2020	2020	34	299803	11.3407804458261
Black	Female	F	37 years	37	2021	2021	23	289893	7.93396184109309
Black	Female	F	38 years	38	2019	2019	26	297826	8.72992955618381
Black	Female	F	38 years	38	2020	2020	27	300422	8.98735778338471
Black	Female	F	38 years	38	2021	2021	35	293388	11.929594939125
Black	Female	F	39 years	39	2019	2019	53	308430	17.1838018351003
Black	Female	F	39 years	39	2020	2020	48	297944	16.1104100099348
Black	Female	F	39 years	39	2021	2021	45	294018	15.3051853968124
Black	Female	F	40 years	40	2019	2019	49	288700	16.9726359542778
Black	Female	F	40 years	40	2020	2020	47	308388	15.2405411364904
Black	Female	F	40 years	40	2021	2021	40	291149	13.7386698906745
Black	Female	F	41 years	41	2019	2019	53	278464	19.0329809239255
Black	Female	F	41 years	41	2020	2020	64	288655	22.1717967816251
Black	Female	F	41 years	41	2021	2021	37	296571	12.4759332503852
Black	Female	F	42 years	42	2019	2019	49	275535	17.7835846625656
Black	Female	F	42 years	42	2020	2020	58	278298	20.8409690331946
Black	Female	F	42 years	42	2021	2021	49	284334	17.2332538493462
Black	Female	F	43 years	43	2019	2019	40	264057	15.1482445078146
Black	Female	F	43 years	43	2020	2020	67	275275	24.3392970665698
Black	Female	F	43 years	43	2021	2021	65	273516	23.7646060925138
Black	Female	F	44 years	44	2019	2019	64	271353	23.5855140720759
Black	Female	F	44 years	44	2020	2020	81	263752	30.7106675968334
Black	Female	F	44 years	44	2021	2021	70	270404	25.8871910178844
Black	Female	F	45 years	45	2019	2019	77	263062	29.2706662307745
Black	Female	F	45 years	45	2020	2020	91	271025	33.5762383543954
Black	Female	F	45 years	45	2021	2021	70	258322	27.0979630074094
Black	Female	F	46 years	46	2019	2019	76	271155	28.0282495251793
Black	Female	F	46 years	46	2020	2020	100	262660	38.0720322850834
Black	Female	F	46 years	46	2021	2021	69	261975	26.33839106785
Black	Female	F	47 years	47	2019	2019	82	280075	29.2778719985718
Black	Female	F	47 years	47	2020	2020	94	270709	34.723633126346
Black	Female	F	47 years	47	2021	2021	83	256756	32.3264110673168
Black	Female	F	48 years	48	2019	2019	79	292880	26.9735045069653
Black	Female	F	48 years	48	2020	2020	104	279356	37.2284826529589
Black	Female	F	48 years	48	2021	2021	79	264360	29.8834922075957
Black	Female	F	49 years	49	2019	2019	101	290144	34.8103010918716
Black	Female	F	49 years	49	2020	2020	140	291869	47.9667247977689
Black	Female	F	49 years	49	2021	2021	90	274537	32.782466479928
Black	Female	F	50 years	50	2019	2019	119	268693	44.2884630414637
Black	Female	F	50 years	50	2020	2020	143	288991	49.4825098359465
Black	Female	F	50 years	50	2021	2021	116	287311	40.3743678452966
Black	Female	F	51 years	51	2019	2019	111	269727	41.1527210846523
Black	Female	F	51 years	51	2020	2020	141	267640	52.6827081153789
Black	Female	F	51 years	51	2021	2021	136	278263	48.8746258036462
Black	Female	F	52 years	52	2019	2019	125	269400	46.3994060876021
Black	Female	F	52 years	52	2020	2020	156	268583	58.0826038878112
Black	Female	F	52 years	52	2021	2021	120	262429	45.7266536853778
Black	Female	F	53 years	53	2019	2019	157	278213	56.4315829957622
Black	Female	F	53 years	53	2020	2020	174	268113	64.8980094214007
Black	Female	F	53 years	53	2021	2021	144	263797	54.5874289700035
Black	Female	F	54 years	54	2019	2019	211	291198	72.4592888687422
Black	Female	F	54 years	54	2020	2020	179	276876	64.6498793683815
Black	Female	F	54 years	54	2021	2021	174	264639	65.7499461530613
Black	Female	F	55 years	55	2019	2019	199	289358	68.7729387125982
Black	Female	F	55 years	55	2020	2020	233	289680	80.4335818834576
Black	Female	F	55 years	55	2021	2021	195	273464	71.3073750109704
Black	Female	F	56 years	56	2019	2019	233	285407	81.6378014554654
Black	Female	F	56 years	56	2020	2020	244	287523	84.8627761952957
Black	Female	F	56 years	56	2021	2021	197	281929	69.8757488587552
Black	Female	F	57 years	57	2019	2019	255	282482	90.2712385213925
Black	Female	F	57 years	57	2020	2020	299	283364	105.517990993916
Black	Female	F	57 years	57	2021	2021	272	281330	96.6836099953791
Black	Female	F	58 years	58	2019	2019	269	283268	94.9630738382027
Black	Female	F	58 years	58	2020	2020	275	280243	98.1291236534008
