Race	Gender	Gender Code	Single-Year Ages	Single-Year Ages Code	Year	Year Code	Deaths	Population	Crude Rate	Crude Rate Lower 95% Confidence Interval	Crude Rate Upper 95% Confidence Interval	Crude Rate Standard Error
Black	Female	F	35 years	35	1999	1999	23	309142	7.43994669116458	4.71625660699614	11.1635656106255	1.55133612492405
Black	Female	F	35 years	35	2000	2000	11	308201	3.56909938643937	1.78169441371053	6.38611815016823	1.07612395493701
Black	Female	F	35 years	35	2001	2001	24	285590	8.40365559018173	5.38439020974124	12.5039672257432	1.71538901416939
Black	Female	F	35 years	35	2002	2002	18	272422	6.60739587845328	3.91593924132412	10.4425266681839	1.55737814387945
Black	Female	F	35 years	35	2003	2003	19	272295	6.97772636295195	4.20107971134248	10.896557042913	1.60080021430459
Black	Female	F	35 years	35	2004	2004	11	270441	4.0674306040874	2.03046135756043	7.2777722312815	1.22637647041514
Black	Female	F	35 years	35	2005	2005	21	293433	7.15665927145209	4.43011522221427	10.9397409289344	1.56171108735413
Black	Female	F	35 years	35	2006	2006	23	293847	7.827202591825	4.96174199498378	11.7446392170075	1.63208456214041
Black	Female	F	35 years	35	2007	2007	24	280631	8.55215567774052	5.47953718584191	12.7249234760237	1.74570146760919
Black	Female	F	35 years	35	2008	2008	12	271104	4.42634560906516	2.28713703966006	7.73194050991501	1.27777591446004
Black	Female	F	35 years	35	2009	2009	17	261354	6.50458764740543	3.78918248811956	10.4144952822608	1.57759423066709
Black	Female	F	35 years	35	2010	2010	18	268610	6.70116525818101	3.97151260191355	10.590722608987	1.57947979863716
Black	Female	F	35 years	35	2011	2011	19	261199	7.27414729765428	4.37954586349871	11.3594539029629	1.66880384057392
Black	Female	F	35 years	35	2012	2012	19	272932	6.96144094499729	4.19127474975452	10.8711254085267	1.59706408319313
Black	Female	F	35 years	35	2013	2013	21	275610	7.6194622836617	4.71659954283226	11.6471862414281	1.66270298427337
Black	Female	F	35 years	35	2014	2014	27	287255	9.39931419818628	6.19424204974674	13.6755321926511	1.80889886084024
Black	Female	F	35 years	35	2015	2015	14	307267	4.55629794283148	2.4909736483254	7.64469337742094	1.21772184672417
Black	Female	F	35 years	35	2016	2016	21	296340	7.08645474792468	4.38665721806034	10.8324255922251	1.54639120434496
Black	Female	F	35 years	35	2017	2017	23	299601	7.67687691296091	4.86644904389505	11.5190770391287	1.60073949129433
Black	Female	F	35 years	35	2018	2018	28	298858	9.36899798566543	6.22560547149482	13.5408254087225	1.77057419313827
Black	Female	F	35 years	35	2019	2019	20	295680	6.76406926406926	4.13169642857143	10.4465638528139	1.51249186789758
Black	Female	F	35 years	35	2020	2020	28	308355	9.08044299589759	6.03386356634399	13.1237826531109	1.71604242581738
Black	Female	F	35 years	35	2021	2021	16	301207	5.31196154139844	3.03626409744794	8.62630682553858	1.32799038534961
Black	Female	F	36 years	36	1999	1999	28	300226	9.32630751500536	6.19723808064591	13.479125725287	1.7625064525155
Black	Female	F	36 years	36	2000	2000	25	300699	8.3139618023339	5.38038038038038	12.2730704126053	1.66279236046678
Black	Female	F	36 years	36	2001	2001	23	305261	7.534536019996	4.77621772843567	11.3054959526438	1.57105936340139
Black	Female	F	36 years	36	2002	2002	25	286015	8.74080030767617	5.65660891911263	12.9031694141916	1.74816006153523
Black	Female	F	36 years	36	2003	2003	21	272635	7.7026060483797	4.768067196068	11.7742806316137	1.68084644119641
Black	Female	F	36 years	36	2004	2004	31	272711	11.3673449182468	7.72354250470278	16.1350367238579	2.04163541728424
Black	Female	F	36 years	36	2005	2005	29	270863	10.7065195320143	7.17037026098064	15.376382156293	1.98815076519661
Black	Female	F	36 years	36	2006	2006	36	293899	12.2491059853895	8.57915134110698	16.957907308293	2.04151766423159
Black	Female	F	36 years	36	2007	2007	25	294129	8.49967191266417	5.50056267828062	12.5472156774748	1.69993438253283
Black	Female	F	36 years	36	2008	2008	21	280978	7.47389475332588	4.62649033020379	11.4246702588815	1.63093754491663
Black	Female	F	36 years	36	2009	2009	14	271393	5.15857078111816	2.82024223174511	8.65520481368348	1.37868603345478
Black	Female	F	36 years	36	2010	2010	19	261414	7.26816467365941	4.37594390507012	11.35011131768	1.66743133249966
Black	Female	F	36 years	36	2011	2011	25	269433	9.27874462296749	6.00473958275341	13.6972828124246	1.8557489245935
Black	Female	F	36 years	36	2012	2012	22	261958	8.3982928561067	5.26312614999351	12.7150993670741	1.79052205308615
Black	Female	F	36 years	36	2013	2013	17	273443	6.21701780627041	3.62166155286476	9.95406720961955	1.50784829950581
Black	Female	F	36 years	36	2014	2014	23	277202	8.29719843291174	5.25967705860708	12.4498632765997	1.73008546955387
Black	Female	F	36 years	36	2015	2015	28	288058	9.72026466892084	6.45901866985121	14.0485041206979	1.83695735654944
Black	Female	F	36 years	36	2016	2016	20	307407	6.50603271883854	3.97407996564815	10.0480470516286	1.45479314231608
Black	Female	F	36 years	36	2017	2017	21	297834	7.05090755252926	4.36465279316666	10.7780877938718	1.53863417036196
Black	Female	F	36 years	36	2018	2018	17	299784	5.67074960638326	3.30343847570251	9.07943719478024	1.3753588002087
Black	Female	F	36 years	36	2019	2019	17	299248	5.6809068063947	3.30935545099717	9.09569988771855	1.3778222830621
Black	Female	F	36 years	36	2020	2020	18	296468	6.07148157642646	3.59832427108491	9.59555162783167	1.43106193151345
Black	Female	F	36 years	36	2021	2021	21	298096	7.04471042885513	4.36081664966991	10.7686148086522	1.53728184710826
Black	Female	F	37 years	37	1999	1999	34	301874	11.2629772686618	7.79994964786633	15.7388844352279	1.93158466606773
Black	Female	F	37 years	37	2000	2000	37	298213	12.4072391210309	8.73581299272668	17.1017661872554	2.0397375467529
Black	Female	F	37 years	37	2001	2001	25	304020	8.22314321426222	5.3216071311098	12.1390040128939	1.64462864285244
Black	Female	F	37 years	37	2002	2002	32	305602	10.4711356601069	7.16225679151314	14.782102211373	1.85105275799647
Black	Female	F	37 years	37	2003	2003	31	286190	10.8319647786436	7.35977846884937	15.3751074461022	1.94547830561166
Black	Female	F	37 years	37	2004	2004	23	272949	8.42648260297711	5.34163158685322	12.6438528809411	1.75704308252191
Black	Female	F	37 years	37	2005	2005	28	273047	10.2546448047406	6.81410892630207	14.8208330433955	1.93794570976029
Black	Female	F	37 years	37	2006	2006	23	271217	8.48029437682741	5.37574340841466	12.7245969094858	1.76826361301567
Black	Female	F	37 years	37	2007	2007	19	294165	6.45896010742271	3.88874611187599	10.0864412829534	1.48178707308506
Black	Female	F	37 years	37	2008	2008	30	294402	10.1901481647543	6.87529296675974	14.5470479140767	1.8604580047186
Black	Female	F	37 years	37	2009	2009	30	281235	10.6672355858979	7.19718384980532	15.2281188330044	1.94756185220604
Black	Female	F	37 years	37	2010	2010	22	274485	8.01500992768275	5.0229265715795	12.134805180611	1.70880585817929
Black	Female	F	37 years	37	2011	2011	25	261918	9.54497209050161	6.17702868836812	14.0902877999985	1.90899441810032
Black	Female	F	37 years	37	2012	2012	19	269990	7.03729767769177	4.23694581280788	10.989584799437	1.61446681119326
Black	Female	F	37 years	37	2013	2013	23	262373	8.76614590678157	5.5569475517679	13.1535142716667	1.82786777729138
Black	Female	F	37 years	37	2014	2014	32	274812	11.6443241197619	7.96471769791712	16.4382923598678	2.05844513685442
Black	Female	F	37 years	37	2015	2015	21	278050	7.55259845351555	4.6752094946952	11.5449775220284	1.64811210032578
Black	Female	F	37 years	37	2016	2016	23	288157	7.98175994336421	5.059717445698	11.9765509774186	1.66431199773482
Black	Female	F	37 years	37	2017	2017	30	308794	9.71521467386024	6.55485534045351	13.8690518598159	1.77374740929282
Black	Female	F	37 years	37	2018	2018	29	297841	9.73673872972492	6.52088866207137	13.983612061469	1.80806699115787
Black	Female	F	37 years	37	2019	2019	21	300060	6.99860027994401	4.33227354529094	10.6981303739252	1.52721978769441
Black	Female	F	37 years	37	2020	2020	34	299803	11.3407804458261	7.85383068214794	15.8476065949974	1.94492780087101
Black	Female	F	37 years	37	2021	2021	23	289893	7.93396184109309	5.02941775068732	11.9048304029418	1.65434540444672
Black	Female	F	38 years	38	1999	1999	46	292211	15.742049409502	11.5252266341787	20.9976900253584	2.32103855882402
Black	Female	F	38 years	38	2000	2000	34	297201	11.4400691787713	7.92259110837447	15.986352670415	1.9619556780917
Black	Female	F	38 years	38	2001	2001	32	299425	10.6871503715455	7.3100108541371	15.0870501795107	1.88923912482003
Black	Female	F	38 years	38	2002	2002	42	304067	13.812745217337	9.95498360558693	18.6708258377266	2.13135285920796
Black	Female	F	38 years	38	2003	2003	38	305524	12.4376481062044	8.80162605883662	17.0716670376141	2.01765295131282
Black	Female	F	38 years	38	2004	2004	22	286283	7.6847035974892	4.81592689751051	11.6347180936346	1.63838431196523
Black	Female	F	38 years	38	2005	2005	28	272995	10.2565981061924	6.8154068755838	14.8236561109178	1.93831484903723
Black	Female	F	38 years	38	2006	2006	42	273135	15.3770113680048	11.0823658630348	20.7852600362458	2.37272436648832
