Notes	Race	Race Code	Gender	Gender Code	Single-Year Ages	Single-Year Ages Code	Year	Year Code	Deaths	Population	Crude Rate
	Black	2054-5	Female	F	0 years	0	1999	1999	10	280072	3.57051044017253
	Black	2054-5	Female	F	0 years	0	2000	2000	8	287034	2.78712626378757
	Black	2054-5	Female	F	0 years	0	2001	2001	9	296820	3.03214069132808
	Black	2054-5	Female	F	0 years	0	2002	2002	12	289527	4.14469116869929
	Black	2054-5	Female	F	1 years	1	1999	1999	1	284008	0.352102757668798
	Black	2054-5	Female	F	1 years	1	2000	2000	1	284007	0.352103997436683
	Black	2054-5	Female	F	1 years	1	2001	2001	1	286195	0.349412114117996
	Black	2054-5	Female	F	1 years	1	2003	2003	1	288700	0.346380325597506
	Black	2054-5	Female	F	1 years	1	2006	2006	1	285462	0.350309323132326
	Black	2054-5	Female	F	1 years	1	2007	2007	2	292000	0.684931506849315
	Black	2054-5	Female	F	1 years	1	2008	2008	3	306564	0.978588483970721
	Black	2054-5	Female	F	1 years	1	2011	2011	1	297668	0.335944743808538
	Black	2054-5	Female	F	1 years	1	2012	2012	2	298495	0.670027973667901
	Black	2054-5	Female	F	1 years	1	2013	2013	3	296768	1.01089066206599
	Black	2054-5	Female	F	1 years	1	2014	2014	4	297980	1.34237197127324
	Black	2054-5	Female	F	1 years	1	2015	2015	2	300472	0.665619425437312
	Black	2054-5	Female	F	1 years	1	2016	2016	2	302140	0.661944793804197
	Black	2054-5	Female	F	1 years	1	2019	2019	2	298962	0.668981342110369
	Black	2054-5	Female	F	2 years	2	1999	1999	2	282877	0.707021072763074
	Black	2054-5	Female	F	2 years	2	2003	2003	2	295981	0.675719049533585
	Black	2054-5	Female	F	2 years	2	2004	2004	2	288839	0.692427269170715
	Black	2054-5	Female	F	2 years	2	2007	2007	1	286185	0.349424323427154
	Black	2054-5	Female	F	2 years	2	2009	2009	2	307687	0.650011212693419
	Black	2054-5	Female	F	2 years	2	2012	2012	1	298444	0.335071236144804
	Black	2054-5	Female	F	2 years	2	2013	2013	2	299441	0.667911207884024
	Black	2054-5	Female	F	2 years	2	2018	2018	1	300817	0.332428021022748
	Black	2054-5	Female	F	3 years	3	2000	2000	1	287708	0.347574624271831
	Black	2054-5	Female	F	3 years	3	2002	2002	2	283844	0.704612392722763
