"Notes"	"Race"	"Race Code"	"Gender"	"Gender Code"	"Single-Year Ages"	"Single-Year Ages Code"	Deaths	Population	Crude Rate
	"Black or African American"	"2054-5"	"Female"	"F"	"< 1 year"	"0"	19	1495713	Unreliable
	"Black or African American"	"2054-5"	"Female"	"F"	"18 years"	"18"	11	1728099	Unreliable
	"Black or African American"	"2054-5"	"Female"	"F"	"20 years"	"20"	11	1756095	Unreliable
	"Black or African American"	"2054-5"	"Female"	"F"	"21 years"	"21"	12	1729353	Unreliable
	"Black or African American"	"2054-5"	"Female"	"F"	"22 years"	"22"	13	1672484	Unreliable
	"Black or African American"	"2054-5"	"Female"	"F"	"23 years"	"23"	16	1609811	Unreliable
	"Black or African American"	"2054-5"	"Female"	"F"	"24 years"	"24"	12	1547061	Unreliable
	"Black or African American"	"2054-5"	"Female"	"F"	"25 years"	"25"	18	1503993	Unreliable
	"Black or African American"	"2054-5"	"Female"	"F"	"26 years"	"26"	33	1473963	2.2
	"Black or African American"	"2054-5"	"Female"	"F"	"27 years"	"27"	30	1472714	2.0
	"Black or African American"	"2054-5"	"Female"	"F"	"28 years"	"28"	32	1461363	2.2
	"Black or African American"	"2054-5"	"Female"	"F"	"29 years"	"29"	39	1460941	2.7
	"Black or African American"	"2054-5"	"Female"	"F"	"30 years"	"30"	57	1464927	3.9
	"Black or African American"	"2054-5"	"Female"	"F"	"31 years"	"31"	51	1436448	3.6
	"Black or African American"	"2054-5"	"Female"	"F"	"32 years"	"32"	60	1427242	4.2
	"Black or African American"	"2054-5"	"Female"	"F"	"33 years"	"33"	66	1392045	4.7
	"Black or African American"	"2054-5"	"Female"	"F"	"34 years"	"34"	63	1362603	4.6
	"Black or African American"	"2054-5"	"Female"	"F"	"35 years"	"35"	94	1339705	7.0
	"Black or African American"	"2054-5"	"Female"	"F"	"36 years"	"36"	97	1337641	7.3
	"Black or African American"	"2054-5"	"Female"	"F"	"37 years"	"37"	118	1350001	8.7
	"Black or African American"	"2054-5"	"Female"	"F"	"38 years"	"38"	137	1379911	9.9
	"Black or African American"	"2054-5"	"Female"	"F"	"39 years"	"39"	142	1407169	10.1
	"Black or African American"	"2054-5"	"Female"	"F"	"40 years"	"40"	181	1411457	12.8
	"Black or African American"	"2054-5"	"Female"	"F"	"41 years"	"41"	210	1415826	14.8
	"Black or African American"	"2054-5"	"Female"	"F"	"42 years"	"42"	244	1409894	17.3
	"Black or African American"	"2054-5"	"Female"	"F"	"43 years"	"43"	250	1406791	17.8
	"Black or African American"	"2054-5"	"Female"	"F"	"44 years"	"44"	328	1413347	23.2
	"Black or African American"	"2054-5"	"Female"	"F"	"45 years"	"45"	393	1437934	27.3
	"Black or African American"	"2054-5"	"Female"	"F"	"46 years"	"46"	440	1453421	30.3
	"Black or African American"	"2054-5"	"Female"	"F"	"47 years"	"47"	511	1476486	34.6
	"Black or African American"	"2054-5"	"Female"	"F"	"48 years"	"48"	575	1484429	38.7
	"Black or African American"	"2054-5"	"Female"	"F"	"49 years"	"49"	626	1495176	41.9
	"Black or African American"	"2054-5"	"Female"	"F"	"50 years"	"50"	742	1477461	50.2
	"Black or African American"	"2054-5"	"Female"	"F"	"51 years"	"51"	790	1465427	53.9
	"Black or African American"	"2054-5"	"Female"	"F"	"52 years"	"52"	888	1454193	61.1
