"Notes"	"Race"	"Race Code"	"Gender"	"Gender Code"	"Single-Year Ages"	"Single-Year Ages Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Black or African American"	"2054-5"	"Female"	"F"	"< 1 year"	"0"	"2009"	"2009"	Suppressed	303502	Suppressed
	"Black or African American"	"2054-5"	"Female"	"F"	"< 1 year"	"0"	"2010"	"2010"	Suppressed	297421	Suppressed
	"Black or African American"	"2054-5"	"Female"	"F"	"< 1 year"	"0"	"2011"	"2011"	Suppressed	300740	Suppressed
	"Black or African American"	"2054-5"	"Female"	"F"	"< 1 year"	"0"	"2012"	"2012"	Suppressed	297309	Suppressed
	"Black or African American"	"2054-5"	"Female"	"F"	"< 1 year"	"0"	"2013"	"2013"	Suppressed	296741	Suppressed
	"Black or African American"	"2054-5"	"Female"	"F"	"1 year"	"1"	"2009"	"2009"	0	308004	Unreliable
	"Black or African American"	"2054-5"	"Female"	"F"	"1 year"	"1"	"2010"	"2010"	0	301236	Unreliable
	"Black or African American"	"2054-5"	"Female"	"F"	"1 year"	"1"	"2011"	"2011"	Suppressed	300095	Suppressed
	"Black or African American"	"2054-5"	"Female"	"F"	"1 year"	"1"	"2012"	"2012"	Suppressed	300805	Suppressed
	"Black or African American"	"2054-5"	"Female"	"F"	"1 year"	"1"	"2013"	"2013"	Suppressed	299235	Suppressed
	"Black or African American"	"2054-5"	"Female"	"F"	"2 years"	"2"	"2009"	"2009"	Suppressed	307687	Suppressed
	"Black or African American"	"2054-5"	"Female"	"F"	"2 years"	"2"	"2010"	"2010"	0	309440	Unreliable
	"Black or African American"	"2054-5"	"Female"	"F"	"2 years"	"2"	"2011"	"2011"	0	300096	Unreliable
	"Black or African American"	"2054-5"	"Female"	"F"	"2 years"	"2"	"2012"	"2012"	Suppressed	298293	Suppressed
	"Black or African American"	"2054-5"	"Female"	"F"	"2 years"	"2"	"2013"	"2013"	Suppressed	299112	Suppressed
	"Black or African American"	"2054-5"	"Female"	"F"	"3 years"	"3"	"2009"	"2009"	Suppressed	294506	Suppressed
	"Black or African American"	"2054-5"	"Female"	"F"	"3 years"	"3"	"2010"	"2010"	0	306977	Unreliable
	"Black or African American"	"2054-5"	"Female"	"F"	"3 years"	"3"	"2011"	"2011"	Suppressed	309997	Suppressed
	"Black or African American"	"2054-5"	"Female"	"F"	"3 years"	"3"	"2012"	"2012"	0	301022	Unreliable
	"Black or African American"	"2054-5"	"Female"	"F"	"3 years"	"3"	"2013"	"2013"	0	298890	Unreliable
	"Black or African American"	"2054-5"	"Female"	"F"	"4 years"	"4"	"2009"	"2009"	Suppressed	292927	Suppressed
	"Black or African American"	"2054-5"	"Female"	"F"	"4 years"	"4"	"2010"	"2010"	0	299217	Unreliable
