"Notes"	"Race"	"Race Code"	"Gender"	"Gender Code"	"Single-Year Ages"	"Single-Year Ages Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate	Crude Rate Lower 95% Confidence Interval	Crude Rate Upper 95% Confidence Interval	Crude Rate Standard Error
	"Black or African American"	"2054-5"	"Female"	"F"	"26 years"	"26"	"2004"	"2004"	11	266131	Unreliable	2.1	7.4	1.2
	"Black or African American"	"2054-5"	"Female"	"F"	"26 years"	"26"	"2008"	"2008"	10	290979	Unreliable	1.6	6.3	1.1
	"Black or African American"	"2054-5"	"Female"	"F"	"27 years"	"27"	"2008"	"2008"	15	299318	Unreliable	2.8	8.3	1.3
	"Black or African American"	"2054-5"	"Female"	"F"	"28 years"	"28"	"2008"	"2008"	10	295990	Unreliable	1.6	6.2	1.1
	"Black or African American"	"2054-5"	"Female"	"F"	"29 years"	"29"	"2001"	"2001"	15	273287	Unreliable	3.1	9.1	1.4
	"Black or African American"	"2054-5"	"Female"	"F"	"29 years"	"29"	"2003"	"2003"	11	250834	Unreliable	2.2	7.8	1.3
	"Black or African American"	"2054-5"	"Female"	"F"	"29 years"	"29"	"2004"	"2004"	11	257747	Unreliable	2.1	7.6	1.3
	"Black or African American"	"2054-5"	"Female"	"F"	"29 years"	"29"	"2007"	"2007"	13	263206	Unreliable	2.6	8.4	1.4
	"Black or African American"	"2054-5"	"Female"	"F"	"29 years"	"29"	"2008"	"2008"	13	277106	Unreliable	2.5	8.0	1.3
	"Black or African American"	"2054-5"	"Female"	"F"	"29 years"	"29"	"2010"	"2010"	10	294300	Unreliable	1.6	6.2	1.1
	"Black or African American"	"2054-5"	"Female"	"F"	"29 years"	"29"	"2015"	"2015"	13	304709	Unreliable	2.3	7.3	1.2
	"Black or African American"	"2054-5"	"Female"	"F"	"29 years"	"29"	"2016"	"2016"	11	309920	Unreliable	1.8	6.4	1.1
	"Black or African American"	"2054-5"	"Female"	"F"	"29 years"	"29"	"2018"	"2018"	10	346376	Unreliable	1.4	5.3	0.9
	"Black or African American"	"2054-5"	"Female"	"F"	"30 years"	"30"	"2000"	"2000"	15	287649	Unreliable	2.9	8.6	1.3
	"Black or African American"	"2054-5"	"Female"	"F"	"30 years"	"30"	"2001"	"2001"	10	288905	Unreliable	1.7	6.4	1.1
	"Black or African American"	"2054-5"	"Female"	"F"	"30 years"	"30"	"2004"	"2004"	10	254504	Unreliable	1.9	7.2	1.2
	"Black or African American"	"2054-5"	"Female"	"F"	"30 years"	"30"	"2008"	"2008"	10	271120	Unreliable	1.8	6.8	1.2
	"Black or African American"	"2054-5"	"Female"	"F"	"30 years"	"30"	"2009"	"2009"	11	286514	Unreliable	1.9	6.9	1.2
	"Black or African American"	"2054-5"	"Female"	"F"	"30 years"	"30"	"2011"	"2011"	13	291207	Unreliable	2.4	7.6	1.2
	"Black or African American"	"2054-5"	"Female"	"F"	"30 years"	"30"	"2012"	"2012"	15	293674	Unreliable	2.9	8.4	1.3
	"Black or African American"	"2054-5"	"Female"	"F"	"30 years"	"30"	"2013"	"2013"	11	292983	Unreliable	1.9	6.7	1.1
	"Black or African American"	"2054-5"	"Female"	"F"	"30 years"	"30"	"2015"	"2015"	10	304406	Unreliable	1.6	6.0	1.0
	"Black or African American"	"2054-5"	"Female"	"F"	"30 years"	"30"	"2018"	"2018"	11	325150	Unreliable	1.7	6.1	1.0
	"Black or African American"	"2054-5"	"Female"	"F"	"30 years"	"30"	"2020 "	"2020"	20	369804	5.4	3.3	8.4	1.2
	"Black or African American"	"2054-5"	"Female"	"F"	"31 years"	"31"	"1999"	"1999"	13	267952	Unreliable	2.6	8.3	1.3
	"Black or African American"	"2054-5"	"Female"	"F"	"31 years"	"31"	"2000"	"2000"	10	265360	Unreliable	1.8	6.9	1.2
	"Black or African American"	"2054-5"	"Female"	"F"	"31 years"	"31"	"2001"	"2001"	12	289179	Unreliable	2.1	7.2	1.2
	"Black or African American"	"2054-5"	"Female"	"F"	"31 years"	"31"	"2002"	"2002"	11	288164	Unreliable	1.9	6.8	1.2
	"Black or African American"	"2054-5"	"Female"	"F"	"31 years"	"31"	"2003"	"2003"	11	273727	Unreliable	2.0	7.2	1.2
	"Black or African American"	"2054-5"	"Female"	"F"	"31 years"	"31"	"2006"	"2006"	10	260644	Unreliable	1.8	7.1	1.2
	"Black or African American"	"2054-5"	"Female"	"F"	"31 years"	"31"	"2009"	"2009"	15	267906	Unreliable	3.1	9.2	1.4
	"Black or African American"	"2054-5"	"Female"	"F"	"31 years"	"31"	"2010"	"2010"	11	278760	Unreliable	2.0	7.1	1.2
	"Black or African American"	"2054-5"	"Female"	"F"	"31 years"	"31"	"2013"	"2013"	12	294534	Unreliable	2.1	7.1	1.2
	"Black or African American"	"2054-5"	"Female"	"F"	"31 years"	"31"	"2014"	"2014"	10	295212	Unreliable	1.6	6.2	1.1
	"Black or African American"	"2054-5"	"Female"	"F"	"31 years"	"31"	"2016"	"2016"	13	304808	Unreliable	2.3	7.3	1.2
	"Black or African American"	"2054-5"	"Female"	"F"	"31 years"	"31"	"2019"	"2019"	13	325824	Unreliable	2.1	6.8	1.1
	"Black or African American"	"2054-5"	"Female"	"F"	"31 years"	"31"	"2020 "	"2020"	11	348247	Unreliable	1.6	5.7	1.0
	"Black or African American"	"2054-5"	"Female"	"F"	"32 years"	"32"	"1999"	"1999"	15	272561	Unreliable	3.1	9.1	1.4
	"Black or African American"	"2054-5"	"Female"	"F"	"32 years"	"32"	"2000"	"2000"	11	270740	Unreliable	2.0	7.3	1.2
	"Black or African American"	"2054-5"	"Female"	"F"	"32 years"	"32"	"2001"	"2001"	10	268151	Unreliable	1.8	6.9	1.2
	"Black or African American"	"2054-5"	"Female"	"F"	"32 years"	"32"	"2002"	"2002"	16	290561	Unreliable	3.1	8.9	1.4
	"Black or African American"	"2054-5"	"Female"	"F"	"32 years"	"32"	"2003"	"2003"	12	290217	Unreliable	2.1	7.2	1.2
	"Black or African American"	"2054-5"	"Female"	"F"	"32 years"	"32"	"2004"	"2004"	11	276717	Unreliable	2.0	7.1	1.2
	"Black or African American"	"2054-5"	"Female"	"F"	"32 years"	"32"	"2007"	"2007"	12	265596	Unreliable	2.3	7.9	1.3
	"Black or African American"	"2054-5"	"Female"	"F"	"32 years"	"32"	"2008"	"2008"	14	260364	Unreliable	2.9	9.0	1.4
	"Black or African American"	"2054-5"	"Female"	"F"	"32 years"	"32"	"2009"	"2009"	12	270838	Unreliable	2.3	7.7	1.3
	"Black or African American"	"2054-5"	"Female"	"F"	"32 years"	"32"	"2010"	"2010"	11	275414	Unreliable	2.0	7.1	1.2
	"Black or African American"	"2054-5"	"Female"	"F"	"32 years"	"32"	"2011"	"2011"	13	284146	Unreliable	2.4	7.8	1.3
	"Black or African American"	"2054-5"	"Female"	"F"	"32 years"	"32"	"2012"	"2012"	14	303821	Unreliable	2.5	7.7	1.2
	"Black or African American"	"2054-5"	"Female"	"F"	"32 years"	"32"	"2013"	"2013"	10	293023	Unreliable	1.6	6.3	1.1
	"Black or African American"	"2054-5"	"Female"	"F"	"32 years"	"32"	"2014"	"2014"	20	296572	6.7	4.1	10.4	1.5
	"Black or African American"	"2054-5"	"Female"	"F"	"32 years"	"32"	"2015"	"2015"	14	296622	Unreliable	2.6	7.9	1.3
	"Black or African American"	"2054-5"	"Female"	"F"	"32 years"	"32"	"2016"	"2016"	11	293147	Unreliable	1.9	6.7	1.1
	"Black or African American"	"2054-5"	"Female"	"F"	"32 years"	"32"	"2017"	"2017"	11	306627	Unreliable	1.8	6.4	1.1
	"Black or African American"	"2054-5"	"Female"	"F"	"32 years"	"32"	"2018"	"2018"	18	308173	Unreliable	3.5	9.2	1.4
	"Black or African American"	"2054-5"	"Female"	"F"	"32 years"	"32"	"2019"	"2019"	11	313653	Unreliable	1.8	6.3	1.1
	"Black or African American"	"2054-5"	"Female"	"F"	"32 years"	"32"	"2020 "	"2020"	21	326994	6.4	4.0	9.8	1.4
	"Black or African American"	"2054-5"	"Female"	"F"	"33 years"	"33"	"1999"	"1999"	13	279654	Unreliable	2.5	7.9	1.3
	"Black or African American"	"2054-5"	"Female"	"F"	"33 years"	"33"	"2000"	"2000"	17	272072	Unreliable	3.6	10.0	1.5
	"Black or African American"	"2054-5"	"Female"	"F"	"33 years"	"33"	"2001"	"2001"	13	270796	Unreliable	2.6	8.2	1.3
	"Black or African American"	"2054-5"	"Female"	"F"	"33 years"	"33"	"2002"	"2002"	15	268601	Unreliable	3.1	9.2	1.4
	"Black or African American"	"2054-5"	"Female"	"F"	"33 years"	"33"	"2003"	"2003"	10	290849	Unreliable	1.6	6.3	1.1
	"Black or African American"	"2054-5"	"Female"	"F"	"33 years"	"33"	"2004"	"2004"	12	290780	Unreliable	2.1	7.2	1.2
	"Black or African American"	"2054-5"	"Female"	"F"	"33 years"	"33"	"2005"	"2005"	14	277331	Unreliable	2.8	8.5	1.3
	"Black or African American"	"2054-5"	"Female"	"F"	"33 years"	"33"	"2006"	"2006"	11	267659	Unreliable	2.1	7.4	1.2
	"Black or African American"	"2054-5"	"Female"	"F"	"33 years"	"33"	"2007"	"2007"	13	257833	Unreliable	2.7	8.6	1.4
	"Black or African American"	"2054-5"	"Female"	"F"	"33 years"	"33"	"2008"	"2008"	19	266293	Unreliable	4.3	11.1	1.6
	"Black or African American"	"2054-5"	"Female"	"F"	"33 years"	"33"	"2009"	"2009"	15	261114	Unreliable	3.2	9.5	1.5
	"Black or African American"	"2054-5"	"Female"	"F"	"33 years"	"33"	"2010"	"2010"	14	267041	Unreliable	2.9	8.8	1.4
	"Black or African American"	"2054-5"	"Female"	"F"	"33 years"	"33"	"2011"	"2011"	14	274248	Unreliable	2.8	8.6	1.4
	"Black or African American"	"2054-5"	"Female"	"F"	"33 years"	"33"	"2012"	"2012"	12	285149	Unreliable	2.2	7.4	1.2
	"Black or African American"	"2054-5"	"Female"	"F"	"33 years"	"33"	"2013"	"2013"	11	304493	Unreliable	1.8	6.5	1.1
	"Black or African American"	"2054-5"	"Female"	"F"	"33 years"	"33"	"2014"	"2014"	13	295122	Unreliable	2.3	7.5	1.2
	"Black or African American"	"2054-5"	"Female"	"F"	"33 years"	"33"	"2015"	"2015"	15	297736	Unreliable	2.8	8.3	1.3
	"Black or African American"	"2054-5"	"Female"	"F"	"33 years"	"33"	"2016"	"2016"	13	296979	Unreliable	2.3	7.5	1.2
	"Black or African American"	"2054-5"	"Female"	"F"	"33 years"	"33"	"2017"	"2017"	11	294953	Unreliable	1.9	6.7	1.1
	"Black or African American"	"2054-5"	"Female"	"F"	"33 years"	"33"	"2018"	"2018"	11	307231	Unreliable	1.8	6.4	1.1
	"Black or African American"	"2054-5"	"Female"	"F"	"33 years"	"33"	"2019"	"2019"	19	308705	Unreliable	3.7	9.6	1.4
	"Black or African American"	"2054-5"	"Female"	"F"	"33 years"	"33"	"2020 "	"2020"	11	314921	Unreliable	1.7	6.2	1.1
	"Black or African American"	"2054-5"	"Female"	"F"	"34 years"	"34"	"1999"	"1999"	14	296727	Unreliable	2.6	7.9	1.3
	"Black or African American"	"2054-5"	"Female"	"F"	"34 years"	"34"	"2000"	"2000"	18	289071	Unreliable	3.7	9.8	1.5
	"Black or African American"	"2054-5"	"Female"	"F"	"34 years"	"34"	"2001"	"2001"	19	271445	Unreliable	4.2	10.9	1.6
	"Black or African American"	"2054-5"	"Female"	"F"	"34 years"	"34"	"2002"	"2002"	17	271183	Unreliable	3.7	10.0	1.5
	"Black or African American"	"2054-5"	"Female"	"F"	"34 years"	"34"	"2003"	"2003"	19	268738	Unreliable	4.3	11.0	1.6
	"Black or African American"	"2054-5"	"Female"	"F"	"34 years"	"34"	"2004"	"2004"	25	291291	8.6	5.6	12.7	1.7
	"Black or African American"	"2054-5"	"Female"	"F"	"34 years"	"34"	"2005"	"2005"	15	291186	Unreliable	2.9	8.5	1.3
	"Black or African American"	"2054-5"	"Female"	"F"	"34 years"	"34"	"2006"	"2006"	21	277780	7.6	4.7	11.6	1.6
	"Black or African American"	"2054-5"	"Female"	"F"	"34 years"	"34"	"2007"	"2007"	13	268078	Unreliable	2.6	8.3	1.3
	"Black or African American"	"2054-5"	"Female"	"F"	"34 years"	"34"	"2008"	"2008"	19	258143	Unreliable	4.4	11.5	1.7
	"Black or African American"	"2054-5"	"Female"	"F"	"34 years"	"34"	"2009"	"2009"	14	266637	Unreliable	2.9	8.8	1.4
	"Black or African American"	"2054-5"	"Female"	"F"	"34 years"	"34"	"2010"	"2010"	12	263044	Unreliable	2.4	8.0	1.3
	"Black or African American"	"2054-5"	"Female"	"F"	"34 years"	"34"	"2012"	"2012"	12	275188	Unreliable	2.3	7.6	1.3
	"Black or African American"	"2054-5"	"Female"	"F"	"34 years"	"34"	"2013"	"2013"	17	285576	Unreliable	3.5	9.5	1.4
	"Black or African American"	"2054-5"	"Female"	"F"	"34 years"	"34"	"2014"	"2014"	14	306420	Unreliable	2.5	7.7	1.2
	"Black or African American"	"2054-5"	"Female"	"F"	"34 years"	"34"	"2015"	"2015"	23	296096	7.8	4.9	11.7	1.6
	"Black or African American"	"2054-5"	"Female"	"F"	"34 years"	"34"	"2016"	"2016"	20	298153	6.7	4.1	10.4	1.5
	"Black or African American"	"2054-5"	"Female"	"F"	"34 years"	"34"	"2017"	"2017"	19	298583	Unreliable	3.8	9.9	1.5
	"Black or African American"	"2054-5"	"Female"	"F"	"34 years"	"34"	"2018"	"2018"	18	295448	Unreliable	3.6	9.6	1.4
	"Black or African American"	"2054-5"	"Female"	"F"	"34 years"	"34"	"2019"	"2019"	24	307480	7.8	5.0	11.6	1.6
	"Black or African American"	"2054-5"	"Female"	"F"	"34 years"	"34"	"2020 "	"2020"	22	309726	7.1	4.5	10.8	1.5
	"Black or African American"	"2054-5"	"Female"	"F"	"35 years"	"35"	"1999"	"1999"	23	309142	7.4	4.7	11.2	1.6
	"Black or African American"	"2054-5"	"Female"	"F"	"35 years"	"35"	"2000"	"2000"	11	308201	Unreliable	1.8	6.4	1.1
	"Black or African American"	"2054-5"	"Female"	"F"	"35 years"	"35"	"2001"	"2001"	24	285590	8.4	5.4	12.5	1.7
	"Black or African American"	"2054-5"	"Female"	"F"	"35 years"	"35"	"2002"	"2002"	18	272422	Unreliable	3.9	10.4	1.6
	"Black or African American"	"2054-5"	"Female"	"F"	"35 years"	"35"	"2003"	"2003"	19	272295	Unreliable	4.2	10.9	1.6
	"Black or African American"	"2054-5"	"Female"	"F"	"35 years"	"35"	"2004"	"2004"	11	270441	Unreliable	2.0	7.3	1.2
	"Black or African American"	"2054-5"	"Female"	"F"	"35 years"	"35"	"2005"	"2005"	21	293433	7.2	4.4	10.9	1.6
	"Black or African American"	"2054-5"	"Female"	"F"	"35 years"	"35"	"2006"	"2006"	23	293847	7.8	5.0	11.7	1.6
	"Black or African American"	"2054-5"	"Female"	"F"	"35 years"	"35"	"2007"	"2007"	24	280631	8.6	5.5	12.7	1.7
	"Black or African American"	"2054-5"	"Female"	"F"	"35 years"	"35"	"2008"	"2008"	12	271104	Unreliable	2.3	7.7	1.3
	"Black or African American"	"2054-5"	"Female"	"F"	"35 years"	"35"	"2009"	"2009"	17	261354	Unreliable	3.8	10.4	1.6
	"Black or African American"	"2054-5"	"Female"	"F"	"35 years"	"35"	"2010"	"2010"	18	268610	Unreliable	4.0	10.6	1.6
	"Black or African American"	"2054-5"	"Female"	"F"	"35 years"	"35"	"2011"	"2011"	19	261199	Unreliable	4.4	11.4	1.7
	"Black or African American"	"2054-5"	"Female"	"F"	"35 years"	"35"	"2012"	"2012"	19	272932	Unreliable	4.2	10.9	1.6
	"Black or African American"	"2054-5"	"Female"	"F"	"35 years"	"35"	"2013"	"2013"	21	275610	7.6	4.7	11.6	1.7
	"Black or African American"	"2054-5"	"Female"	"F"	"35 years"	"35"	"2014"	"2014"	27	287255	9.4	6.2	13.7	1.8
	"Black or African American"	"2054-5"	"Female"	"F"	"35 years"	"35"	"2015"	"2015"	14	307267	Unreliable	2.5	7.6	1.2
	"Black or African American"	"2054-5"	"Female"	"F"	"35 years"	"35"	"2016"	"2016"	21	296340	7.1	4.4	10.8	1.5
	"Black or African American"	"2054-5"	"Female"	"F"	"35 years"	"35"	"2017"	"2017"	23	299601	7.7	4.9	11.5	1.6
	"Black or African American"	"2054-5"	"Female"	"F"	"35 years"	"35"	"2018"	"2018"	28	298858	9.4	6.2	13.5	1.8
	"Black or African American"	"2054-5"	"Female"	"F"	"35 years"	"35"	"2019"	"2019"	20	295680	6.8	4.1	10.4	1.5
	"Black or African American"	"2054-5"	"Female"	"F"	"35 years"	"35"	"2020 "	"2020"	28	308355	9.1	6.0	13.1	1.7
	"Black or African American"	"2054-5"	"Female"	"F"	"36 years"	"36"	"1999"	"1999"	28	300226	9.3	6.2	13.5	1.8
	"Black or African American"	"2054-5"	"Female"	"F"	"36 years"	"36"	"2000"	"2000"	25	300699	8.3	5.4	12.3	1.7
	"Black or African American"	"2054-5"	"Female"	"F"	"36 years"	"36"	"2001"	"2001"	23	305261	7.5	4.8	11.3	1.6
	"Black or African American"	"2054-5"	"Female"	"F"	"36 years"	"36"	"2002"	"2002"	25	286015	8.7	5.7	12.9	1.7
	"Black or African American"	"2054-5"	"Female"	"F"	"36 years"	"36"	"2003"	"2003"	21	272635	7.7	4.8	11.8	1.7
	"Black or African American"	"2054-5"	"Female"	"F"	"36 years"	"36"	"2004"	"2004"	31	272711	11.4	7.7	16.1	2.0
	"Black or African American"	"2054-5"	"Female"	"F"	"36 years"	"36"	"2005"	"2005"	29	270863	10.7	7.2	15.4	2.0
	"Black or African American"	"2054-5"	"Female"	"F"	"36 years"	"36"	"2006"	"2006"	36	293899	12.2	8.6	17.0	2.0
	"Black or African American"	"2054-5"	"Female"	"F"	"36 years"	"36"	"2007"	"2007"	25	294129	8.5	5.5	12.5	1.7
	"Black or African American"	"2054-5"	"Female"	"F"	"36 years"	"36"	"2008"	"2008"	21	280978	7.5	4.6	11.4	1.6
	"Black or African American"	"2054-5"	"Female"	"F"	"36 years"	"36"	"2009"	"2009"	14	271393	Unreliable	2.8	8.7	1.4
	"Black or African American"	"2054-5"	"Female"	"F"	"36 years"	"36"	"2010"	"2010"	19	261414	Unreliable	4.4	11.4	1.7
	"Black or African American"	"2054-5"	"Female"	"F"	"36 years"	"36"	"2011"	"2011"	25	269433	9.3	6.0	13.7	1.9
	"Black or African American"	"2054-5"	"Female"	"F"	"36 years"	"36"	"2012"	"2012"	22	261958	8.4	5.3	12.7	1.8
	"Black or African American"	"2054-5"	"Female"	"F"	"36 years"	"36"	"2013"	"2013"	17	273443	Unreliable	3.6	10.0	1.5
	"Black or African American"	"2054-5"	"Female"	"F"	"36 years"	"36"	"2014"	"2014"	23	277202	8.3	5.3	12.4	1.7
	"Black or African American"	"2054-5"	"Female"	"F"	"36 years"	"36"	"2015"	"2015"	28	288058	9.7	6.5	14.0	1.8
	"Black or African American"	"2054-5"	"Female"	"F"	"36 years"	"36"	"2016"	"2016"	20	307407	6.5	4.0	10.0	1.5
	"Black or African American"	"2054-5"	"Female"	"F"	"36 years"	"36"	"2017"	"2017"	21	297834	7.1	4.4	10.8	1.5
	"Black or African American"	"2054-5"	"Female"	"F"	"36 years"	"36"	"2018"	"2018"	17	299784	Unreliable	3.3	9.1	1.4
	"Black or African American"	"2054-5"	"Female"	"F"	"36 years"	"36"	"2019"	"2019"	17	299248	Unreliable	3.3	9.1	1.4
