"Notes"	"Race"	"Race Code"	"Gender"	"Gender Code"	"Single-Year Ages"	"Single-Year Ages Code"	Deaths	Population	Crude Rate
	"Black or African American"	"2054-5"	"Female"	"F"	"< 1 year"	"0"	101	6468019	1.6
	"Black or African American"	"2054-5"	"Female"	"F"	"1 year"	"1"	26	6484280	0.4
	"Black or African American"	"2054-5"	"Female"	"F"	"2 years"	"2"	13	6483454	Unreliable
	"Black or African American"	"2054-5"	"Female"	"F"	"3 years"	"3"	11	6491545	Unreliable
	"Black or African American"	"2054-5"	"Female"	"F"	"4 years"	"4"	11	6550517	Unreliable
	"Black or African American"	"2054-5"	"Female"	"F"	"8 years"	"8"	10	6703958	Unreliable
	"Black or African American"	"2054-5"	"Female"	"F"	"12 years"	"12"	11	6954446	Unreliable
	"Black or African American"	"2054-5"	"Female"	"F"	"14 years"	"14"	17	6940319	Unreliable
	"Black or African American"	"2054-5"	"Female"	"F"	"15 years"	"15"	12	6971091	Unreliable
	"Black or African American"	"2054-5"	"Female"	"F"	"16 years"	"16"	10	7007971	Unreliable
	"Black or African American"	"2054-5"	"Female"	"F"	"17 years"	"17"	12	7018371	Unreliable
	"Black or African American"	"2054-5"	"Female"	"F"	"18 years"	"18"	29	7071318	0.4
	"Black or African American"	"2054-5"	"Female"	"F"	"19 years"	"19"	25	7119640	0.4
	"Black or African American"	"2054-5"	"Female"	"F"	"20 years"	"20"	46	7058844	0.7
	"Black or African American"	"2054-5"	"Female"	"F"	"21 years"	"21"	53	7008062	0.8
	"Black or African American"	"2054-5"	"Female"	"F"	"22 years"	"22"	64	6925219	0.9
	"Black or African American"	"2054-5"	"Female"	"F"	"23 years"	"23"	68	6853336	1.0
	"Black or African American"	"2054-5"	"Female"	"F"	"24 years"	"24"	61	6792091	0.9
	"Black or African American"	"2054-5"	"Female"	"F"	"25 years"	"25"	84	6761957	1.2
	"Black or African American"	"2054-5"	"Female"	"F"	"26 years"	"26"	111	6667215	1.7
	"Black or African American"	"2054-5"	"Female"	"F"	"27 years"	"27"	127	6636318	1.9
	"Black or African American"	"2054-5"	"Female"	"F"	"28 years"	"28"	130	6538169	2.0
	"Black or African American"	"2054-5"	"Female"	"F"	"29 years"	"29"	196	6460229	3.0
	"Black or African American"	"2054-5"	"Female"	"F"	"30 years"	"30"	208	6425631	3.2
	"Black or African American"	"2054-5"	"Female"	"F"	"31 years"	"31"	221	6304434	3.5
	"Black or African American"	"2054-5"	"Female"	"F"	"32 years"	"32"	282	6288085	4.5
	"Black or African American"	"2054-5"	"Female"	"F"	"33 years"	"33"	296	6249560	4.7
	"Black or African American"	"2054-5"	"Female"	"F"	"34 years"	"34"	383	6258151	6.1
	"Black or African American"	"2054-5"	"Female"	"F"	"35 years"	"35"	441	6290167	7.0
	"Black or African American"	"2054-5"	"Female"	"F"	"36 years"	"36"	505	6281058	8.0
	"Black or African American"	"2054-5"	"Female"	"F"	"37 years"	"37"	590	6299197	9.4
