"Notes"	"Race"	"Race Code"	"Gender"	"Gender Code"	"Single-Year Ages"	"Single-Year Ages Code"	Deaths	Population	Crude Rate
	"Black or African American"	"2054-5"	"Female"	"F"	"23 years"	"23"	10	1362588	Unreliable
	"Black or African American"	"2054-5"	"Female"	"F"	"24 years"	"24"	13	1324773	Unreliable
	"Black or African American"	"2054-5"	"Female"	"F"	"25 years"	"25"	11	1304750	Unreliable
	"Black or African American"	"2054-5"	"Female"	"F"	"26 years"	"26"	18	1289803	Unreliable
	"Black or African American"	"2054-5"	"Female"	"F"	"27 years"	"27"	19	1310330	Unreliable
	"Black or African American"	"2054-5"	"Female"	"F"	"28 years"	"28"	32	1333171	2.4
	"Black or African American"	"2054-5"	"Female"	"F"	"29 years"	"29"	26	1358867	1.9
	"Black or African American"	"2054-5"	"Female"	"F"	"30 years"	"30"	42	1392961	3.0
	"Black or African American"	"2054-5"	"Female"	"F"	"31 years"	"31"	40	1384382	2.9
	"Black or African American"	"2054-5"	"Female"	"F"	"32 years"	"32"	53	1392230	3.8
	"Black or African American"	"2054-5"	"Female"	"F"	"33 years"	"33"	64	1381972	4.6
	"Black or African American"	"2054-5"	"Female"	"F"	"34 years"	"34"	72	1397164	5.2
	"Black or African American"	"2054-5"	"Female"	"F"	"35 years"	"35"	67	1447650	4.6
	"Black or African American"	"2054-5"	"Female"	"F"	"36 years"	"36"	88	1464836	6.0
	"Black or African American"	"2054-5"	"Female"	"F"	"37 years"	"37"	112	1495899	7.5
	"Black or African American"	"2054-5"	"Female"	"F"	"38 years"	"38"	121	1498428	8.1
	"Black or African American"	"2054-5"	"Female"	"F"	"39 years"	"39"	131	1506274	8.7
	"Black or African American"	"2054-5"	"Female"	"F"	"40 years"	"40"	137	1514646	9.0
	"Black or African American"	"2054-5"	"Female"	"F"	"41 years"	"41"	184	1480516	12.4
	"Black or African American"	"2054-5"	"Female"	"F"	"42 years"	"42"	192	1479726	13.0
	"Black or African American"	"2054-5"	"Female"	"F"	"43 years"	"43"	210	1447197	14.5
	"Black or African American"	"2054-5"	"Female"	"F"	"44 years"	"44"	253	1402162	18.0
	"Black or African American"	"2054-5"	"Female"	"F"	"45 years"	"45"	243	1373558	17.7
	"Black or African American"	"2054-5"	"Female"	"F"	"46 years"	"46"	250	1314625	19.0
	"Black or African American"	"2054-5"	"Female"	"F"	"47 years"	"47"	300	1277740	23.5
	"Black or African American"	"2054-5"	"Female"	"F"	"48 years"	"48"	300	1223170	24.5
	"Black or African American"	"2054-5"	"Female"	"F"	"49 years"	"49"	330	1186801	27.8
	"Black or African American"	"2054-5"	"Female"	"F"	"50 years"	"50"	325	1154635	28.1
	"Black or African American"	"2054-5"	"Female"	"F"	"51 years"	"51"	343	1102039	31.1
	"Black or African American"	"2054-5"	"Female"	"F"	"52 years"	"52"	378	1067446	35.4
	"Black or African American"	"2054-5"	"Female"	"F"	"53 years"	"53"	323	979857	33.0
	"Black or African American"	"2054-5"	"Female"	"F"	"54 years"	"54"	356	923480	38.5
	"Black or African American"	"2054-5"	"Female"	"F"	"55 years"	"55"	382	856085	44.6
	"Black or African American"	"2054-5"	"Female"	"F"	"56 years"	"56"	354	801302	44.2
	"Black or African American"	"2054-5"	"Female"	"F"	"57 years"	"57"	373	754449	49.4
	"Black or African American"	"2054-5"	"Female"	"F"	"58 years"	"58"	382	716127	53.3
	"Black or African American"	"2054-5"	"Female"	"F"	"59 years"	"59"	392	692335	56.6
	"Black or African American"	"2054-5"	"Female"	"F"	"60 years"	"60"	373	670866	55.6
	"Black or African American"	"2054-5"	"Female"	"F"	"61 years"	"61"	376	633296	59.4
	"Black or African American"	"2054-5"	"Female"	"F"	"62 years"	"62"	442	610124	72.4
	"Black or African American"	"2054-5"	"Female"	"F"	"63 years"	"63"	398	590332	67.4
	"Black or African American"	"2054-5"	"Female"	"F"	"64 years"	"64"	421	571532	73.7
	"Black or African American"	"2054-5"	"Female"	"F"	"65 years"	"65"	428	559048	76.6
	"Black or African American"	"2054-5"	"Female"	"F"	"66 years"	"66"	451	539266	83.6
	"Black or African American"	"2054-5"	"Female"	"F"	"67 years"	"67"	469	530728	88.4
	"Black or African American"	"2054-5"	"Female"	"F"	"68 years"	"68"	502	499141	100.6
	"Black or African American"	"2054-5"	"Female"	"F"	"69 years"	"69"	513	480299	106.8
	"Black or African American"	"2054-5"	"Female"	"F"	"70 years"	"70"	572	472777	121.0
