"Notes"	"Race"	"Race Code"	"Gender"	"Gender Code"	"Single-Year Ages"	"Single-Year Ages Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Black or African American"	"2054-5"	"Female"	"F"	"< 1 year"	"0"	"2009"	"2009"	0	303502	Unreliable
	"Black or African American"	"2054-5"	"Female"	"F"	"< 1 year"	"0"	"2010"	"2010"	0	297421	Unreliable
	"Black or African American"	"2054-5"	"Female"	"F"	"< 1 year"	"0"	"2011"	"2011"	Suppressed	300740	Suppressed
	"Black or African American"	"2054-5"	"Female"	"F"	"< 1 year"	"0"	"2012"	"2012"	0	297309	Unreliable
	"Black or African American"	"2054-5"	"Female"	"F"	"< 1 year"	"0"	"2013"	"2013"	0	296741	Unreliable
	"Black or African American"	"2054-5"	"Female"	"F"	"1 year"	"1"	"2009"	"2009"	0	308004	Unreliable
	"Black or African American"	"2054-5"	"Female"	"F"	"1 year"	"1"	"2010"	"2010"	Suppressed	301236	Suppressed
	"Black or African American"	"2054-5"	"Female"	"F"	"1 year"	"1"	"2011"	"2011"	0	300095	Unreliable
	"Black or African American"	"2054-5"	"Female"	"F"	"1 year"	"1"	"2012"	"2012"	0	300805	Unreliable
	"Black or African American"	"2054-5"	"Female"	"F"	"1 year"	"1"	"2013"	"2013"	0	299235	Unreliable
	"Black or African American"	"2054-5"	"Female"	"F"	"2 years"	"2"	"2009"	"2009"	0	307687	Unreliable
	"Black or African American"	"2054-5"	"Female"	"F"	"2 years"	"2"	"2010"	"2010"	0	309440	Unreliable
	"Black or African American"	"2054-5"	"Female"	"F"	"2 years"	"2"	"2011"	"2011"	0	300096	Unreliable
	"Black or African American"	"2054-5"	"Female"	"F"	"2 years"	"2"	"2012"	"2012"	0	298293	Unreliable
	"Black or African American"	"2054-5"	"Female"	"F"	"2 years"	"2"	"2013"	"2013"	0	299112	Unreliable
	"Black or African American"	"2054-5"	"Female"	"F"	"3 years"	"3"	"2009"	"2009"	0	294506	Unreliable
	"Black or African American"	"2054-5"	"Female"	"F"	"3 years"	"3"	"2010"	"2010"	0	306977	Unreliable
	"Black or African American"	"2054-5"	"Female"	"F"	"3 years"	"3"	"2011"	"2011"	0	309997	Unreliable
	"Black or African American"	"2054-5"	"Female"	"F"	"3 years"	"3"	"2012"	"2012"	0	301022	Unreliable
	"Black or African American"	"2054-5"	"Female"	"F"	"3 years"	"3"	"2013"	"2013"	0	298890	Unreliable
	"Black or African American"	"2054-5"	"Female"	"F"	"4 years"	"4"	"2009"	"2009"	0	292927	Unreliable
	"Black or African American"	"2054-5"	"Female"	"F"	"4 years"	"4"	"2010"	"2010"	0	299217	Unreliable
	"Black or African American"	"2054-5"	"Female"	"F"	"4 years"	"4"	"2011"	"2011"	0	308037	Unreliable
	"Black or African American"	"2054-5"	"Female"	"F"	"4 years"	"4"	"2012"	"2012"	0	310997	Unreliable
	"Black or African American"	"2054-5"	"Female"	"F"	"4 years"	"4"	"2013"	"2013"	0	301709	Unreliable
	"Black or African American"	"2054-5"	"Female"	"F"	"5 years"	"5"	"2009"	"2009"	0	293961	Unreliable
	"Black or African American"	"2054-5"	"Female"	"F"	"5 years"	"5"	"2010"	"2010"	0	293849	Unreliable
	"Black or African American"	"2054-5"	"Female"	"F"	"5 years"	"5"	"2011"	"2011"	0	301210	Unreliable
	"Black or African American"	"2054-5"	"Female"	"F"	"5 years"	"5"	"2012"	"2012"	0	309069	Unreliable
	"Black or African American"	"2054-5"	"Female"	"F"	"5 years"	"5"	"2013"	"2013"	0	311775	Unreliable
	"Black or African American"	"2054-5"	"Female"	"F"	"6 years"	"6"	"2009"	"2009"	0	289568	Unreliable
	"Black or African American"	"2054-5"	"Female"	"F"	"6 years"	"6"	"2010"	"2010"	0	292446	Unreliable
	"Black or African American"	"2054-5"	"Female"	"F"	"6 years"	"6"	"2011"	"2011"	0	295699	Unreliable
