"Notes"	"Race"	"Race Code"	"Gender"	"Gender Code"	"Single-Year Ages"	"Single-Year Ages Code"	Deaths	Population	Crude Rate
	"Black or African American"	"2054-5"	"Female"	"F"	"18 years"	"18"	13	7071318	Unreliable
	"Black or African American"	"2054-5"	"Female"	"F"	"19 years"	"19"	24	7119640	0.3
	"Black or African American"	"2054-5"	"Female"	"F"	"20 years"	"20"	21	7058844	0.3
	"Black or African American"	"2054-5"	"Female"	"F"	"21 years"	"21"	29	7008062	0.4
	"Black or African American"	"2054-5"	"Female"	"F"	"22 years"	"22"	26	6925219	0.4
	"Black or African American"	"2054-5"	"Female"	"F"	"23 years"	"23"	46	6853336	0.7
	"Black or African American"	"2054-5"	"Female"	"F"	"24 years"	"24"	60	6792091	0.9
	"Black or African American"	"2054-5"	"Female"	"F"	"25 years"	"25"	67	6761957	1.0
	"Black or African American"	"2054-5"	"Female"	"F"	"26 years"	"26"	111	6667215	1.7
	"Black or African American"	"2054-5"	"Female"	"F"	"27 years"	"27"	108	6636318	1.6
	"Black or African American"	"2054-5"	"Female"	"F"	"28 years"	"28"	153	6538169	2.3
	"Black or African American"	"2054-5"	"Female"	"F"	"29 years"	"29"	156	6460229	2.4
	"Black or African American"	"2054-5"	"Female"	"F"	"30 years"	"30"	192	6425631	3.0
	"Black or African American"	"2054-5"	"Female"	"F"	"31 years"	"31"	235	6304434	3.7
	"Black or African American"	"2054-5"	"Female"	"F"	"32 years"	"32"	269	6288085	4.3
	"Black or African American"	"2054-5"	"Female"	"F"	"33 years"	"33"	313	6249560	5.0
	"Black or African American"	"2054-5"	"Female"	"F"	"34 years"	"34"	359	6258151	5.7
	"Black or African American"	"2054-5"	"Female"	"F"	"35 years"	"35"	359	6290167	5.7
	"Black or African American"	"2054-5"	"Female"	"F"	"36 years"	"36"	385	6281058	6.1
	"Black or African American"	"2054-5"	"Female"	"F"	"37 years"	"37"	479	6299197	7.6
	"Black or African American"	"2054-5"	"Female"	"F"	"38 years"	"38"	548	6289735	8.7
	"Black or African American"	"2054-5"	"Female"	"F"	"39 years"	"39"	603	6310979	9.6
	"Black or African American"	"2054-5"	"Female"	"F"	"40 years"	"40"	702	6321201	11.1
	"Black or African American"	"2054-5"	"Female"	"F"	"41 years"	"41"	804	6287729	12.8
	"Black or African American"	"2054-5"	"Female"	"F"	"42 years"	"42"	878	6295100	13.9
	"Black or African American"	"2054-5"	"Female"	"F"	"43 years"	"43"	967	6294209	15.4
	"Black or African American"	"2054-5"	"Female"	"F"	"44 years"	"44"	1081	6256881	17.3
	"Black or African American"	"2054-5"	"Female"	"F"	"45 years"	"45"	1160	6239481	18.6
	"Black or African American"	"2054-5"	"Female"	"F"	"46 years"	"46"	1236	6188175	20.0
	"Black or African American"	"2054-5"	"Female"	"F"	"47 years"	"47"	1441	6177372	23.3
	"Black or African American"	"2054-5"	"Female"	"F"	"48 years"	"48"	1513	6108960	24.8
	"Black or African American"	"2054-5"	"Female"	"F"	"49 years"	"49"	1616	6060353	26.7
	"Black or African American"	"2054-5"	"Female"	"F"	"50 years"	"50"	1741	5961787	29.2
	"Black or African American"	"2054-5"	"Female"	"F"	"51 years"	"51"	1855	5863953	31.6
	"Black or African American"	"2054-5"	"Female"	"F"	"52 years"	"52"	2040	5774089	35.3
	"Black or African American"	"2054-5"	"Female"	"F"	"53 years"	"53"	2000	5637581	35.5
