"Notes"	"Race"	"Race Code"	"Gender"	"Gender Code"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Black or African American"	"2054-5"	"Female"	"F"	"< 1 year"	"1"	"1999"	"1999"	0	280072	Unreliable
	"Black or African American"	"2054-5"	"Female"	"F"	"< 1 year"	"1"	"2000"	"2000"	0	283794	Unreliable
	"Black or African American"	"2054-5"	"Female"	"F"	"< 1 year"	"1"	"2001"	"2001"	0	296820	Unreliable
	"Black or African American"	"2054-5"	"Female"	"F"	"< 1 year"	"1"	"2002"	"2002"	Suppressed	289527	Suppressed
	"Black or African American"	"2054-5"	"Female"	"F"	"< 1 year"	"1"	"2003"	"2003"	0	283849	Unreliable
	"Black or African American"	"2054-5"	"Female"	"F"	"< 1 year"	"1"	"2004"	"2004"	Suppressed	285612	Suppressed
	"Black or African American"	"2054-5"	"Female"	"F"	"< 1 year"	"1"	"2005"	"2005"	Suppressed	286197	Suppressed
	"Black or African American"	"2054-5"	"Female"	"F"	"< 1 year"	"1"	"2006"	"2006"	0	292848	Unreliable
	"Black or African American"	"2054-5"	"Female"	"F"	"< 1 year"	"1"	"2007"	"2007"	0	307533	Unreliable
	"Black or African American"	"2054-5"	"Female"	"F"	"< 1 year"	"1"	"2008"	"2008"	0	308940	Unreliable
	"Black or African American"	"2054-5"	"Female"	"F"	"< 1 year"	"1"	"2009"	"2009"	0	303502	Unreliable
	"Black or African American"	"2054-5"	"Female"	"F"	"< 1 year"	"1"	"2010"	"2010"	0	297421	Unreliable
	"Black or African American"	"2054-5"	"Female"	"F"	"< 1 year"	"1"	"2011"	"2011"	Suppressed	300740	Suppressed
	"Black or African American"	"2054-5"	"Female"	"F"	"< 1 year"	"1"	"2012"	"2012"	0	297309	Unreliable
	"Black or African American"	"2054-5"	"Female"	"F"	"< 1 year"	"1"	"2013"	"2013"	0	296741	Unreliable
	"Black or African American"	"2054-5"	"Female"	"F"	"< 1 year"	"1"	"2014"	"2014"	0	297735	Unreliable
	"Black or African American"	"2054-5"	"Female"	"F"	"< 1 year"	"1"	"2015"	"2015"	0	300980	Unreliable
	"Black or African American"	"2054-5"	"Female"	"F"	"< 1 year"	"1"	"2016"	"2016"	Suppressed	298919	Suppressed
	"Black or African American"	"2054-5"	"Female"	"F"	"< 1 year"	"1"	"2017"	"2017"	0	296615	Unreliable
	"Black or African American"	"2054-5"	"Female"	"F"	"< 1 year"	"1"	"2018"	"2018"	0	289594	Unreliable
	"Black or African American"	"2054-5"	"Female"	"F"	"< 1 year"	"1"	"2019"	"2019"	Suppressed	284243	Suppressed
	"Black or African American"	"2054-5"	"Female"	"F"	"< 1 year"	"1"	"2020 "	"2020"	0	289028	Unreliable
	"Black or African American"	"2054-5"	"Female"	"F"	"1-4 years"	"1-4"	"1999"	"1999"	0	1157443	Unreliable
	"Black or African American"	"2054-5"	"Female"	"F"	"1-4 years"	"1-4"	"2000"	"2000"	Suppressed	1157506	Suppressed
	"Black or African American"	"2054-5"	"Female"	"F"	"1-4 years"	"1-4"	"2001"	"2001"	0	1144959	Unreliable
	"Black or African American"	"2054-5"	"Female"	"F"	"1-4 years"	"1-4"	"2002"	"2002"	0	1153940	Unreliable
	"Black or African American"	"2054-5"	"Female"	"F"	"1-4 years"	"1-4"	"2003"	"2003"	0	1156635	Unreliable
	"Black or African American"	"2054-5"	"Female"	"F"	"1-4 years"	"1-4"	"2004"	"2004"	0	1157073	Unreliable
	"Black or African American"	"2054-5"	"Female"	"F"	"1-4 years"	"1-4"	"2005"	"2005"	0	1157560	Unreliable
	"Black or African American"	"2054-5"	"Female"	"F"	"1-4 years"	"1-4"	"2006"	"2006"	0	1148720	Unreliable
