Race	Hispanic Origin	Five-Year Age Groups	Gender	Deaths	Population	Crude Rate
Black or African American	Not Hispanic or Latino	20-24 years	F	31	4904141	0.632118856289002
Black or African American	Not Hispanic or Latino	20-24 years	M	71	5013386	1.41620852653277
Black or African American	Not Hispanic or Latino	25-29 years	F	111	5180982	2.14245098709086
Black or African American	Not Hispanic or Latino	25-29 years	M	200	5271651	3.79387785724055
Black or African American	Not Hispanic or Latino	30-34 years	F	290	5164103	5.61568969480276
Black or African American	Not Hispanic or Latino	30-34 years	M	453	5035531	8.99607211235518
Black or African American	Not Hispanic or Latino	35-39 years	F	447	4564824	9.79227238552899
Black or African American	Not Hispanic or Latino	35-39 years	M	850	4271949	19.8972412826089
Black or African American	Not Hispanic or Latino	40-44 years	F	798	4345933	18.3619949962413
Black or African American	Not Hispanic or Latino	40-44 years	M	1376	3949647	34.8385564583367
Black or African American	Not Hispanic or Latino	45-49 years	F	1118	4059458	27.5406224180667
Black or African American	Not Hispanic or Latino	45-49 years	M	1891	3616741	52.2846396797559
Black or African American	Not Hispanic or Latino	50-54 years	F	1599	4135774	38.6626541972555
Black or African American	Not Hispanic or Latino	50-54 years	M	2766	3684666	75.0678623245635
Black or African American	Not Hispanic or Latino	55-59 years	F	2235	4223086	52.9233835162249
Black or African American	Not Hispanic or Latino	55-59 years	M	3916	3684049	106.296088895669
Black or African American	Not Hispanic or Latino	60-64 years	F	3016	4012493	75.1652401636589
Black or African American	Not Hispanic or Latino	60-64 years	M	5013	3390287	147.863587949929
Black or African American	Not Hispanic or Latino	65-69 years	F	3452	3315232	104.125442804606
Black or African American	Not Hispanic or Latino	65-69 years	M	5045	2599098	194.105801320304
Black or African American	Not Hispanic or Latino	70-74 years	F	3455	2525613	136.798472291677
Black or African American	Not Hispanic or Latino	70-74 years	M	4307	1840747	233.981095718206
Black or African American	Not Hispanic or Latino	75-79 years	F	3280	1608056	203.972995965315
Black or African American	Not Hispanic or Latino	75-79 years	M	3214	1075567	298.819134465821
Black or African American	Not Hispanic or Latino	80-84 years	F	3533	1052375	335.716830977551
Black or African American	Not Hispanic or Latino	80-84 years	M	2663	620058	429.475952249628
White	Not Hispanic or Latino	20-24 years	F	28	17462377	0.160344722828971
White	Not Hispanic or Latino	20-24 years	M	87	18355140	0.473981674887797
White	Not Hispanic or Latino	25-29 years	F	76	18086242	0.420208907964407
White	Not Hispanic or Latino	25-29 years	M	203	18960079	1.07067064435755
White	Not Hispanic or Latino	30-34 years	F	164	19060137	0.860434528880878
White	Not Hispanic or Latino	30-34 years	M	490	19574578	2.50324681329018
White	Not Hispanic or Latino	35-39 years	F	428	18685335	2.29056637197032
White	Not Hispanic or Latino	35-39 years	M	1013	19143755	5.29154285562054
White	Not Hispanic or Latino	40-44 years	F	765	17807055	4.29605007678137
White	Not Hispanic or Latino	40-44 years	M	1735	18232962	9.51573309920791
White	Not Hispanic or Latino	45-49 years	F	1234	17191949	7.17777838917507
White	Not Hispanic or Latino	45-49 years	M	2714	17518712	15.4920064899748
White	Not Hispanic or Latino	50-54 years	F	2158	19379130	11.1356908179057
White	Not Hispanic or Latino	50-54 years	M	4869	19647157	24.7822114924821
White	Not Hispanic or Latino	55-59 years	F	3680	21591719	17.0435711950494
White	Not Hispanic or Latino	55-59 years	M	7966	21276469	37.4404230326
White	Not Hispanic or Latino	60-64 years	F	5644	22715038	24.8469758228007
White	Not Hispanic or Latino	60-64 years	M	11712	21866414	53.5615945074487
White	Not Hispanic or Latino	65-69 years	F	7507	20865508	35.9780360967008
White	Not Hispanic or Latino	65-69 years	M	12841	19366589	66.3049130644534
White	Not Hispanic or Latino	70-74 years	F	10234	18028045	56.7671092456226
White	Not Hispanic or Latino	70-74 years	M	13922	16170216	86.0965617280561
White	Not Hispanic or Latino	75-79 years	F	13078	12888425	101.470893456726
White	Not Hispanic or Latino	75-79 years	M	13992	10931589	127.996030586221
White	Not Hispanic or Latino	80-84 years	F	17326	8500853	203.814840698928
White	Not Hispanic or Latino	80-84 years	M	15110	6501879	232.394358615409
