Race	Hispanic Origin	Five-Year Age Groups	Gender	Year	Deaths	Population	Crude Rate
Black or African American	Not Hispanic or Latino	20-24 years	F	2006	12	1487479	0.806734078262618
Black or African American	Not Hispanic or Latino	20-24 years	F	2007	12	1498025	0.8010547220507
Black or African American	Not Hispanic or Latino	20-24 years	F	2008	16	1519892	1.0527063765057
Black or African American	Not Hispanic or Latino	20-24 years	F	2009	16	1554094	1.02953875376908
Black or African American	Not Hispanic or Latino	20-24 years	F	2010	12	1587829	0.755748887317211
Black or African American	Not Hispanic or Latino	20-24 years	F	2011	8	1671217	0.47869307217435
Black or African American	Not Hispanic or Latino	20-24 years	F	2012	24	1731526	1.38606061936119
Black or African American	Not Hispanic or Latino	20-24 years	M	2006	25	1480574	1.68853431169263
Black or African American	Not Hispanic or Latino	20-24 years	M	2007	35	1486497	2.35452880160538
Black or African American	Not Hispanic or Latino	20-24 years	M	2008	23	1497956	1.53542560662663
Black or African American	Not Hispanic or Latino	20-24 years	M	2009	30	1522604	1.97030876051816
Black or African American	Not Hispanic or Latino	20-24 years	M	2010	22	1550237	1.41913784795486
Black or African American	Not Hispanic or Latino	20-24 years	M	2011	33	1654175	1.99495216648783
Black or African American	Not Hispanic or Latino	20-24 years	M	2012	24	1737366	1.38140150089273
Black or African American	Not Hispanic or Latino	25-29 years	F	2006	28	1406128	1.99128386604918
Black or African American	Not Hispanic or Latino	25-29 years	F	2007	21	1434645	1.46377675313405
Black or African American	Not Hispanic or Latino	25-29 years	F	2008	32	1454865	2.19951679365439
Black or African American	Not Hispanic or Latino	25-29 years	F	2009	33	1459525	2.26100957503297
Black or African American	Not Hispanic or Latino	25-29 years	F	2010	24	1454543	1.6500027843797
Black or African American	Not Hispanic or Latino	25-29 years	F	2011	36	1465672	2.45621121233127
Black or African American	Not Hispanic or Latino	25-29 years	F	2012	31	1482708	2.0907690523016
Black or African American	Not Hispanic or Latino	25-29 years	M	2006	49	1261035	3.88569706629871
Black or African American	Not Hispanic or Latino	25-29 years	M	2007	45	1295064	3.47473175070885
Black or African American	Not Hispanic or Latino	25-29 years	M	2008	52	1326472	3.92017321134558
Black or African American	Not Hispanic or Latino	25-29 years	M	2009	39	1341280	2.9076702851008
Black or African American	Not Hispanic or Latino	25-29 years	M	2010	49	1342341	3.65033922080902
Black or African American	Not Hispanic or Latino	25-29 years	M	2011	40	1368360	2.92320734309685
Black or African American	Not Hispanic or Latino	25-29 years	M	2012	53	1400570	3.78417358646837
Black or African American	Not Hispanic or Latino	30-34 years	F	2006	55	1320401	4.16540126825108
Black or African American	Not Hispanic or Latino	30-34 years	F	2007	70	1313374	5.32978420465153
Black or African American	Not Hispanic or Latino	30-34 years	F	2008	56	1320241	4.24164981999499
Black or African American	Not Hispanic or Latino	30-34 years	F	2009	73	1353009	5.39538170108255
Black or African American	Not Hispanic or Latino	30-34 years	F	2010	75	1384808	5.41591325295637
Black or African American	Not Hispanic or Latino	30-34 years	F	2011	65	1424682	4.56242164918206
Black or African American	Not Hispanic or Latino	30-34 years	F	2012	53	1450157	3.65477668969636
Black or African American	Not Hispanic or Latino	30-34 years	M	2006	93	1171760	7.93677886256571
Black or African American	Not Hispanic or Latino	30-34 years	M	2007	97	1165879	8.31990283725841
Black or African American	Not Hispanic or Latino	30-34 years	M	2008	96	1175694	8.16538997392179
Black or African American	Not Hispanic or Latino	30-34 years	M	2009	104	1210245	8.59330135633694
Black or African American	Not Hispanic or Latino	30-34 years	M	2010	93	1245147	7.46899763642365
Black or African American	Not Hispanic or Latino	30-34 years	M	2011	83	1286022	6.45401089561454
Black or African American	Not Hispanic or Latino	30-34 years	M	2012	87	1315999	6.61094727275629
Black or African American	Not Hispanic or Latino	35-39 years	F	2006	92	1405559	6.54543850524951
Black or African American	Not Hispanic or Latino	35-39 years	F	2007	107	1413720	7.56868403927227
Black or African American	Not Hispanic or Latino	35-39 years	F	2008	86	1412276	6.08946126677788
Black or African American	Not Hispanic or Latino	35-39 years	F	2009	107	1403007	7.62647656070141
Black or African American	Not Hispanic or Latino	35-39 years	F	2010	97	1384151	7.00790592933863
Black or African American	Not Hispanic or Latino	35-39 years	F	2011	109	1344610	8.10643978551402
Black or African American	Not Hispanic or Latino	35-39 years	F	2012	112	1338520	8.36745061709948
Black or African American	Not Hispanic or Latino	35-39 years	M	2006	163	1244414	13.0985347320104
Black or African American	Not Hispanic or Latino	35-39 years	M	2007	171	1253650	13.6401707015515
Black or African American	Not Hispanic or Latino	35-39 years	M	2008	178	1253548	14.1996955840542
Black or African American	Not Hispanic or Latino	35-39 years	M	2009	187	1244299	15.0285421751524
Black or African American	Not Hispanic or Latino	35-39 years	M	2010	166	1226242	13.5372952484094
Black or African American	Not Hispanic or Latino	35-39 years	M	2011	169	1193704	14.1576136127549
Black or African American	Not Hispanic or Latino	35-39 years	M	2012	196	1189759	16.4739245511066
Black or African American	Not Hispanic or Latino	40-44 years	F	2006	221	1494626	14.7863077452152
Black or African American	Not Hispanic or Latino	40-44 years	F	2007	186	1471651	12.6388661442149
Black or African American	Not Hispanic or Latino	40-44 years	F	2008	225	1446445	15.5553788771782
Black or African American	Not Hispanic or Latino	40-44 years	F	2009	214	1414333	15.1308072427073
Black or African American	Not Hispanic or Latino	40-44 years	F	2010	179	1404513	12.7446310571707
Black or African American	Not Hispanic or Latino	40-44 years	F	2011	196	1410151	13.8992207217525
Black or African American	Not Hispanic or Latino	40-44 years	F	2012	193	1415866	13.6312334641838
Black or African American	Not Hispanic or Latino	40-44 years	M	2006	278	1324308	20.9920954944016
Black or African American	Not Hispanic or Latino	40-44 years	M	2007	333	1305269	25.5119825874973
Black or African American	Not Hispanic or Latino	40-44 years	M	2008	293	1286275	22.7789547336301
Black or African American	Not Hispanic or Latino	40-44 years	M	2009	316	1262389	25.0319037951059
Black or African American	Not Hispanic or Latino	40-44 years	M	2010	284	1257524	22.5840620139258
