Race	Hispanic Origin	Five-Year Age Groups	Gender	Deaths	Population	Crude Rate
Black or African American	Not Hispanic or Latino	35-39 years	F	532	4564824	11.6543376042537
Black or African American	Not Hispanic or Latino	35-39 years	M	1012	4271949	23.6894213858826
Black or African American	Not Hispanic or Latino	40-44 years	F	968	4345933	22.2736981909293
Black or African American	Not Hispanic or Latino	40-44 years	M	1887	3949647	47.7764215384312
Black or African American	Not Hispanic or Latino	45-49 years	F	1433	4059458	35.3002790027634
Black or African American	Not Hispanic or Latino	45-49 years	M	3053	3616741	84.4130116035403
Black or African American	Not Hispanic or Latino	50-54 years	F	2326	4135774	56.2409841543566
Black or African American	Not Hispanic or Latino	50-54 years	M	5185	3684666	140.71831748115
Black or African American	Not Hispanic or Latino	55-59 years	F	4010	4223086	94.9542585682603
Black or African American	Not Hispanic or Latino	55-59 years	M	8084	3684049	219.432477689629
Black or African American	Not Hispanic or Latino	60-64 years	F	5986	4012493	149.184060881851
Black or African American	Not Hispanic or Latino	60-64 years	M	11795	3390287	347.905649285739
Black or African American	Not Hispanic or Latino	65-69 years	F	7161	3315232	216.002982596693
Black or African American	Not Hispanic or Latino	65-69 years	M	12569	2599098	483.590845747255
Black or African American	Not Hispanic or Latino	70-74 years	F	7745	2525613	306.658225151676
Black or African American	Not Hispanic or Latino	70-74 years	M	11774	1840747	639.63162781197
Black or African American	Not Hispanic or Latino	75-79 years	F	7632	1608056	474.610336953439
Black or African American	Not Hispanic or Latino	75-79 years	M	9051	1075567	841.509640961465
Black or African American	Not Hispanic or Latino	80-84 years	F	7652	1052375	727.117234825989
Black or African American	Not Hispanic or Latino	80-84 years	M	7329	620058	1181.98620129085
White	Not Hispanic or Latino	35-39 years	F	823	18685335	4.40452365451302
White	Not Hispanic or Latino	35-39 years	M	2161	19143755	11.2882765162843
White	Not Hispanic or Latino	40-44 years	F	1675	17807055	9.40638415504417
White	Not Hispanic or Latino	40-44 years	M	4835	18232962	26.5179075127782
White	Not Hispanic or Latino	45-49 years	F	3228	17191949	18.776230664714
White	Not Hispanic or Latino	45-49 years	M	9044	17518712	51.6247998140503
White	Not Hispanic or Latino	50-54 years	F	6197	19379130	31.9776997212981
White	Not Hispanic or Latino	50-54 years	M	18568	19647157	94.5073121775329
White	Not Hispanic or Latino	55-59 years	F	11920	21591719	55.2063501752686
White	Not Hispanic or Latino	55-59 years	M	32936	21276469	154.800122144328
White	Not Hispanic or Latino	60-64 years	F	19605	22715038	86.3084622618725
White	Not Hispanic or Latino	60-64 years	M	51122	21866414	233.792335588268
White	Not Hispanic or Latino	65-69 years	F	25912	20865508	124.1858094229
White	Not Hispanic or Latino	65-69 years	M	61655	19366589	318.357558989867
White	Not Hispanic or Latino	70-74 years	F	35066	18028045	194.508056752687
White	Not Hispanic or Latino	70-74 years	M	70736	16170216	437.446228300228
White	Not Hispanic or Latino	75-79 years	F	41806	12888425	324.368571024
White	Not Hispanic or Latino	75-79 years	M	73584	10931589	673.131783494605
White	Not Hispanic or Latino	80-84 years	F	49028	8500853	576.742122231734
White	Not Hispanic or Latino	80-84 years	M	71934	6501879	1106.35710077041
