Race	Hispanic Origin	Five-Year Age Groups	Gender	Year	Deaths	Population	Crude Rate
Black or African American	Not Hispanic or Latino	35-39 years	F	2006	166	1405559	11.8102477377328
Black or African American	Not Hispanic or Latino	35-39 years	F	2007	147	1413720	10.3980986333928
Black or African American	Not Hispanic or Latino	35-39 years	F	2008	145	1412276	10.2671149265441
Black or African American	Not Hispanic or Latino	35-39 years	F	2009	129	1403007	9.19453716196712
Black or African American	Not Hispanic or Latino	35-39 years	F	2010	130	1384151	9.39203887437137
Black or African American	Not Hispanic or Latino	35-39 years	F	2011	139	1344610	10.3375700017105
Black or African American	Not Hispanic or Latino	35-39 years	F	2012	136	1338520	10.1604757493351
Black or African American	Not Hispanic or Latino	35-39 years	M	2006	310	1244414	24.9113237234554
Black or African American	Not Hispanic or Latino	35-39 years	M	2007	275	1253650	21.9359470346588
Black or African American	Not Hispanic or Latino	35-39 years	M	2008	258	1253548	20.5815812398089
Black or African American	Not Hispanic or Latino	35-39 years	M	2009	281	1244299	22.5829965305767
Black or African American	Not Hispanic or Latino	35-39 years	M	2010	273	1226242	22.2631421856371
Black or African American	Not Hispanic or Latino	35-39 years	M	2011	238	1193704	19.9379410641164
Black or African American	Not Hispanic or Latino	35-39 years	M	2012	275	1189759	23.1139247528281
Black or African American	Not Hispanic or Latino	40-44 years	F	2006	340	1494626	22.7481657618695
Black or African American	Not Hispanic or Latino	40-44 years	F	2007	278	1471651	18.8903483230739
Black or African American	Not Hispanic or Latino	40-44 years	F	2008	313	1446445	21.6392603935857
Black or African American	Not Hispanic or Latino	40-44 years	F	2009	277	1414333	19.5852037674296
Black or African American	Not Hispanic or Latino	40-44 years	F	2010	273	1404513	19.43734233859
Black or African American	Not Hispanic or Latino	40-44 years	F	2011	234	1410151	16.593967596378
Black or African American	Not Hispanic or Latino	40-44 years	F	2012	216	1415866	15.2556809754595
Black or African American	Not Hispanic or Latino	40-44 years	M	2006	609	1324308	45.9862811370165
Black or African American	Not Hispanic or Latino	40-44 years	M	2007	590	1305269	45.2014105904607
Black or African American	Not Hispanic or Latino	40-44 years	M	2008	568	1286275	44.1585197566617
Black or African American	Not Hispanic or Latino	40-44 years	M	2009	546	1262389	43.2513274434426
Black or African American	Not Hispanic or Latino	40-44 years	M	2010	483	1257524	38.4088096926977
Black or African American	Not Hispanic or Latino	40-44 years	M	2011	542	1256689	43.1292069875681
Black or African American	Not Hispanic or Latino	40-44 years	M	2012	568	1261822	45.0142730115658
Black or African American	Not Hispanic or Latino	45-49 years	F	2006	683	1461455	46.7342477188829
Black or African American	Not Hispanic or Latino	45-49 years	F	2007	603	1473530	40.9221393524394
Black or African American	Not Hispanic or Latino	45-49 years	F	2008	617	1485776	41.5271211811202
Black or African American	Not Hispanic or Latino	45-49 years	F	2009	562	1496992	37.5419507919882
Black or African American	Not Hispanic or Latino	45-49 years	F	2010	538	1493767	36.0163265087527
Black or African American	Not Hispanic or Latino	45-49 years	F	2011	477	1475059	32.3376895432657
Black or African American	Not Hispanic or Latino	45-49 years	F	2012	506	1453232	34.8189415041783
Black or African American	Not Hispanic or Latino	45-49 years	M	2006	1262	1293433	97.5698006777313
Black or African American	Not Hispanic or Latino	45-49 years	M	2007	1170	1307530	89.4816944926694
Black or African American	Not Hispanic or Latino	45-49 years	M	2008	1089	1318543	82.5911631247521
Black or African American	Not Hispanic or Latino	45-49 years	M	2009	1074	1330207	80.7393135053416
Black or African American	Not Hispanic or Latino	45-49 years	M	2010	1098	1329666	82.5771283916412
Black or African American	Not Hispanic or Latino	45-49 years	M	2011	1038	1313392	79.0320026313545
Black or African American	Not Hispanic or Latino	45-49 years	M	2012	1008	1293068	77.9541369827418
Black or African American	Not Hispanic or Latino	50-54 years	F	2006	998	1264163	78.9455157285888
Black or African American	Not Hispanic or Latino	50-54 years	F	2007	990	1315461	75.2587876037374
Black or African American	Not Hispanic or Latino	50-54 years	F	2008	1065	1361382	78.2293287262502
Black or African American	Not Hispanic or Latino	50-54 years	F	2009	917	1399562	65.5204985559768
Black or African American	Not Hispanic or Latino	50-54 years	F	2010	902	1431800	62.9976253666713
Black or African American	Not Hispanic or Latino	50-54 years	F	2011	915	1454259	62.9186410398698
Black or African American	Not Hispanic or Latino	50-54 years	F	2012	857	1460480	58.6793382997371
Black or African American	Not Hispanic or Latino	50-54 years	M	2006	2030	1093251	185.684714672111
Black or African American	Not Hispanic or Latino	50-54 years	M	2007	2017	1144327	176.26080657015
Black or African American	Not Hispanic or Latino	50-54 years	M	2008	1873	1191230	157.232440418727
Black or African American	Not Hispanic or Latino	50-54 years	M	2009	1897	1229480	154.292871783193
Black or African American	Not Hispanic or Latino	50-54 years	M	2010	1831	1260649	145.24264882612
Black or African American	Not Hispanic or Latino	50-54 years	M	2011	1785	1280547	139.393556035038
Black or African American	Not Hispanic or Latino	50-54 years	M	2012	1729	1286971	134.34646157528
Black or African American	Not Hispanic or Latino	55-59 years	F	2006	1322	1046312	126.348546131555
Black or African American	Not Hispanic or Latino	55-59 years	F	2007	1273	1085461	117.27735957349
Black or African American	Not Hispanic or Latino	55-59 years	F	2008	1317	1123799	117.191775397558
Black or African American	Not Hispanic or Latino	55-59 years	F	2009	1280	1164471	109.921157332385
Black or African American	Not Hispanic or Latino	55-59 years	F	2010	1260	1194067	105.521716955581
Black or African American	Not Hispanic or Latino	55-59 years	F	2011	1282	1242711	103.161555663384
Black or African American	Not Hispanic or Latino	55-59 years	F	2012	1284	1292069	99.3754977481853
Black or African American	Not Hispanic or Latino	55-59 years	M	2006	2550	881087	289.415233682939
Black or African American	Not Hispanic or Latino	55-59 years	M	2007	2548	912345	279.28031610849
Black or African American	Not Hispanic or Latino	55-59 years	M	2008	2496	945305	264.041764298295
Black or African American	Not Hispanic or Latino	55-59 years	M	2009	2483	981716	252.924471028281
Black or African American	Not Hispanic or Latino	55-59 years	M	2010	2440	1009656	241.666468579397
Black or African American	Not Hispanic or Latino	55-59 years	M	2011	2384	1054879	225.997484071633
