Race	Hispanic Origin	Five-Year Age Groups	Gender	Year	Deaths	Population	Crude Rate
Black or African American	Not Hispanic or Latino	20-24 years	F	2006	29	1487479	1.94960735580133
Black or African American	Not Hispanic or Latino	20-24 years	F	2007	34	1498025	2.26965504581032
Black or African American	Not Hispanic or Latino	20-24 years	F	2008	34	1519892	2.23700105007461
Black or African American	Not Hispanic or Latino	20-24 years	F	2009	40	1554094	2.57384688442269
Black or African American	Not Hispanic or Latino	20-24 years	F	2010	35	1587829	2.20426758800853
Black or African American	Not Hispanic or Latino	20-24 years	F	2011	33	1671217	1.97460892271919
Black or African American	Not Hispanic or Latino	20-24 years	F	2012	48	1731526	2.77212123872238
Black or African American	Not Hispanic or Latino	20-24 years	M	2006	31	1480574	2.09378254649886
Black or African American	Not Hispanic or Latino	20-24 years	M	2007	63	1486497	4.23815184288969
Black or African American	Not Hispanic or Latino	20-24 years	M	2008	46	1497956	3.07085121325326
Black or African American	Not Hispanic or Latino	20-24 years	M	2009	52	1522604	3.41520185156482
Black or African American	Not Hispanic or Latino	20-24 years	M	2010	40	1550237	2.5802506326452
Black or African American	Not Hispanic or Latino	20-24 years	M	2011	66	1654175	3.98990433297565
Black or African American	Not Hispanic or Latino	20-24 years	M	2012	58	1737366	3.33838696049077
Black or African American	Not Hispanic or Latino	25-29 years	F	2006	69	1406128	4.90709238419262
Black or African American	Not Hispanic or Latino	25-29 years	F	2007	59	1434645	4.11251563975757
Black or African American	Not Hispanic or Latino	25-29 years	F	2008	88	1454865	6.04867118254958
Black or African American	Not Hispanic or Latino	25-29 years	F	2009	98	1459525	6.71451328343125
Black or African American	Not Hispanic or Latino	25-29 years	F	2010	81	1454543	5.56875939728148
Black or African American	Not Hispanic or Latino	25-29 years	F	2011	94	1465672	6.41344038775388
Black or African American	Not Hispanic or Latino	25-29 years	F	2012	67	1482708	4.51875891949055
Black or African American	Not Hispanic or Latino	25-29 years	M	2006	117	1261035	9.27809299503979
Black or African American	Not Hispanic or Latino	25-29 years	M	2007	109	1295064	8.41657246282809
Black or African American	Not Hispanic or Latino	25-29 years	M	2008	125	1326472	9.42349329650381
Black or African American	Not Hispanic or Latino	25-29 years	M	2009	107	1341280	7.97745437194322
Black or African American	Not Hispanic or Latino	25-29 years	M	2010	115	1342341	8.56712266108239
Black or African American	Not Hispanic or Latino	25-29 years	M	2011	115	1368360	8.40422111140343
Black or African American	Not Hispanic or Latino	25-29 years	M	2012	128	1400570	9.13913620882926
Black or African American	Not Hispanic or Latino	30-34 years	F	2006	158	1320401	11.9660618251577
Black or African American	Not Hispanic or Latino	30-34 years	F	2007	165	1313374	12.5630627681072
Black or African American	Not Hispanic or Latino	30-34 years	F	2008	167	1320241	12.6492057131993
Black or African American	Not Hispanic or Latino	30-34 years	F	2009	175	1353009	12.9341342149239
Black or African American	Not Hispanic or Latino	30-34 years	F	2010	177	1384808	12.781555276977
Black or African American	Not Hispanic or Latino	30-34 years	F	2011	178	1424682	12.4940162085293
Black or African American	Not Hispanic or Latino	30-34 years	F	2012	173	1450157	11.9297427795749
Black or African American	Not Hispanic or Latino	30-34 years	M	2006	239	1171760	20.3966682597119
Black or African American	Not Hispanic or Latino	30-34 years	M	2007	253	1165879	21.7003651322307
Black or African American	Not Hispanic or Latino	30-34 years	M	2008	242	1175694	20.5835872259278
Black or African American	Not Hispanic or Latino	30-34 years	M	2009	270	1210245	22.3095323674132
Black or African American	Not Hispanic or Latino	30-34 years	M	2010	238	1245147	19.1142090050412
Black or African American	Not Hispanic or Latino	30-34 years	M	2011	241	1286022	18.7399593475073
Black or African American	Not Hispanic or Latino	30-34 years	M	2012	240	1315999	18.2370959248449
Black or African American	Not Hispanic or Latino	35-39 years	F	2006	300	1405559	21.3438212127702
Black or African American	Not Hispanic or Latino	35-39 years	F	2007	326	1413720	23.0597289420819
Black or African American	Not Hispanic or Latino	35-39 years	F	2008	302	1412276	21.3839221228712
Black or African American	Not Hispanic or Latino	35-39 years	F	2009	293	1403007	20.8837161895842
Black or African American	Not Hispanic or Latino	35-39 years	F	2010	308	1384151	22.2519074869722
Black or African American	Not Hispanic or Latino	35-39 years	F	2011	319	1344610	23.7243512988896
Black or African American	Not Hispanic or Latino	35-39 years	F	2012	334	1338520	24.9529330902788
Black or African American	Not Hispanic or Latino	35-39 years	M	2006	490	1244414	39.3759633048166
Black or African American	Not Hispanic or Latino	35-39 years	M	2007	481	1253650	38.3679655406214
Black or African American	Not Hispanic or Latino	35-39 years	M	2008	480	1253548	38.2913139345282
Black or African American	Not Hispanic or Latino	35-39 years	M	2009	526	1244299	42.2727977760972
Black or African American	Not Hispanic or Latino	35-39 years	M	2010	501	1226242	40.856535659356
Black or African American	Not Hispanic or Latino	35-39 years	M	2011	504	1193704	42.221522253423
Black or African American	Not Hispanic or Latino	35-39 years	M	2012	510	1189759	42.865824087063
Black or African American	Not Hispanic or Latino	40-44 years	F	2006	674	1494626	45.0948933044119
Black or African American	Not Hispanic or Latino	40-44 years	F	2007	623	1471651	42.3334064937951
Black or African American	Not Hispanic or Latino	40-44 years	F	2008	641	1446445	44.3155460456499
Black or African American	Not Hispanic or Latino	40-44 years	F	2009	639	1414333	45.1803076078971
Black or African American	Not Hispanic or Latino	40-44 years	F	2010	571	1404513	40.6546610818127
Black or African American	Not Hispanic or Latino	40-44 years	F	2011	612	1410151	43.3996075597578
Black or African American	Not Hispanic or Latino	40-44 years	F	2012	564	1415866	39.8342781025888
Black or African American	Not Hispanic or Latino	40-44 years	M	2006	896	1324308	67.6579768452656
Black or African American	Not Hispanic or Latino	40-44 years	M	2007	964	1305269	73.8545081511934
Black or African American	Not Hispanic or Latino	40-44 years	M	2008	891	1286275	69.2697906746225
Black or African American	Not Hispanic or Latino	40-44 years	M	2009	902	1262389	71.4518266556505
Black or African American	Not Hispanic or Latino	40-44 years	M	2010	862	1257524	68.5473994929719
Black or African American	Not Hispanic or Latino	40-44 years	M	2011	970	1256689	77.1869571548728
Black or African American	Not Hispanic or Latino	40-44 years	M	2012	910	1261822	72.1179373952903
Black or African American	Not Hispanic or Latino	45-49 years	F	2006	1176	1461455	80.4677530269492
Black or African American	Not Hispanic or Latino	45-49 years	F	2007	1108	1473530	75.1935827570528
