Race	Gender	Year	Hispanic Origin	AA_rate	Deaths	Population	Crude Rate
Black or African American	F	2000	Not Hispanic or Latino	188.184082399166	18929	12088556	156.586113345548
Black or African American	F	2001	Not Hispanic or Latino	184.779917003936	19102	12335052	154.859501200319
Black or African American	F	2002	Not Hispanic or Latino	185.991652034818	19647	12526219	156.847010259041
Black or African American	F	2003	Not Hispanic or Latino	188.468042405816	20404	12705685	160.589531379064
Black or African American	F	2004	Not Hispanic or Latino	185.998247825831	20523	12891647	159.196105819528
Black or African American	F	2005	Not Hispanic or Latino	185.656844925414	20951	13080937	160.164367430254
Black or African American	F	2006	Not Hispanic or Latino	189.361618117171	21876	13279693	164.732723866433
Black or African American	F	2007	Not Hispanic or Latino	183.879572263503	21737	13477307	161.285930490416
Black or African American	F	2008	Not Hispanic or Latino	182.52643460348	22081	13681660	161.391234689358
Black or African American	F	2009	Not Hispanic or Latino	177.280051763863	21928	13896876	157.790858895193
Black or African American	F	2010	Not Hispanic or Latino	174.214909344211	21955	14072907	156.008989471756
Black or African American	F	2011	Not Hispanic or Latino	173.513564073697	22647	14366479	157.63779002496
Black or African American	F	2012	Not Hispanic or Latino	171.586975447513	22906	14609655	156.786727681112
Black or African American	F	2013	Not Hispanic or Latino	168.789608400416	23202	14840618	156.341198189995
Black or African American	F	2014	Not Hispanic or Latino	161.763381983785	22954	15103320	151.979829600379
Black or African American	F	2015	Not Hispanic or Latino	161.457953479596	23624	15328437	154.118779364132
Black or African American	F	2016	Not Hispanic or Latino	165.170124601728	24871	15503005	160.426962385679
Black or African American	F	2017	Not Hispanic or Latino	165.290798540747	25677	15736275	163.170763093553
Black or African American	F	2018	Not Hispanic or Latino	165.976237983485	26553	15895642	167.045785253593
Black or African American	F	2019	Not Hispanic or Latino	168.046209507552	27732	16069891	172.571176742891
Black or African American	F	2020	Not Hispanic or Latino	229.927806715792	39040	16246943	240.291358195816
Black or African American	F	2021	Not Hispanic or Latino	233.148039825519	39909	16354341	244.026952843896
Black or African American	F	2022	Not Hispanic or Latino	208.677573792617	36503	16490786	221.353912421154
Black or African American	M	2000	Not Hispanic or Latino	246.058594208171	17562	10305707	170.410433752871
Black or African American	M	2001	Not Hispanic or Latino	246.020355159717	18231	10534967	173.052274392506
