Race	Hispanic Origin	Five-Year Age Groups	Gender	Year	Deaths	Population	Crude Rate
Black or African American	Not Hispanic or Latino	20-24 years	F	2020	55	1610597	3.41488280432659
Black or African American	Not Hispanic or Latino	20-24 years	F	2021	55	1607120	3.42227089451939
Black or African American	Not Hispanic or Latino	20-24 years	F	2022	42	1686424	2.49047689074634
Black or African American	Not Hispanic or Latino	20-24 years	M	2020	59	1652385	3.57059644090209
Black or African American	Not Hispanic or Latino	20-24 years	M	2021	63	1642560	3.83547632963179
Black or African American	Not Hispanic or Latino	20-24 years	M	2022	89	1718441	5.17911292852068
Black or African American	Not Hispanic or Latino	25-29 years	F	2020	138	1789798	7.71036731519423
Black or African American	Not Hispanic or Latino	25-29 years	F	2021	112	1717789	6.52000915129856
Black or African American	Not Hispanic or Latino	25-29 years	F	2022	105	1673395	6.27466916059866
Black or African American	Not Hispanic or Latino	25-29 years	M	2020	96	1830579	5.24424239543882
Black or African American	Not Hispanic or Latino	25-29 years	M	2021	108	1736416	6.21970771980908
Black or African American	Not Hispanic or Latino	25-29 years	M	2022	114	1704656	6.68756628903427
Black or African American	Not Hispanic or Latino	30-34 years	F	2020	237	1669692	14.1942346253081
Black or African American	Not Hispanic or Latino	30-34 years	F	2021	248	1727635	14.3548839888055
Black or African American	Not Hispanic or Latino	30-34 years	F	2022	229	1766776	12.9614620076342
Black or African American	Not Hispanic or Latino	30-34 years	M	2020	179	1617245	11.068205497621
Black or African American	Not Hispanic or Latino	30-34 years	M	2021	181	1678798	10.781523447133
Black or African American	Not Hispanic or Latino	30-34 years	M	2022	176	1739488	10.1179197556982
Black or African American	Not Hispanic or Latino	35-39 years	F	2020	433	1502992	28.8092019119197
Black or African American	Not Hispanic or Latino	35-39 years	F	2021	438	1528319	28.6589383499125
Black or African American	Not Hispanic or Latino	35-39 years	F	2022	451	1533513	29.4095974406477
Black or African American	Not Hispanic or Latino	35-39 years	M	2020	290	1383849	20.9560436145851
Black or African American	Not Hispanic or Latino	35-39 years	M	2021	286	1434313	19.9398597098402
Black or African American	Not Hispanic or Latino	35-39 years	M	2022	283	1453787	19.4664005112166
Black or African American	Not Hispanic or Latino	40-44 years	F	2020	712	1414368	50.3405054412996
Black or African American	Not Hispanic or Latino	40-44 years	F	2021	745	1459174	51.0562825269639
Black or African American	Not Hispanic or Latino	40-44 years	F	2022	761	1472391	51.6846408324963
Black or African American	Not Hispanic or Latino	40-44 years	M	2020	466	1265505	36.8232444755256
Black or African American	Not Hispanic or Latino	40-44 years	M	2021	484	1329536	36.4036776740156
Black or African American	Not Hispanic or Latino	40-44 years	M	2022	497	1354606	36.6896352149629
Black or African American	Not Hispanic or Latino	45-49 years	F	2020	1143	1375619	83.0898671797932
Black or African American	Not Hispanic or Latino	45-49 years	F	2021	1104	1349300	81.8202030682576
Black or African American	Not Hispanic or Latino	45-49 years	F	2022	1069	1334539	80.102567253561
Black or African American	Not Hispanic or Latino	45-49 years	M	2020	846	1207681	70.0516113112651
Black or African American	Not Hispanic or Latino	45-49 years	M	2021	821	1208836	67.9165742913017
Black or African American	Not Hispanic or Latino	45-49 years	M	2022	809	1200224	67.4040845708801
Black or African American	Not Hispanic or Latino	50-54 years	F	2020	1951	1370203	142.387660806464
Black or African American	Not Hispanic or Latino	50-54 years	F	2021	1819	1385068	131.329292135837
Black or African American	Not Hispanic or Latino	50-54 years	F	2022	1788	1380503	129.518009015554
Black or African American	Not Hispanic or Latino	50-54 years	M	2020	1579	1200964	131.477712903967
Black or African American	Not Hispanic or Latino	50-54 years	M	2021	1544	1241322	124.383520150291
Black or African American	Not Hispanic or Latino	50-54 years	M	2022	1527	1242380	122.909254817367
Black or African American	Not Hispanic or Latino	55-59 years	F	2020	3385	1421662	238.101602209245
Black or African American	Not Hispanic or Latino	55-59 years	F	2021	3272	1417403	230.844720943867
Black or African American	Not Hispanic or Latino	55-59 years	F	2022	3053	1384021	220.589138459604
Black or African American	Not Hispanic or Latino	55-59 years	M	2020	3357	1221168	274.900750756653
Black or African American	Not Hispanic or Latino	55-59 years	M	2021	3085	1245183	247.75474769572
Black or African American	Not Hispanic or Latino	55-59 years	M	2022	2875	1217698	236.101233639211
Black or African American	Not Hispanic or Latino	60-64 years	F	2020	4846	1329313	364.549206996396
Black or African American	Not Hispanic or Latino	60-64 years	F	2021	4781	1343674	355.815473098385
Black or African American	Not Hispanic or Latino	60-64 years	F	2022	4789	1339506	357.519861799798
Black or African American	Not Hispanic or Latino	60-64 years	M	2020	5394	1102596	489.209102880838
Black or African American	Not Hispanic or Latino	60-64 years	M	2021	5282	1145296	461.190818792696
Black or African American	Not Hispanic or Latino	60-64 years	M	2022	5046	1142395	441.70361389887
Black or African American	Not Hispanic or Latino	65-69 years	F	2020	5396	1077483	500.796764310899
Black or African American	Not Hispanic or Latino	65-69 years	F	2021	5303	1106116	479.425304398454
Black or African American	Not Hispanic or Latino	65-69 years	F	2022	5564	1131633	491.678839341023
Black or African American	Not Hispanic or Latino	65-69 years	M	2020	6194	827816	748.233907051809
Black or African American	Not Hispanic or Latino	65-69 years	M	2021	6274	874172	717.707727998609
Black or African American	Not Hispanic or Latino	65-69 years	M	2022	6505	897110	725.106174270714
Black or African American	Not Hispanic or Latino	70-74 years	F	2020	5000	806836	619.704623988022
Black or African American	Not Hispanic or Latino	70-74 years	F	2021	5170	849704	608.44717689925
Black or African American	Not Hispanic or Latino	70-74 years	F	2022	5347	869073	615.25326411015
Black or African American	Not Hispanic or Latino	70-74 years	M	2020	5777	586258	985.402331396757
Black or African American	Not Hispanic or Latino	70-74 years	M	2021	6026	624975	964.198567942718
Black or African American	Not Hispanic or Latino	70-74 years	M	2022	6031	629514	958.04064722945
Black or African American	Not Hispanic or Latino	75-79 years	F	2020	4036	526453	766.640136916306
Black or African American	Not Hispanic or Latino	75-79 years	F	2021	4063	520718	780.268782719245
Black or African American	Not Hispanic or Latino	75-79 years	F	2022	4301	560885	766.823858723268
Black or African American	Not Hispanic or Latino	75-79 years	M	2020	4450	349269	1274.08959856157
Black or African American	Not Hispanic or Latino	75-79 years	M	2021	4421	350902	1259.89592535808
Black or African American	Not Hispanic or Latino	75-79 years	M	2022	4629	375396	1233.0978486718
Black or African American	Not Hispanic or Latino	80-84 years	F	2020	3423	351927	972.644895106087
Black or African American	Not Hispanic or Latino	80-84 years	F	2021	3457	342321	1009.87085221181
Black or African American	Not Hispanic or Latino	80-84 years	F	2022	3351	358127	935.701580724157
Black or African American	Not Hispanic or Latino	80-84 years	M	2020	3331	207884	1602.33591810818
Black or African American	Not Hispanic or Latino	80-84 years	M	2021	3281	204075	1607.74225162318
Black or African American	Not Hispanic or Latino	80-84 years	M	2022	3362	208099	1615.57720123595
White	Not Hispanic or Latino	20-24 years	F	2020	156	5765196	2.7058923929039
White	Not Hispanic or Latino	20-24 years	F	2021	146	5730106	2.54794588442168
White	Not Hispanic or Latino	20-24 years	F	2022	154	5967075	2.58082896561548
White	Not Hispanic or Latino	20-24 years	M	2020	202	6061187	3.33268054590627
White	Not Hispanic or Latino	20-24 years	M	2021	215	6001147	3.58264845037124
White	Not Hispanic or Latino	20-24 years	M	2022	240	6292806	3.81387889599648
White	Not Hispanic or Latino	25-29 years	F	2020	322	6213978	5.18186578710127
White	Not Hispanic or Latino	25-29 years	F	2021	291	6003840	4.84689798528941
White	Not Hispanic or Latino	25-29 years	F	2022	301	5868424	5.12914540598975
White	Not Hispanic or Latino	25-29 years	M	2020	336	6520510	5.15297116329858
White	Not Hispanic or Latino	25-29 years	M	2021	342	6237780	5.4827198137799
White	Not Hispanic or Latino	25-29 years	M	2022	365	6201789	5.88539855193397
White	Not Hispanic or Latino	30-34 years	F	2020	727	6341955	11.463342139766
White	Not Hispanic or Latino	30-34 years	F	2021	681	6387735	10.6610559141855
White	Not Hispanic or Latino	30-34 years	F	2022	672	6330447	10.6153641283151
White	Not Hispanic or Latino	30-34 years	M	2020	612	6506642	9.40577336205066
White	Not Hispanic or Latino	30-34 years	M	2021	596	6522206	9.13801250681134
White	Not Hispanic or Latino	30-34 years	M	2022	632	6545730	9.65514923469193
White	Not Hispanic or Latino	35-39 years	F	2020	1287	6204534	20.7428954374333
White	Not Hispanic or Latino	35-39 years	F	2021	1368	6278072	21.7901291989006
White	Not Hispanic or Latino	35-39 years	F	2022	1333	6202729	21.4905406958776
White	Not Hispanic or Latino	35-39 years	M	2020	983	6278993	15.6553765866597
White	Not Hispanic or Latino	35-39 years	M	2021	1014	6440962	15.7429899446698
White	Not Hispanic or Latino	35-39 years	M	2022	1065	6423800	16.5789719480681
White	Not Hispanic or Latino	40-44 years	F	2020	2133	5799848	36.7768258754367
White	Not Hispanic or Latino	40-44 years	F	2021	2329	5985407	38.9113054467307
White	Not Hispanic or Latino	40-44 years	F	2022	2214	6021800	36.7664153575343
White	Not Hispanic or Latino	40-44 years	M	2020	1849	5855872	31.5751437189884
White	Not Hispanic or Latino	40-44 years	M	2021	1880	6136616	30.6357771123368
White	Not Hispanic or Latino	40-44 years	M	2022	1814	6240474	29.0683047473637
White	Not Hispanic or Latino	45-49 years	F	2020	3908	5914090	66.0794813741421
White	Not Hispanic or Latino	45-49 years	F	2021	3772	5707123	66.0928457298012
White	Not Hispanic or Latino	45-49 years	F	2022	3671	5570736	65.8979352099974
White	Not Hispanic or Latino	45-49 years	M	2020	3691	5930598	62.2365569205669
White	Not Hispanic or Latino	45-49 years	M	2021	3306	5833025	56.6772815134514
White	Not Hispanic or Latino	45-49 years	M	2022	3289	5755089	57.1494202782963
White	Not Hispanic or Latino	50-54 years	F	2020	7518	6501091	115.642128375068
White	Not Hispanic or Latino	50-54 years	F	2021	7236	6519637	110.987774319337
White	Not Hispanic or Latino	50-54 years	F	2022	7067	6358402	111.1442780749
White	Not Hispanic or Latino	50-54 years	M	2020	7464	6446345	115.786542606702
White	Not Hispanic or Latino	50-54 years	M	2021	7200	6642883	108.386674881975
White	Not Hispanic or Latino	50-54 years	M	2022	7259	6557929	110.690432909536
White	Not Hispanic or Latino	55-59 years	F	2020	14078	7450226	188.960710722064
White	Not Hispanic or Latino	55-59 years	F	2021	13304	7236990	183.833334024228
White	Not Hispanic or Latino	55-59 years	F	2022	12969	6904503	187.833939676759
White	Not Hispanic or Latino	55-59 years	M	2020	16027	7199900	222.600313893249
White	Not Hispanic or Latino	55-59 years	M	2021	15317	7170652	213.606796146292
White	Not Hispanic or Latino	55-59 years	M	2022	14295	6905917	206.996406125356
White	Not Hispanic or Latino	60-64 years	F	2020	22015	7604662	289.49347124172
White	Not Hispanic or Latino	60-64 years	F	2021	22059	7616608	289.61711039875
White	Not Hispanic or Latino	60-64 years	F	2022	21786	7493768	290.721570243434
White	Not Hispanic or Latino	60-64 years	M	2020	27331	7179085	380.703111886821
White	Not Hispanic or Latino	60-64 years	M	2021	26797	7387407	362.738915021198
White	Not Hispanic or Latino	60-64 years	M	2022	26294	7299922	360.195629487548
White	Not Hispanic or Latino	65-69 years	F	2020	27042	6898198	392.015421998615
White	Not Hispanic or Latino	65-69 years	F	2021	27463	6968490	394.102596114797
White	Not Hispanic or Latino	65-69 years	F	2022	28134	6998820	401.982048402445
