Race	Hispanic Origin	Five-Year Age Groups	Gender	Year	Deaths	Population	Crude Rate
Black or African American	Not Hispanic or Latino	20-24 years	F	1999	81	1331673	6.08257432567905
Black or African American	Not Hispanic or Latino	20-24 years	F	2000	66	1361689	4.84692172735478
Black or African American	Not Hispanic or Latino	20-24 years	F	2001	64	1420272	4.50617909808825
Black or African American	Not Hispanic or Latino	20-24 years	F	2002	59	1452733	4.06131064689795
Black or African American	Not Hispanic or Latino	20-24 years	F	2003	67	1474407	4.5441998037177
Black or African American	Not Hispanic or Latino	20-24 years	F	2004	78	1483898	5.25642598076148
Black or African American	Not Hispanic or Latino	20-24 years	F	2005	63	1483098	4.24786494216835
Black or African American	Not Hispanic or Latino	20-24 years	F	2006	70	1487479	4.70594878986527
Black or African American	Not Hispanic or Latino	20-24 years	F	2007	66	1498025	4.40580097127885
Black or African American	Not Hispanic or Latino	20-24 years	F	2008	75	1519892	4.93456113987046
Black or African American	Not Hispanic or Latino	20-24 years	F	2009	80	1554094	5.14769376884538
Black or African American	Not Hispanic or Latino	20-24 years	F	2010	68	1587829	4.28257702813086
Black or African American	Not Hispanic or Latino	20-24 years	F	2011	67	1671217	4.00905447946018
Black or African American	Not Hispanic or Latino	20-24 years	F	2012	65	1731526	3.75391417743655
Black or African American	Not Hispanic or Latino	20-24 years	F	2013	65	1770138	3.67203009030934
Black or African American	Not Hispanic or Latino	20-24 years	F	2014	70	1785941	3.91950237997784
Black or African American	Not Hispanic or Latino	20-24 years	F	2015	73	1762150	4.14266662883409
Black or African American	Not Hispanic or Latino	20-24 years	F	2016	52	1714649	3.03269065563856
Black or African American	Not Hispanic or Latino	20-24 years	F	2017	53	1677678	3.15912827133693
Black or African American	Not Hispanic or Latino	20-24 years	F	2018	54	1643358	3.28595473414801
Black or African American	Not Hispanic or Latino	20-24 years	F	2019	64	1615209	3.96233552438106
Black or African American	Not Hispanic or Latino	20-24 years	F	2020	55	1610597	3.41488280432659
Black or African American	Not Hispanic or Latino	20-24 years	F	2021	55	1607120	3.42227089451939
Black or African American	Not Hispanic or Latino	20-24 years	F	2022	42	1686424	2.49047689074634
Black or African American	Not Hispanic or Latino	20-24 years	M	1999	97	1262470	7.68335089150633
Black or African American	Not Hispanic or Latino	20-24 years	M	2000	96	1288774	7.44893984515516
Black or African American	Not Hispanic or Latino	20-24 years	M	2001	83	1354373	6.12829700533014
Black or African American	Not Hispanic or Latino	20-24 years	M	2002	73	1397013	5.22543455214805
Black or African American	Not Hispanic or Latino	20-24 years	M	2003	85	1426855	5.95715752476601
Black or African American	Not Hispanic or Latino	20-24 years	M	2004	106	1455519	7.28262564762123
Black or African American	Not Hispanic or Latino	20-24 years	M	2005	95	1467280	6.47456518183305
Black or African American	Not Hispanic or Latino	20-24 years	M	2006	85	1480574	5.74101665975493
Black or African American	Not Hispanic or Latino	20-24 years	M	2007	88	1486497	5.91995812975068
Black or African American	Not Hispanic or Latino	20-24 years	M	2008	94	1497956	6.27521769664797
Black or African American	Not Hispanic or Latino	20-24 years	M	2009	89	1522604	5.84524932287056
Black or African American	Not Hispanic or Latino	20-24 years	M	2010	92	1550237	5.93457645508396
Black or African American	Not Hispanic or Latino	20-24 years	M	2011	94	1654175	5.6825910196926
Black or African American	Not Hispanic or Latino	20-24 years	M	2012	89	1737366	5.12269723247721
Black or African American	Not Hispanic or Latino	20-24 years	M	2013	72	1794159	4.01302225722469
Black or African American	Not Hispanic or Latino	20-24 years	M	2014	95	1826372	5.20156901222752
Black or African American	Not Hispanic or Latino	20-24 years	M	2015	88	1815640	4.846775792558
Black or African American	Not Hispanic or Latino	20-24 years	M	2016	88	1773358	4.96233699004939
Black or African American	Not Hispanic or Latino	20-24 years	M	2017	80	1733291	4.61549734003119
Black or African American	Not Hispanic or Latino	20-24 years	M	2018	75	1691428	4.43412311963619
Black or African American	Not Hispanic or Latino	20-24 years	M	2019	76	1660340	4.57737571822639
Black or African American	Not Hispanic or Latino	20-24 years	M	2020	59	1652385	3.57059644090209
Black or African American	Not Hispanic or Latino	20-24 years	M	2021	63	1642560	3.83547632963179
Black or African American	Not Hispanic or Latino	20-24 years	M	2022	89	1718441	5.17911292852068
Black or African American	Not Hispanic or Latino	25-29 years	F	1999	114	1358176	8.39361025375209
Black or African American	Not Hispanic or Latino	25-29 years	F	2000	120	1345107	8.92122336736037
Black or African American	Not Hispanic or Latino	25-29 years	F	2001	135	1304639	10.3476900506577
Black or African American	Not Hispanic or Latino	25-29 years	F	2002	109	1293736	8.42521194432249
Black or African American	Not Hispanic or Latino	25-29 years	F	2003	137	1295263	10.5770025083709
Black or African American	Not Hispanic or Latino	25-29 years	F	2004	139	1324683	10.4930764567825
Black or African American	Not Hispanic or Latino	25-29 years	F	2005	132	1363164	9.68335431393435
Black or African American	Not Hispanic or Latino	25-29 years	F	2006	128	1406128	9.10301195908196
Black or African American	Not Hispanic or Latino	25-29 years	F	2007	123	1434645	8.57354955407087
Black or African American	Not Hispanic or Latino	25-29 years	F	2008	104	1454865	7.14842957937678
Black or African American	Not Hispanic or Latino	25-29 years	F	2009	129	1459525	8.8384919751289
Black or African American	Not Hispanic or Latino	25-29 years	F	2010	114	1454543	7.83751322580357
Black or African American	Not Hispanic or Latino	25-29 years	F	2011	123	1465672	8.39205497546518
Black or African American	Not Hispanic or Latino	25-29 years	F	2012	115	1482708	7.75607874240916
Black or African American	Not Hispanic or Latino	25-29 years	F	2013	102	1510526	6.75261465211456
Black or African American	Not Hispanic or Latino	25-29 years	F	2014	120	1571068	7.63811623685289
