Race	Hispanic Origin	Five-Year Age Groups	Gender	Deaths	Population	Crude Rate
Black or African American	Not Hispanic or Latino	20-24 years	F	107	8676097	1.233273440811
Black or African American	Not Hispanic or Latino	20-24 years	M	84	8389814	1.00121409127783
Black or African American	Not Hispanic or Latino	25-29 years	F	163	7926592	2.05636924418464
Black or African American	Not Hispanic or Latino	25-29 years	M	162	7115039	2.27686735097306
Black or African American	Not Hispanic or Latino	30-34 years	F	348	8282403	4.20167915036252
Black or African American	Not Hispanic or Latino	30-34 years	M	307	7381256	4.15918374867367
Black or African American	Not Hispanic or Latino	35-39 years	F	701	8711070	8.0472318555585
Black or African American	Not Hispanic or Latino	35-39 years	M	680	7715075	8.81391302093628
Black or African American	Not Hispanic or Latino	40-44 years	F	1656	8919841	18.5653533510295
Black or African American	Not Hispanic or Latino	40-44 years	M	1458	7875106	18.5140365094768
Black or African American	Not Hispanic or Latino	45-49 years	F	2453	8017885	30.5941030583502
Black or African American	Not Hispanic or Latino	45-49 years	M	2515	7015963	35.8468253039533
Black or African American	Not Hispanic or Latino	50-54 years	F	2945	6706149	43.9149204707501
Black or African American	Not Hispanic or Latino	50-54 years	M	3506	5744286	61.0345654795043
Black or African American	Not Hispanic or Latino	55-59 years	F	2798	4999264	55.9682385247108
Black or African American	Not Hispanic or Latino	55-59 years	M	3692	4156066	88.8340079296142
Black or African American	Not Hispanic or Latino	60-64 years	F	3413	3867229	88.2544064496827
Black or African American	Not Hispanic or Latino	60-64 years	M	4243	3065751	138.400020092956
Black or African American	Not Hispanic or Latino	65-69 years	F	4390	3210945	136.719875301508
Black or African American	Not Hispanic or Latino	65-69 years	M	4791	2409604	198.829351212896
Black or African American	Not Hispanic or Latino	70-74 years	F	6040	2678186	225.525784990288
Black or African American	Not Hispanic or Latino	70-74 years	M	5690	1819341	312.75060585124
Black or African American	Not Hispanic or Latino	75-79 years	F	8670	2156008	402.132088563679
Black or African American	Not Hispanic or Latino	75-79 years	M	6360	1295091	491.085182431196
Black or African American	Not Hispanic or Latino	80-84 years	F	10014	1476427	678.259067329438
Black or African American	Not Hispanic or Latino	80-84 years	M	5745	756900	759.017043202537
White	Not Hispanic or Latino	20-24 years	F	181	36938462	0.490004158808778
White	Not Hispanic or Latino	20-24 years	M	227	37753354	0.601271081769318
White	Not Hispanic or Latino	25-29 years	F	272	34509350	0.788192185596078
White	Not Hispanic or Latino	25-29 years	M	320	34904656	0.916783136324277
White	Not Hispanic or Latino	30-34 years	F	597	38604835	1.54643841891825
White	Not Hispanic or Latino	30-34 years	M	581	39156892	1.48377455493659
White	Not Hispanic or Latino	35-39 years	F	1238	43440670	2.84986396388453
White	Not Hispanic or Latino	35-39 years	M	1203	43663665	2.755151222418
White	Not Hispanic or Latino	40-44 years	F	2548	48452245	5.25878625438305
White	Not Hispanic or Latino	40-44 years	M	2663	48311247	5.51217400784542
White	Not Hispanic or Latino	45-49 years	F	3857	47311534	8.15234610655406
White	Not Hispanic or Latino	45-49 years	M	4440	46818149	9.48350179328961
White	Not Hispanic or Latino	50-54 years	F	5286	43493384	12.1535725985359
White	Not Hispanic or Latino	50-54 years	M	6480	42574722	15.2202990309602
White	Not Hispanic or Latino	55-59 years	F	7348	36757112	19.9906891488102
White	Not Hispanic or Latino	55-59 years	M	8744	35362830	24.7265278259687
White	Not Hispanic or Latino	60-64 years	F	9888	29187241	33.8778166802405
White	Not Hispanic or Latino	60-64 years	M	12180	27218622	44.7487753053773
White	Not Hispanic or Latino	65-69 years	F	15701	24799533	63.3116760706744
White	Not Hispanic or Latino	65-69 years	M	18041	22098581	81.6387260340381
White	Not Hispanic or Latino	70-74 years	F	30196	23460678	128.708982749774
White	Not Hispanic or Latino	70-74 years	M	30740	19349766	158.864970253387
White	Not Hispanic or Latino	75-79 years	F	58840	21842200	269.386783382626
White	Not Hispanic or Latino	75-79 years	M	49323	15867124	310.850283895178
White	Not Hispanic or Latino	80-84 years	F	96171	17051768	563.994302526283
White	Not Hispanic or Latino	80-84 years	M	62630	10469073	598.238258535402
