Race	Gender	Year	Hispanic Origin	AA_rate	Deaths	Population	Crude Rate
Black or African American	F	2000	Not Hispanic or Latino	75.5545668291909	7458	12088556	61.6947135786938
Black or African American	F	2001	Not Hispanic or Latino	73.6154086088939	7461	12335052	60.4861657656571
Black or African American	F	2002	Not Hispanic or Latino	71.956426593618	7440	12526219	59.3954169250913
Black or African American	F	2003	Not Hispanic or Latino	69.3961496025841	7354	12705685	57.8796027132736
Black or African American	F	2004	Not Hispanic or Latino	66.4089397324112	7157	12891647	55.5165682088565
Black or African American	F	2005	Not Hispanic or Latino	61.8580956803258	6828	13080937	52.1980955951397
Black or African American	F	2006	Not Hispanic or Latino	58.5750824829691	6614	13279693	49.80536824157
Black or African American	F	2007	Not Hispanic or Latino	56.015237681617	6478	13477307	48.0659823212456
Black or African American	F	2008	Not Hispanic or Latino	54.9538944586521	6475	13681660	47.326128554576
Black or African American	F	2009	Not Hispanic or Latino	50.7210661865994	6106	13896876	43.9379325252668
Black or African American	F	2010	Not Hispanic or Latino	49.7002781573977	6089	14072907	43.2675352718525
Black or African American	F	2011	Not Hispanic or Latino	47.3277029574294	5947	14366479	41.3949722823526
Black or African American	F	2012	Not Hispanic or Latino	45.3943073715598	5882	14609655	40.2610465476426
Black or African American	F	2013	Not Hispanic or Latino	45.2956660386593	5997	14840618	40.4093683969226
Black or African American	F	2014	Not Hispanic or Latino	45.1565731535382	6182	15103320	40.9313978648403
Black or African American	F	2015	Not Hispanic or Latino	46.4942623331137	6501	15328437	42.4113691435076
Black or African American	F	2016	Not Hispanic or Latino	45.8560067275403	6617	15503005	42.6820477707386
Black or African American	F	2017	Not Hispanic or Latino	46.3368392263688	6928	15736275	44.0256668112371
Black or African American	F	2018	Not Hispanic or Latino	45.1733387324877	6943	15895642	43.6786384595224
Black or African American	F	2019	Not Hispanic or Latino	45.5810775474478	7224	16069891	44.9536340974559
Black or African American	F	2020	Not Hispanic or Latino	48.3163744514022	7897	16246943	48.6060669998042
Black or African American	F	2021	Not Hispanic or Latino	51.2163960100255	8408	16354341	51.4114264830359
Black or African American	F	2022	Not Hispanic or Latino	49.1317678625793	8317	16490786	50.4342242995573
Black or African American	F	2023	Not Hispanic or Latino	46.8966748651339	8193	16662621	49.1699355101457
Black or African American	M	2000	Not Hispanic or Latino	98.4973257056867	6646	10305707	64.4885401845793
Black or African American	M	2001	Not Hispanic or Latino	94.2049833763554	6604	10534967	62.6864801759702
Black or African American	M	2002	Not Hispanic or Latino	90.9850669981038	6546	10712463	61.1063954199888
Black or African American	M	2003	Not Hispanic or Latino	89.271556097292	6621	10870424	60.9083877501006
Black or African American	M	2004	Not Hispanic or Latino	84.8927581271055	6475	11064474	58.5206309852597
Black or African American	M	2005	Not Hispanic or Latino	80.0477562225604	6341	11251257	56.3581473607793
Black or African American	M	2006	Not Hispanic or Latino	76.9978209913449	6321	11449862	55.2059055384248
Black or African American	M	2007	Not Hispanic or Latino	77.0531118068236	6415	11638754	55.1175838925713
Black or African American	M	2008	Not Hispanic or Latino	70.6314948928827	6085	11837625	51.4038922503458
Black or African American	M	2009	Not Hispanic or Latino	66.4939059050585	5908	12046014	49.0452692484003
Black or African American	M	2010	Not Hispanic or Latino	65.2863189444944	5958	12219977	48.7562292465853
Black or African American	M	2011	Not Hispanic or Latino	63.0746119123722	5983	12521774	47.7807697216065
Black or African American	M	2012	Not Hispanic or Latino	61.72913753934	5971	12786047	46.6993434327279
Black or African American	M	2013	Not Hispanic or Latino	61.7748092701025	6167	13032785	47.3191263417604
Black or African American	M	2014	Not Hispanic or Latino	62.8333883454857	6501	13303517	48.8667771086398
Black or African American	M	2015	Not Hispanic or Latino	63.9685335613969	6786	13535982	50.133045389688
Black or African American	M	2016	Not Hispanic or Latino	62.6557646112815	6838	13719610	49.8410669107941
Black or African American	M	2017	Not Hispanic or Latino	63.0996533136443	7156	13944456	51.3178857604771
Black or African American	M	2018	Not Hispanic or Latino	63.3836669159979	7393	14109868	52.3959543774612
Black or African American	M	2019	Not Hispanic or Latino	62.7183480887715	7547	14278463	52.8558290902879
Black or African American	M	2020	Not Hispanic or Latino	69.0558618357637	8619	14453199	59.6338568368152
Black or African American	M	2021	Not Hispanic or Latino	69.2661080881433	8866	14716384	60.2457777671471
Black or African American	M	2022	Not Hispanic or Latino	66.2232804855467	8646	14883794	58.0900273142721
