Race	Hispanic Origin	Five-Year Age Groups	Gender	Deaths	Population	Crude Rate
Black or African American	Not Hispanic or Latino	20-24 years	F	289	4904141	5.89297901508134
Black or African American	Not Hispanic or Latino	20-24 years	M	443	5013386	8.83634334160585
Black or African American	Not Hispanic or Latino	25-29 years	F	590	5180982	11.3878025439965
Black or African American	Not Hispanic or Latino	25-29 years	M	1027	5271651	19.4815627969302
Black or African American	Not Hispanic or Latino	30-34 years	F	1282	5164103	24.8252213404729
Black or African American	Not Hispanic or Latino	30-34 years	M	2040	5035531	40.5121128238511
Black or African American	Not Hispanic or Latino	35-39 years	F	1996	4564824	43.7256726655836
Black or African American	Not Hispanic or Latino	35-39 years	M	3476	4271949	81.3680125862926
Black or African American	Not Hispanic or Latino	40-44 years	F	3467	4345933	79.7757351528429
Black or African American	Not Hispanic or Latino	40-44 years	M	5536	3949647	140.16442482075
Black or African American	Not Hispanic or Latino	45-49 years	F	4900	4059458	120.705769095283
Black or African American	Not Hispanic or Latino	45-49 years	M	8226	3616741	227.442329987135
Black or African American	Not Hispanic or Latino	50-54 years	F	7058	4135774	170.657294136478
Black or African American	Not Hispanic or Latino	50-54 years	M	12683	3684666	344.210302914837
Black or African American	Not Hispanic or Latino	55-59 years	F	10893	4223086	257.939336305252
Black or African American	Not Hispanic or Latino	55-59 years	M	18959	3684049	514.623991157555
Black or African American	Not Hispanic or Latino	60-64 years	F	15797	4012493	393.695390870464
Black or African American	Not Hispanic or Latino	60-64 years	M	26487	3390287	781.261291448187
Black or African American	Not Hispanic or Latino	65-69 years	F	18790	3315232	566.777830329823
Black or African American	Not Hispanic or Latino	65-69 years	M	28351	2599098	1090.80150113616
Black or African American	Not Hispanic or Latino	70-74 years	F	20682	2525613	818.890305046735
Black or African American	Not Hispanic or Latino	70-74 years	M	26632	1840747	1446.80393340312
Black or African American	Not Hispanic or Latino	75-79 years	F	20550	1608056	1277.94056923391
Black or African American	Not Hispanic or Latino	75-79 years	M	21008	1075567	1953.20235745425
Black or African American	Not Hispanic or Latino	80-84 years	F	21627	1052375	2055.06592231857
Black or African American	Not Hispanic or Latino	80-84 years	M	17580	620058	2835.21864083683
White	Not Hispanic or Latino	20-24 years	F	394	17462377	2.25627931409338
White	Not Hispanic or Latino	20-24 years	M	643	18355140	3.50310594198682
White	Not Hispanic or Latino	25-29 years	F	880	18086242	4.86557682906156
White	Not Hispanic or Latino	25-29 years	M	1533	18960079	8.08540934876906
White	Not Hispanic or Latino	30-34 years	F	1767	19060137	9.27065739349093
White	Not Hispanic or Latino	30-34 years	M	3229	19574578	16.4958856328857
White	Not Hispanic or Latino	35-39 years	F	3101	18685335	16.5959026156074
White	Not Hispanic or Latino	35-39 years	M	6086	19143755	31.7910462184665
White	Not Hispanic or Latino	40-44 years	F	5164	17807055	28.9997419562078
White	Not Hispanic or Latino	40-44 years	M	10684	18232962	58.5971714305114
White	Not Hispanic or Latino	45-49 years	F	8444	17191949	49.1160135479695
White	Not Hispanic or Latino	45-49 years	M	17968	17518712	102.564617764137
White	Not Hispanic or Latino	50-54 years	F	14893	19379130	76.8507151765843
White	Not Hispanic or Latino	50-54 years	M	34109	19647157	173.607815115439
White	Not Hispanic or Latino	55-59 years	F	26282	21591719	121.722591888122
White	Not Hispanic or Latino	55-59 years	M	59202	21276469	278.25105754155
White	Not Hispanic or Latino	60-64 years	F	42759	22715038	188.240935366254
White	Not Hispanic or Latino	60-64 years	M	91443	21866414	418.189283345683
White	Not Hispanic or Latino	65-69 years	F	58890	20865508	282.236119053512
White	Not Hispanic or Latino	65-69 years	M	111673	19366589	576.627097316931
White	Not Hispanic or Latino	70-74 years	F	84420	18028045	468.270408688241
White	Not Hispanic or Latino	70-74 years	M	133211	16170216	823.804703660112
White	Not Hispanic or Latino	75-79 years	F	109348	12888425	848.420190985322
White	Not Hispanic or Latino	75-79 years	M	145998	10931589	1335.56063990331
White	Not Hispanic or Latino	80-84 years	F	138609	8500853	1630.5304891168
White	Not Hispanic or Latino	80-84 years	M	152563	6501879	2346.44477388767
