Race	Hispanic Origin	Five-Year Age Groups	Gender	Year	Deaths	Population	Crude Rate
Black or African American	Not Hispanic or Latino	20-24 years	F	2020	86	1610597	5.33963493040158
Black or African American	Not Hispanic or Latino	20-24 years	F	2021	107	1607120	6.65787246751954
Black or African American	Not Hispanic or Latino	20-24 years	F	2022	98	1686424	5.81111274507479
Black or African American	Not Hispanic or Latino	20-24 years	F	2023	77	1603843	4.80096867336766
Black or African American	Not Hispanic or Latino	20-24 years	M	2020	134	1652385	8.10949022170983
Black or African American	Not Hispanic or Latino	20-24 years	M	2021	154	1642560	9.37560880576661
Black or African American	Not Hispanic or Latino	20-24 years	M	2022	156	1718441	9.07799569493512
Black or African American	Not Hispanic or Latino	20-24 years	M	2023	152	1626325	9.34622538545494
Black or African American	Not Hispanic or Latino	25-29 years	F	2020	213	1789798	11.9007843343215
Black or African American	Not Hispanic or Latino	25-29 years	F	2021	190	1717789	11.0607298102386
Black or African American	Not Hispanic or Latino	25-29 years	F	2022	188	1673395	11.2346457351671
Black or African American	Not Hispanic or Latino	25-29 years	F	2023	184	1650922	11.1452873000663
Black or African American	Not Hispanic or Latino	25-29 years	M	2020	341	1830579	18.6279860087983
Black or African American	Not Hispanic or Latino	25-29 years	M	2021	354	1736416	20.3868197482631
Black or African American	Not Hispanic or Latino	25-29 years	M	2022	332	1704656	19.4760702452577
Black or African American	Not Hispanic or Latino	25-29 years	M	2023	294	1654189	17.7730597894195
Black or African American	Not Hispanic or Latino	30-34 years	F	2020	417	1669692	24.9746659863017
Black or African American	Not Hispanic or Latino	30-34 years	F	2021	433	1727635	25.0631643836806
Black or African American	Not Hispanic or Latino	30-34 years	F	2022	432	1766776	24.4513169751004
Black or African American	Not Hispanic or Latino	30-34 years	F	2023	379	1813191	20.9023759769379
Black or African American	Not Hispanic or Latino	30-34 years	M	2020	673	1617245	41.6139793290441
Black or African American	Not Hispanic or Latino	30-34 years	M	2021	706	1678798	42.0538980866072
Black or African American	Not Hispanic or Latino	30-34 years	M	2022	661	1739488	37.9996872642985
Black or African American	Not Hispanic or Latino	30-34 years	M	2023	615	1780286	34.545011307172
Black or African American	Not Hispanic or Latino	35-39 years	F	2020	653	1502992	43.4466717055048
Black or African American	Not Hispanic or Latino	35-39 years	F	2021	665	1528319	43.5118584536344
Black or African American	Not Hispanic or Latino	35-39 years	F	2022	678	1533513	44.2122107866057
Black or African American	Not Hispanic or Latino	35-39 years	F	2023	628	1574482	39.8861339793024
Black or African American	Not Hispanic or Latino	35-39 years	M	2020	1132	1383849	81.8008323162426
Black or African American	Not Hispanic or Latino	35-39 years	M	2021	1176	1434313	81.9904720936086
Black or African American	Not Hispanic or Latino	35-39 years	M	2022	1168	1453787	80.3418932759751
Black or African American	Not Hispanic or Latino	35-39 years	M	2023	1057	1486365	71.1130846057328
Black or African American	Not Hispanic or Latino	40-44 years	F	2020	1154	1414368	81.5912124708704
Black or African American	Not Hispanic or Latino	40-44 years	F	2021	1138	1459174	77.989328208973
Black or African American	Not Hispanic or Latino	40-44 years	F	2022	1175	1472391	79.8021721132498
Black or African American	Not Hispanic or Latino	40-44 years	F	2023	1102	1504847	73.2300360103054
Black or African American	Not Hispanic or Latino	40-44 years	M	2020	1793	1265505	141.68256940905
Black or African American	Not Hispanic or Latino	40-44 years	M	2021	1909	1329536	143.583927024165
Black or African American	Not Hispanic or Latino	40-44 years	M	2022	1834	1354606	135.389921497469
Black or African American	Not Hispanic or Latino	40-44 years	M	2023	1791	1376345	130.127257337368
Black or African American	Not Hispanic or Latino	45-49 years	F	2020	1676	1375619	121.836060711578
Black or African American	Not Hispanic or Latino	45-49 years	F	2021	1643	1349300	121.766842066257
Black or African American	Not Hispanic or Latino	45-49 years	F	2022	1581	1334539	118.467875423648
Black or African American	Not Hispanic or Latino	45-49 years	F	2023	1466	1351608	108.463400630952
Black or African American	Not Hispanic or Latino	45-49 years	M	2020	2778	1207681	230.027631468906
Black or African American	Not Hispanic or Latino	45-49 years	M	2021	2842	1208836	235.102197485846
Black or African American	Not Hispanic or Latino	45-49 years	M	2022	2606	1200224	217.126136454528
Black or African American	Not Hispanic or Latino	45-49 years	M	2023	2503	1203359	208.001103577569
Black or African American	Not Hispanic or Latino	50-54 years	F	2020	2371	1370203	173.040053189199
Black or African American	Not Hispanic or Latino	50-54 years	F	2021	2407	1385068	173.782081457372
Black or African American	Not Hispanic or Latino	50-54 years	F	2022	2280	1380503	165.157192704398
Black or African American	Not Hispanic or Latino	50-54 years	F	2023	2132	1386233	153.798098876596
Black or African American	Not Hispanic or Latino	50-54 years	M	2020	4318	1200964	359.544499252267
Black or African American	Not Hispanic or Latino	50-54 years	M	2021	4374	1241322	352.36626757602
Black or African American	Not Hispanic or Latino	50-54 years	M	2022	3991	1242380	321.238268484683
Black or African American	Not Hispanic or Latino	50-54 years	M	2023	3859	1231765	313.290278583983
Black or African American	Not Hispanic or Latino	55-59 years	F	2020	3740	1421662	263.072375853051
Black or African American	Not Hispanic or Latino	55-59 years	F	2021	3704	1417403	261.322997058705
Black or African American	Not Hispanic or Latino	55-59 years	F	2022	3449	1384021	249.201421076703
Black or African American	Not Hispanic or Latino	55-59 years	F	2023	3272	1371843	238.511258212492
