Race	Gender	Year	Hispanic Origin	AA_rate	Deaths	Population	Crude Rate
Black or African American	F	2000	Not Hispanic or Latino	385.707130386682	38723	12088556	320.327754613537
Black or African American	F	2001	Not Hispanic or Latino	372.905064970122	38481	12335052	311.964635414589
Black or African American	F	2002	Not Hispanic or Latino	363.887939226951	38334	12526219	306.030095753555
Black or African American	F	2003	Not Hispanic or Latino	351.19482941742	37911	12705685	298.378245643584
Black or African American	F	2004	Not Hispanic or Latino	332.478890712176	36596	12891647	283.873736226256
Black or African American	F	2005	Not Hispanic or Latino	319.266719727686	35917	13080937	274.575131735594
Black or African American	F	2006	Not Hispanic or Latino	299.019957472346	34438	13279693	259.328284170425
Black or African American	F	2007	Not Hispanic or Latino	284.577518849102	33511	13477307	248.647597031069
Black or African American	F	2008	Not Hispanic or Latino	278.365857781001	33578	13681660	245.423435460317
Black or African American	F	2009	Not Hispanic or Latino	264.023602505986	32544	13896876	234.182128415048
Black or African American	F	2010	Not Hispanic or Latino	255.473665209224	32103	14072907	228.11917964071
Black or African American	F	2011	Not Hispanic or Latino	243.995468534081	31611	14366479	220.033036626441
Black or African American	F	2012	Not Hispanic or Latino	237.62143495078	31632	14609655	216.514353008336
Black or African American	F	2013	Not Hispanic or Latino	239.791689967882	32811	14840618	221.089175666404
Black or African American	F	2014	Not Hispanic or Latino	236.00419851756	33298	15103320	220.468082514308
Black or African American	F	2015	Not Hispanic or Latino	235.568155529914	34223	15328437	223.264772527036
Black or African American	F	2016	Not Hispanic or Latino	239.0005685851	35743	15503005	230.555302020479
Black or African American	F	2017	Not Hispanic or Latino	233.933931270001	36199	15736275	230.035380037525
Black or African American	F	2018	Not Hispanic or Latino	233.24113118473	37088	15895642	233.321812355865
Black or African American	F	2019	Not Hispanic or Latino	229.828275973937	37652	16069891	234.301526998534
Black or African American	F	2020	Not Hispanic or Latino	254.079019545059	42841	16246943	263.686528598026
Black or African American	F	2021	Not Hispanic or Latino	252.608250431353	42955	16354341	262.651977233445
Black or African American	F	2022	Not Hispanic or Latino	242.040727363024	42125	16490786	255.445677361892
Black or African American	M	2000	Not Hispanic or Latino	578.419553675308	40854	10305707	396.421128603792
Black or African American	M	2001	Not Hispanic or Latino	564.722903074232	41260	10534967	391.648118119402
Black or African American	M	2002	Not Hispanic or Latino	548.775932792612	41342	10712463	385.924320112004
Black or African American	M	2003	Not Hispanic or Latino	542.633738070622	42055	10870424	386.875433745731
Black or African American	M	2004	Not Hispanic or Latino	508.595461078703	40668	11064474	367.554752263867
Black or African American	M	2005	Not Hispanic or Latino	497.183726633669	41011	11251257	364.501495255152
Black or African American	M	2006	Not Hispanic or Latino	480.124515956798	40757	11449862	355.960622058152
Black or African American	M	2007	Not Hispanic or Latino	458.932170947926	40164	11638754	345.088486276108
Black or African American	M	2008	Not Hispanic or Latino	441.455271185203	39591	11837625	334.450533785282
Black or African American	M	2009	Not Hispanic or Latino	421.579658548965	39255	12046014	325.87543066113
Black or African American	M	2010	Not Hispanic or Latino	411.337122446073	39069	12219977	319.71418604143
Black or African American	M	2011	Not Hispanic or Latino	395.360004428439	39171	12521774	312.823087207931
Black or African American	M	2012	Not Hispanic or Latino	393.340913000781	40123	12786047	313.80300729381
Black or African American	M	2013	Not Hispanic or Latino	394.072799814071	41448	13032785	318.028725249438
Black or African American	M	2014	Not Hispanic or Latino	389.766333792248	42339	13303517	318.254187971497
Black or African American	M	2015	Not Hispanic or Latino	392.82404687683	44037	13535982	325.332879432021
Black or African American	M	2016	Not Hispanic or Latino	393.657599053989	45614	13719610	332.473007614648
Black or African American	M	2017	Not Hispanic or Latino	392.28314583618	47142	13944456	338.06983936842
Black or African American	M	2018	Not Hispanic or Latino	399.065498787755	49191	14109868	348.62835003134
Black or African American	M	2019	Not Hispanic or Latino	391.914554145156	49836	14278463	349.029163713209
Black or African American	M	2020	Not Hispanic or Latino	440.586879297346	57875	14453199	400.430382228875
Black or African American	M	2021	Not Hispanic or Latino	428.825834055284	58025	14716384	394.288433897892
Black or African American	M	2022	Not Hispanic or Latino	413.499183136052	56548	14883794	379.930009781108
White	F	2000	Not Hispanic or Latino	220.933873629402	210274	73642282	285.534334745357
White	F	2001	Not Hispanic or Latino	213.463763156568	204933	73986596	276.986658502305
White	F	2002	Not Hispanic or Latino	208.015181339798	201096	74229884	270.909759201564
White	F	2003	Not Hispanic or Latino	199.4131306345	193653	74444229	260.131648351143
White	F	2004	Not Hispanic or Latino	188.155425512345	183410	74660144	245.659853000016
White	F	2005	Not Hispanic or Latino	181.694253901693	177592	74885877	237.150190549281
White	F	2006	Not Hispanic or Latino	171.746868428036	167613	75109863	223.157110538199
White	F	2007	Not Hispanic or Latino	163.636844071206	159924	75315096	212.339900622314
White	F	2008	Not Hispanic or Latino	159.99722196495	156859	75540582	207.648651687645
