Race	Hispanic Origin	Five-Year Age Groups	Gender	Deaths	Population	Crude Rate
Black or African American	Not Hispanic or Latino	30-34 years	F	352	9676243	3.63777552920074
Black or African American	Not Hispanic or Latino	30-34 years	M	493	8629446	5.71299710317441
Black or African American	Not Hispanic or Latino	35-39 years	F	597	10218398	5.84240308510199
Black or African American	Not Hispanic or Latino	35-39 years	M	816	9049287	9.01728500820009
Black or African American	Not Hispanic or Latino	40-44 years	F	995	10340537	9.62232425646753
Black or African American	Not Hispanic or Latino	40-44 years	M	1233	9123463	13.5146051449981
Black or African American	Not Hispanic or Latino	45-49 years	F	1644	9210609	17.848982624276
Black or African American	Not Hispanic or Latino	45-49 years	M	2092	8043151	26.0097068922366
Black or African American	Not Hispanic or Latino	50-54 years	F	2747	7636550	35.9717411658406
Black or African American	Not Hispanic or Latino	50-54 years	M	2903	6532343	44.4404098192639
Black or African American	Not Hispanic or Latino	55-59 years	F	3498	5702838	61.337881244391
Black or African American	Not Hispanic or Latino	55-59 years	M	3624	4730008	76.6172065670925
Black or African American	Not Hispanic or Latino	60-64 years	F	4349	4453084	97.6626535677297
Black or African American	Not Hispanic or Latino	60-64 years	M	4063	3525140	115.257833731426
Black or African American	Not Hispanic or Latino	65-69 years	F	5635	3718906	151.523055436195
Black or African American	Not Hispanic or Latino	65-69 years	M	4556	2786073	163.527660617651
Black or African American	Not Hispanic or Latino	70-74 years	F	6824	3113441	219.178715768181
Black or African American	Not Hispanic or Latino	70-74 years	M	4774	2108189	226.450285055088
Black or African American	Not Hispanic or Latino	75-79 years	F	7462	2499398	298.551891295424
Black or African American	Not Hispanic or Latino	75-79 years	M	4554	1501977	303.20038189666
Black or African American	Not Hispanic or Latino	80-84 years	F	6778	1704207	397.721638275163
Black or African American	Not Hispanic or Latino	80-84 years	M	3478	869818	399.853762511238
White	Not Hispanic or Latino	30-34 years	F	665	45439511	1.46348405906041
White	Not Hispanic or Latino	30-34 years	M	1027	46078597	2.22880049928603
White	Not Hispanic or Latino	35-39 years	F	1244	51506257	2.41524054058131
White	Not Hispanic or Latino	35-39 years	M	1867	51758252	3.60715427561194
White	Not Hispanic or Latino	40-44 years	F	2040	56585763	3.60514711094379
White	Not Hispanic or Latino	40-44 years	M	3611	56429053	6.39918589454266
White	Not Hispanic or Latino	45-49 years	F	3349	54767272	6.11496588692605
White	Not Hispanic or Latino	45-49 years	M	5650	54187520	10.426755090471
White	Not Hispanic or Latino	50-54 years	F	5518	50150113	11.0029662345925
White	Not Hispanic or Latino	50-54 years	M	8546	49088689	17.4093058382553
White	Not Hispanic or Latino	55-59 years	F	8103	42061184	19.2647929264188
White	Not Hispanic or Latino	55-59 years	M	11796	40426612	29.1787993512788
White	Not Hispanic or Latino	60-64 years	F	10756	33604952	32.0071875121262
White	Not Hispanic or Latino	60-64 years	M	14594	31308616	46.6133667486292
White	Not Hispanic or Latino	65-69 years	F	14924	28928441	51.589368400461
White	Not Hispanic or Latino	65-69 years	M	18357	25718224	71.3774014877544
White	Not Hispanic or Latino	70-74 years	F	21686	27599305	78.5744423636755
White	Not Hispanic or Latino	70-74 years	M	23990	22648385	105.923667404983
White	Not Hispanic or Latino	75-79 years	F	30233	25545359	118.350264719318
White	Not Hispanic or Latino	75-79 years	M	28947	18465862	156.759538222478
White	Not Hispanic or Latino	80-84 years	F	34403	19737871	174.299446986962
White	Not Hispanic or Latino	80-84 years	M	27591	12053862	228.897593153132
