Race	Gender	Year	Hispanic Origin	AA_rate	Deaths	Population	Crude Rate
Black or African American	F	1999	Not Hispanic or Latino	73.004568555504	5839	9248804	63.1324871842889
Black or African American	F	2000	Not Hispanic or Latino	72.3401573255953	5853	9381760	62.3870148031926
Black or African American	F	2001	Not Hispanic or Latino	69.6145855406617	5794	9610141	60.2904785684206
Black or African American	F	2002	Not Hispanic or Latino	69.8658262589023	5943	9779750	60.7684245507298
Black or African American	F	2003	Not Hispanic or Latino	68.7177825818339	5990	9936015	60.2857382964901
Black or African American	F	2004	Not Hispanic or Latino	64.9708989287802	5761	10083066	57.1353990938867
Black or African American	F	2005	Not Hispanic or Latino	62.7497269923934	5701	10234675	55.7027946661716
Black or African American	F	2006	Not Hispanic or Latino	60.2579986394741	5608	10386086	53.9953164262264
Black or African American	F	2007	Not Hispanic or Latino	58.0497213095458	5525	10544637	52.3963034479044
Black or African American	F	2008	Not Hispanic or Latino	53.5209300696561	5203	10706903	48.5948177544898
Black or African American	F	2009	Not Hispanic or Latino	50.3155835871256	5012	10883257	46.0523903827687
Black or African American	F	2010	Not Hispanic or Latino	49.44362849806	5036	11030535	45.6550838195971
Black or African American	F	2011	Not Hispanic or Latino	50.9818627853219	5382	11229590	47.9269501379837
Black or African American	F	2012	Not Hispanic or Latino	48.7774969710402	5253	11395421	46.0974631827995
Black or African American	F	2013	Not Hispanic or Latino	49.00732553043	5456	11559954	47.1974196437114
Black or African American	F	2014	Not Hispanic or Latino	47.5053018256174	5443	11746311	46.3379524005452
Black or African American	F	2015	Not Hispanic or Latino	46.2291920241316	5481	11926790	45.9553660289147
Black or African American	F	2016	Not Hispanic or Latino	45.9541598906623	5638	12080411	46.6705975483781
Black or African American	F	2017	Not Hispanic or Latino	45.7834028250528	5774	12285369	46.9989953089728
Black or African American	F	2018	Not Hispanic or Latino	46.10240536668	5968	12441220	47.9695721159179
Black or African American	F	2019	Not Hispanic or Latino	45.6917202899503	6142	12636774	48.6041769837777
Black or African American	F	2020	Not Hispanic or Latino	55.1255762734392	7603	12846548	59.1832140431811
Black or African American	F	2021	Not Hispanic or Latino	53.9173475701433	7475	13029432	57.3701140617642
Black or African American	F	2022	Not Hispanic or Latino	49.1083659382978	6958	13130967	52.9892429095283
Black or African American	M	1999	Not Hispanic or Latino	74.347269334758	4245	7664456	55.385535516154
Black or African American	M	2000	Not Hispanic or Latino	74.1580398861798	4258	7799683	54.5919622630817
Black or African American	M	2001	Not Hispanic or Latino	75.6861785809678	4508	8004227	56.320241792243
Black or African American	M	2002	Not Hispanic or Latino	76.0664972650494	4694	8154027	57.5666477435015
Black or African American	M	2003	Not Hispanic or Latino	77.1401892079399	4868	8287024	58.7424387814009
Black or African American	M	2004	Not Hispanic or Latino	76.3393452562843	4925	8424798	58.4583749070304
Black or African American	M	2005	Not Hispanic or Latino	76.482101232942	5088	8564680	59.4067729325556
Black or African American	M	2006	Not Hispanic or Latino	74.360614032825	5107	8708253	58.645517074435
Black or African American	M	2007	Not Hispanic or Latino	69.436903082078	4904	8857193	55.3674284843968
Black or African American	M	2008	Not Hispanic or Latino	67.1782759823543	4826	9013197	53.5437092964905
Black or African American	M	2009	Not Hispanic or Latino	64.6848080229076	4868	9182130	53.0160213370972
Black or African American	M	2010	Not Hispanic or Latino	65.1362039169554	4991	9327399	53.5090221829258
Black or African American	M	2011	Not Hispanic or Latino	66.3315625525706	5326	9499239	56.0676492085313
Black or African American	M	2012	Not Hispanic or Latino	66.8373849952346	5465	9648111	56.6432123345181
Black or African American	M	2013	Not Hispanic or Latino	65.8638187227703	5591	9796050	57.0740247344593
Black or African American	M	2014	Not Hispanic or Latino	64.5368856554136	5684	9960135	57.067499587104
Black or African American	M	2015	Not Hispanic or Latino	66.6050713473061	6087	10121302	60.1404839021699
Black or African American	M	2016	Not Hispanic or Latino	66.4008318928184	6235	10263159	60.751275508837
Black or African American	M	2017	Not Hispanic or Latino	68.7842810156649	6692	10445526	64.0657062171881
Black or African American	M	2018	Not Hispanic or Latino	69.3428694237372	6988	10594010	65.9618029433614
Black or African American	M	2019	Not Hispanic or Latino	69.3714150674546	7106	10772249	65.9657978570677
Black or African American	M	2020	Not Hispanic or Latino	84.9487915655043	9030	10970235	82.3136423239794
Black or African American	M	2021	Not Hispanic or Latino	81.3523088420587	8904	11337408	78.5364697115955
Black or African American	M	2022	Not Hispanic or Latino	76.844285434537	8474	11460697	73.9396565496845
White	F	1999	Not Hispanic or Latino	25.6687763673855	18895	61524828	30.7111789081312
White	F	2000	Not Hispanic or Latino	26.0361443163157	19197	61762614	31.0819098427408
White	F	2001	Not Hispanic or Latino	26.0756721227266	19433	62198765	31.2433856202772
White	F	2002	Not Hispanic or Latino	25.8096223290534	19352	62429451	30.9981902611958
White	F	2003	Not Hispanic or Latino	25.1410205715853	18958	62561368	30.3030458029626
White	F	2004	Not Hispanic or Latino	24.3777548910935	18494	62666840	29.5116204997731
White	F	2005	Not Hispanic or Latino	24.3878732664173	18592	62782162	29.6135070977645
White	F	2006	Not Hispanic or Latino	22.7871565659487	17395	62862187	27.671643049899
White	F	2007	Not Hispanic or Latino	21.9173939453777	16844	62978775	26.7455186290937
White	F	2008	Not Hispanic or Latino	21.1940490537147	16410	63139543	25.9900519077244
White	F	2009	Not Hispanic or Latino	19.8372951124663	15439	63335797	24.3764201783077
White	F	2010	Not Hispanic or Latino	19.3163834460353	15104	63529934	23.7746193786381
White	F	2011	Not Hispanic or Latino	20.4270049353801	16129	63770896	25.2921019017829
White	F	2012	Not Hispanic or Latino	19.554682800251	15604	64010683	24.3771809152544
White	F	2013	Not Hispanic or Latino	19.6999273934273	15922	64229047	24.78940719765
White	F	2014	Not Hispanic or Latino	19.4445379771599	15919	64415491	24.7129995485092
White	F	2015	Not Hispanic or Latino	19.9176251858173	16506	64649704	25.5314394014859
White	F	2016	Not Hispanic or Latino	19.3759298878422	16304	64872283	25.1324591120063
White	F	2017	Not Hispanic or Latino	19.6282383578347	16798	65057315	25.8203093687466
White	F	2018	Not Hispanic or Latino	19.2225398913698	16746	65241799	25.6675938687712
White	F	2019	Not Hispanic or Latino	19.2448100152468	17114	65441042	26.1517840745873
White	F	2020	Not Hispanic or Latino	21.720870166956	19595	65697358	29.8261613503545
White	F	2021	Not Hispanic or Latino	22.8423039333307	20417	65667808	31.0913377830428
White	F	2022	Not Hispanic or Latino	21.9603452772378	20016	65348028	30.6298454790403
White	M	1999	Not Hispanic or Latino	34.7350669016847	19676	57273001	34.3547564409974
White	M	2000	Not Hispanic or Latino	34.7416136986814	19829	57560991	34.4486772300359
White	M	2001	Not Hispanic or Latino	35.1804060380869	20451	58150990	35.1687907634934
White	M	2002	Not Hispanic or Latino	35.6992281787994	21072	58474580	36.0361716150847
White	M	2003	Not Hispanic or Latino	36.3101312481159	21743	58676370	37.0558028726044
White	M	2004	Not Hispanic or Latino	35.4106814289767	21504	58901240	36.5085692593229
White	M	2005	Not Hispanic or Latino	35.1977597621987	21701	59126500	36.7026629345556
White	M	2006	Not Hispanic or Latino	34.2543086005923	21397	59325348	36.067213630167
White	M	2007	Not Hispanic or Latino	33.0276460779034	20960	59546257	35.1995256393697
White	M	2008	Not Hispanic or Latino	31.7315194917821	20533	59796228	34.3382863547848
White	M	2009	Not Hispanic or Latino	30.9455135846699	20327	60075026	33.8360236415045
White	M	2010	Not Hispanic or Latino	30.3743453395803	20240	60326278	33.5508847404774
White	M	2011	Not Hispanic or Latino	32.0255798990651	21731	60651241	35.829439994476
White	M	2012	Not Hispanic or Latino	31.233826145228	21625	60945197	35.4826976767341
White	M	2013	Not Hispanic or Latino	31.7233848130171	22371	61214375	36.5453375943151
White	M	2014	Not Hispanic or Latino	32.3937148408511	23271	61431667	37.8811143119395
White	M	2015	Not Hispanic or Latino	33.0195385463844	24157	61695502	39.1552045398707
White	M	2016	Not Hispanic or Latino	32.8068218319173	24318	61917686	39.2747235418326
White	M	2017	Not Hispanic or Latino	33.6174217055745	25585	62113338	41.1908308647009
White	M	2018	Not Hispanic or Latino	34.0472198499843	26391	62275042	42.3781327999747
White	M	2019	Not Hispanic or Latino	34.7820437689799	27495	62451451	44.026198846845
White	M	2020	Not Hispanic or Latino	38.1425396465538	30503	62671286	48.6714122955766
White	M	2021	Not Hispanic or Latino	39.7969417805564	32269	63780443	50.5938787537114
White	M	2022	Not Hispanic or Latino	38.3108586972143	31588	63778591	49.5275914765819
