Race	Hispanic Origin	Five-Year Age Groups	Gender	Year	Deaths	Population	Crude Rate
Black or African American	Not Hispanic or Latino	30-34 years	Female	1999	48	1393840	3.44372381335017
Black or African American	Not Hispanic or Latino	30-34 years	Female	2000	54	1384892	3.8992210222891
Black or African American	Not Hispanic or Latino	30-34 years	Female	2001	42	1388476	3.02489924204668
Black or African American	Not Hispanic or Latino	30-34 years	Female	2002	46	1393457	3.30114241056595
Black or African American	Not Hispanic or Latino	30-34 years	Female	2003	54	1388044	3.89036658780269
Black or African American	Not Hispanic or Latino	30-34 years	Female	2004	56	1376595	4.06800838300299
Black or African American	Not Hispanic or Latino	30-34 years	Female	2005	52	1350939	3.84917453711826
Black or African American	Not Hispanic or Latino	30-34 years	Female	2006	55	1320401	4.16540126825108
Black or African American	Not Hispanic or Latino	30-34 years	Female	2007	55	1313374	4.18768758936906
Black or African American	Not Hispanic or Latino	30-34 years	Female	2008	55	1320241	4.16590607320936
Black or African American	Not Hispanic or Latino	30-34 years	Female	2009	44	1353009	3.25201088832373
Black or African American	Not Hispanic or Latino	30-34 years	Female	2010	53	1384808	3.8272453654225
Black or African American	Not Hispanic or Latino	30-34 years	Female	2011	69	1424682	4.8431860583625
Black or African American	Not Hispanic or Latino	30-34 years	Female	2012	67	1450157	4.62018940018219
Black or African American	Not Hispanic or Latino	30-34 years	Female	2013	57	1470609	3.87594527165276
Black or African American	Not Hispanic or Latino	30-34 years	Female	2014	63	1484560	4.24368162957375
Black or African American	Not Hispanic or Latino	30-34 years	Female	2015	75	1487728	5.04124409838358
Black or African American	Not Hispanic or Latino	30-34 years	Female	2016	70	1498513	4.67129747956808
Black or African American	Not Hispanic or Latino	30-34 years	Female	2017	80	1519870	5.26360807174298
Black or African American	Not Hispanic or Latino	30-34 years	Female	2018	66	1549097	4.26054662813239
Black or African American	Not Hispanic or Latino	30-34 years	Female	2019	76	1602877	4.74147423663825
Black or African American	Not Hispanic or Latino	30-34 years	Female	2020	93	1669692	5.56988953651332
Black or African American	Not Hispanic or Latino	30-34 years	Female	2021	105	1727635	6.07767265655072
Black or African American	Not Hispanic or Latino	30-34 years	Female	2022	94	1766776	5.32042545291537
Black or African American	Not Hispanic or Latino	30-34 years	Male	1999	64	1248190	5.12742451069148
Black or African American	Not Hispanic or Latino	30-34 years	Male	2000	58	1243849	4.66294542183175
Black or African American	Not Hispanic or Latino	30-34 years	Male	2001	73	1241242	5.88120608229499
Black or African American	Not Hispanic or Latino	30-34 years	Male	2002	75	1243774	6.03003439531619
Black or African American	Not Hispanic or Latino	30-34 years	Male	2003	69	1233902	5.59201622170967
Black or African American	Not Hispanic or Latino	30-34 years	Male	2004	68	1222155	5.56394238046729
Black or African American	Not Hispanic or Latino	30-34 years	Male	2005	86	1196334	7.18862792497747
Black or African American	Not Hispanic or Latino	30-34 years	Male	2006	85	1171760	7.25404519696866
Black or African American	Not Hispanic or Latino	30-34 years	Male	2007	74	1165879	6.34714237069198
Black or African American	Not Hispanic or Latino	30-34 years	Male	2008	54	1175694	4.593031860331
Black or African American	Not Hispanic or Latino	30-34 years	Male	2009	63	1210245	5.20555755239642
Black or African American	Not Hispanic or Latino	30-34 years	Male	2010	77	1245147	6.18400879574861
Black or African American	Not Hispanic or Latino	30-34 years	Male	2011	78	1286022	6.06521505852933
Black or African American	Not Hispanic or Latino	30-34 years	Male	2012	60	1315999	4.55927398121123
Black or African American	Not Hispanic or Latino	30-34 years	Male	2013	65	1341923	4.84379506126656
Black or African American	Not Hispanic or Latino	30-34 years	Male	2014	82	1362152	6.01988618010325
Black or African American	Not Hispanic or Latino	30-34 years	Male	2015	87	1374657	6.32885148804393
Black or African American	Not Hispanic or Latino	30-34 years	Male	2016	77	1397545	5.50966158513679
Black or African American	Not Hispanic or Latino	30-34 years	Male	2017	76	1431359	5.30963930083229
Black or African American	Not Hispanic or Latino	30-34 years	Male	2018	106	1473500	7.19375636240244
Black or African American	Not Hispanic or Latino	30-34 years	Male	2019	93	1538578	6.04454242813819
Black or African American	Not Hispanic or Latino	30-34 years	Male	2020	142	1617245	8.78036413777752
Black or African American	Not Hispanic or Latino	30-34 years	Male	2021	153	1678798	9.11366346636105
Black or African American	Not Hispanic or Latino	30-34 years	Male	2022	182	1739488	10.4628488382789
Black or African American	Not Hispanic or Latino	35-39 years	Female	1999	85	1507328	5.63911769701087
Black or African American	Not Hispanic or Latino	35-39 years	Female	2000	77	1505402	5.11491282727139
Black or African American	Not Hispanic or Latino	35-39 years	Female	2001	83	1491812	5.56370373746826
Black or African American	Not Hispanic or Latino	35-39 years	Female	2002	94	1467701	6.40457422867464
Black or African American	Not Hispanic or Latino	35-39 years	Female	2003	95	1440844	6.59335778196668
Black or African American	Not Hispanic or Latino	35-39 years	Female	2004	82	1408319	5.82254446613303
Black or African American	Not Hispanic or Latino	35-39 years	Female	2005	81	1396992	5.79817207256735
Black or African American	Not Hispanic or Latino	35-39 years	Female	2006	88	1405559	6.26085422241258
Black or African American	Not Hispanic or Latino	35-39 years	Female	2007	87	1413720	6.15397674221204
Black or African American	Not Hispanic or Latino	35-39 years	Female	2008	84	1412276	5.94784588848072
Black or African American	Not Hispanic or Latino	35-39 years	Female	2009	77	1403007	5.48821210442998
Black or African American	Not Hispanic or Latino	35-39 years	Female	2010	84	1384151	6.0687020419015
Black or African American	Not Hispanic or Latino	35-39 years	Female	2011	74	1344610	5.50345453328474
Black or African American	Not Hispanic or Latino	35-39 years	Female	2012	83	1338520	6.2008785823148
Black or African American	Not Hispanic or Latino	35-39 years	Female	2013	79	1344139	5.8773683376496
Black or African American	Not Hispanic or Latino	35-39 years	Female	2014	92	1374316	6.69423917061287
Black or African American	Not Hispanic or Latino	35-39 years	Female	2015	88	1413525	6.22557082471127
Black or African American	Not Hispanic or Latino	35-39 years	Female	2016	108	1445255	7.47272972589612
Black or African American	Not Hispanic or Latino	35-39 years	Female	2017	107	1475146	7.25351931266465
Black or African American	Not Hispanic or Latino	35-39 years	Female	2018	113	1494278	7.56218053133353
Black or African American	Not Hispanic or Latino	35-39 years	Female	2019	108	1501244	7.19403374801165
Black or African American	Not Hispanic or Latino	35-39 years	Female	2020	151	1502992	10.0466269946879
Black or African American	Not Hispanic or Latino	35-39 years	Female	2021	137	1528319	8.96409715510963
Black or African American	Not Hispanic or Latino	35-39 years	Female	2022	144	1533513	9.390204060872
Black or African American	Not Hispanic or Latino	35-39 years	Male	1999	107	1334212	8.01971500780985
Black or African American	Not Hispanic or Latino	35-39 years	Male	2000	99	1333184	7.42583169314963
Black or African American	Not Hispanic or Latino	35-39 years	Male	2001	119	1322748	8.99642259901357
Black or African American	Not Hispanic or Latino	35-39 years	Male	2002	114	1298817	8.77721803764503
Black or African American	Not Hispanic or Latino	35-39 years	Male	2003	113	1273108	8.87591626162117
Black or African American	Not Hispanic or Latino	35-39 years	Male	2004	124	1248378	9.93288891665826
Black or African American	Not Hispanic or Latino	35-39 years	Male	2005	140	1238840	11.3008943850699
Black or African American	Not Hispanic or Latino	35-39 years	Male	2006	128	1244414	10.2859659245235
Black or African American	Not Hispanic or Latino	35-39 years	Male	2007	121	1253650	9.65181669524987
Black or African American	Not Hispanic or Latino	35-39 years	Male	2008	106	1253548	8.45599849387498
Black or African American	Not Hispanic or Latino	35-39 years	Male	2009	100	1244299	8.03665356960023
Black or African American	Not Hispanic or Latino	35-39 years	Male	2010	97	1226242	7.91034722346812
Black or African American	Not Hispanic or Latino	35-39 years	Male	2011	86	1193704	7.20446609879836
Black or African American	Not Hispanic or Latino	35-39 years	Male	2012	112	1189759	9.4136711720609
Black or African American	Not Hispanic or Latino	35-39 years	Male	2013	110	1199943	9.16710210401661
Black or African American	Not Hispanic or Latino	35-39 years	Male	2014	112	1231071	9.09776934067978
Black or African American	Not Hispanic or Latino	35-39 years	Male	2015	129	1271310	10.1470137102674
Black or African American	Not Hispanic or Latino	35-39 years	Male	2016	113	1303281	8.67042487383765
Black or African American	Not Hispanic or Latino	35-39 years	Male	2017	164	1336143	12.2741353283294
Black or African American	Not Hispanic or Latino	35-39 years	Male	2018	166	1361639	12.1911901759571
Black or African American	Not Hispanic or Latino	35-39 years	Male	2019	156	1374076	11.3530838177801
Black or African American	Not Hispanic or Latino	35-39 years	Male	2020	243	1383849	17.5597193046351
Black or African American	Not Hispanic or Latino	35-39 years	Male	2021	231	1434313	16.1052713041017
Black or African American	Not Hispanic or Latino	35-39 years	Male	2022	193	1453787	13.2756724334445
Black or African American	Not Hispanic or Latino	40-44 years	Female	1999	141	1420696	9.92471295759262
Black or African American	Not Hispanic or Latino	40-44 years	Female	2000	129	1442018	8.94579679310522
Black or African American	Not Hispanic or Latino	40-44 years	Female	2001	148	1475496	10.0305253284319
Black or African American	Not Hispanic or Latino	40-44 years	Female	2002	144	1487168	9.68283341223049
Black or African American	Not Hispanic or Latino	40-44 years	Female	2003	143	1498869	9.54052689060885
Black or African American	Not Hispanic or Latino	40-44 years	Female	2004	144	1510161	9.53540715195267
Black or African American	Not Hispanic or Latino	40-44 years	Female	2005	146	1506129	9.69372477390715
Black or African American	Not Hispanic or Latino	40-44 years	Female	2006	147	1494626	9.83523637351418
Black or African American	Not Hispanic or Latino	40-44 years	Female	2007	158	1471651	10.7362411332578
Black or African American	Not Hispanic or Latino	40-44 years	Female	2008	145	1446445	10.0245774986259
Black or African American	Not Hispanic or Latino	40-44 years	Female	2009	120	1414333	8.48456480899477
Black or African American	Not Hispanic or Latino	40-44 years	Female	2010	123	1404513	8.75748391079328
Black or African American	Not Hispanic or Latino	40-44 years	Female	2011	139	1410151	9.85710040981427
Black or African American	Not Hispanic or Latino	40-44 years	Female	2012	122	1415866	8.61663462502807
Black or African American	Not Hispanic or Latino	40-44 years	Female	2013	133	1412452	9.41624918935298
Black or African American	Not Hispanic or Latino	40-44 years	Female	2014	154	1406532	10.9489154885918
Black or African American	Not Hispanic or Latino	40-44 years	Female	2015	135	1386639	9.73577117043441
Black or African American	Not Hispanic or Latino	40-44 years	Female	2016	151	1352538	11.1641964957731
Black or African American	Not Hispanic or Latino	40-44 years	Female	2017	159	1351467	11.7649931518861
Black or African American	Not Hispanic or Latino	40-44 years	Female	2018	161	1354893	11.882857170271
Black or African American	Not Hispanic or Latino	40-44 years	Female	2019	138	1378109	10.0137217012588
Black or African American	Not Hispanic or Latino	40-44 years	Female	2020	185	1414368	13.0800470598882
Black or African American	Not Hispanic or Latino	40-44 years	Female	2021	220	1459174	15.0770230280967
Black or African American	Not Hispanic or Latino	40-44 years	Female	2022	190	1472391	12.9041810225681
Black or African American	Not Hispanic or Latino	40-44 years	Male	1999	169	1248357	13.5377940765342
Black or African American	Not Hispanic or Latino	40-44 years	Male	2000	153	1273647	12.0127476451481
Black or African American	Not Hispanic or Latino	40-44 years	Male	2001	156	1304062	11.9626214091048
Black or African American	Not Hispanic or Latino	40-44 years	Male	2002	202	1314793	15.3636351882007
Black or African American	Not Hispanic or Latino	40-44 years	Male	2003	196	1321512	14.8314960439254
Black or African American	Not Hispanic or Latino	40-44 years	Male	2004	190	1331998	14.2642856821106
Black or African American	Not Hispanic or Latino	40-44 years	Male	2005	167	1329094	12.5649502593496
