Race	Hispanic Origin	Five-Year Age Groups	Gender	Deaths	Population	Crude Rate
Black or African American	Not Hispanic or Latino	20-24 years	F	13	4904141	0.26508210102442
Black or African American	Not Hispanic or Latino	20-24 years	M	19	5013386	0.378985380339754
Black or African American	Not Hispanic or Latino	25-29 years	F	30	5180982	0.579040807321855
Black or African American	Not Hispanic or Latino	25-29 years	M	60	5271651	1.13816335717216
Black or African American	Not Hispanic or Latino	30-34 years	F	65	5164103	1.25868906952476
Black or African American	Not Hispanic or Latino	30-34 years	M	123	5035531	2.4426420967322
Black or African American	Not Hispanic or Latino	35-39 years	F	109	4564824	2.38782480989409
Black or African American	Not Hispanic or Latino	35-39 years	M	207	4271949	4.84556346529418
Black or African American	Not Hispanic or Latino	40-44 years	F	191	4345933	4.39491358932593
Black or African American	Not Hispanic or Latino	40-44 years	M	318	3949647	8.05135243731908
Black or African American	Not Hispanic or Latino	45-49 years	F	251	4059458	6.18309143732981
Black or African American	Not Hispanic or Latino	45-49 years	M	495	3616741	13.6863546491164
Black or African American	Not Hispanic or Latino	50-54 years	F	465	4135774	11.2433609766878
Black or African American	Not Hispanic or Latino	50-54 years	M	819	3684666	22.227252076579
Black or African American	Not Hispanic or Latino	55-59 years	F	731	4223086	17.3096167115706
Black or African American	Not Hispanic or Latino	55-59 years	M	1128	3684049	30.618485259018
Black or African American	Not Hispanic or Latino	60-64 years	F	1185	4012493	29.5327618017028
Black or African American	Not Hispanic or Latino	60-64 years	M	1720	3390287	50.7331680179289
Black or African American	Not Hispanic or Latino	65-69 years	F	1500	3315232	45.2457022615612
Black or African American	Not Hispanic or Latino	65-69 years	M	2027	2599098	77.9885945047089
Black or African American	Not Hispanic or Latino	70-74 years	F	1711	2525613	67.7459294040694
Black or African American	Not Hispanic or Latino	70-74 years	M	2010	1840747	109.194799719896
Black or African American	Not Hispanic or Latino	75-79 years	F	1837	1608056	114.237315118379
Black or African American	Not Hispanic or Latino	75-79 years	M	1854	1075567	172.3741989109
Black or African American	Not Hispanic or Latino	80-84 years	F	2125	1052375	201.924219028388
Black or African American	Not Hispanic or Latino	80-84 years	M	1578	620058	254.492321686036
White	Not Hispanic or Latino	20-24 years	F	13	17462377	0.0744457641705937
White	Not Hispanic or Latino	20-24 years	M	24	18355140	0.130753565486289
White	Not Hispanic or Latino	25-29 years	F	15	18086242	0.0829359686771857
White	Not Hispanic or Latino	25-29 years	M	58	18960079	0.305905898387871
White	Not Hispanic or Latino	30-34 years	F	80	19060137	0.419724160429697
White	Not Hispanic or Latino	30-34 years	M	107	19574578	0.54662736535112
White	Not Hispanic or Latino	35-39 years	F	120	18685335	0.642214870645884
White	Not Hispanic or Latino	35-39 years	M	211	19143755	1.10218711010457
White	Not Hispanic or Latino	40-44 years	F	205	17807055	1.15122910554272
White	Not Hispanic or Latino	40-44 years	M	380	18232962	2.08413750876023
White	Not Hispanic or Latino	45-49 years	F	357	17191949	2.07655339135778
White	Not Hispanic or Latino	45-49 years	M	694	17518712	3.961478446589
White	Not Hispanic or Latino	50-54 years	F	731	19379130	3.77209916028222
White	Not Hispanic or Latino	50-54 years	M	1297	19647157	6.60146401843279
White	Not Hispanic or Latino	55-59 years	F	1299	21591719	6.01619537564378
White	Not Hispanic or Latino	55-59 years	M	2503	21276469	11.7641700791612
White	Not Hispanic or Latino	60-64 years	F	2448	22715038	10.7770015616967
White	Not Hispanic or Latino	60-64 years	M	4316	21866414	19.7380329486124
White	Not Hispanic or Latino	65-69 years	F	4010	20865508	19.2183195348036
White	Not Hispanic or Latino	65-69 years	M	6266	19366589	32.3546908544401
White	Not Hispanic or Latino	70-74 years	F	6754	18028045	37.463851460322
White	Not Hispanic or Latino	70-74 years	M	9372	16170216	57.9584094609497
White	Not Hispanic or Latino	75-79 years	F	10286	12888425	79.8080448154061
White	Not Hispanic or Latino	75-79 years	M	12331	10931589	112.801533244618
White	Not Hispanic or Latino	80-84 years	F	15013	8500853	176.605806499654
White	Not Hispanic or Latino	80-84 years	M	15566	6501879	239.40771583107
