Race	Hispanic Origin	Five-Year Age Groups	Gender	Year	Deaths	Population	Crude Rate
Black or African American	Not Hispanic or Latino	20-24 years	F	2000	4	1361689	0.293752831960896
Black or African American	Not Hispanic or Latino	20-24 years	F	2001	6	1420272	0.422454290445774
Black or African American	Not Hispanic or Latino	20-24 years	F	2002	5	1452733	0.344178868381182
Black or African American	Not Hispanic or Latino	20-24 years	F	2003	3	1474407	0.203471633002285
Black or African American	Not Hispanic or Latino	20-24 years	F	2004	1	1483898	0.0673900766764292
Black or African American	Not Hispanic or Latino	20-24 years	F	2005	4	1483098	0.269705710613864
Black or African American	Not Hispanic or Latino	20-24 years	M	2000	1	1288774	0.077593123387033
Black or African American	Not Hispanic or Latino	20-24 years	M	2001	8	1354373	0.590679229429411
Black or African American	Not Hispanic or Latino	20-24 years	M	2002	5	1397013	0.357906476174524
Black or African American	Not Hispanic or Latino	20-24 years	M	2003	5	1426855	0.350421030868589
Black or African American	Not Hispanic or Latino	20-24 years	M	2004	1	1455519	0.0687040155435965
Black or African American	Not Hispanic or Latino	20-24 years	M	2005	1	1467280	0.0681533177035058
Black or African American	Not Hispanic or Latino	25-29 years	F	2000	2	1345107	0.148687056122673
Black or African American	Not Hispanic or Latino	25-29 years	F	2001	1	1304639	0.0766495559307977
Black or African American	Not Hispanic or Latino	25-29 years	F	2002	7	1293736	0.541068656974839
Black or African American	Not Hispanic or Latino	25-29 years	F	2003	1	1295263	0.0772043978713203
Black or African American	Not Hispanic or Latino	25-29 years	F	2004	4	1324683	0.301959034727554
Black or African American	Not Hispanic or Latino	25-29 years	F	2005	4	1363164	0.293434979210132
Black or African American	Not Hispanic or Latino	25-29 years	M	2000	9	1217250	0.739371534195933
Black or African American	Not Hispanic or Latino	25-29 years	M	2001	12	1176367	1.02008981890855
Black or African American	Not Hispanic or Latino	25-29 years	M	2002	10	1161423	0.86101274040552
Black or African American	Not Hispanic or Latino	25-29 years	M	2003	6	1156545	0.518786558240276
Black or African American	Not Hispanic or Latino	25-29 years	M	2004	10	1184157	0.844482615058645
Black or African American	Not Hispanic or Latino	25-29 years	M	2005	10	1219297	0.820144722737774
Black or African American	Not Hispanic or Latino	30-34 years	F	2000	7	1384892	0.505454576963402
Black or African American	Not Hispanic or Latino	30-34 years	F	2001	2	1388476	0.144042821049842
Black or African American	Not Hispanic or Latino	30-34 years	F	2002	12	1393457	0.861167585365031
Black or African American	Not Hispanic or Latino	30-34 years	F	2003	11	1388044	0.792482082700548
Black or African American	Not Hispanic or Latino	30-34 years	F	2004	3	1376595	0.217929020518017
Black or African American	Not Hispanic or Latino	30-34 years	F	2005	4	1350939	0.296090349009097
Black or African American	Not Hispanic or Latino	30-34 years	M	2000	1	1243849	0.0803956107212371
Black or African American	Not Hispanic or Latino	30-34 years	M	2001	11	1241242	0.886209135688287
Black or African American	Not Hispanic or Latino	30-34 years	M	2002	17	1243774	1.36680779627167
Black or African American	Not Hispanic or Latino	30-34 years	M	2003	18	1233902	1.458786840446
