Race	Gender	Year	Hispanic Origin	AA_rate	Deaths	Population	Crude Rate
Black or African American	F	2000	Not Hispanic or Latino	17.7027178635267	1709	12088556	14.137337825957
Black or African American	F	2001	Not Hispanic or Latino	17.5991476656335	1746	12335052	14.1547842684409
Black or African American	F	2002	Not Hispanic or Latino	17.4108498070692	1763	12526219	14.074478499857
Black or African American	F	2003	Not Hispanic or Latino	17.6631520260296	1828	12705685	14.3872605058287
Black or African American	F	2004	Not Hispanic or Latino	16.5991356657442	1750	12891647	13.5746813421125
Black or African American	F	2005	Not Hispanic or Latino	17.8680651717824	1919	13080937	14.6702029067184
Black or African American	F	2006	Not Hispanic or Latino	16.7700045467597	1856	13279693	13.9762267094578
Black or African American	F	2007	Not Hispanic or Latino	16.0972980338294	1811	13477307	13.4374025908885
Black or African American	F	2008	Not Hispanic or Latino	15.5408580899183	1783	13681660	13.0320443571906
Black or African American	F	2009	Not Hispanic or Latino	14.7406814050888	1735	13896876	12.4848203294035
Black or African American	F	2010	Not Hispanic or Latino	14.6857870761265	1749	14072907	12.4281358499704
Black or African American	F	2011	Not Hispanic or Latino	14.5910866041215	1791	14366479	12.466520154312
Black or African American	F	2012	Not Hispanic or Latino	14.5218183067922	1844	14609655	12.6217901791658
Black or African American	F	2013	Not Hispanic or Latino	16.176886017212	2108	14840618	14.2042602268989
Black or African American	F	2014	Not Hispanic or Latino	16.6516966993727	2249	15103320	14.8907657389236
Black or African American	F	2015	Not Hispanic or Latino	17.3326697316871	2402	15328437	15.6702213017544
Black or African American	F	2016	Not Hispanic or Latino	19.2502472019158	2760	15503005	17.8030001280397
Black or African American	F	2017	Not Hispanic or Latino	19.2058910423143	2862	15736275	18.1872774846652
Black or African American	F	2018	Not Hispanic or Latino	19.393538611345	2982	15895642	18.7598588342641
Black or African American	F	2019	Not Hispanic or Latino	19.9462513698215	3164	16069891	19.6889947791183
Black or African American	F	2020	Not Hispanic or Latino	20.594774744836	3402	16246943	20.9393237854038
Black or African American	F	2021	Not Hispanic or Latino	20.5234655261956	3395	16354341	20.759014380341
Black or African American	F	2022	Not Hispanic or Latino	20.1038844646295	3420	16490786	20.7388538059981
Black or African American	M	2000	Not Hispanic or Latino	22.3778778264776	1419	10305707	13.7690698949621
Black or African American	M	2001	Not Hispanic or Latino	23.6201594913148	1558	10534967	14.7888455654394
Black or African American	M	2002	Not Hispanic or Latino	23.3526892053155	1601	10712463	14.9452091456465
Black or African American	M	2003	Not Hispanic or Latino	22.7499162678075	1625	10870424	14.9488189237145
Black or African American	M	2004	Not Hispanic or Latino	22.5850674958309	1639	11064474	14.8131759358827
Black or African American	M	2005	Not Hispanic or Latino	23.9683670345717	1792	11251257	15.9271092998765
Black or African American	M	2006	Not Hispanic or Latino	23.0205319975703	1788	11449862	15.6159087332232
Black or African American	M	2007	Not Hispanic or Latino	22.615738601952	1803	11638754	15.4913489880446
Black or African American	M	2008	Not Hispanic or Latino	22.9446314225171	1872	11837625	15.8139829568854
Black or African American	M	2009	Not Hispanic or Latino	21.3030954735339	1819	12046014	15.1004307316927
Black or African American	M	2010	Not Hispanic or Latino	21.9051899903328	1878	12219977	15.3682776980677
Black or African American	M	2011	Not Hispanic or Latino	20.8222550513713	1854	12521774	14.8062087688214
Black or African American	M	2012	Not Hispanic or Latino	22.0774378478153	2048	12786047	16.0174602830726
Black or African American	M	2013	Not Hispanic or Latino	23.8144209890454	2294	13032785	17.6017635524564
Black or African American	M	2014	Not Hispanic or Latino	24.5633558154979	2440	13303517	18.3410146354532
Black or African American	M	2015	Not Hispanic or Latino	27.3397839856429	2829	13535982	20.8998504873898
Black or African American	M	2016	Not Hispanic or Latino	27.1227116552558	2934	13719610	21.3854475455206
Black or African American	M	2017	Not Hispanic or Latino	28.7452959717666	3190	13944456	22.8764750665067
Black or African American	M	2018	Not Hispanic or Latino	30.0143601414757	3438	14109868	24.365926031342
Black or African American	M	2019	Not Hispanic or Latino	31.1117211343025	3738	14278463	26.179288344971
Black or African American	M	2020	Not Hispanic or Latino	33.2470190389255	4175	14453199	28.8863385884329
Black or African American	M	2021	Not Hispanic or Latino	31.3026326227253	3997	14716384	27.1602045719927
Black or African American	M	2022	Not Hispanic or Latino	32.2239085461006	4185	14883794	28.1178307090249
White	F	2000	Not Hispanic or Latino	11.8803607268961	11430	67808736	16.856235161204
White	F	2001	Not Hispanic or Latino	11.9507019359425	11589	73986596	15.6636480478167
White	F	2002	Not Hispanic or Latino	11.6185403123336	11363	74229884	15.3078509458536
White	F	2003	Not Hispanic or Latino	11.5579187103426	11382	74444229	15.289297979028
White	F	2004	Not Hispanic or Latino	11.471864620913	11325	74660144	15.168735811707
White	F	2005	Not Hispanic or Latino	11.5319929457098	11403	74885877	15.2271702713717
White	F	2006	Not Hispanic or Latino	11.5324187372525	11385	75109863	15.1577962537357
White	F	2007	Not Hispanic or Latino	10.4650970877132	10340	75315096	13.7289873467067
White	F	2008	Not Hispanic or Latino	9.87812683018962	9751	75540582	12.9082934521209
White	F	2009	Not Hispanic or Latino	9.67546806179543	9537	75770885	12.5866287558869
White	F	2010	Not Hispanic or Latino	9.65649609709352	9503	75954890	12.5113735271027
White	F	2011	Not Hispanic or Latino	9.62825976802199	9520	76307802	12.4757885176669
White	F	2012	Not Hispanic or Latino	9.43601709641035	9384	76586755	12.2527713832503
White	F	2013	Not Hispanic or Latino	10.0429345643918	10072	76799351	13.1146941593296
White	F	2014	Not Hispanic or Latino	10.3748567754988	10494	76988308	13.6306411617723
White	F	2015	Not Hispanic or Latino	11.0744888821937	11302	77171746	14.6452563092197
White	F	2016	Not Hispanic or Latino	11.1689824808539	11562	77325280	14.9524191829632
White	F	2017	Not Hispanic or Latino	11.3112166748232	11971	77419752	15.4624623442348
White	F	2018	Not Hispanic or Latino	11.4229404792165	12432	77503379	16.0405909528151
White	F	2019	Not Hispanic or Latino	11.6426998289657	13029	77565673	16.7973789127054
White	F	2020	Not Hispanic or Latino	11.5587740990215	13121	77676532	16.8918457894078
White	F	2021	Not Hispanic or Latino	12.5415158889848	13981	77401754	18.0628981611967
White	F	2022	Not Hispanic or Latino	12.1982288978421	14231	77183527	18.4378721122708
White	M	2000	Not Hispanic or Latino	16.0924594042988	10905	69673627	15.6515463160831
White	M	2001	Not Hispanic or Latino	15.9924659707011	11065	70150944	15.7731305796826
White	M	2002	Not Hispanic or Latino	15.3700010708198	10809	70470196	15.3383992290869
White	M	2003	Not Hispanic or Latino	15.34319621713	10937	70718950	15.4654445519907
White	M	2004	Not Hispanic or Latino	14.9597148187036	10789	71093206	15.1758523873575
White	M	2005	Not Hispanic or Latino	14.76974940284	10800	71441758	15.1172091817785
White	M	2006	Not Hispanic or Latino	15.1184704438113	11188	71804187	15.5812640842239
White	M	2007	Not Hispanic or Latino	14.0135880245191	10488	72114814	14.5434750757313
White	M	2008	Not Hispanic or Latino	13.5861984427863	10315	72447003	14.2379940823777
White	M	2009	Not Hispanic or Latino	13.5647515807995	10408	72776028	14.3014125475493
White	M	2010	Not Hispanic or Latino	13.6699767567305	10618	73040051	14.5372297179803
White	M	2011	Not Hispanic or Latino	13.2334092509536	10420	73499678	14.1769328567671
White	M	2012	Not Hispanic or Latino	13.6376423466325	10963	73891044	14.836710116046
White	M	2013	Not Hispanic or Latino	14.4448825480112	11856	74212754	15.9756906474593
White	M	2014	Not Hispanic or Latino	15.1375976814643	12661	74481340	16.9988885806834
White	M	2015	Not Hispanic or Latino	16.3758945161643	13904	74744461	18.6020473142485
White	M	2016	Not Hispanic or Latino	16.9877611574988	14733	74928793	19.6626682615854
White	M	2017	Not Hispanic or Latino	16.9002962188119	15084	75049754	20.0986668124189
White	M	2018	Not Hispanic or Latino	17.3623002955401	15995	75120701	21.2923998140007
White	M	2019	Not Hispanic or Latino	17.5847539002525	16624	75170500	22.1150584338271
White	M	2020	Not Hispanic or Latino	17.9056160768073	17243	75252983	22.9133774006009
White	M	2021	Not Hispanic or Latino	18.2982070681886	17726	76019370	23.3177412546302
White	M	2022	Not Hispanic or Latino	18.1295488751988	18165	76273186	23.8157089701222
