Race	Hispanic Origin	Five-Year Age Groups	Gender	Year	Deaths	Population	Crude Rate
Black or African American	Not Hispanic or Latino	20-24 years	F	2000	5	1361689	0.36719103995112
Black or African American	Not Hispanic or Latino	20-24 years	F	2001	5	1420272	0.352045242038145
Black or African American	Not Hispanic or Latino	20-24 years	F	2002	5	1452733	0.344178868381182
Black or African American	Not Hispanic or Latino	20-24 years	F	2003	5	1474407	0.339119388337142
Black or African American	Not Hispanic or Latino	20-24 years	F	2004	5	1483898	0.336950383382146
Black or African American	Not Hispanic or Latino	20-24 years	F	2005	5	1483098	0.33713213826733
Black or African American	Not Hispanic or Latino	20-24 years	F	2006	5	1487479	0.336139199276091
Black or African American	Not Hispanic or Latino	20-24 years	F	2007	5	1498025	0.333772800854458
Black or African American	Not Hispanic or Latino	20-24 years	F	2008	5	1519892	0.328970742658031
Black or African American	Not Hispanic or Latino	20-24 years	F	2009	5	1554094	0.321730860552837
Black or African American	Not Hispanic or Latino	20-24 years	F	2010	5	1587829	0.314895369715505
Black or African American	Not Hispanic or Latino	20-24 years	F	2011	5	1671217	0.299183170108968
Black or African American	Not Hispanic or Latino	20-24 years	F	2012	5	1731526	0.288762629033581
Black or African American	Not Hispanic or Latino	20-24 years	F	2013	5	1770138	0.282463853100719
Black or African American	Not Hispanic or Latino	20-24 years	F	2014	5	1785941	0.279964455712703
Black or African American	Not Hispanic or Latino	20-24 years	F	2015	5	1762150	0.283744289646171
Black or African American	Not Hispanic or Latino	20-24 years	F	2016	5	1714649	0.291604870734477
Black or African American	Not Hispanic or Latino	20-24 years	F	2017	5	1677678	0.29803096899405
Black or African American	Not Hispanic or Latino	20-24 years	F	2018	5	1643358	0.304255067976667
Black or African American	Not Hispanic or Latino	20-24 years	F	2019	5	1615209	0.30955746284227
Black or African American	Not Hispanic or Latino	20-24 years	F	2020	5	1610597	0.310443891302418
Black or African American	Not Hispanic or Latino	20-24 years	F	2021	2	1607120	0.12444621434616
Black or African American	Not Hispanic or Latino	20-24 years	F	2022	6	1686424	0.355782412963762
Black or African American	Not Hispanic or Latino	20-24 years	M	2000	5	1288774	0.387965616935165
Black or African American	Not Hispanic or Latino	20-24 years	M	2001	5	1354373	0.369174518393382
Black or African American	Not Hispanic or Latino	20-24 years	M	2002	5	1397013	0.357906476174524
Black or African American	Not Hispanic or Latino	20-24 years	M	2003	5	1426855	0.350421030868589
Black or African American	Not Hispanic or Latino	20-24 years	M	2004	5	1455519	0.343520077717982
Black or African American	Not Hispanic or Latino	20-24 years	M	2005	5	1467280	0.340766588517529
Black or African American	Not Hispanic or Latino	20-24 years	M	2006	5	1480574	0.337706862338525
Black or African American	Not Hispanic or Latino	20-24 years	M	2007	5	1486497	0.336361257372198
Black or African American	Not Hispanic or Latino	20-24 years	M	2008	5	1497956	0.333788175353615
Black or African American	Not Hispanic or Latino	20-24 years	M	2009	5	1522604	0.328384793419694
Black or African American	Not Hispanic or Latino	20-24 years	M	2010	5	1550237	0.32253132908065
Black or African American	Not Hispanic or Latino	20-24 years	M	2011	5	1654175	0.302265479770883
Black or African American	Not Hispanic or Latino	20-24 years	M	2012	5	1737366	0.287791979352652
Black or African American	Not Hispanic or Latino	20-24 years	M	2013	5	1794159	0.278682101196159
Black or African American	Not Hispanic or Latino	20-24 years	M	2014	5	1826372	0.273766790117238
Black or African American	Not Hispanic or Latino	20-24 years	M	2015	5	1815640	0.275384988213523
Black or African American	Not Hispanic or Latino	20-24 years	M	2016	5	1773358	0.281950965343715
Black or African American	Not Hispanic or Latino	20-24 years	M	2017	5	1733291	0.288468583751949
Black or African American	Not Hispanic or Latino	20-24 years	M	2018	5	1691428	0.295608207975746
Black or African American	Not Hispanic or Latino	20-24 years	M	2019	11	1660340	0.662514906585398
Black or African American	Not Hispanic or Latino	20-24 years	M	2020	10	1652385	0.605185837441032
Black or African American	Not Hispanic or Latino	20-24 years	M	2021	3	1642560	0.182641729982466
Black or African American	Not Hispanic or Latino	20-24 years	M	2022	6	1718441	0.349153680574428
Black or African American	Not Hispanic or Latino	25-29 years	F	2000	5	1345107	0.371717640306682
Black or African American	Not Hispanic or Latino	25-29 years	F	2001	5	1304639	0.383247779653989
Black or African American	Not Hispanic or Latino	25-29 years	F	2002	5	1293736	0.386477612124885
Black or African American	Not Hispanic or Latino	25-29 years	F	2003	5	1295263	0.386021989356602
Black or African American	Not Hispanic or Latino	25-29 years	F	2004	5	1324683	0.377448793409442
Black or African American	Not Hispanic or Latino	25-29 years	F	2005	5	1363164	0.366793724012665
Black or African American	Not Hispanic or Latino	25-29 years	F	2006	5	1406128	0.355586404651639
Black or African American	Not Hispanic or Latino	25-29 years	F	2007	5	1434645	0.348518274555726
Black or African American	Not Hispanic or Latino	25-29 years	F	2008	13	1454865	0.893553697422098
Black or African American	Not Hispanic or Latino	25-29 years	F	2009	5	1459525	0.342577208338329
Black or African American	Not Hispanic or Latino	25-29 years	F	2010	5	1454543	0.343750580079104
Black or African American	Not Hispanic or Latino	25-29 years	F	2011	5	1465672	0.341140446157121
Black or African American	Not Hispanic or Latino	25-29 years	F	2012	10	1482708	0.67444162977471
Black or African American	Not Hispanic or Latino	25-29 years	F	2013	10	1510526	0.662021044324957
Black or African American	Not Hispanic or Latino	25-29 years	F	2014	13	1571068	0.82746259232573
Black or African American	Not Hispanic or Latino	25-29 years	F	2015	5	1639497	0.304971585797351
Black or African American	Not Hispanic or Latino	25-29 years	F	2016	10	1707945	0.585498947565642
Black or African American	Not Hispanic or Latino	25-29 years	F	2017	5	1773228	0.281971635909201
Black or African American	Not Hispanic or Latino	25-29 years	F	2018	14	1811064	0.773026243136631
Black or African American	Not Hispanic or Latino	25-29 years	F	2019	10	1817908	0.550082842476077
Black or African American	Not Hispanic or Latino	25-29 years	F	2020	12	1789798	0.670466723060368
Black or African American	Not Hispanic or Latino	25-29 years	F	2021	2	1717789	0.116428734844617
Black or African American	Not Hispanic or Latino	25-29 years	F	2022	16	1673395	0.956140062567415
Black or African American	Not Hispanic or Latino	25-29 years	M	2000	5	1217250	0.410761963442185
Black or African American	Not Hispanic or Latino	25-29 years	M	2001	12	1176367	1.02008981890855
Black or African American	Not Hispanic or Latino	25-29 years	M	2002	10	1161423	0.86101274040552
Black or African American	Not Hispanic or Latino	25-29 years	M	2003	5	1156545	0.432322131866897
Black or African American	Not Hispanic or Latino	25-29 years	M	2004	10	1184157	0.844482615058645
Black or African American	Not Hispanic or Latino	25-29 years	M	2005	10	1219297	0.820144722737774
Black or African American	Not Hispanic or Latino	25-29 years	M	2006	5	1261035	0.396499700642726
Black or African American	Not Hispanic or Latino	25-29 years	M	2007	5	1295064	0.386081305634316
Black or African American	Not Hispanic or Latino	25-29 years	M	2008	14	1326472	1.05543124920843
Black or African American	Not Hispanic or Latino	25-29 years	M	2009	5	1341280	0.37277824167959
Black or African American	Not Hispanic or Latino	25-29 years	M	2010	5	1342341	0.372483593960104
Black or African American	Not Hispanic or Latino	25-29 years	M	2011	5	1368360	0.365400917887106
Black or African American	Not Hispanic or Latino	25-29 years	M	2012	10	1400570	0.713995016314786
Black or African American	Not Hispanic or Latino	25-29 years	M	2013	16	1442576	1.10912700613347
Black or African American	Not Hispanic or Latino	25-29 years	M	2014	12	1517010	0.79102972294184
Black or African American	Not Hispanic or Latino	25-29 years	M	2015	11	1599040	0.687912747648589
Black or African American	Not Hispanic or Latino	25-29 years	M	2016	13	1683093	0.772387503245513
Black or African American	Not Hispanic or Latino	25-29 years	M	2017	12	1765639	0.679640628690236
Black or African American	Not Hispanic or Latino	25-29 years	M	2018	17	1824430	0.931797876597074
Black or African American	Not Hispanic or Latino	25-29 years	M	2019	13	1845874	0.70427342277967
Black or African American	Not Hispanic or Latino	25-29 years	M	2020	24	1830579	1.3110605988597
Black or African American	Not Hispanic or Latino	25-29 years	M	2021	19	1736416	1.09420783959604
Black or African American	Not Hispanic or Latino	25-29 years	M	2022	17	1704656	0.997268657136689
Black or African American	Not Hispanic or Latino	30-34 years	F	2000	5	1384892	0.361038983545287
Black or African American	Not Hispanic or Latino	30-34 years	F	2001	5	1388476	0.360107052624604
Black or African American	Not Hispanic or Latino	30-34 years	F	2002	12	1393457	0.861167585365031
Black or African American	Not Hispanic or Latino	30-34 years	F	2003	11	1388044	0.792482082700548
Black or African American	Not Hispanic or Latino	30-34 years	F	2004	5	1376595	0.363215034196695
Black or African American	Not Hispanic or Latino	30-34 years	F	2005	5	1350939	0.370112936261371
Black or African American	Not Hispanic or Latino	30-34 years	F	2006	11	1320401	0.833080253650217
Black or African American	Not Hispanic or Latino	30-34 years	F	2007	11	1313374	0.837537517873812
Black or African American	Not Hispanic or Latino	30-34 years	F	2008	5	1320241	0.378718733928124
Black or African American	Not Hispanic or Latino	30-34 years	F	2009	12	1353009	0.886912060451926
Black or African American	Not Hispanic or Latino	30-34 years	F	2010	10	1384808	0.722121767060849
Black or African American	Not Hispanic or Latino	30-34 years	F	2011	12	1424682	0.842293227541304
Black or African American	Not Hispanic or Latino	30-34 years	F	2012	11	1450157	0.758538558238867
Black or African American	Not Hispanic or Latino	30-34 years	F	2013	13	1470609	0.883987518096244
Black or African American	Not Hispanic or Latino	30-34 years	F	2014	13	1484560	0.875680336261249
Black or African American	Not Hispanic or Latino	30-34 years	F	2015	13	1487728	0.87381564371982
Black or African American	Not Hispanic or Latino	30-34 years	F	2016	17	1498513	1.13445795932368
Black or African American	Not Hispanic or Latino	30-34 years	F	2017	14	1519870	0.921131412555021
Black or African American	Not Hispanic or Latino	30-34 years	F	2018	20	1549097	1.29107473579769
Black or African American	Not Hispanic or Latino	30-34 years	F	2019	22	1602877	1.37253201586897
Black or African American	Not Hispanic or Latino	30-34 years	F	2020	24	1669692	1.43739084813247
