Race	Hispanic Origin	Five-Year Age Groups	Gender	Year	Deaths	Population	Crude Rate
Black or African American	Not Hispanic or Latino	20-24 years	F	2000	10	1361689	0.734382079902239
Black or African American	Not Hispanic or Latino	20-24 years	F	2001	7	1420272	0.492863338853403
Black or African American	Not Hispanic or Latino	20-24 years	F	2002	3	1452733	0.206507321028709
Black or African American	Not Hispanic or Latino	20-24 years	F	2003	10	1474407	0.678238776674283
Black or African American	Not Hispanic or Latino	20-24 years	F	2004	10	1483898	0.673900766764292
Black or African American	Not Hispanic or Latino	20-24 years	F	2005	13	1483098	0.876543559495057
Black or African American	Not Hispanic or Latino	20-24 years	M	2000	13	1288774	1.00871060403143
Black or African American	Not Hispanic or Latino	20-24 years	M	2001	16	1354373	1.18135845885882
Black or African American	Not Hispanic or Latino	20-24 years	M	2002	13	1397013	0.930556838053762
Black or African American	Not Hispanic or Latino	20-24 years	M	2003	21	1426855	1.47176832964807
Black or African American	Not Hispanic or Latino	20-24 years	M	2004	11	1455519	0.755744170979561
Black or African American	Not Hispanic or Latino	20-24 years	M	2005	21	1467280	1.43121967177362
Black or African American	Not Hispanic or Latino	25-29 years	F	2000	22	1345107	1.6355576173494
Black or African American	Not Hispanic or Latino	25-29 years	F	2001	24	1304639	1.83958934233914
Black or African American	Not Hispanic or Latino	25-29 years	F	2002	16	1293736	1.23672835879963
Black or African American	Not Hispanic or Latino	25-29 years	F	2003	29	1295263	2.23892753826829
Black or African American	Not Hispanic or Latino	25-29 years	F	2004	34	1324683	2.56665179518421
Black or African American	Not Hispanic or Latino	25-29 years	F	2005	35	1363164	2.56755606808865
Black or African American	Not Hispanic or Latino	25-29 years	M	2000	26	1217250	2.13596220989936
Black or African American	Not Hispanic or Latino	25-29 years	M	2001	30	1176367	2.55022454727139
Black or African American	Not Hispanic or Latino	25-29 years	M	2002	45	1161423	3.87455733182484
Black or African American	Not Hispanic or Latino	25-29 years	M	2003	29	1156545	2.507468364828
Black or African American	Not Hispanic or Latino	25-29 years	M	2004	50	1184157	4.22241307529323
Black or African American	Not Hispanic or Latino	25-29 years	M	2005	31	1219297	2.5424486404871
Black or African American	Not Hispanic or Latino	30-34 years	F	2000	52	1384892	3.75480542887099
Black or African American	Not Hispanic or Latino	30-34 years	F	2001	56	1388476	4.03319898939557
Black or African American	Not Hispanic or Latino	30-34 years	F	2002	56	1393457	4.01878206503681
Black or African American	Not Hispanic or Latino	30-34 years	F	2003	55	1388044	3.96241041350274
Black or African American	Not Hispanic or Latino	30-34 years	F	2004	55	1376595	3.99536537616365
Black or African American	Not Hispanic or Latino	30-34 years	F	2005	59	1350939	4.36733264788417
Black or African American	Not Hispanic or Latino	30-34 years	M	2000	68	1243849	5.46690152904412
Black or African American	Not Hispanic or Latino	30-34 years	M	2001	80	1241242	6.44515735046027
Black or African American	Not Hispanic or Latino	30-34 years	M	2002	93	1243774	7.47724265019208
Black or African American	Not Hispanic or Latino	30-34 years	M	2003	92	1233902	7.45602162894622
Black or African American	Not Hispanic or Latino	30-34 years	M	2004	78	1222155	6.38216920112424
Black or African American	Not Hispanic or Latino	30-34 years	M	2005	89	1196334	7.43939401538366
Black or African American	Not Hispanic or Latino	35-39 years	F	2000	102	1505402	6.77559881015171
Black or African American	Not Hispanic or Latino	35-39 years	F	2001	105	1491812	7.0384203907731
Black or African American	Not Hispanic or Latino	35-39 years	F	2002	92	1467701	6.26830669189433
Black or African American	Not Hispanic or Latino	35-39 years	F	2003	112	1440844	7.77322180610809
Black or African American	Not Hispanic or Latino	35-39 years	F	2004	86	1408319	6.10657102545659
Black or African American	Not Hispanic or Latino	35-39 years	F	2005	100	1396992	7.15823712662635
Black or African American	Not Hispanic or Latino	35-39 years	M	2000	116	1333184	8.70097450914502
Black or African American	Not Hispanic or Latino	35-39 years	M	2001	124	1322748	9.37442354855195
Black or African American	Not Hispanic or Latino	35-39 years	M	2002	175	1298817	13.4737996191919
Black or African American	Not Hispanic or Latino	35-39 years	M	2003	146	1273108	11.4679980017406
Black or African American	Not Hispanic or Latino	35-39 years	M	2004	181	1248378	14.498813660606
Black or African American	Not Hispanic or Latino	35-39 years	M	2005	164	1238840	13.2381905653676
Black or African American	Not Hispanic or Latino	40-44 years	F	2000	168	1442018	11.6503400096254
Black or African American	Not Hispanic or Latino	40-44 years	F	2001	193	1475496	13.0803472188335
Black or African American	Not Hispanic or Latino	40-44 years	F	2002	196	1487168	13.1794121444248
Black or African American	Not Hispanic or Latino	40-44 years	F	2003	234	1498869	15.6117712755418
Black or African American	Not Hispanic or Latino	40-44 years	F	2004	216	1510161	14.303110727929
Black or African American	Not Hispanic or Latino	40-44 years	F	2005	211	1506129	14.0094241595507
Black or African American	Not Hispanic or Latino	40-44 years	M	2000	249	1273647	19.5501579322999
Black or African American	Not Hispanic or Latino	40-44 years	M	2001	294	1304062	22.5449403479282
Black or African American	Not Hispanic or Latino	40-44 years	M	2002	271	1314793	20.6116095841703
Black or African American	Not Hispanic or Latino	40-44 years	M	2003	292	1321512	22.0959022695216
Black or African American	Not Hispanic or Latino	40-44 years	M	2004	283	1331998	21.2462781475648
Black or African American	Not Hispanic or Latino	40-44 years	M	2005	310	1329094	23.3241591640621
Black or African American	Not Hispanic or Latino	45-49 years	F	2000	269	1225916	21.942775850874
Black or African American	Not Hispanic or Latino	45-49 years	F	2001	256	1272430	20.1189849343382
Black or African American	Not Hispanic or Latino	45-49 years	F	2002	303	1321076	22.935849262268
Black or African American	Not Hispanic or Latino	45-49 years	F	2003	346	1363748	25.3712562731531
Black or African American	Not Hispanic or Latino	45-49 years	F	2004	380	1398644	27.1691724270079
Black or African American	Not Hispanic or Latino	45-49 years	F	2005	342	1436071	23.8149785073301
Black or African American	Not Hispanic or Latino	45-49 years	M	2000	359	1061019	33.8353978580968
Black or African American	Not Hispanic or Latino	45-49 years	M	2001	428	1105384	38.7195761834801
Black or African American	Not Hispanic or Latino	45-49 years	M	2002	430	1153639	37.2733584769586
Black or African American	Not Hispanic or Latino	45-49 years	M	2003	515	1196401	43.0457680994917
Black or African American	Not Hispanic or Latino	45-49 years	M	2004	510	1231607	41.4093131981225
Black or African American	Not Hispanic or Latino	45-49 years	M	2005	507	1267913	39.9869707148677
Black or African American	Not Hispanic or Latino	50-54 years	F	2000	291	980443	29.6804607713044
Black or African American	Not Hispanic or Latino	50-54 years	F	2001	345	1066260	32.3560857576951
Black or African American	Not Hispanic or Latino	50-54 years	F	2002	373	1105949	33.7266908329408
Black or African American	Not Hispanic or Latino	50-54 years	F	2003	430	1144404	37.5741433969123
Black or African American	Not Hispanic or Latino	50-54 years	F	2004	409	1185311	34.5057120030102
Black or African American	Not Hispanic or Latino	50-54 years	F	2005	393	1223782	32.1135627096983
Black or African American	Not Hispanic or Latino	50-54 years	M	2000	463	834987	55.4499650892768
Black or African American	Not Hispanic or Latino	50-54 years	M	2001	509	912639	55.7723261881204
Black or African American	Not Hispanic or Latino	50-54 years	M	2002	546	945720	57.7337901281563
Black or African American	Not Hispanic or Latino	50-54 years	M	2003	613	979716	62.5691526932295
Black or African American	Not Hispanic or Latino	50-54 years	M	2004	610	1017168	59.9704276972929
Black or African American	Not Hispanic or Latino	50-54 years	M	2005	662	1054056	62.8050122574133
Black or African American	Not Hispanic or Latino	55-59 years	F	2000	345	721707	47.8033329315082
Black or African American	Not Hispanic or Latino	55-59 years	F	2001	355	749059	47.3927954940799
Black or African American	Not Hispanic or Latino	55-59 years	F	2002	396	799225	49.5479996246364
Black or African American	Not Hispanic or Latino	55-59 years	F	2003	447	846733	52.7911395918194
Black or African American	Not Hispanic or Latino	55-59 years	F	2004	439	906422	48.4321872152265
Black or African American	Not Hispanic or Latino	55-59 years	F	2005	406	976118	41.5933319537187
Black or African American	Not Hispanic or Latino	55-59 years	M	2000	453	590653	76.694776797883
Black or African American	Not Hispanic or Latino	55-59 years	M	2001	452	616383	73.3310295708999
Black or African American	Not Hispanic or Latino	55-59 years	M	2002	549	662769	82.8342906804633
Black or African American	Not Hispanic or Latino	55-59 years	M	2003	611	706655	86.4636916175503
Black or African American	Not Hispanic or Latino	55-59 years	M	2004	643	758635	84.7574920745813
Black or African American	Not Hispanic or Latino	55-59 years	M	2005	664	820971	80.8798361939703
Black or African American	Not Hispanic or Latino	60-64 years	F	2000	395	596149	66.2586031344513
Black or African American	Not Hispanic or Latino	60-64 years	F	2001	394	610941	64.4906791326822
Black or African American	Not Hispanic or Latino	60-64 years	F	2002	402	629297	63.8808066779279
Black or African American	Not Hispanic or Latino	60-64 years	F	2003	443	653908	67.7465331514525
Black or African American	Not Hispanic or Latino	60-64 years	F	2004	418	678186	61.635008684933
Black or African American	Not Hispanic or Latino	60-64 years	F	2005	403	698748	57.6745836839605
Black or African American	Not Hispanic or Latino	60-64 years	M	2000	499	470342	106.093013169141
Black or African American	Not Hispanic or Latino	60-64 years	M	2001	449	483638	92.8380317510204
Black or African American	Not Hispanic or Latino	60-64 years	M	2002	520	497980	104.421864331901
Black or African American	Not Hispanic or Latino	60-64 years	M	2003	521	518313	100.518412619402
Black or African American	Not Hispanic or Latino	60-64 years	M	2004	617	538700	114.534991646557
Black or African American	Not Hispanic or Latino	60-64 years	M	2005	593	556778	106.505644978789
Black or African American	Not Hispanic or Latino	65-69 years	F	2000	472	508629	92.7984837671466
Black or African American	Not Hispanic or Latino	65-69 years	F	2001	455	522334	87.1090145385902
Black or African American	Not Hispanic or Latino	65-69 years	F	2002	478	530031	90.1834043669144
Black or African American	Not Hispanic or Latino	65-69 years	F	2003	497	539527	92.1177253409004
Black or African American	Not Hispanic or Latino	65-69 years	F	2004	449	548655	81.8364910553991
Black or African American	Not Hispanic or Latino	65-69 years	F	2005	511	561769	90.9626554687069
Black or African American	Not Hispanic or Latino	65-69 years	M	2000	455	375235	121.257345396885
Black or African American	Not Hispanic or Latino	65-69 years	M	2001	505	388334	130.042695205673
Black or African American	Not Hispanic or Latino	65-69 years	M	2002	496	396851	124.983936036447
Black or African American	Not Hispanic or Latino	65-69 years	M	2003	573	406305	141.027060951748
Black or African American	Not Hispanic or Latino	65-69 years	M	2004	552	415865	132.735382876655
Black or African American	Not Hispanic or Latino	65-69 years	M	2005	572	427014	133.953453516747
Black or African American	Not Hispanic or Latino	70-74 years	F	2000	618	440786	140.20408996656
Black or African American	Not Hispanic or Latino	70-74 years	F	2001	583	440752	132.273931825607
Black or African American	Not Hispanic or Latino	70-74 years	F	2002	603	442356	136.315546754198
Black or African American	Not Hispanic or Latino	70-74 years	F	2003	612	446877	136.950436026021
Black or African American	Not Hispanic or Latino	70-74 years	F	2004	609	450801	135.092868028243
Black or African American	Not Hispanic or Latino	70-74 years	F	2005	567	456614	124.17490484304
Black or African American	Not Hispanic or Latino	70-74 years	M	2000	510	292654	174.26722341058
Black or African American	Not Hispanic or Latino	70-74 years	M	2001	488	295838	164.955144369554
Black or African American	Not Hispanic or Latino	70-74 years	M	2002	507	299173	169.467164483426
Black or African American	Not Hispanic or Latino	70-74 years	M	2003	560	304832	183.70774721814
Black or African American	Not Hispanic or Latino	70-74 years	M	2004	528	309884	170.386338113617
Black or African American	Not Hispanic or Latino	70-74 years	M	2005	565	316960	178.255931347804
Black or African American	Not Hispanic or Latino	75-79 years	F	2000	765	344364	222.148656654006
Black or African American	Not Hispanic or Latino	75-79 years	F	2001	728	354673	205.259492546656
Black or African American	Not Hispanic or Latino	75-79 years	F	2002	760	359611	211.339475155098
Black or African American	Not Hispanic or Latino	75-79 years	F	2003	818	363417	225.085782998594
Black or African American	Not Hispanic or Latino	75-79 years	F	2004	741	365192	202.906964007974
Black or African American	Not Hispanic or Latino	75-79 years	F	2005	717	368751	194.440150670778
Black or African American	Not Hispanic or Latino	75-79 years	M	2000	464	207597	223.509973650872
Black or African American	Not Hispanic or Latino	75-79 years	M	2001	487	213265	228.354394767074
Black or African American	Not Hispanic or Latino	75-79 years	M	2002	535	215637	248.102134605842
Black or African American	Not Hispanic or Latino	75-79 years	M	2003	538	217510	247.344949657487
Black or African American	Not Hispanic or Latino	75-79 years	M	2004	564	218650	257.946489823919
Black or African American	Not Hispanic or Latino	75-79 years	M	2005	574	222432	258.056394763343
Black or African American	Not Hispanic or Latino	80-84 years	F	2000	737	231454	318.421803036456
Black or African American	Not Hispanic or Latino	80-84 years	F	2001	760	237908	319.451216436606
Black or African American	Not Hispanic or Latino	80-84 years	F	2002	835	243879	342.382902996978
Black or African American	Not Hispanic or Latino	80-84 years	F	2003	801	249644	320.856900225922
Black or African American	Not Hispanic or Latino	80-84 years	F	2004	881	254780	345.788523431981
Black or African American	Not Hispanic or Latino	80-84 years	F	2005	921	258762	355.925522294618
Black or African American	Not Hispanic or Latino	80-84 years	M	2000	411	116516	352.741254419994
Black or African American	Not Hispanic or Latino	80-84 years	M	2001	432	120694	357.929971663877
Black or African American	Not Hispanic or Latino	80-84 years	M	2002	457	124874	365.968896647821
Black or African American	Not Hispanic or Latino	80-84 years	M	2003	429	128770	333.152131707696
Black or African American	Not Hispanic or Latino	80-84 years	M	2004	476	131758	361.268385980358
Black or African American	Not Hispanic or Latino	80-84 years	M	2005	501	134288	373.078756106279
White	Not Hispanic or Latino	20-24 years	F	2000	4	5833546	0.0685689287441978
White	Not Hispanic or Latino	20-24 years	F	2001	2	6061601	0.0329945834442089
White	Not Hispanic or Latino	20-24 years	F	2002	1	6182601	0.0161744223830715
White	Not Hispanic or Latino	20-24 years	F	2003	3	6266378	0.0478745457104567
White	Not Hispanic or Latino	20-24 years	F	2004	7	6300025	0.111110670195753
White	Not Hispanic or Latino	20-24 years	F	2005	8	6294311	0.127098899307645
White	Not Hispanic or Latino	20-24 years	M	2000	11	5974131	0.184127197746417
White	Not Hispanic or Latino	20-24 years	M	2001	1	6182960	0.0161734832507407
White	Not Hispanic or Latino	20-24 years	M	2002	15	6297083	0.238205531037148
White	Not Hispanic or Latino	20-24 years	M	2003	14	6369825	0.219786257864227
White	Not Hispanic or Latino	20-24 years	M	2004	16	6446788	0.248185608088865
White	Not Hispanic or Latino	20-24 years	M	2005	8	6482567	0.123407903072965
White	Not Hispanic or Latino	25-29 years	F	2000	13	6046122	0.215013855162036
White	Not Hispanic or Latino	25-29 years	F	2001	14	5726230	0.244488956957719
White	Not Hispanic or Latino	25-29 years	F	2002	11	5617832	0.195805072134589
White	Not Hispanic or Latino	25-29 years	F	2003	14	5616483	0.249266311319735
White	Not Hispanic or Latino	25-29 years	F	2004	9	5693279	0.158081133912461
White	Not Hispanic or Latino	25-29 years	F	2005	13	5809404	0.223775106706299
White	Not Hispanic or Latino	25-29 years	M	2000	22	6138505	0.358393452477435
White	Not Hispanic or Latino	25-29 years	M	2001	26	5816994	0.446966250953671
White	Not Hispanic or Latino	25-29 years	M	2002	35	5698533	0.614193161643532
White	Not Hispanic or Latino	25-29 years	M	2003	37	5672755	0.652240401709575
White	Not Hispanic or Latino	25-29 years	M	2004	40	5745178	0.69623604351336
White	Not Hispanic or Latino	25-29 years	M	2005	40	5832691	0.68578980096837
White	Not Hispanic or Latino	30-34 years	F	2000	18	6731412	0.267403035202718
White	Not Hispanic or Latino	30-34 years	F	2001	25	6683770	0.374040399355454
