Race	Gender	Year	Hispanic Origin	AA_rate	Deaths	Population	Crude Rate
Black or African American	F	2000	Not Hispanic or Latino	41.7330932255225	4246	12088556	35.1241289695808
Black or African American	F	2001	Not Hispanic or Latino	40.6364554013878	4261	12335052	34.5438349185719
Black or African American	F	2002	Not Hispanic or Latino	42.1313908222607	4513	12526219	36.0284296482442
Black or African American	F	2003	Not Hispanic or Latino	43.8474719960199	4834	12705685	38.0459613157417
Black or African American	F	2004	Not Hispanic or Latino	42.0249812254611	4727	12891647	36.6671535452375
Black or African American	F	2005	Not Hispanic or Latino	40.8153345741785	4678	13080937	35.761964146758
Black or African American	F	2006	Not Hispanic or Latino	38.581014431062	4553	13279693	34.2854311466387
Black or African American	F	2007	Not Hispanic or Latino	37.4935990337566	4520	13477307	33.5378573775903
Black or African American	F	2008	Not Hispanic or Latino	39.7375134667621	4917	13681660	35.9386214830657
Black or African American	F	2009	Not Hispanic or Latino	38.4266254723487	4868	13896876	35.0294555409432
Black or African American	F	2010	Not Hispanic or Latino	37.1742393144157	4801	14072907	34.1151973789069
Black or African American	F	2011	Not Hispanic or Latino	35.0325083686922	4673	14366479	32.5271070246231
Black or African American	F	2012	Not Hispanic or Latino	35.6164529744816	4857	14609655	33.245138232217
Black or African American	F	2013	Not Hispanic or Latino	36.3407032029929	5100	14840618	34.3651457102393
Black or African American	F	2014	Not Hispanic or Latino	35.9871994857563	5192	15103320	34.376547672962
Black or African American	F	2015	Not Hispanic or Latino	36.9749252622508	5476	15328437	35.72445122748
Black or African American	F	2016	Not Hispanic or Latino	36.9686943179501	5602	15503005	36.1349299700284
Black or African American	F	2017	Not Hispanic or Latino	37.5182727595785	5873	15736275	37.3214118334866
Black or African American	F	2018	Not Hispanic or Latino	37.6206362478217	6047	15895642	38.0418733637811
Black or African American	F	2019	Not Hispanic or Latino	38.4079682374319	6309	16069891	39.2597560244808
Black or African American	F	2020	Not Hispanic or Latino	46.8280131693389	7946	16246943	48.9076621983594
Black or African American	F	2021	Not Hispanic or Latino	46.0831237557157	7864	16354341	48.0850925145807
Black or African American	F	2022	Not Hispanic or Latino	43.5210963521808	7574	16490786	45.9286779902425
Black or African American	M	2000	Not Hispanic or Latino	54.6230044416138	4086	10305707	39.6479348772481
Black or African American	M	2001	Not Hispanic or Latino	55.090690987002	4294	10534967	40.7595011925524
Black or African American	M	2002	Not Hispanic or Latino	57.7764790761504	4637	10712463	43.286030486173
Black or African American	M	2003	Not Hispanic or Latino	59.250713184345	4940	10870424	45.444409528092
Black or African American	M	2004	Not Hispanic or Latino	59.8500862326743	5103	11064474	46.1205837710857
Black or African American	M	2005	Not Hispanic or Latino	60.067458867629	5253	11251257	46.6881167144258
Black or African American	M	2006	Not Hispanic or Latino	59.7159800786177	5360	11449862	46.8127912808032
Black or African American	M	2007	Not Hispanic or Latino	57.2920359692392	5339	11638754	45.8726080128509
Black or African American	M	2008	Not Hispanic or Latino	58.4674315830543	5583	11837625	47.1631767351981
Black or African American	M	2009	Not Hispanic or Latino	58.3628757596639	5800	12046014	48.1487071158974
Black or African American	M	2010	Not Hispanic or Latino	57.5732489698678	5828	12219977	47.6923974570492
Black or African American	M	2011	Not Hispanic or Latino	55.4560113170783	5859	12521774	46.7904947014696
Black or African American	M	2012	Not Hispanic or Latino	57.7603258759307	6247	12786047	48.8579464786888
Black or African American	M	2013	Not Hispanic or Latino	59.3851189420335	6547	13032785	50.234850033972
Black or African American	M	2014	Not Hispanic or Latino	58.2367079672417	6665	13303517	50.0995338300391
Black or African American	M	2015	Not Hispanic or Latino	59.2250801902483	6931	13535982	51.2042643082711
Black or African American	M	2016	Not Hispanic or Latino	62.6570790568136	7499	13719610	54.6589881199247
Black or African American	M	2017	Not Hispanic or Latino	60.7655456758298	7597	13944456	54.4804329405177
Black or African American	M	2018	Not Hispanic or Latino	64.2925242523224	8182	14109868	57.9877855696453
Black or African American	M	2019	Not Hispanic or Latino	65.0416648473049	8486	14278463	59.4321671737357
Black or African American	M	2020	Not Hispanic or Latino	79.5220665598268	10668	14453199	73.8106491165036
Black or African American	M	2021	Not Hispanic or Latino	78.021996721467	10778	14716384	73.2380997940798
