Race	Gender	Year	Hispanic Origin	AA_rate	Deaths	Population	Crude Rate
Black or African American	F	2000	Not Hispanic or Latino	41.7330932255225	4246	12088556	35.1241289695808
Black or African American	F	2001	Not Hispanic or Latino	40.62287964331	4259	12335052	34.5276209617925
Black or African American	F	2002	Not Hispanic or Latino	42.1446632330042	4515	12526219	36.0443961581703
Black or African American	F	2003	Not Hispanic or Latino	43.8474719960199	4834	12705685	38.0459613157417
Black or African American	F	2004	Not Hispanic or Latino	42.0249812254611	4727	12891647	36.6671535452375
Black or African American	F	2005	Not Hispanic or Latino	40.8153345741785	4678	13080937	35.761964146758
Black or African American	F	2006	Not Hispanic or Latino	38.5680520503651	4551	13279693	34.2703705575121
Black or African American	F	2007	Not Hispanic or Latino	37.4935990337566	4520	13477307	33.5378573775903
Black or African American	F	2008	Not Hispanic or Latino	39.7375134667621	4917	13681660	35.9386214830657
Black or African American	F	2009	Not Hispanic or Latino	38.4266254723487	4868	13896876	35.0294555409432
Black or African American	F	2010	Not Hispanic or Latino	37.1499529849977	4797	14072907	34.0867739693014
Black or African American	F	2011	Not Hispanic or Latino	35.0440456311044	4675	14366479	32.5410283201611
Black or African American	F	2012	Not Hispanic or Latino	35.6164529744816	4857	14609655	33.245138232217
Black or African American	F	2013	Not Hispanic or Latino	36.3243644183247	5097	14840618	34.344930918645
Black or African American	F	2014	Not Hispanic or Latino	35.9871994857563	5192	15103320	34.376547672962
Black or African American	F	2015	Not Hispanic or Latino	36.9968090622414	5480	15328437	35.7505465169084
Black or African American	F	2016	Not Hispanic or Latino	36.9743168299268	5603	15503005	36.1413803323936
Black or African American	F	2017	Not Hispanic or Latino	37.5412584208039	5877	15736275	37.3468308097056
Black or African American	F	2018	Not Hispanic or Latino	37.6206362478217	6047	15895642	38.0418733637811
Black or African American	F	2019	Not Hispanic or Latino	38.3840935944888	6305	16069891	39.2348647542164
Black or African American	F	2020	Not Hispanic or Latino	46.8280131693389	7946	16246943	48.9076621983594
Black or African American	F	2021	Not Hispanic or Latino	46.0439838342023	7858	16354341	48.0484050075757
Black or African American	F	2022	Not Hispanic or Latino	43.5214662776239	7574	16490786	45.9286779902425
Black or African American	M	2000	Not Hispanic or Latino	54.6230044416138	4086	10305707	39.6479348772481
Black or African American	M	2001	Not Hispanic or Latino	55.090690987002	4294	10534967	40.7595011925524
Black or African American	M	2002	Not Hispanic or Latino	57.7764790761504	4637	10712463	43.286030486173
Black or African American	M	2003	Not Hispanic or Latino	59.250713184345	4940	10870424	45.444409528092
Black or African American	M	2004	Not Hispanic or Latino	59.8500862326743	5103	11064474	46.1205837710857
Black or African American	M	2005	Not Hispanic or Latino	60.067458867629	5253	11251257	46.6881167144258
Black or African American	M	2006	Not Hispanic or Latino	59.7159800786177	5360	11449862	46.8127912808032
Black or African American	M	2007	Not Hispanic or Latino	57.2920359692392	5339	11638754	45.8726080128509
Black or African American	M	2008	Not Hispanic or Latino	58.4674315830543	5583	11837625	47.1631767351981
Black or African American	M	2009	Not Hispanic or Latino	58.3628757596639	5800	12046014	48.1487071158974
Black or African American	M	2010	Not Hispanic or Latino	57.5732489698678	5828	12219977	47.6923974570492
Black or African American	M	2011	Not Hispanic or Latino	55.4560113170783	5859	12521774	46.7904947014696
Black or African American	M	2012	Not Hispanic or Latino	57.7603258759307	6247	12786047	48.8579464786888
Black or African American	M	2013	Not Hispanic or Latino	59.3851189420335	6547	13032785	50.234850033972
Black or African American	M	2014	Not Hispanic or Latino	58.2367079672417	6665	13303517	50.0995338300391
Black or African American	M	2015	Not Hispanic or Latino	59.2250801902483	6931	13535982	51.2042643082711
Black or African American	M	2016	Not Hispanic or Latino	62.6570790568136	7499	13719610	54.6589881199247
Black or African American	M	2017	Not Hispanic or Latino	60.7655456758298	7597	13944456	54.4804329405177
Black or African American	M	2018	Not Hispanic or Latino	64.2925242523224	8182	14109868	57.9877855696453
Black or African American	M	2019	Not Hispanic or Latino	65.0416648473049	8486	14278463	59.4321671737357
Black or African American	M	2020	Not Hispanic or Latino	79.5220665598268	10668	14453199	73.8106491165036
Black or African American	M	2021	Not Hispanic or Latino	78.0020637126307	10775	14716384	73.217714351569
Black or African American	M	2022	Not Hispanic or Latino	74.1123759249182	10323	14883794	69.357315748928
White	F	2000	Not Hispanic or Latino	9.56101855090375	9078	73642282	12.3271573795065
White	F	2001	Not Hispanic or Latino	9.88743086761064	9472	73986596	12.802318949773
White	F	2002	Not Hispanic or Latino	10.206016689772	9807	74229884	13.2116601448549
White	F	2003	Not Hispanic or Latino	10.820624718452	10468	74444229	14.0615332318104
White	F	2004	Not Hispanic or Latino	10.6359781471251	10340	74660144	13.8494241318367
White	F	2005	Not Hispanic or Latino	10.7973697369204	10536	74885877	14.0694085748639
White	F	2006	Not Hispanic or Latino	10.4604912583502	10183	75109863	13.5574738034072
White	F	2007	Not Hispanic or Latino	10.4171556441287	10151	75315096	13.4780416398858
White	F	2008	Not Hispanic or Latino	10.7303400985967	10497	75540582	13.8958421051085
White	F	2009	Not Hispanic or Latino	10.757856498716	10504	75770885	13.8628445477442
White	F	2010	Not Hispanic or Latino	10.8260450509166	10584	75954890	13.9345867000795
White	F	2011	Not Hispanic or Latino	10.9212225827699	10756	76307802	14.0955442537842
White	F	2012	Not Hispanic or Latino	10.9614775761384	10886	76586755	14.2139460014986
White	F	2013	Not Hispanic or Latino	11.6371285599643	11666	76799351	15.1902325320431
White	F	2014	Not Hispanic or Latino	11.7947606660154	11881	76988308	15.4322134212899
