Race	Hispanic Origin	Five-Year Age Groups	Gender	Deaths	Population	Crude Rate
Black or African American	Not Hispanic or Latino	20-24 years	F	97	11050062	0.8778231289562
Black or African American	Not Hispanic or Latino	20-24 years	M	174	10929409	1.59203484836188
Black or African American	Not Hispanic or Latino	25-29 years	F	229	10158086	2.25436169766627
Black or African American	Not Hispanic or Latino	25-29 years	M	397	9335122	4.25275641818072
Black or African American	Not Hispanic or Latino	30-34 years	F	413	9566672	4.31707076400236
Black or African American	Not Hispanic or Latino	30-34 years	M	917	8570746	10.6991853451263
Black or African American	Not Hispanic or Latino	35-39 years	F	910	9701843	9.37966116334804
Black or African American	Not Hispanic or Latino	35-39 years	M	1833	8605616	21.3000440642483
Black or African American	Not Hispanic or Latino	40-44 years	F	1861	10057585	18.5034478952949
Black or African American	Not Hispanic or Latino	40-44 years	M	3857	8954276	43.0743926142102
Black or African American	Not Hispanic or Latino	45-49 years	F	3957	10339811	38.2695583120426
Black or African American	Not Hispanic or Latino	45-49 years	M	7691	9185839	83.7267015021709
Black or African American	Not Hispanic or Latino	50-54 years	F	6626	9687107	68.4001941962652
Black or African American	Not Hispanic or Latino	50-54 years	M	13130	8486455	154.717134539687
Black or African American	Not Hispanic or Latino	55-59 years	F	9028	8148890	110.788095065708
Black or African American	Not Hispanic or Latino	55-59 years	M	17384	6885704	252.465107416758
Black or African American	Not Hispanic or Latino	60-64 years	F	10683	6151985	173.651268655564
Black or African American	Not Hispanic or Latino	60-64 years	M	18740	4992332	375.375676136924
Black or African American	Not Hispanic or Latino	65-69 years	F	11774	4493494	262.023271868172
Black or African American	Not Hispanic or Latino	65-69 years	M	18162	3438593	528.181148510452
Black or African American	Not Hispanic or Latino	70-74 years	F	14272	3451939	413.448789216727
Black or African American	Not Hispanic or Latino	70-74 years	M	18092	2447118	739.318659745873
Black or African American	Not Hispanic or Latino	75-79 years	F	17428	2652820	656.961271401754
Black or African American	Not Hispanic or Latino	75-79 years	M	18002	1655142	1087.64081873338
Black or African American	Not Hispanic or Latino	80-84 years	F	21336	1924283	1108.77661965522
Black or African American	Not Hispanic or Latino	80-84 years	M	16542	1013701	1631.84213096367
White	Not Hispanic or Latino	20-24 years	F	130	43961502	0.295713281134025
White	Not Hispanic or Latino	20-24 years	M	404	45419515	0.889485499790123
White	Not Hispanic or Latino	25-29 years	F	382	42996556	0.88844325112923
White	Not Hispanic or Latino	25-29 years	M	1074	43487715	2.46966298413242
White	Not Hispanic or Latino	30-34 years	F	848	40500557	2.09379836430398
White	Not Hispanic or Latino	30-34 years	M	2590	41187939	6.28824860598147
White	Not Hispanic or Latino	35-39 years	F	2024	43382242	4.66550345646036
White	Not Hispanic or Latino	35-39 years	M	6342	43852775	14.4620266334343
White	Not Hispanic or Latino	40-44 years	F	5164	48458553	10.6565295088361
White	Not Hispanic or Latino	40-44 years	M	15832	48599406	32.5765298448298
White	Not Hispanic or Latino	45-49 years	F	10875	54602317	19.9167372329639
White	Not Hispanic or Latino	45-49 years	M	34993	54105170	64.6758895684091
White	Not Hispanic or Latino	50-54 years	F	18463	55541764	33.2416521736688
White	Not Hispanic or Latino	50-54 years	M	60808	54413985	111.75068321131
White	Not Hispanic or Latino	55-59 years	F	27166	51454895	52.795754417534
White	Not Hispanic or Latino	55-59 years	M	83942	49562426	169.366204955343
White	Not Hispanic or Latino	60-64 years	F	40255	44375263	90.7149553119268
White	Not Hispanic or Latino	60-64 years	M	104251	41990687	248.27171796451
White	Not Hispanic or Latino	65-69 years	F	50980	34604279	147.322820972516
White	Not Hispanic or Latino	65-69 years	M	111616	31590281	353.323859322429
White	Not Hispanic or Latino	70-74 years	F	69112	27266367	253.469778353677
White	Not Hispanic or Latino	70-74 years	M	125124	23522947	531.923147214505
White	Not Hispanic or Latino	75-79 years	F	108805	23422782	464.526374364924
White	Not Hispanic or Latino	75-79 years	M	158371	18405785	860.441431865036
White	Not Hispanic or Latino	80-84 years	F	175031	20018796	874.333301563191
White	Not Hispanic or Latino	80-84 years	M	200076	13434174	1489.30630197286
