Race	Hispanic Origin	Five-Year Age Groups	Gender	Year	Deaths	Population	Crude Rate
Black or African American	Not Hispanic or Latino	20-24 years	F	2006	17	1487479	1.14287327753871
Black or African American	Not Hispanic or Latino	20-24 years	F	2007	16	1498025	1.06807296273427
Black or African American	Not Hispanic or Latino	20-24 years	F	2008	12	1519892	0.789529782379274
Black or African American	Not Hispanic or Latino	20-24 years	F	2009	14	1554094	0.900846409547942
Black or African American	Not Hispanic or Latino	20-24 years	F	2010	13	1587829	0.818727961260312
Black or African American	Not Hispanic or Latino	20-24 years	F	2011	13	1671217	0.777876242283318
Black or African American	Not Hispanic or Latino	20-24 years	F	2012	12	1731526	0.693030309680594
Black or African American	Not Hispanic or Latino	20-24 years	M	2006	23	1480574	1.55345156675722
Black or African American	Not Hispanic or Latino	20-24 years	M	2007	29	1486497	1.95089529275875
Black or African American	Not Hispanic or Latino	20-24 years	M	2008	39	1497956	2.6035477677582
Black or African American	Not Hispanic or Latino	20-24 years	M	2009	19	1522604	1.24786221499484
Black or African American	Not Hispanic or Latino	20-24 years	M	2010	15	1550237	0.967593987241951
Black or African American	Not Hispanic or Latino	20-24 years	M	2011	26	1654175	1.57178049480859
Black or African American	Not Hispanic or Latino	20-24 years	M	2012	23	1737366	1.3238431050222
Black or African American	Not Hispanic or Latino	25-29 years	F	2006	31	1406128	2.20463570884016
Black or African American	Not Hispanic or Latino	25-29 years	F	2007	31	1434645	2.1608133022455
Black or African American	Not Hispanic or Latino	25-29 years	F	2008	52	1454865	3.57421478968839
Black or African American	Not Hispanic or Latino	25-29 years	F	2009	22	1459525	1.50733971668865
Black or African American	Not Hispanic or Latino	25-29 years	F	2010	31	1454543	2.13125359649044
Black or African American	Not Hispanic or Latino	25-29 years	F	2011	28	1465672	1.91038649847988
Black or African American	Not Hispanic or Latino	25-29 years	F	2012	34	1482708	2.29310154123401
Black or African American	Not Hispanic or Latino	25-29 years	M	2006	56	1261035	4.44079664719853
Black or African American	Not Hispanic or Latino	25-29 years	M	2007	70	1295064	5.40513827888043
Black or African American	Not Hispanic or Latino	25-29 years	M	2008	61	1326472	4.59866472869386
Black or African American	Not Hispanic or Latino	25-29 years	M	2009	41	1341280	3.05678158177263
Black or African American	Not Hispanic or Latino	25-29 years	M	2010	57	1342341	4.24631297114519
Black or African American	Not Hispanic or Latino	25-29 years	M	2011	55	1368360	4.01941009675816
Black or African American	Not Hispanic or Latino	25-29 years	M	2012	57	1400570	4.06977159299428
Black or African American	Not Hispanic or Latino	30-34 years	F	2006	57	1320401	4.3168704052784
Black or African American	Not Hispanic or Latino	30-34 years	F	2007	49	1313374	3.73084894325607
Black or African American	Not Hispanic or Latino	30-34 years	F	2008	71	1320241	5.37780602177936
Black or African American	Not Hispanic or Latino	30-34 years	F	2009	67	1353009	4.95192567085659
Black or African American	Not Hispanic or Latino	30-34 years	F	2010	55	1384808	3.97166971883467
Black or African American	Not Hispanic or Latino	30-34 years	F	2011	57	1424682	4.00089283082119
Black or African American	Not Hispanic or Latino	30-34 years	F	2012	57	1450157	3.93060889269231
Black or African American	Not Hispanic or Latino	30-34 years	M	2006	136	1171760	11.6064723151499
Black or African American	Not Hispanic or Latino	30-34 years	M	2007	134	1165879	11.4934740226044
Black or African American	Not Hispanic or Latino	30-34 years	M	2008	128	1175694	10.8871866318957
Black or African American	Not Hispanic or Latino	30-34 years	M	2009	131	1210245	10.8242545930783
Black or African American	Not Hispanic or Latino	30-34 years	M	2010	127	1245147	10.1995989228581
Black or African American	Not Hispanic or Latino	30-34 years	M	2011	127	1286022	9.87541426196441
Black or African American	Not Hispanic or Latino	30-34 years	M	2012	134	1315999	10.1823785580384
Black or African American	Not Hispanic or Latino	35-39 years	F	2006	159	1405559	11.3122252427682
Black or African American	Not Hispanic or Latino	35-39 years	F	2007	131	1413720	9.26633279574456
Black or African American	Not Hispanic or Latino	35-39 years	F	2008	136	1412276	9.62984572420688
Black or African American	Not Hispanic or Latino	35-39 years	F	2009	121	1403007	8.62433330696141
Black or African American	Not Hispanic or Latino	35-39 years	F	2010	118	1384151	8.52508143981401
Black or African American	Not Hispanic or Latino	35-39 years	F	2011	124	1344610	9.22200489361227
Black or African American	Not Hispanic or Latino	35-39 years	F	2012	121	1338520	9.03983504168783
Black or African American	Not Hispanic or Latino	35-39 years	M	2006	298	1244414	23.9470144180313
Black or African American	Not Hispanic or Latino	35-39 years	M	2007	262	1253650	20.8989749930204
Black or African American	Not Hispanic or Latino	35-39 years	M	2008	253	1253548	20.1827133863243
Black or African American	Not Hispanic or Latino	35-39 years	M	2009	274	1244299	22.0204307807046
Black or African American	Not Hispanic or Latino	35-39 years	M	2010	260	1226242	21.2029925577496
Black or African American	Not Hispanic or Latino	35-39 years	M	2011	232	1193704	19.4353038944328
Black or African American	Not Hispanic or Latino	35-39 years	M	2012	254	1189759	21.3488614080667
Black or African American	Not Hispanic or Latino	40-44 years	F	2006	329	1494626	22.0121956931032
Black or African American	Not Hispanic or Latino	40-44 years	F	2007	269	1471651	18.2787902838377
Black or African American	Not Hispanic or Latino	40-44 years	F	2008	306	1446445	21.1553152729623
Black or African American	Not Hispanic or Latino	40-44 years	F	2009	268	1414333	18.948861406755
Black or African American	Not Hispanic or Latino	40-44 years	F	2010	265	1404513	18.8677498891075
Black or African American	Not Hispanic or Latino	40-44 years	F	2011	219	1410151	15.5302517248153
Black or African American	Not Hispanic or Latino	40-44 years	F	2012	205	1415866	14.4787712961537
Black or African American	Not Hispanic or Latino	40-44 years	M	2006	600	1324308	45.3066809231689
Black or African American	Not Hispanic or Latino	40-44 years	M	2007	585	1305269	44.8183477888466
Black or African American	Not Hispanic or Latino	40-44 years	M	2008	560	1286275	43.5365687741735
Black or African American	Not Hispanic or Latino	40-44 years	M	2009	541	1262389	42.8552530163048
Black or African American	Not Hispanic or Latino	40-44 years	M	2010	485	1257524	38.5678523829366
Black or African American	Not Hispanic or Latino	40-44 years	M	2011	533	1256689	42.4130393438631
Black or African American	Not Hispanic or Latino	40-44 years	M	2012	553	1261822	43.8255158017533
Black or African American	Not Hispanic or Latino	45-49 years	F	2006	665	1461455	45.5025984378582
Black or African American	Not Hispanic or Latino	45-49 years	F	2007	604	1473530	40.9900035968049
Black or African American	Not Hispanic or Latino	45-49 years	F	2008	606	1485776	40.786767318896
Black or African American	Not Hispanic or Latino	45-49 years	F	2009	565	1496992	37.7423526645433
Black or African American	Not Hispanic or Latino	45-49 years	F	2010	540	1493767	36.1502161983763
Black or African American	Not Hispanic or Latino	45-49 years	F	2011	474	1475059	32.1343078480251
Black or African American	Not Hispanic or Latino	45-49 years	F	2012	503	1453232	34.6125050920982
Black or African American	Not Hispanic or Latino	45-49 years	M	2006	1256	1293433	97.1059188995487
Black or African American	Not Hispanic or Latino	45-49 years	M	2007	1155	1307530	88.3344932812249
Black or African American	Not Hispanic or Latino	45-49 years	M	2008	1074	1318543	81.4535437979649
Black or African American	Not Hispanic or Latino	45-49 years	M	2009	1073	1330207	80.6641372357836
Black or African American	Not Hispanic or Latino	45-49 years	M	2010	1092	1329666	82.1258872528891
Black or African American	Not Hispanic or Latino	45-49 years	M	2011	1034	1313392	78.7274477079197
Black or African American	Not Hispanic or Latino	45-49 years	M	2012	1007	1293068	77.8768015293859
Black or African American	Not Hispanic or Latino	50-54 years	F	2006	999	1264163	79.0246194517637
Black or African American	Not Hispanic or Latino	50-54 years	F	2007	989	1315461	75.1827686263599
Black or African American	Not Hispanic or Latino	50-54 years	F	2008	1060	1361382	77.862054882465
Black or African American	Not Hispanic or Latino	50-54 years	F	2009	909	1399562	64.9488911530893
Black or African American	Not Hispanic or Latino	50-54 years	F	2010	906	1431800	63.2769939935745
Black or African American	Not Hispanic or Latino	50-54 years	F	2011	910	1454259	62.5748233292694
Black or African American	Not Hispanic or Latino	50-54 years	F	2012	853	1460480	58.4054557405784
Black or African American	Not Hispanic or Latino	50-54 years	M	2006	2023	1093251	185.044422552552
Black or African American	Not Hispanic or Latino	50-54 years	M	2007	2007	1144327	175.386930484031
Black or African American	Not Hispanic or Latino	50-54 years	M	2008	1861	1191230	156.225078280433
Black or African American	Not Hispanic or Latino	50-54 years	M	2009	1899	1229480	154.455542180434
Black or African American	Not Hispanic or Latino	50-54 years	M	2010	1831	1260649	145.24264882612
Black or African American	Not Hispanic or Latino	50-54 years	M	2011	1786	1280547	139.471647663069
Black or African American	Not Hispanic or Latino	50-54 years	M	2012	1723	1286971	133.880250603937
Black or African American	Not Hispanic or Latino	55-59 years	F	2006	1319	1046312	126.061824771196
Black or African American	Not Hispanic or Latino	55-59 years	F	2007	1281	1085461	118.014373616371
Black or African American	Not Hispanic or Latino	55-59 years	F	2008	1316	1123799	117.102791513429
Black or African American	Not Hispanic or Latino	55-59 years	F	2009	1279	1164471	109.835281428219
