Age	Population
0	3805648
1	3820582
2	3790446
3	3832799
4	3926323
5	3965103
6	4019705
7	4118147
8	4179230
9	4267320
10	4274056
11	4115093
12	4075842
13	4010850
14	4052231
15	4019404
16	3975021
17	4046012
18	4051598
19	4127855
20	4049448
21	3841082
22	3758648
23	3673582
24	3641241
25	3744539
26	3619660
27	3789800
28	3984812
29	4242525
30	4289970
31	4011575
32	3994121
33	4026573
34	4188149
35	4516118
36	4511168
37	4517060
38	4553814
39	4608504
40	4711434
41	4466676
42	4547220
43	4407870
44	4308663
45	4341460
46	4087563
47	4019692
48	3885145
49	3758544
50	3808515
51	3616997
52	3707436
53	3635040
54	2817560
55	2850600
56	2837452
57	2864020
58	2540152
59	2377013
60	2319944
61	2221227
62	2171072
63	2053151
64	2040053
65	2029911
66	1860320
67	1896451
68	1864515
69	1882348
70	1875175
71	1788269
72	1791696
73	1725168
74	1677133
75	1651641
76	1556567
77	1460781
78	1431916
79	1314908
80	1207365
81	1072048
82	981562
83	883063
84	801329
85	4239587
