Race,Hispanic Origin,Five-Year Age Groups,Gender,Deaths,Year
American Indian or Alaska Native,Hispanic or Latino,< 1 year,Female,5,2001
Asian or Pacific Islander,Hispanic or Latino,< 1 year,Female,5,2016
Black or African American,Hispanic or Latino,< 1 year,Female,5,2009
Black or African American,Hispanic or Latino,< 1 year,Female,5,2010
Black or African American,Hispanic or Latino,< 1 year,Female,5,2011
Black or African American,Hispanic or Latino,< 1 year,Female,5,2014
Black or African American,Hispanic or Latino,< 1 year,Female,5,2016
Black or African American,Hispanic or Latino,< 1 year,Female,5,2020
White,Hispanic or Latino,< 1 year,Female,5,1999
White,Hispanic or Latino,< 1 year,Female,5,2000
White,Hispanic or Latino,< 1 year,Female,5,2001
White,Hispanic or Latino,< 1 year,Female,11,2002
White,Hispanic or Latino,< 1 year,Female,5,2003
White,Hispanic or Latino,< 1 year,Female,5,2004
White,Hispanic or Latino,< 1 year,Female,10,2005
White,Hispanic or Latino,< 1 year,Female,16,2006
White,Hispanic or Latino,< 1 year,Female,16,2007
White,Hispanic or Latino,< 1 year,Female,10,2008
White,Hispanic or Latino,< 1 year,Female,14,2009
White,Hispanic or Latino,< 1 year,Female,5,2010
White,Hispanic or Latino,< 1 year,Female,11,2011
White,Hispanic or Latino,< 1 year,Female,12,2012
White,Hispanic or Latino,< 1 year,Female,5,2013
White,Hispanic or Latino,< 1 year,Female,5,2014
White,Hispanic or Latino,< 1 year,Female,5,2015
White,Hispanic or Latino,< 1 year,Female,5,2016
White,Hispanic or Latino,< 1 year,Female,5,2017
White,Hispanic or Latino,< 1 year,Female,5,2018
White,Hispanic or Latino,< 1 year,Female,12,2019
White,Hispanic or Latino,< 1 year,Female,5,2020
American Indian or Alaska Native,Not Hispanic or Latino,< 1 year,Female,5,2004
American Indian or Alaska Native,Not Hispanic or Latino,< 1 year,Female,5,2005
American Indian or Alaska Native,Not Hispanic or Latino,< 1 year,Female,5,2006
American Indian or Alaska Native,Not Hispanic or Latino,< 1 year,Female,5,2007
American Indian or Alaska Native,Not Hispanic or Latino,< 1 year,Female,5,2008
American Indian or Alaska Native,Not Hispanic or Latino,< 1 year,Female,5,2011
American Indian or Alaska Native,Not Hispanic or Latino,< 1 year,Female,5,2013
American Indian or Alaska Native,Not Hispanic or Latino,< 1 year,Female,5,2014
American Indian or Alaska Native,Not Hispanic or Latino,< 1 year,Female,5,2018
American Indian or Alaska Native,Not Hispanic or Latino,< 1 year,Female,5,2019
Asian or Pacific Islander,Not Hispanic or Latino,< 1 year,Female,5,1999
