Deaths,Population,Five-Year Age Groups,Gender,Hispanic Origin,Race
0,97522,1-4 years,Female,Hispanic or Latino,American Indian or Alaska Native
7,54066,1-4 years,Female,Hispanic or Latino,Asian or Pacific Islander
6,167760,1-4 years,Female,Hispanic or Latino,Black or African American
0,0,1-4 years,Female,Hispanic or Latino,Not Available
17,1643688,1-4 years,Female,Hispanic or Latino,White
2,63732,1-4 years,Female,Not Hispanic or Latino,American Indian or Alaska Native
8,478313,1-4 years,Female,Not Hispanic or Latino,Asian or Pacific Islander
26,1164685,1-4 years,Female,Not Hispanic or Latino,Black or African American
0,0,1-4 years,Female,Not Hispanic or Latino,Not Available
34,3597849,1-4 years,Female,Not Hispanic or Latino,White
0,101327,1-4 years,Male,Hispanic or Latino,American Indian or Alaska Native
0,56764,1-4 years,Male,Hispanic or Latino,Asian or Pacific Islander
8,175448,1-4 years,Male,Hispanic or Latino,Black or African American
0,0,1-4 years,Male,Hispanic or Latino,Not Available
27,1703173,1-4 years,Male,Hispanic or Latino,White
2,65803,1-4 years,Male,Not Hispanic or Latino,American Indian or Alaska Native
6,505235,1-4 years,Male,Not Hispanic or Latino,Asian or Pacific Islander
31,1202770,1-4 years,Male,Not Hispanic or Latino,Black or African American
0,0,1-4 years,Male,Not Hispanic or Latino,Not Available
40,3784373,1-4 years,Male,Not Hispanic or Latino,White
0,104455,10-14 years,Female,Hispanic or Latino,American Indian or Alaska Native
2,59156,10-14 years,Female,Hispanic or Latino,Asian or Pacific Islander
0,187395,10-14 years,Female,Hispanic or Latino,Black or African American
0,0,10-14 years,Female,Hispanic or Latino,Not Available
17,2312772,10-14 years,Female,Hispanic or Latino,White
9,98767,10-14 years,Female,Not Hispanic or Latino,American Indian or Alaska Native
8,652077,10-14 years,Female,Not Hispanic or Latino,Asian or Pacific Islander
17,1566872,10-14 years,Female,Not Hispanic or Latino,Black or African American
0,0,10-14 years,Female,Not Hispanic or Latino,Not Available
39,5185151,10-14 years,Female,Not Hispanic or Latino,White
3,107991,10-14 years,Male,Hispanic or Latino,American Indian or Alaska Native
0,62039,10-14 years,Male,Hispanic or Latino,Asian or Pacific Islander
8,196074,10-14 years,Male,Hispanic or Latino,Black or African American
0,0,10-14 years,Male,Hispanic or Latino,Not Available
17,2409944,10-14 years,Male,Hispanic or Latino,White
9,102240,10-14 years,Male,Not Hispanic or Latino,American Indian or Alaska Native
4,687287,10-14 years,Male,Not Hispanic or Latino,Asian or Pacific Islander
28,1626600,10-14 years,Male,Not Hispanic or Latino,Black or African American
0,0,10-14 years,Male,Not Hispanic or Latino,Not Available
52,5475744,10-14 years,Male,Not Hispanic or Latino,White
1,100374,15-19 years,Female,Hispanic or Latino,American Indian or Alaska Native
1,54362,15-19 years,Female,Hispanic or Latino,Asian or Pacific Islander
10,173960,15-19 years,Female,Hispanic or Latino,Black or African American
0,0,15-19 years,Female,Hispanic or Latino,Not Available
30,2449997,15-19 years,Female,Hispanic or Latino,White
8,105291,15-19 years,Female,Not Hispanic or Latino,American Indian or Alaska Native
10,672580,15-19 years,Female,Not Hispanic or Latino,Asian or Pacific Islander
46,1622521,15-19 years,Female,Not Hispanic or Latino,Black or African American
0,0,15-19 years,Female,Not Hispanic or Latino,Not Available
76,5599760,15-19 years,Female,Not Hispanic or Latino,White
0,105653,15-19 years,Male,Hispanic or Latino,American Indian or Alaska Native
0,56744,15-19 years,Male,Hispanic or Latino,Asian or Pacific Islander
8,182510,15-19 years,Male,Hispanic or Latino,Black or African American
0,0,15-19 years,Male,Hispanic or Latino,Not Available
44,2568598,15-19 years,Male,Hispanic or Latino,White
9,107928,15-19 years,Male,Not Hispanic or Latino,American Indian or Alaska Native
12,693110,15-19 years,Male,Not Hispanic or Latino,Asian or Pacific Islander
54,1674027,15-19 years,Male,Not Hispanic or Latino,Black or African American
0,0,15-19 years,Male,Not Hispanic or Latino,Not Available
105,5908065,15-19 years,Male,Not Hispanic or Latino,White
0,90428,20-24 years,Female,Hispanic or Latino,American Indian or Alaska Native
1,46656,20-24 years,Female,Hispanic or Latino,Asian or Pacific Islander
8,150846,20-24 years,Female,Hispanic or Latino,Black or African American
0,0,20-24 years,Female,Hispanic or Latino,Not Available
32,2273616,20-24 years,Female,Hispanic or Latino,White
1,102808,20-24 years,Female,Not Hispanic or Latino,American Indian or Alaska Native
7,717976,20-24 years,Female,Not Hispanic or Latino,Asian or Pacific Islander
77,1603843,20-24 years,Female,Not Hispanic or Latino,Black or African American
0,0,20-24 years,Female,Not Hispanic or Latino,Not Available
119,5698188,20-24 years,Female,Not Hispanic or Latino,White
0,95619,20-24 years,Male,Hispanic or Latino,American Indian or Alaska Native
0,48399,20-24 years,Male,Hispanic or Latino,Asian or Pacific Islander
6,160299,20-24 years,Male,Hispanic or Latino,Black or African American
0,0,20-24 years,Male,Hispanic or Latino,Not Available
86,2371663,20-24 years,Male,Hispanic or Latino,White
6,105324,20-24 years,Male,Not Hispanic or Latino,American Indian or Alaska Native
19,729852,20-24 years,Male,Not Hispanic or Latino,Asian or Pacific Islander
152,1626325,20-24 years,Male,Not Hispanic or Latino,Black or African American
0,0,20-24 years,Male,Not Hispanic or Latino,Not Available
214,5989329,20-24 years,Male,Not Hispanic or Latino,White
0,85925,25-29 years,Female,Hispanic or Latino,American Indian or Alaska Native
3,44056,25-29 years,Female,Hispanic or Latino,Asian or Pacific Islander
1,139696,25-29 years,Female,Hispanic or Latino,Black or African American
0,0,25-29 years,Female,Hispanic or Latino,Not Available
63,2161730,25-29 years,Female,Hispanic or Latino,White
11,103987,25-29 years,Female,Not Hispanic or Latino,American Indian or Alaska Native
27,828033,25-29 years,Female,Not Hispanic or Latino,Asian or Pacific Islander
184,1650922,25-29 years,Female,Not Hispanic or Latino,Black or African American
0,0,25-29 years,Female,Not Hispanic or Latino,Not Available
238,5828111,25-29 years,Female,Not Hispanic or Latino,White
7,89403,25-29 years,Male,Hispanic or Latino,American Indian or Alaska Native
5,44959,25-29 years,Male,Hispanic or Latino,Asian or Pacific Islander
8,146497,25-29 years,Male,Hispanic or Latino,Black or African American
0,0,25-29 years,Male,Hispanic or Latino,Not Available
179,2248078,25-29 years,Male,Hispanic or Latino,White
20,105628,25-29 years,Male,Not Hispanic or Latino,American Indian or Alaska Native
53,815836,25-29 years,Male,Not Hispanic or Latino,Asian or Pacific Islander
294,1654189,25-29 years,Male,Not Hispanic or Latino,Black or African American
0,0,25-29 years,Male,Not Hispanic or Latino,Not Available
447,6071308,25-29 years,Male,Not Hispanic or Latino,White
1,82727,30-34 years,Female,Hispanic or Latino,American Indian or Alaska Native
1,44792,30-34 years,Female,Hispanic or Latino,Asian or Pacific Islander
11,147470,30-34 years,Female,Hispanic or Latino,Black or African American
0,0,30-34 years,Female,Hispanic or Latino,Not Available
120,2123325,30-34 years,Female,Hispanic or Latino,White
20,109372,30-34 years,Female,Not Hispanic or Latino,American Indian or Alaska Native
30,977339,30-34 years,Female,Not Hispanic or Latino,Asian or Pacific Islander
379,1813191,30-34 years,Female,Not Hispanic or Latino,Black or African American
0,0,30-34 years,Female,Not Hispanic or Latino,Not Available
485,6342651,30-34 years,Female,Not Hispanic or Latino,White
3,92456,30-34 years,Male,Hispanic or Latino,American Indian or Alaska Native
16,45300,30-34 years,Male,Hispanic or Latino,Asian or Pacific Islander
11,151219,30-34 years,Male,Hispanic or Latino,Black or African American
0,0,30-34 years,Male,Hispanic or Latino,Not Available
327,2269265,30-34 years,Male,Hispanic or Latino,White
29,110560,30-34 years,Male,Not Hispanic or Latino,American Indian or Alaska Native
80,936710,30-34 years,Male,Not Hispanic or Latino,Asian or Pacific Islander
615,1780286,30-34 years,Male,Not Hispanic or Latino,Black or African American
0,0,30-34 years,Male,Not Hispanic or Latino,Not Available
944,6497492,30-34 years,Male,Not Hispanic or Latino,White
7,75929,35-39 years,Female,Hispanic or Latino,American Indian or Alaska Native
15,40455,35-39 years,Female,Hispanic or Latino,Asian or Pacific Islander
4,136453,35-39 years,Female,Hispanic or Latino,Black or African American
0,0,35-39 years,Female,Hispanic or Latino,Not Available
199,1977563,35-39 years,Female,Hispanic or Latino,White
34,95039,35-39 years,Female,Not Hispanic or Latino,American Indian or Alaska Native
68,983504,35-39 years,Female,Not Hispanic or Latino,Asian or Pacific Islander
628,1574482,35-39 years,Female,Not Hispanic or Latino,Black or African American
0,0,35-39 years,Female,Not Hispanic or Latino,Not Available
879,6259139,35-39 years,Female,Not Hispanic or Latino,White
11,89179,35-39 years,Male,Hispanic or Latino,American Indian or Alaska Native
20,43664,35-39 years,Male,Hispanic or Latino,Asian or Pacific Islander
24,134794,35-39 years,Male,Hispanic or Latino,Black or African American
0,0,35-39 years,Male,Hispanic or Latino,Not Available
553,2193355,35-39 years,Male,Hispanic or Latino,White
54,94199,35-39 years,Male,Not Hispanic or Latino,American Indian or Alaska Native
173,924206,35-39 years,Male,Not Hispanic or Latino,Asian or Pacific Islander
1057,1486365,35-39 years,Male,Not Hispanic or Latino,Black or African American
0,0,35-39 years,Male,Not Hispanic or Latino,Not Available
1827,6398318,35-39 years,Male,Not Hispanic or Latino,White
7,73564,40-44 years,Female,Hispanic or Latino,American Indian or Alaska Native
0,38894,40-44 years,Female,Hispanic or Latino,Asian or Pacific Islander
10,132407,40-44 years,Female,Hispanic or Latino,Black or African American
0,0,40-44 years,Female,Hispanic or Latino,Not Available
356,1959498,40-44 years,Female,Hispanic or Latino,White
48,88159,40-44 years,Female,Not Hispanic or Latino,American Indian or Alaska Native
120,934064,40-44 years,Female,Not Hispanic or Latino,Asian or Pacific Islander
1102,1504847,40-44 years,Female,Not Hispanic or Latino,Black or African American
0,0,40-44 years,Female,Not Hispanic or Latino,Not Available
1614,6154460,40-44 years,Female,Not Hispanic or Latino,White
11,85930,40-44 years,Male,Hispanic or Latino,American Indian or Alaska Native
18,41181,40-44 years,Male,Hispanic or Latino,Asian or Pacific Islander
31,124592,40-44 years,Male,Hispanic or Latino,Black or African American
0,0,40-44 years,Male,Hispanic or Latino,Not Available
920,2132792,40-44 years,Male,Hispanic or Latino,White
103,85971,40-44 years,Male,Not Hispanic or Latino,American Indian or Alaska Native
315,847303,40-44 years,Male,Not Hispanic or Latino,Asian or Pacific Islander
1791,1376345,40-44 years,Male,Not Hispanic or Latino,Black or African American
0,0,40-44 years,Male,Not Hispanic or Latino,Not Available
3219,6304041,40-44 years,Male,Not Hispanic or Latino,White
10,64598,45-49 years,Female,Hispanic or Latino,American Indian or Alaska Native
10,33947,45-49 years,Female,Hispanic or Latino,Asian or Pacific Islander
21,113582,45-49 years,Female,Hispanic or Latino,Black or African American
0,0,45-49 years,Female,Hispanic or Latino,Not Available
472,1818012,45-49 years,Female,Hispanic or Latino,White
69,79034,45-49 years,Female,Not Hispanic or Latino,American Indian or Alaska Native
165,843985,45-49 years,Female,Not Hispanic or Latino,Asian or Pacific Islander
1466,1351608,45-49 years,Female,Not Hispanic or Latino,Black or African American
0,0,45-49 years,Female,Not Hispanic or Latino,Not Available
2461,5625890,45-49 years,Female,Not Hispanic or Latino,White
14,73371,45-49 years,Male,Hispanic or Latino,American Indian or Alaska Native
15,34219,45-49 years,Male,Hispanic or Latino,Asian or Pacific Islander
38,101963,45-49 years,Male,Hispanic or Latino,Black or African American
0,0,45-49 years,Male,Hispanic or Latino,Not Available
1370,1907671,45-49 years,Male,Hispanic or Latino,White
155,75892,45-49 years,Male,Not Hispanic or Latino,American Indian or Alaska Native
415,751905,45-49 years,Male,Not Hispanic or Latino,Asian or Pacific Islander
2503,1203359,45-49 years,Male,Not Hispanic or Latino,Black or African American
0,0,45-49 years,Male,Not Hispanic or Latino,Not Available
5411,5737975,45-49 years,Male,Not Hispanic or Latino,White
0,115299,5-9 years,Female,Hispanic or Latino,American Indian or Alaska Native
0,65962,5-9 years,Female,Hispanic or Latino,Asian or Pacific Islander
4,199098,5-9 years,Female,Hispanic or Latino,Black or African American
0,0,5-9 years,Female,Hispanic or Latino,Not Available
12,2193548,5-9 years,Female,Hispanic or Latino,White
9,92269,5-9 years,Female,Not Hispanic or Latino,American Indian or Alaska Native
9,670895,5-9 years,Female,Not Hispanic or Latino,Asian or Pacific Islander
22,1530365,5-9 years,Female,Not Hispanic or Latino,Black or African American
0,0,5-9 years,Female,Not Hispanic or Latino,Not Available
24,4980601,5-9 years,Female,Not Hispanic or Latino,White
0,119180,5-9 years,Male,Hispanic or Latino,American Indian or Alaska Native
1,68897,5-9 years,Male,Hispanic or Latino,Asian or Pacific Islander
1,207758,5-9 years,Male,Hispanic or Latino,Black or African American
0,0,5-9 years,Male,Hispanic or Latino,Not Available
11,2277178,5-9 years,Male,Hispanic or Latino,White
4,95434,5-9 years,Male,Not Hispanic or Latino,American Indian or Alaska Native
11,711932,5-9 years,Male,Not Hispanic or Latino,Asian or Pacific Islander
25,1577568,5-9 years,Male,Not Hispanic or Latino,Black or African American
0,0,5-9 years,Male,Not Hispanic or Latino,Not Available
17,5246774,5-9 years,Male,Not Hispanic or Latino,White
2,58303,50-54 years,Female,Hispanic or Latino,American Indian or Alaska Native
10,29334,50-54 years,Female,Hispanic or Latino,Asian or Pacific Islander
20,96059,50-54 years,Female,Hispanic or Latino,Black or African American
0,0,50-54 years,Female,Hispanic or Latino,Not Available
736,1671333,50-54 years,Female,Hispanic or Latino,White
98,80879,50-54 years,Female,Not Hispanic or Latino,American Indian or Alaska Native
219,801620,50-54 years,Female,Not Hispanic or Latino,Asian or Pacific Islander
2132,1386233,50-54 years,Female,Not Hispanic or Latino,Black or African American
0,0,50-54 years,Female,Not Hispanic or Latino,Not Available
4434,6252256,50-54 years,Female,Not Hispanic or Latino,White
14,64440,50-54 years,Male,Hispanic or Latino,American Indian or Alaska Native
26,28768,50-54 years,Male,Hispanic or Latino,Asian or Pacific Islander
57,85204,50-54 years,Male,Hispanic or Latino,Black or African American
0,0,50-54 years,Male,Hispanic or Latino,Not Available
2047,1725103,50-54 years,Male,Hispanic or Latino,White
204,77309,50-54 years,Male,Not Hispanic or Latino,American Indian or Alaska Native
636,716769,50-54 years,Male,Not Hispanic or Latino,Asian or Pacific Islander
3859,1231765,50-54 years,Male,Not Hispanic or Latino,Black or African American
0,0,50-54 years,Male,Not Hispanic or Latino,Not Available
10187,6371396,50-54 years,Male,Not Hispanic or Latino,White
9,48852,55-59 years,Female,Hispanic or Latino,American Indian or Alaska Native
12,24446,55-59 years,Female,Hispanic or Latino,Asian or Pacific Islander
40,83083,55-59 years,Female,Hispanic or Latino,Black or African American
0,0,55-59 years,Female,Hispanic or Latino,Not Available
1004,1449757,55-59 years,Female,Hispanic or Latino,White
126,83388,55-59 years,Female,Not Hispanic or Latino,American Indian or Alaska Native
323,687413,55-59 years,Female,Not Hispanic or Latino,Asian or Pacific Islander
3272,1371843,55-59 years,Female,Not Hispanic or Latino,Black or African American
0,0,55-59 years,Female,Not Hispanic or Latino,Not Available
