Race,Hispanic Origin,Five-Year Age Groups,Gender,Deaths,Year
White,Hispanic or Latino,10-14 years,Female,5,1999
White,Hispanic or Latino,15-19 years,Female,5,1999
White,Hispanic or Latino,20-24 years,Female,5,1999
White,Hispanic or Latino,25-29 years,Female,5,1999
White,Hispanic or Latino,30-34 years,Female,16,1999
Black or African American,Hispanic or Latino,35-39 years,Female,5,1999
White,Hispanic or Latino,35-39 years,Female,23,1999
Black or African American,Hispanic or Latino,40-44 years,Female,5,1999
White,Hispanic or Latino,40-44 years,Female,47,1999
White,Hispanic or Latino,45-49 years,Female,64,1999
Black or African American,Hispanic or Latino,50-54 years,Female,5,1999
White,Hispanic or Latino,50-54 years,Female,94,1999
Black or African American,Hispanic or Latino,55-59 years,Female,5,1999
White,Hispanic or Latino,55-59 years,Female,164,1999
American Indian or Alaska Native,Hispanic or Latino,60-64 years ,Female,5,1999
Black or African American,Hispanic or Latino,60-64 years ,Female,5,1999
White,Hispanic or Latino,60-64 years ,Female,277,1999
American Indian or Alaska Native,Hispanic or Latino,65-69 years,Female,5,1999
Asian or Pacific Islander,Hispanic or Latino,65-69 years,Female,5,1999
Black or African American,Hispanic or Latino,65-69 years,Female,5,1999
White,Hispanic or Latino,65-69 years,Female,385,1999
American Indian or Alaska Native,Hispanic or Latino,70-74 years,Female,5,1999
Black or African American,Hispanic or Latino,70-74 years,Female,5,1999
White,Hispanic or Latino,70-74 years,Female,448,1999
American Indian or Alaska Native,Hispanic or Latino,75-79 years,Female,5,1999
Black or African American,Hispanic or Latino,75-79 years,Female,5,1999
White,Hispanic or Latino,75-79 years,Female,437,1999
Asian or Pacific Islander,Hispanic or Latino,80-84 years,Female,5,1999
Black or African American,Hispanic or Latino,80-84 years,Female,5,1999
White,Hispanic or Latino,80-84 years,Female,353,1999
Black or African American,Hispanic or Latino,85-89 years,Female,5,1999
White,Hispanic or Latino,85-89 years,Female,295,1999
White,Hispanic or Latino,90-94 years,Female,133,1999
Black or African American,Hispanic or Latino,95-99 years,Female,5,1999
White,Hispanic or Latino,95-99 years,Female,47,1999
White,Hispanic or Latino,100+ years,Female,5,1999
White,Not Hispanic or Latino,< 1 year,Female,5,1999
Black or African American,Not Hispanic or Latino,1-4 years,Female,5,1999
White,Not Hispanic or Latino,1-4 years,Female,5,1999
Black or African American,Not Hispanic or Latino,5-9 years,Female,5,1999
White,Not Hispanic or Latino,5-9 years,Female,5,1999
Black or African American,Not Hispanic or Latino,10-14 years,Female,5,1999
White,Not Hispanic or Latino,10-14 years,Female,5,1999
Black or African American,Not Hispanic or Latino,15-19 years,Female,5,1999
White,Not Hispanic or Latino,15-19 years,Female,15,1999
Asian or Pacific Islander,Not Hispanic or Latino,20-24 years,Female,5,1999
Black or African American,Not Hispanic or Latino,20-24 years,Female,16,1999
White,Not Hispanic or Latino,20-24 years,Female,27,1999
American Indian or Alaska Native,Not Hispanic or Latino,25-29 years,Female,5,1999
Black or African American,Not Hispanic or Latino,25-29 years,Female,27,1999
White,Not Hispanic or Latino,25-29 years,Female,59,1999
American Indian or Alaska Native,Not Hispanic or Latino,30-34 years,Female,5,1999
Asian or Pacific Islander,Not Hispanic or Latino,30-34 years,Female,5,1999
Black or African American,Not Hispanic or Latino,30-34 years,Female,48,1999
White,Not Hispanic or Latino,30-34 years,Female,101,1999
American Indian or Alaska Native,Not Hispanic or Latino,35-39 years,Female,5,1999
Asian or Pacific Islander,Not Hispanic or Latino,35-39 years,Female,5,1999
Black or African American,Not Hispanic or Latino,35-39 years,Female,85,1999
White,Not Hispanic or Latino,35-39 years,Female,173,1999
American Indian or Alaska Native,Not Hispanic or Latino,40-44 years,Female,5,1999
Asian or Pacific Islander,Not Hispanic or Latino,40-44 years,Female,5,1999
Black or African American,Not Hispanic or Latino,40-44 years,Female,141,1999
White,Not Hispanic or Latino,40-44 years,Female,311,1999
American Indian or Alaska Native,Not Hispanic or Latino,45-49 years,Female,14,1999
Asian or Pacific Islander,Not Hispanic or Latino,45-49 years,Female,13,1999
Black or African American,Not Hispanic or Latino,45-49 years,Female,223,1999
White,Not Hispanic or Latino,45-49 years,Female,437,1999
American Indian or Alaska Native,Not Hispanic or Latino,50-54 years,Female,17,1999
Asian or Pacific Islander,Not Hispanic or Latino,50-54 years,Female,19,1999
Black or African American,Not Hispanic or Latino,50-54 years,Female,355,1999
White,Not Hispanic or Latino,50-54 years,Female,702,1999
American Indian or Alaska Native,Not Hispanic or Latino,55-59 years,Female,39,1999
Asian or Pacific Islander,Not Hispanic or Latino,55-59 years,Female,40,1999
Black or African American,Not Hispanic or Latino,55-59 years,Female,491,1999
White,Not Hispanic or Latino,55-59 years,Female,1003,1999
American Indian or Alaska Native,Not Hispanic or Latino,60-64 years ,Female,44,1999
Asian or Pacific Islander,Not Hispanic or Latino,60-64 years ,Female,33,1999
Black or African American,Not Hispanic or Latino,60-64 years ,Female,659,1999
White,Not Hispanic or Latino,60-64 years ,Female,1471,1999
American Indian or Alaska Native,Not Hispanic or Latino,65-69 years,Female,64,1999
Asian or Pacific Islander,Not Hispanic or Latino,65-69 years,Female,65,1999
Black or African American,Not Hispanic or Latino,65-69 years,Female,808,1999
White,Not Hispanic or Latino,65-69 years,Female,2252,1999
American Indian or Alaska Native,Not Hispanic or Latino,70-74 years,Female,71,1999
Asian or Pacific Islander,Not Hispanic or Latino,70-74 years,Female,114,1999
Black or African American,Not Hispanic or Latino,70-74 years,Female,1050,1999
White,Not Hispanic or Latino,70-74 years,Female,3346,1999
American Indian or Alaska Native,Not Hispanic or Latino,75-79 years,Female,48,1999
Asian or Pacific Islander,Not Hispanic or Latino,75-79 years,Female,111,1999
Black or African American,Not Hispanic or Latino,75-79 years,Female,1047,1999
White,Not Hispanic or Latino,75-79 years,Female,4407,1999
American Indian or Alaska Native,Not Hispanic or Latino,80-84 years,Female,33,1999
Asian or Pacific Islander,Not Hispanic or Latino,80-84 years,Female,100,1999
Black or African American,Not Hispanic or Latino,80-84 years,Female,932,1999
White,Not Hispanic or Latino,80-84 years,Female,4692,1999
American Indian or Alaska Native,Not Hispanic or Latino,85-89 years,Female,35,1999
Asian or Pacific Islander,Not Hispanic or Latino,85-89 years,Female,69,1999
Black or African American,Not Hispanic or Latino,85-89 years,Female,692,1999
White,Not Hispanic or Latino,85-89 years,Female,3970,1999
American Indian or Alaska Native,Not Hispanic or Latino,90-94 years,Female,12,1999
Asian or Pacific Islander,Not Hispanic or Latino,90-94 years,Female,32,1999
Black or African American,Not Hispanic or Latino,90-94 years,Female,373,1999
White,Not Hispanic or Latino,90-94 years,Female,2314,1999
American Indian or Alaska Native,Not Hispanic or Latino,95-99 years,Female,5,1999
Asian or Pacific Islander,Not Hispanic or Latino,95-99 years,Female,13,1999
Black or African American,Not Hispanic or Latino,95-99 years,Female,119,1999
White,Not Hispanic or Latino,95-99 years,Female,768,1999
Asian or Pacific Islander,Not Hispanic or Latino,100+ years,Female,5,1999
Black or African American,Not Hispanic or Latino,100+ years,Female,32,1999
White,Not Hispanic or Latino,100+ years,Female,107,1999
Black or African American,Not Hispanic or Latino,Not Stated,Female,5,1999
Black or African American,Not Stated,15-19 years,Female,5,1999
Black or African American,Not Stated,25-29 years,Female,5,1999
White,Not Stated,30-34 years,Female,5,1999
Black or African American,Not Stated,35-39 years,Female,5,1999
White,Not Stated,35-39 years,Female,5,1999
White,Not Stated,45-49 years,Female,5,1999
White,Not Stated,50-54 years,Female,5,1999
American Indian or Alaska Native,Not Stated,55-59 years,Female,5,1999
White,Not Stated,55-59 years,Female,5,1999
Black or African American,Not Stated,60-64 years ,Female,5,1999
White,Not Stated,60-64 years ,Female,5,1999
Black or African American,Not Stated,65-69 years,Female,5,1999
White,Not Stated,65-69 years,Female,5,1999
Black or African American,Not Stated,70-74 years,Female,5,1999
White,Not Stated,70-74 years,Female,5,1999
Black or African American,Not Stated,75-79 years,Female,5,1999
White,Not Stated,75-79 years,Female,16,1999
Black or African American,Not Stated,80-84 years,Female,5,1999
White,Not Stated,80-84 years,Female,19,1999
Black or African American,Not Stated,85-89 years,Female,5,1999
White,Not Stated,85-89 years,Female,5,1999
White,Not Stated,90-94 years,Female,5,1999
White,Not Stated,95-99 years,Female,5,1999
White,Not Stated,100+ years,Female,5,1999
Black or African American,Hispanic or Latino,10-14 years,Male,5,1999
White,Hispanic or Latino,10-14 years,Male,5,1999
American Indian or Alaska Native,Hispanic or Latino,20-24 years,Male,5,1999
White,Hispanic or Latino,20-24 years,Male,5,1999
White,Hispanic or Latino,25-29 years,Male,5,1999
White,Hispanic or Latino,30-34 years,Male,13,1999
American Indian or Alaska Native,Hispanic or Latino,35-39 years,Male,5,1999
White,Hispanic or Latino,35-39 years,Male,29,1999
Black or African American,Hispanic or Latino,40-44 years,Male,5,1999
White,Hispanic or Latino,40-44 years,Male,52,1999
Asian or Pacific Islander,Hispanic or Latino,45-49 years,Male,5,1999
Black or African American,Hispanic or Latino,45-49 years,Male,5,1999
White,Hispanic or Latino,45-49 years,Male,102,1999
American Indian or Alaska Native,Hispanic or Latino,50-54 years,Male,5,1999
Asian or Pacific Islander,Hispanic or Latino,50-54 years,Male,5,1999
Black or African American,Hispanic or Latino,50-54 years,Male,5,1999
White,Hispanic or Latino,50-54 years,Male,142,1999
American Indian or Alaska Native,Hispanic or Latino,55-59 years,Male,5,1999
Asian or Pacific Islander,Hispanic or Latino,55-59 years,Male,5,1999
Black or African American,Hispanic or Latino,55-59 years,Male,5,1999
White,Hispanic or Latino,55-59 years,Male,198,1999
American Indian or Alaska Native,Hispanic or Latino,60-64 years ,Male,5,1999
Asian or Pacific Islander,Hispanic or Latino,60-64 years ,Male,5,1999
Black or African American,Hispanic or Latino,60-64 years ,Male,5,1999
White,Hispanic or Latino,60-64 years ,Male,272,1999
Asian or Pacific Islander,Hispanic or Latino,65-69 years,Male,5,1999
Black or African American,Hispanic or Latino,65-69 years,Male,5,1999
White,Hispanic or Latino,65-69 years,Male,329,1999
Asian or Pacific Islander,Hispanic or Latino,70-74 years,Male,5,1999
Black or African American,Hispanic or Latino,70-74 years,Male,5,1999
White,Hispanic or Latino,70-74 years,Male,374,1999
American Indian or Alaska Native,Hispanic or Latino,75-79 years,Male,5,1999
Black or African American,Hispanic or Latino,75-79 years,Male,5,1999
White,Hispanic or Latino,75-79 years,Male,329,1999
American Indian or Alaska Native,Hispanic or Latino,80-84 years,Male,5,1999
Asian or Pacific Islander,Hispanic or Latino,80-84 years,Male,5,1999
White,Hispanic or Latino,80-84 years,Male,223,1999
Asian or Pacific Islander,Hispanic or Latino,85-89 years,Male,5,1999
Black or African American,Hispanic or Latino,85-89 years,Male,5,1999
White,Hispanic or Latino,85-89 years,Male,158,1999
Black or African American,Hispanic or Latino,90-94 years,Male,5,1999
White,Hispanic or Latino,90-94 years,Male,44,1999
White,Hispanic or Latino,95-99 years,Male,11,1999
