Race,Hispanic Origin,Five-Year Age Groups,Cause of death Code,Gender,Deaths,Year
White,Hispanic or Latino,< 1 year,I10,Female,5,2000
White,Hispanic or Latino,< 1 year,I11.9,Female,5,2000
Black or African American,Not Hispanic or Latino,< 1 year,I10,Female,5,2000
White,Not Hispanic or Latino,< 1 year,I10,Female,5,2000
White,Hispanic or Latino,< 1 year,I10,Male,5,2000
Black or African American,Not Hispanic or Latino,< 1 year,I10,Male,5,2000
White,Not Hispanic or Latino,< 1 year,I10,Male,5,2000
White,Hispanic or Latino,1-4 years,I10,Female,5,2000
Black or African American,Not Hispanic or Latino,1-4 years,I11.9,Female,5,2000
Black or African American,Not Hispanic or Latino,1-4 years,I10,Male,5,2000
White,Not Hispanic or Latino,1-4 years,I10,Male,5,2000
Black or African American,Not Hispanic or Latino,5-9 years,I10,Female,5,2000
Black or African American,Not Hispanic or Latino,5-9 years,I12.0,Female,5,2000
White,Not Hispanic or Latino,5-9 years,I10,Female,5,2000
American Indian or Alaska Native,Not Hispanic or Latino,5-9 years,I10,Male,5,2000
White,Not Hispanic or Latino,5-9 years,I10,Male,5,2000
Black or African American,Not Hispanic or Latino,10-14 years,I13.1,Female,5,2000
White,Not Hispanic or Latino,10-14 years,I10,Female,5,2000
White,Not Hispanic or Latino,10-14 years,I11.9,Female,5,2000
White,Hispanic or Latino,10-14 years,I10,Male,5,2000
White,Not Hispanic or Latino,10-14 years,I10,Male,5,2000
White,Not Hispanic or Latino,10-14 years,I11.0,Male,5,2000
White,Hispanic or Latino,15-19 years,I10,Female,5,2000
Asian or Pacific Islander,Not Hispanic or Latino,15-19 years,I10,Female,5,2000
Black or African American,Not Hispanic or Latino,15-19 years,I10,Female,5,2000
Black or African American,Not Hispanic or Latino,15-19 years,I11.9,Female,5,2000
Black or African American,Not Hispanic or Latino,15-19 years,I12.0,Female,5,2000
White,Not Hispanic or Latino,15-19 years,I10,Female,5,2000
White,Hispanic or Latino,15-19 years,I10,Male,5,2000
Black or African American,Not Hispanic or Latino,15-19 years,I10,Male,5,2000
Black or African American,Not Hispanic or Latino,15-19 years,I11.9,Male,5,2000
Black or African American,Not Hispanic or Latino,15-19 years,I13.1,Male,5,2000
White,Not Hispanic or Latino,15-19 years,I10,Male,5,2000
White,Not Hispanic or Latino,15-19 years,I11.9,Male,5,2000
Black or African American,Hispanic or Latino,20-24 years,I10,Female,5,2000
White,Hispanic or Latino,20-24 years,I10,Female,5,2000
Asian or Pacific Islander,Not Hispanic or Latino,20-24 years,I10,Female,5,2000
Black or African American,Not Hispanic or Latino,20-24 years,I10,Female,14,2000
Black or African American,Not Hispanic or Latino,20-24 years,I11.9,Female,5,2000
Black or African American,Not Hispanic or Latino,20-24 years,I12.9,Female,5,2000
Black or African American,Not Hispanic or Latino,20-24 years,I13.1,Female,5,2000
White,Not Hispanic or Latino,20-24 years,I10,Female,5,2000
White,Not Hispanic or Latino,20-24 years,I11.9,Female,5,2000
White,Not Hispanic or Latino,20-24 years,I12.0,Female,5,2000
White,Not Stated,20-24 years,I10,Female,5,2000
White,Hispanic or Latino,20-24 years,I10,Male,5,2000
White,Hispanic or Latino,20-24 years,I11.9,Male,5,2000
White,Hispanic or Latino,20-24 years,I12.0,Male,5,2000
White,Hispanic or Latino,20-24 years,I13.1,Male,5,2000
Black or African American,Not Hispanic or Latino,20-24 years,I10,Male,5,2000
Black or African American,Not Hispanic or Latino,20-24 years,I11.9,Male,15,2000
Black or African American,Not Hispanic or Latino,20-24 years,I12.0,Male,5,2000
Black or African American,Not Hispanic or Latino,20-24 years,I13.1,Male,5,2000
Black or African American,Not Hispanic or Latino,20-24 years,I13.9,Male,5,2000
White,Not Hispanic or Latino,20-24 years,I10,Male,12,2000
White,Not Hispanic or Latino,20-24 years,I11.9,Male,14,2000
White,Hispanic or Latino,25-29 years,I10,Female,5,2000
White,Hispanic or Latino,25-29 years,I11.9,Female,5,2000
White,Hispanic or Latino,25-29 years,I12.0,Female,5,2000
White,Hispanic or Latino,25-29 years,I12.9,Female,5,2000
American Indian or Alaska Native,Not Hispanic or Latino,25-29 years,I10,Female,5,2000
Asian or Pacific Islander,Not Hispanic or Latino,25-29 years,I10,Female,5,2000
Asian or Pacific Islander,Not Hispanic or Latino,25-29 years,I13.1,Female,5,2000
Black or African American,Not Hispanic or Latino,25-29 years,I10,Female,16,2000
Black or African American,Not Hispanic or Latino,25-29 years,I11.0,Female,5,2000
Black or African American,Not Hispanic or Latino,25-29 years,I11.9,Female,20,2000
Black or African American,Not Hispanic or Latino,25-29 years,I12.0,Female,5,2000
Black or African American,Not Hispanic or Latino,25-29 years,I13.1,Female,5,2000
White,Not Hispanic or Latino,25-29 years,I10,Female,18,2000
White,Not Hispanic or Latino,25-29 years,I11.0,Female,5,2000
White,Not Hispanic or Latino,25-29 years,I11.9,Female,10,2000
White,Not Hispanic or Latino,25-29 years,I12.0,Female,5,2000
White,Not Hispanic or Latino,25-29 years,I12.9,Female,5,2000
White,Not Hispanic or Latino,25-29 years,I13.1,Female,5,2000
White,Hispanic or Latino,25-29 years,I10,Male,5,2000
White,Hispanic or Latino,25-29 years,I11.9,Male,10,2000
White,Hispanic or Latino,25-29 years,I12.0,Male,5,2000
White,Hispanic or Latino,25-29 years,I13.1,Male,5,2000
American Indian or Alaska Native,Not Hispanic or Latino,25-29 years,I10,Male,5,2000
American Indian or Alaska Native,Not Hispanic or Latino,25-29 years,I11.9,Male,5,2000
American Indian or Alaska Native,Not Hispanic or Latino,25-29 years,I12.0,Male,5,2000
Asian or Pacific Islander,Not Hispanic or Latino,25-29 years,I10,Male,5,2000
Asian or Pacific Islander,Not Hispanic or Latino,25-29 years,I11.9,Male,5,2000
Black or African American,Not Hispanic or Latino,25-29 years,I10,Male,21,2000
Black or African American,Not Hispanic or Latino,25-29 years,I11.0,Male,5,2000
Black or African American,Not Hispanic or Latino,25-29 years,I11.9,Male,27,2000
Black or African American,Not Hispanic or Latino,25-29 years,I12.0,Male,5,2000
Black or African American,Not Hispanic or Latino,25-29 years,I13.1,Male,5,2000
White,Not Hispanic or Latino,25-29 years,I10,Male,34,2000
White,Not Hispanic or Latino,25-29 years,I11.0,Male,5,2000
White,Not Hispanic or Latino,25-29 years,I11.9,Male,28,2000
White,Not Hispanic or Latino,25-29 years,I12.0,Male,5,2000
White,Not Hispanic or Latino,25-29 years,I12.9,Male,5,2000
White,Not Hispanic or Latino,25-29 years,I13.1,Male,5,2000
